AvgVanillaIw,ESSRenyi,VarJ,AvgDiscRet,IterType,VarNormIw,VanillaAvgRet,VarDiscRet,AvgEpLen,MaxVanillaIw,MinNormIw,EpsThisIter,MaxNormIw,AvgNormIw,ESSClassic,eRenyi2,AvgRet,VarVanillaIw,BatchSize,Bound,MinVanillaIw,J,VarRet,Delta
1.4340286,2.2790039338168717,418.22028,108.8423725164873,1,0.008619469,108.8423725164873,27085.56038992746,11.89,133.17468,,100,0.9286752,0.01,1.1583093802289093,43.87882,108.8423725164873,177.25404,100,523.19684,,807.97815,27085.56038992746,0.8
1.0046024,4.330512117286466,2540.9502,577.6482673895123,1,0.004243462,577.6482673895123,818593.2611600447,58.75,52.836636,6.1626816e-34,100,0.5259457,0.01,2.3250253557890854,23.091957,577.6482673895123,42.826134,100,3459.5098,6.191045e-32,4660.849,818593.2611600447,0.8
1.6152363e+29,5.072624317261876e+27,0.00012969816,1557.4696883009349,,0.010000003,577.6482673895123,2285214.6299551297,58.75,1.6152364e+31,1.1717332e-33,100,1.0,0.01,,3.9427324e-26,577.6482673895123,inf,200,-inf,0.018926261,1229.6598,818593.2611600447,0.8
1.7062689,4.3847355190439705,4027.8577,577.5929675819057,1,0.0015913787,577.5929675819057,1041287.684026643,58.74,167.7875,1.9021846e-27,100,0.49167955,0.005,3.108637584366138,45.612785,577.5929675819057,185.32266,200,3372.3008,6.491277e-25,4566.2017,1041287.684026643,0.8
1.0,200.0,1625.547,2188.258359694756,2,3.5044917e-18,2188.258359694756,2669093.9859054736,219.69,1.0,0.01,100,0.01,0.009999998,100.0,1.0,2188.258359694756,,200,1938.2584,1.0,2188.2583,2669093.9859054736,0.8
8.6913196e+21,13413269.43339143,847.0708,2223.070867048556,,0.003986788,577.5929675819057,2761552.9724456323,58.74,1.540529e+24,3.4286622e-27,100,0.8862457,0.005,,2.2365912e-05,577.5929675819057,inf,300,-inf,0.0059599197,497.55078,1041287.684026643,0.8
1.2614146,4.585184765398982,2775.6792,513.3058620920525,1,0.000852012,513.3058620920525,384089.5919998192,52.35,146.59851,,100,0.38739184,0.0033333334,3.8746936497877984,65.428116,513.3058620920525,122.01238,300,3555.3428,,4722.855,384089.5919998192,0.8
1.0,300.0,1630.3448,3546.9814792616544,2,3.5044917e-18,3546.9814792616544,2684872.9419689947,355.26,1.0,0.01,100,0.01,0.009999998,100.0,1.0,3546.9814792616544,,300,3296.9817,1.0,3546.9817,2684872.9419689947,0.8
1.0,300.0,1546.3182,3508.789555823824,2,2.179301e-19,3508.789555823824,2144895.9344941736,351.51,1.0,0.005,100,0.005,0.0049999994,200.00000010221265,1.0,3508.789555823824,,300,3351.1091,1.0,3527.8857,2144895.9344941736,0.8
inf,25546701.240727074,nan,3231.3058805059727,,nan,513.3058620920525,2825807.877696823,52.35,inf,nan,100,nan,nan,nan,1.5657599e-05,513.3058620920525,nan,400,nan,0.006821352,nan,384089.5919998192,0.8
1.1400129,4.592162331705179,5496.744,536.130609658241,1,0.00072093937,536.130609658241,554949.0817008327,54.62,211.96223,,100,0.46482423,0.0025000004,3.4464358280988905,87.104935,536.130609658241,149.91263,400,3385.2637,,4551.8887,554949.0817008327,0.8
1.0,400.0,1587.2296,3100.391850303031,2,3.5044917e-18,3100.391850303031,2544745.2853356306,310.78,1.0,0.01,100,0.01,0.009999998,100.0,1.0,3100.391850303031,,400,2850.392,1.0,3100.3918,2544745.2853356306,0.8
1.0,400.0,1542.6257,3185.1008071886986,2,2.179301e-19,3185.1008071886986,2259094.286764538,319.25,1.0,0.005,100,0.005,0.0049999994,200.00000010221265,1.0,3185.1008071886986,,400,2965.9697,1.0,3142.7463,2259094.286764538,0.8
1.0,400.0,1586.0812,2899.4351442081575,2,5.4391416e-20,2899.4351442081575,2775863.331754035,290.69,1.0,0.0033333334,100,0.0033333334,0.0033333336,299.999969473632,1.0,2899.4351442081575,,400,2917.3052,1.0,3061.6428,2775863.331754035,0.8
inf,65018217.19485697,nan,3123.8257926143165,,nan,536.130609658241,2321010.484084706,54.62,inf,nan,100,nan,nan,nan,7.690152e-06,536.130609658241,nan,500,nan,0.0047178217,nan,554949.0817008327,0.8
1.0143473,5.0570472680671035,5020.6523,479.1349158337323,1,0.0005268605,479.1349158337323,335838.9563462831,48.93,198.69319,,100,0.3917656,0.002,3.774961788770168,98.871925,479.1349158337323,135.52176,500,3502.5374,,4614.247,335838.9563462831,0.8
1.0,500.0,1506.3245,3014.8579242146666,2,3.5044917e-18,3014.8579242146666,2291932.647640183,302.27,1.0,0.01,100,0.01,0.009999998,100.0,1.0,3014.8579242146666,,500,2764.8577,1.0,3014.8577,2291932.647640183,0.8
1.0,500.0,1504.5339,3255.8974557818105,2,2.179301e-19,3255.8974557818105,2251698.504270122,326.34,1.0,0.005,100,0.005,0.0049999994,200.00000010221265,1.0,3255.8974557818105,,500,2958.6008,1.0,3135.3774,2251698.504270122,0.8
1.0,500.0,1480.0116,2996.4909008516256,2,5.4391416e-20,2996.4909008516256,2051717.012943736,300.5,1.0,0.0033333334,100,0.0033333334,0.0033333336,299.999969473632,1.0,2996.4909008516256,,500,2944.7446,1.0,3089.0823,2051717.012943736,0.8
