VarVanillaIw,VarRet,AvgRet,BatchSize,AvgVanillaIw,AvgNormIw,VarJ,eRenyi2,J,VarNormIw,EpsThisIter,ESSRenyi,MinNormIw,MaxNormIw,Bound,VarDiscRet,MinVanillaIw,MaxVanillaIw,ESSClassic,VanillaAvgRet,IterType,Delta,AvgDiscRet,AvgEpLen
0.0683131,4841.67031171,-126.517539579,100,0.99578,0.01,42.277,1.07372,-118.525,6.88933e-06,100,93.1345348979,0.00189343,0.0143976,-218.961,4841.67031171,0.188544,1.43368,93.6150183973,-126.517539579,1,0.2,-126.517539579,42.58
0.0145177,760.622352671,-113.763968733,100,1.01886,0.01,23.7514,1.01158,-112.871,1.39851e-06,100,98.8554434668,0.00765726,0.0136513,-187.704,760.622352671,0.78017,1.39088,98.6343775305,-113.763968733,1,0.2,-113.763968733,27.28
0.037166,803.806257191,-114.111697301,100,0.997553,0.01,15.4176,1.02511,-111.955,3.73486e-06,100,97.5504494519,0.0028316,0.0171301,-188.089,803.806257191,0.282467,1.70882,96.434329249,-114.111697301,1,0.2,-114.111697301,26.19
0.0292172,209.876688179,-110.916463232,100,1.01979,0.01,8.72506,1.02506,-109.574,2.80941e-06,100,97.5553049528,0.00437583,0.0124351,-157.14,209.876688179,0.446244,1.26813,97.2939465783,-110.916463232,1,0.2,-110.916463232,23.8
0.0127023,662.067259368,-111.27998911,100,1.00673,0.01,19.0321,1.01186,-110.514,1.25331e-06,100,98.8282025445,0.00604775,0.0121122,-171.544,662.067259368,0.608845,1.21938,98.7744201874,-111.27998911,1,0.2,-111.27998911,38.48
0.0197189,1235.13923011,-112.534723334,100,1.01846,0.01,21.4285,1.01808,-110.787,1.90106e-06,100,98.2243960334,0.00511982,0.0125794,-198.77,1235.13923011,0.521433,1.28116,98.1527176958,-112.534723334,1,0.2,-112.534723334,28.87
0.0208575,1660.65557047,-111.753266176,100,1.00512,0.01,21.6563,1.02001,-109.375,2.06454e-06,100,98.0381633926,0.00488908,0.0121112,-209.238,1660.65557047,0.491412,1.21732,97.997003433,-111.753266176,1,0.2,-111.753266176,34.3
0.00569945,27.6317026424,-108.67215553,100,1.01451,0.01,4.89947,1.00687,-108.494,5.53758e-07,100,99.3173669071,0.00803481,0.0114533,-134.38,27.6317026424,0.81514,1.16195,99.4547489803,-108.67215553,1,0.2,-108.67215553,17.91
0.00695436,60.9210928101,-108.870503257,100,1.0051,0.01,6.27957,1.00722,-108.602,6.88397e-07,100,99.2832312858,0.00755011,0.0115429,-143.97,60.9210928101,0.758861,1.16018,99.3231329017,-108.870503257,1,0.2,-108.870503257,23.24
0.00814673,1568.0209858,-112.520037292,100,1.01058,0.01,32.2067,1.00879,-111.596,7.97709e-07,100,99.1289503504,0.00793507,0.0131742,-212.002,1568.0209858,0.8019,1.33136,99.2164325117,-112.520037292,1,0.2,-112.520037292,22.32
