IterType,AvgRet,J,EpsThisIter,BatchSize,ESSRenyi,ESSClassic,MaxNormIw,MinNormIw,MinVanillaIw,VarDiscRet,VanillaAvgRet,VarVanillaIw,AvgNormIw,AvgEpLen,VarRet,Bound,AvgVanillaIw,VarJ,eRenyi2,VarNormIw,Delta,MaxVanillaIw,AvgDiscRet
1,148.162663142,216.454,100,100,54.6640007408,26.8867498386,0.150346,0.00023774,0.0260933,7300.48175491,148.162663142,3.30885,0.01,16.18,7300.48175491,51.165,1.09756,228.279,1.82936,0.000274677,0.1,16.5013,148.162663142
1,173.19853925,572.752,100,100,27.4832501273,3.85157044375,0.498321,2.20894e-05,0.00446872,14299.8676576,173.19853925,103.197,0.01,18.86,14299.8676576,60.4537,2.02301,1633.06,3.63858,0.00252156,0.1,100.811,173.19853925
1,241.721363826,3172.01,100,100,18.813264211,2.27323266714,0.659522,6.88849e-07,0.000113987,223301.992675,241.721363826,118.904,0.01,26.2,223301.992675,-60.6565,1.65475,10095.3,5.3154,0.00434245,0.1,109.134,241.721363826
1,210.252589794,443.674,100,100,36.7732021518,6.71146138019,0.373819,6.05441e-05,0.00837273,23473.6343017,210.252589794,26.8514,0.01,22.82,23473.6343017,73.6975,1.38291,1033.18,2.71937,0.00140403,0.1,51.6959,210.252589794
1,255.629683376,317.13,100,100,81.981614307,76.2928910854,0.0293158,0.00265792,0.2739,28244.1197855,255.629683376,0.33332,0.01,27.73,28244.1197855,-36.0462,1.03051,268.16,1.21979,3.13877e-05,0.1,3.02101,255.629683376
1,290.453558398,2662.54,100,100,25.5555242786,2.33038456083,0.652021,5.95293e-05,0.0150217,150132.756719,290.453558398,269.572,0.01,31.42,150132.756719,316.535,2.52342,8552.45,3.91305,0.00423347,0.1,164.532,290.453558398
,290.453558398,292.161,100,200,29.0902130041,25.5146996489,0.126154,1.15178e-05,0.00607785,38759.1554014,290.453558398,82.1116,0.01,31.42,150132.756719,-979.297,5.27691,328.201,6.87516,0.00029488,0.1,66.5702,278.962741744
1,299.401678503,2360.49,100,200,37.6919733957,3.09556853491,0.565051,1.10069e-05,0.0050202,30096.8452594,299.401678503,332.462,0.005,32.39,30096.8452594,428.758,2.28047,12853.8,5.30617,0.0015982,0.1,257.717,299.401678503
2,308.732206239,308.732,100,200,200.0,100.0,0.01,0.01,1.0,32883.4714953,308.732206239,,0.01,33.42,32883.4714953,-76.6264,1.0,180.429,1.0,3.50449e-18,0.1,1.0,308.732206239
,299.401678503,298.684,100,300,23.3403612741,25.9483950871,0.116474,2.26886e-06,0.00388023,249447.764196,299.401678503,492.93,0.005,32.39,30096.8452594,-3256.17,8.55107,383.56,12.8533,0.000168533,0.1,199.195,388.776299964
