ESSClassic,BatchSize,MaxVanillaIw,J,MinNormIw,AvgVanillaIw,Bound,AvgRet,AvgNormIw,VarJ,VarVanillaIw,VarDiscRet,MinVanillaIw,AvgDiscRet,eRenyi2,VarNormIw,VarRet,ESSRenyi,MaxNormIw,AvgEpLen
26.53342778343824,100,5.8072157,1594.1832,,1.1243618,1440.6293,-1608.5544895009277,0.01,19.705952,3.5356832,4230828.776786032,,-1.0913936421275138e-13,4.1358657,0.00027967987,4230828.776786032,24.178734885494837,0.051648997,200.0
1.0,100,12252534.0,11.446342,,122525.34,1399575.0,-13.078041458398674,0.01,,1501246100000.0,112.04544393394038,,2.7977620220553944e-15,10553041.0,0.010000002,112.04544393394036,9.475941579304012e-06,1.0,200.0
1.0,100,45473320000000.0,7.983294,,454733200000.0,3630265500000.0,-8.533613438097598,0.01,,2.0678224e+25,47.10016565482975,,1.4210854715202004e-16,32154390000000.0,0.010000003,47.10016565482975,3.1099952349502113e-12,1.0,200.0
100.0,100,1.0,-8.940697e-08,0.01,1.0,-0.6252154,-8.689744520484572,0.009999998,7.3966603,,55.26321884633134,1.0,1.9539925233402755e-16,1.0,3.5044917e-18,55.26321884633134,100.0,0.01,200.0
100.0,100,1.0,-2.9802322e-08,0.01,1.0,-0.5994858,-7.775805684756409,0.009999998,7.092263,,50.80828252671457,1.0,1.9539925233402755e-16,1.0,3.5044917e-18,50.80828252671457,100.0,0.01,200.0
100.0,100,1.0,,0.01,1.0,-0.5913842,-7.355371054142104,0.009999998,6.996418,,49.444312482361774,1.0,9.414691248821328e-16,1.0,3.5044917e-18,49.444312482361774,100.0,0.01,200.0
100.0,100,1.0,-1.4901161e-08,0.01,1.0,-0.55675995,-7.27109183581619,0.009999998,6.586793,,43.8240832060585,1.0,-1.8207657603852566e-16,1.0,3.5044917e-18,43.8240832060585,100.0,0.01,200.0
100.0,100,1.0,1.4901161e-08,0.01,1.0,-0.5913444,-7.621453611154046,0.009999998,6.995947,,49.43765256723287,1.0,-7.105427357601002e-17,1.0,3.5044917e-18,49.43765256723287,100.0,0.01,200.0
100.0,100,1.0,-9.685755e-08,0.01,1.0,-0.6181232,-7.843223863233879,0.009999998,7.312757,,54.01658173752427,1.0,-4.707345624410664e-16,1.0,3.5044917e-18,54.01658173752426,100.0,0.01,200.0
100.0,100,1.0,1.1920929e-07,0.01,1.0,-0.6390424,-8.418247930401087,0.009999998,7.5602427,,57.734619946441875,1.0,1.3677947663381929e-15,1.0,3.5044917e-18,57.73461994644186,100.0,0.01,200.0
100.0,100,1.0,1.4901161e-08,0.01,1.0,-0.5742915,-7.863996448828913,0.009999998,6.794203,,46.627468248152645,1.0,7.01660951563099e-16,1.0,3.5044917e-18,46.627468248152645,100.0,0.01,200.0
