MinNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,MaxVanillaIw,AvgRet,BatchSize,VarJ,J,MinVanillaIw,VarRet,VarDiscRet,MaxNormIw,AvgNormIw,VarNormIw,AvgVanillaIw,eRenyi2,ESSRenyi,ESSClassic,Bound
6.9279017e-17,1.3728133,200.0,-1608.5544895009277,3.155644,-1608.5544895009277,100,44.77153,-24.832167,6.9253215e-15,4230828.776786032,4230828.776786032,0.031568196,0.01,0.00013738364,0.9996276,2.2880628,43.705093900267705,42.37112623770749,-290.59192
0.00012966039,0.14609349,200.0,-39.50473080137872,1.3816463,-39.50473080137872,100,10.270652,-11.130873,0.012914367,80507.37573230706,80507.37573230706,0.013871744,0.01,1.4726491e-05,0.9960148,1.1371855,87.93640440601996,87.27586734188297,-36.67449
,55.77992,200.0,-10.63138020385271,47.58921,-10.63138020385271,100,5.063616,-1.4243579,,73.09464011335326,73.09464011335326,0.3317086,0.01,0.0027100318,1.4346691,34.681683,2.8833664500013474,3.593332659859347,-5.2175565
,5.8736487e-09,200.0,-8.536089183615585,0.00076521805,-8.536089183615585,100,4.820378,-0.3669678,,53.32101231894502,53.32101231894502,0.9365975,0.01,0.00879921,8.170191e-06,18024.91,0.005547877860868325,1.1349168136596408,-6.1316934
,9.29726e-06,200.0,-7.663131232273189,0.030491412,-7.663131232273189,100,,-0.62993973,,49.34542958049102,49.34542958049102,1.0,0.01,0.010000003,0.0003049141,713.45703,0.14016261052862108,1.0,-6.537865
0.0021045862,7.53059e-10,200.0,-7.244934691548284,0.00027239101,-7.244934691548284,100,21.248484,-4.340856,1.1877444e-06,47.97071984877038,47.97071984877038,0.48265466,0.01,0.0023643763,5.6436006e-06,nan,nan,4.09713109253902,-7.2186503
,9.341798,200.0,-4120.962146832106,15.819888,-4120.962146832106,100,350.0895,-57.96807,,3255826.8564492874,3255826.8564492874,0.16454999,0.010000002,0.0010106931,0.9614032,11.541097,8.664687829008065,9.086066782892582,-561.4155
4.8555317e-05,0.2289013,200.0,-65.27507495980811,1.5637848,-65.27507495980811,100,11.624493,-10.291308,0.005160358,160856.21583460955,160856.21583460955,0.014714109,0.01,2.026573e-05,1.0627792,1.2397554,80.66107285297768,83.28956762043808,-47.251583
,8.885277,200.0,-9.595608223408336,19.795424,-9.595608223408336,100,4.799678,-1.0255518,,81.26060719670565,81.26060719670565,0.35101688,0.01,0.002793813,0.56394506,21.881262,4.570120352162724,3.489335869849126,-5.0841885
,0.056079566,200.0,-8.273480497185579,2.3681126,-8.273480497185579,100,5.186822e-08,-0.55610996,,55.76972198276976,55.76972198276976,1.0,0.01,0.0100000035,0.023681127,211.96304,0.4717803560668941,1.0,-6.836849
,15.271009,200.0,-7.744479724194713,29.144934,-7.744479724194713,100,1.5095407,-0.66272545,,45.220850607734846,45.220850607734846,0.44456184,0.01,0.0035530874,0.65558785,74.21157,1.347498766071019,2.7642964236522602,-4.0643673
1.1052979e-23,2.9727005e-06,200.0,-7.675418863132688,0.01720902,-7.675418863132688,100,4.8015246,-1.239296,2.121112e-25,48.75935534242084,48.75935534242084,0.896751,0.01,0.008072029,0.0001919041,27319085000.0,3.6604446962632567e-09,1.2358939277316248,-6.5219226
,17.205526,200.0,-7.727846242759147,18.74951,-7.727846242759147,100,3.7257316,-1.8313444,,48.98125651912392,48.98125651912392,0.14341904,0.01,0.0010067038,1.3073236,14.594573,6.851861980241276,9.118789956758047,-3.780551
,,200.0,-7.358515272300135,1.6684579e-34,-7.358515272300135,100,,-0.095986016,,49.99376241063043,49.99376241063043,1.0,0.01,0.010000003,1.668458e-36,inf,,inf,-6.042596
,44.87803,200.0,-7.832286374555233,19.81998,-7.832286374555233,100,13.271609,-4.497055,,50.1367789420149,50.1367789420149,0.07692308,0.01,0.0006759908,2.5765972,14.036769,7.124146633593817,12.999999603218106,-6.1487055
0.01,,200.0,-8.188196328420888,1.0,-8.188196328420888,100,6.624131,-8.188196,1.0,44.32233929799802,44.32233929799802,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.748112
0.01,,200.0,-6.706511863965961,1.0,-6.706511863965961,100,6.512632,-6.706512,1.0,42.84280487675031,42.84280487675031,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.2570033
