BatchSize,AvgDiscRet,VarDiscRet,MinNormIw,AvgNormIw,ESSClassic,eRenyi2,VarRet,AvgVanillaIw,ESSRenyi,AvgRet,J,VarVanillaIw,Bound,MaxNormIw,MinVanillaIw,AvgEpLen,VarNormIw,MaxVanillaIw,VarJ
100,-1.0913936421275138e-13,4553425.762000742,1.6334295e-16,0.01,40.201054354191186,2.7917018,4553425.762000742,1.1224612,35.820444800630206,-1704.5819581729843,1662.8779,1.8930568,1329.3066,0.034951698,1.8334611e-14,200.0,0.00015025225,3.9231923,85.53942
100,1.5987211554602255e-15,129019.75257711434,0.0022276768,0.01,94.42253127196922,1.0442599,129019.75257711434,0.98106545,95.76160057772435,-49.19411387576821,29.325342,0.0574277,-278.74182,0.012082625,0.21854967,200.0,5.96658e-06,1.1853846,81.40527
100,8.881784197001253e-17,724.5130240806571,0.0010098735,0.01,89.77902040865075,1.0843266,724.5130240806571,0.9702544,92.22313434566942,-14.894313136229218,3.8890467,0.108256474,-13.935793,0.013163247,0.09798342,200.0,1.1499596e-05,1.27717,10.071995
100,1.9539925233402755e-16,70.38983758235025,2.9539034e-08,0.010000002,37.3502534385674,2.5484726,70.38983758235025,0.9681074,39.2391891192769,-9.286214980165902,2.5397146,1.5879529,-0.007354498,0.042483147,2.8596958e-06,200.0,0.00016943012,4.112825,10.026534
100,-9.237055564881303e-16,55.45756623875158,,0.01,,inf,55.45756623875159,5.758002e+34,,-8.893422942601159,8.866148,inf,5.1051296e+35,1.0,,200.0,0.010000002,5.758002e+36,
100,-1.3322676295501878e-15,60.33609991118112,0.01,0.009999998,100.0,nan,60.33609991118112,1.0,nan,-9.159133959959764,,,-1.2967082,0.01,1.0,200.0,3.5044917e-18,1.0,7.7286954
100,1.2434497875801754e-16,60.36887874431454,0.01,0.009999998,100.0,nan,60.36887874431454,1.0,nan,-8.476767173070924,-2.9802322e-08,,-1.3693278,0.01,1.0,200.0,3.5044917e-18,1.0,7.7307944
100,1.1013412404281553e-15,63.9086926309124,0.01,0.009999998,100.0,nan,63.9086926309124,1.0,nan,-9.769707994975613,-1.4901161e-08,,-1.2591537,0.01,1.0,200.0,3.5044917e-18,1.0,7.9542193
100,1.7763568394002505e-17,58.36197276455857,0.01,0.009999998,100.0,nan,58.36197276455857,1.0,nan,-8.158292607580398,-5.9604645e-08,,-1.3562068,0.01,1.0,200.0,3.5044917e-18,1.0,7.6012073
100,-9.059419880941278e-16,56.55197707789648,0.01,0.009999998,100.0,nan,56.55197707789648,1.0,nan,-8.516234164352156,-5.9604645e-08,,-1.3704463,0.01,1.0,200.0,3.5044917e-18,1.0,7.48241
100,7.283063041541026e-16,65.54356811616434,0.01,0.009999998,100.0,nan,65.54356811616435,1.0,nan,-9.227381865105313,-4.4703484e-08,,-1.2749568,0.01,1.0,200.0,3.5044917e-18,1.0,8.055316
100,-6.572520305780927e-16,66.69626522165397,0.01,0.009999998,100.0,nan,66.69626522165397,1.0,nan,-8.461279269304072,-2.9802322e-08,,-1.3634448,0.01,1.0,200.0,3.5044917e-18,1.0,8.125842
100,-3.730349362740526e-16,58.4041205647527,0.01,0.009999998,100.0,nan,58.4041205647527,1.0,nan,-8.804112093386008,-7.4505806e-08,,-1.3321993,0.01,1.0,200.0,3.5044917e-18,1.0,7.603952
100,3.552713678800501e-16,60.01071853859296,0.01,0.009999998,100.0,nan,60.01071853859297,1.0,nan,-8.44948980908008,2.9802322e-08,,-1.378358,0.01,1.0,200.0,3.5044917e-18,1.0,7.707828
100,1.403321903126198e-15,59.6631735275123,0.01,0.009999998,100.0,nan,59.663173527512306,1.0,nan,-8.46579627959431,5.9604645e-08,,-1.3313694,0.01,1.0,200.0,3.5044917e-18,1.0,7.6854763
100,1.0658141036401502e-16,59.255477212721296,0.01,0.009999998,100.0,nan,59.255477212721296,1.0,nan,-8.205151914265643,-1.3411045e-07,,-1.3968041,0.01,1.0,200.0,3.5044917e-18,1.0,7.6591725
100,-6.394884621840901e-16,51.93323470808641,0.01,0.009999998,100.0,nan,51.93323470808641,1.0,nan,-8.668719544800693,-3.7252903e-08,,-1.3120478,0.01,1.0,200.0,3.5044917e-18,1.0,7.1703486
100,1.723066134218243e-15,60.29141164562215,0.01,0.009999998,100.0,nan,60.291411645622134,1.0,nan,-8.557227106860529,1.4901161e-07,,-1.3245758,0.01,1.0,200.0,3.5044917e-18,1.0,7.725833
100,-1.3322676295501878e-16,57.65511362299673,0.01,0.009999998,100.0,nan,57.65511362299673,1.0,nan,-8.949251993128408,7.450581e-09,,-1.3164307,0.01,1.0,200.0,3.5044917e-18,1.0,7.5550356
100,-7.993605777301127e-16,59.52774957251401,0.01,0.009999998,100.0,nan,59.52774957251401,1.0,nan,-7.418057398334225,5.9604645e-08,,-1.4323933,0.01,1.0,200.0,3.5044917e-18,1.0,7.6767488
100,1.4210854715202004e-16,60.53102319712556,0.01,0.009999998,100.0,nan,60.53102319712556,1.0,nan,-9.48864947772156,4.4703484e-08,,-1.2952081,0.01,1.0,200.0,3.5044917e-18,1.0,7.7411704
