ESSRenyi,VarDiscRet,BatchSize,MinNormIw,AvgEpLen,VarRet,VarNormIw,AvgDiscRet,AvgNormIw,Bound,AvgRet,AvgVanillaIw,eRenyi2,ESSClassic,MaxNormIw,MaxVanillaIw,VarJ,J,VarVanillaIw,MinVanillaIw
20.115913747832444,5688470.842681565,100,2.310575e-25,200.0,5688470.842681565,0.00027943036,4.956746124662459e-13,0.01,2158.82,-2654.305220661724,1.3015534,4.9711885,26.550829962040023,0.054607473,7.107454,129.6202,2606.0588,4.733665,3.0073366e-23
70.6924688397997,3587.638732604735,100,3.616062e-05,200.0,3587.638732604735,4.052584e-05,3.3217872896784686e-15,0.010000003,1.6307569,-14.940993958334015,1.0132625,1.4145778,71.36707755001581,0.018241651,1.8483582,7.8428135,7.6221704,0.4160792,0.0036640204
4.377236048211311,61.57962116389068,100,,200.0,61.57962116389068,0.009046264,4.263256414560601e-16,0.010000002,2.6571794,-8.931212974031823,0.33369532,22.845467,1.1042648371429455,0.9512505,31.742785,2.0533848,5.811676,10.073243,
4.089449851495675,55.034160518434774,100,,200.0,55.034160518434774,0.0018661489,3.375077994860476e-16,0.01,3.3735242,-9.032782358990243,1.2844616,24.453167,5.13482254994543,0.26396698,33.90555,8.558855,6.458809,30.788507,
3.72345468655045,59.12581592320446,100,,200.0,59.12581592320446,0.0018047537,7.105427357601002e-17,0.01,3.7260594,-7.840830831312773,1.1957093,26.85678,5.300241986711672,0.31750745,37.964664,3.3909564,7.0774655,25.802937,
5.977135196019864,53.95202337820573,100,,200.0,53.95202337820572,0.0017319674,1.5720758028692217e-15,0.01,4.0074935,-7.8909654530103115,0.89807326,16.730423,5.510711791946029,0.24189982,21.724377,4.710057,6.5342817,13.968934,
16.723160057430363,47.3137462044107,100,,200.0,47.3137462044107,0.00040026076,-1.8918200339612667e-15,0.01,0.4807979,-8.559316504637014,1.3083955,5.979731,20.15080213965692,0.06319676,8.268637,12.68382,1.8954383,6.85206,
41.77065667695985,52.63994941650922,100,0.003479514,200.0,52.63994941650922,0.00013100664,1.5987211554602254e-16,0.009999999,0.79640204,-7.458508038226097,1.1098967,2.394025,43.535699444455396,0.095352694,10.583163,8.316854,1.740536,1.6138325,0.3861901
93.58327225425852,57.908836930420165,100,0.008583785,200.0,57.908836930420165,4.9557225e-06,-1.438849039914203e-15,0.009999998,-0.6105294,-8.207964472920947,1.0017527,1.068567,95.3233058580617,0.019973245,2.0008252,7.734659,0.05105439,0.049731087,0.85988295
21.953968889387653,54.36300395835877,100,,200.0,54.36300395835878,0.0003054057,2.2382096176443156e-15,0.009999999,0.9424827,-8.187870946314703,1.556395,4.554985,24.853880664475565,0.040939827,6.371855,12.582801,2.2659302,7.398042,
90.29699508687764,51.62075247045538,100,0.00039652246,200.0,51.62075247045538,1.7744456e-05,-6.217248937900876e-16,0.010000002,-0.33806106,-8.158119454894695,1.1194224,1.1074566,85.0578643009724,0.011829235,1.3241911,7.543625,0.29783633,0.22235698,0.044387616
96.42656720322759,49.4823283648112,100,0.0006021734,200.0,49.48232836481121,3.717137e-06,4.618527782440651e-16,0.010000003,-0.4814605,-8.822025670624042,1.122425,1.0370586,96.45060605253244,0.010391578,1.1663766,7.1806817,0.1210134,0.0468299,0.06758944
97.51819760186326,50.73249185117374,100,0.00047937073,200.0,50.73249185117374,1.8685305e-06,-6.394884621840901e-16,0.010000003,-0.52569324,-7.287152449243019,1.1117015,1.0254496,98.18371406107975,0.010194301,1.133302,7.009401,0.08091985,0.023092804,0.053291716
97.65481292856943,49.080716550718996,100,0.00022850675,200.0,49.080716550719,9.742072e-07,1.438849039914203e-15,0.009999996,-0.4690832,-8.41702039856181,1.1178547,1.0240151,99.04480388104425,0.0100986995,1.1288879,6.91701,0.12715553,0.0121736815,0.025543736
53.51756809502112,51.24048464749082,100,0.0003070715,200.0,51.24048464749082,0.009395284,7.993605777301127e-16,0.01,7.003914,-8.302803219782133,23.976885,1.8685453,1.0636791620656885,0.96959984,2324.7983,2.4260223,7.826857,54012.64,0.7362618
97.6414001190282,51.0825309400963,100,0.0007440334,200.0,51.0825309400963,2.6764424e-06,-5.240252676230739e-16,0.009999999,-0.55451214,-8.28897708983901,1.0978875,1.0241557,97.4187240751946,0.010286267,1.1293164,7.1728153,0.053805947,0.032260686,0.0816865
97.7793184687992,57.57382390320461,100,0.0004011915,200.0,57.57382390320461,9.400791e-07,-4.440892098500626e-16,0.010000002,-0.5587084,-8.30877156381667,1.1139882,1.0227112,99.0779075076891,0.010096959,1.1247892,7.5688562,0.08664933,0.011666096,0.04469226
100.0,56.39822018274124,100,0.01,200.0,56.39822018274124,3.5044917e-18,-2.486899575160351e-16,0.009999998,-0.6316032,-9.458922076973815,1.0,1.0,100.0,0.01,1.0,7.472231,-4.4703484e-08,,1.0
100.0,54.63284410326155,100,0.01,200.0,54.63284410326155,3.5044917e-18,-8.970602038971265e-16,0.009999998,-0.6216393,-8.53778666776493,1.0,1.0,100.0,0.01,1.0,7.3543534,-5.9604645e-08,,1.0
100.0,48.32944473151368,100,0.01,200.0,48.32944473151368,3.5044917e-18,-1.6697754290362353e-15,0.009999998,-0.584679,-8.022189390978538,1.0,1.0,100.0,0.01,1.0,6.917091,-5.9604645e-08,,1.0
99.4123624083542,56.370864415234756,100,0.0015565403,200.0,56.370864415234756,7.2739556e-07,5.329070518200751e-17,0.01,-0.6238583,-9.462563917648252,1.0500125,1.0059111,99.28499877215276,0.010085288,1.058968,7.533315,0.009455048,0.008019728,0.16343868
