VarDiscRet,VarNormIw,IterType,J,ESSRenyi,VanillaAvgRet,eRenyi2,Bound,BatchSize,AvgDiscRet,MinVanillaIw,MaxVanillaIw,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,AvgEpLen,AvgNormIw,Delta,VarRet,VarVanillaIw,ESSClassic,MaxNormIw,MinNormIw
4143.16953978,2.29281e-05,1,-114.199,79.9480927834,-124.317717803,1.25081,-142.133,100,-124.317717803,0.0291134,3.10745,25.3384,1.1031,100,-124.317717803,45.33,0.01,0.8,4143.16953978,0.278993,81.5004049742,0.0281703,0.000263925
1597.42809219,1.15263e-05,1,-113.541,92.0176725187,-115.938158203,1.08675,-139.588,100,-115.938158203,0.373472,2.77417,31.7929,1.01357,100,-115.938158203,26.01,0.01,0.8,1597.42809219,0.118413,89.7577381182,0.0273703,0.00368472
6017.08664976,4.23608e-05,1,-111.892,71.5339300202,-128.224893822,1.39794,-141.387,100,-128.224893822,0.0281941,2.7378,21.7441,1.00725,100,-128.224893822,47.42,0.01,0.8,6017.08664976,0.429768,70.453726212,0.0271811,0.000279913
23.8861285026,1.24082e-05,1,-108.009,89.7310627215,-108.822347854,1.11444,-115.326,100,-108.822347854,0.152033,1.57496,3.17811,1.02616,100,-108.822347854,17.19,0.01,0.8,23.8861285026,0.130658,89.059807484,0.0153481,0.00148157
8.65215329216,3.26575e-06,1,-107.3,97.9312186953,-107.447250079,1.02112,-113.24,100,-107.447250079,0.424873,1.19445,2.87037,0.983872,100,-107.447250079,16.54,0.01,0.8,8.65215329216,0.0316126,96.8681432769,0.0121403,0.00431838
9.35717439385,0.00202015,1,-106.738,99.9998569491,-107.473957111,1.0,-112.574,100,-107.473957111,9.77379e-17,5.28871,7.67571,0.136108,100,-107.473957111,15.6,0.01,0.8,9.35717439385,0.374238,4.76203144802,0.388569,7.18093e-18
6.59219457412,8.74039e-07,1,-107.151,98.7976137183,-107.219689699,1.01217,-112.976,100,-107.219689699,0.730113,1.16454,2.52304,0.993773,100,-107.219689699,15.8,0.01,0.8,6.59219457412,0.00863188,99.1421163081,0.0117184,0.00734688
7.14884426781,1.81205e-06,1,-107.044,97.3472815641,-107.194020368,1.02725,-112.895,100,-107.194020368,0.548661,1.23133,2.49362,1.02786,100,-107.194020368,15.49,0.01,0.8,7.14884426781,0.0191441,98.2376999171,0.0119796,0.00533792
5.88884572239,4.34902e-06,1,-107.039,97.2346242377,-107.188929584,1.02844,-112.82,100,-107.188929584,0.517349,1.81648,2.32242,0.993403,100,-107.188929584,15.66,0.01,0.8,5.88884572239,0.0429183,95.872220057,0.0182855,0.00520784
4.61982844512,1.65773e-06,1,-106.786,98.7127672556,-106.85988529,1.01304,-112.45,100,-106.85988529,0.621377,1.41961,2.09369,0.985691,100,-106.85988529,15.55,0.01,0.8,4.61982844512,0.0161063,98.3853669807,0.0144022,0.00630397
7.16191756259,4.28136e-06,1,-107.043,95.8163018913,-107.282986887,1.04366,-112.938,100,-107.282986887,0.462398,1.43721,2.43843,1.01074,100,-107.282986887,15.75,0.01,0.8,7.16191756259,0.0437377,95.9338192145,0.0142195,0.00457487
5.17848727435,9.49492e-07,1,-107.171,99.1149070635,-107.22055965,1.00893,-112.835,100,-107.22055965,0.736312,1.1675,2.27536,0.995083,100,-107.22055965,15.15,0.01,0.8,5.17848727435,0.00940178,99.0687617526,0.0117327,0.00739951
5.44040400893,2.49228e-06,1,-107.114,98.1316907176,-107.230915063,1.01904,-112.916,100,-107.230915063,0.464261,1.22273,2.22518,0.987443,100,-107.230915063,15.68,0.01,0.8,5.44040400893,0.0243008,97.5920297687,0.0123828,0.00470165
5.81482478968,2.54086e-06,1,-107.136,97.7200198175,-107.266156405,1.02333,-112.953,100,-107.266156405,0.406113,1.27159,2.29016,0.992867,100,-107.266156405,15.53,0.01,0.8,5.81482478968,0.0250475,97.5462592061,0.0128073,0.00409031
6.24682879921,3.79923e-06,1,-106.968,96.9230547036,-107.133706115,1.03175,-112.764,100,-107.133706115,0.346338,1.66971,2.47788,0.999141,100,-107.133706115,15.6,0.01,0.8,6.24682879921,0.037927,96.3750865089,0.0167115,0.00346636
4.285910631,1.53441e-06,1,-107.162,98.4890401314,-107.249871585,1.01534,-112.852,100,-107.249871585,0.628863,1.27944,2.02803,1.0129,100,-107.249871585,15.32,0.01,0.8,4.285910631,0.0157426,98.503667587,0.0126314,0.00620852
4.58714667394,4.83114e-07,1,-106.986,99.4875953724,-107.014940498,1.00515,-112.635,100,-107.014940498,0.812792,1.13016,2.1134,0.999202,100,-107.014940498,15.29,0.01,0.8,4.58714667394,0.00482344,99.524003471,0.0113106,0.00813441
5.20164457509,2.66071e-06,1,-107.265,97.8985432403,-107.38546859,1.02147,-113.031,100,-107.38546859,0.599015,1.567,2.20969,0.991169,100,-107.38546859,15.61,0.01,0.8,5.20164457509,0.0261392,97.433462676,0.0158096,0.00604352
5.37076572079,1.68232e-06,1,-107.105,98.3686620252,-107.197656824,1.01658,-112.845,100,-107.197656824,0.63085,1.5013,2.34659,1.00226,100,-107.197656824,15.53,0.01,0.8,5.37076572079,0.0168993,98.3617862839,0.0149792,0.00629428
