Bound,MaxNormIw,delta,MaxVanillaIw,ESSRenyi,BatchSize,AvgRet,EpsThisIter,MinVanillaIw,VanillaAvgRet,VarJ,AvgNormIw,renyi2,AvgDiscRet,MinNormIw,VarDiscRet,ESSClassic,J,SamplesThisIter,AvgVanillaIw,VarVanillaIw,AvgEpLen,VarRet,VarNormIw,IterType
610.502,0.0454545,0.7,1.98022e+24,nan,100,50.2912327389,8292,,50.2912327389,9326.42,6.6999e-07,nan,50.2912327389,,4319.06122459,22.0000045779,91989.2,50000,2.9188e+19,inf,6.02990834539,4319.06122459,3.04536e-08,1
nan,0.0483674,0.7,5.29075e+17,nan,100,59.2467644611,7220,,59.2467644611,nan,7.69468e-07,nan,59.2467644611,,30430.6708501,10.8119426932,nan,50000,8.41695e+12,2.86862e+30,6.92520775623,30430.6708501,2.39742e-08,1
2083.65,0.0210593,0.7,2.36132e+17,nan,100,86.7351496827,5170,,86.7351496827,446070.0,1.07458e-06,nan,86.7351496827,,88689.5550488,17.8718228475,407700.0,50000,1.20489e+13,1.6225e+30,9.67117988395,88689.5550488,1.29052e-08,1
4505.72,0.0804951,0.7,2.76081e+12,nan,100,243.798650872,1972,,243.798650872,49660.8,2.81722e-06,nan,243.798650872,,599972.531998,11.9968224933,582184.0,50000,9.66246e+07,2.57747e+20,25.354969574,599972.531998,2.19109e-07,1
4367.67,0.0479508,0.7,1.06895e+12,nan,100,259.840088838,1854,,259.840088838,30590.1,2.99652e-06,nan,259.840088838,,587466.224954,9.64242667131,592067.0,50000,6.68006e+07,5.113e+19,26.9687162891,587466.224954,1.02885e-07,1
4168.72,0.0546694,0.7,7.3676e+12,nan,100,191.877075964,2478,,191.877075964,37456.8,2.24195e-06,nan,191.877075964,,364316.800515,10.4831391039,341865.0,50000,3.0214e+08,1.67158e+21,20.1775625504,364316.800515,9.20372e-08,1
nan,0.0980528,0.7,1.26946e+11,nan,100,393.708007916,1240,,393.708007916,nan,4.48029e-06,nan,393.708007916,,1167271.98249,10.0000017543,nan,50000,5.80047e+06,7.21992e+17,40.3225806452,1167271.98249,4.30743e-07,1
4554.02,0.012526,0.7,3.02931e+08,nan,100,509.333093752,964,,509.333093752,34663.2,5.76302e-06,nan,509.333093752,,1395376.19406,18.0962926598,627543.0,50000,139374.0,2.15824e+13,51.867219917,1395376.19406,3.69007e-08,1
4594.89,0.0230947,0.7,501886.0,nan,100,1205.17032047,412,,1205.17032047,18040.5,1.34844e-05,nan,1205.17032047,,3206675.80967,11.7755635716,796732.0,50000,293.038,6.30075e+07,121.359223301,3206675.80967,1.33415e-07,1
4561.45,0.0332004,0.7,1.61308e+06,nan,100,1254.26460589,396,,1254.26460589,13645.9,1.40292e-05,nan,1254.26460589,,2816614.95122,12.1091888381,799448.0,50000,681.624,5.05338e+08,126.262626263,2816614.95122,2.1407e-07,1
