IterType,BatchSize,MinVanillaIw,AvgVanillaIw,VarJ,MinNormIw,Delta,AvgRet,AvgEpLen,eRenyi2,MaxNormIw,MaxVanillaIw,VarRet,EpsThisIter,VanillaAvgRet,ESSClassic,VarNormIw,Bound,J,VarVanillaIw,AvgDiscRet,AvgNormIw,ESSRenyi,VarDiscRet
1,100,1.7895858e-25,3.5198038,1900.8507,5.084334e-28,0.9,132.93902769122084,14.3,58.800793,0.67391944,237.20642,42196.53670637394,100,132.93902769122084,2.0025391076878187,0.004943091,925.5599,1331.9506,612.4004,132.93902769122084,0.01,1.7006573452205829,42196.53670637394
,200,0.0042157373,5.599598e+22,1.7508708,7.528643e-28,0.9,132.93902769122084,14.3,2.3069292e-06,0.99790835,5.5878854e+24,42196.53670637394,100,132.93902769122084,,0.009957834,-inf,199.75633,inf,703.2725108165458,0.01,86695334.39156505,705998.7869155904
1,200,7.197771e-20,2.8830545,1842.8329,1.2482891e-22,0.9,120.74666381460122,13.08,103.99922,0.89485383,515.9825,54806.66906156604,100,120.74666381460122,1.2461906909618037,0.004007262,1412.387,1902.7101,1332.3351,120.74666381460122,0.005,1.9230913129449934,54806.66906156604
2,200,1.0,1.0,1309.1973,0.01,0.9,1030.4950600381203,104.0,1.0,0.01,1.0,1731310.7612414628,100,1030.4950600381203,100.0,3.5044917e-18,863.8288,1030.495,,1030.4950600381203,0.009999998,200.0,1731310.7612414628
,300,0.0019380504,7.858124e+16,198.08072,1.2331509e-22,0.9,120.74666381460122,13.08,1.07111596e-07,0.88400173,1.3893189e+19,54806.66906156604,100,120.74666381460122,1.2597270350072316,0.003963933,-inf,761.2503,9.790928e+35,1121.4654468419312,0.005,2800817195.328969,1787445.460704641
1,300,1.0555209e-24,2.3576484,2968.8557,1.4923359e-27,0.9,85.34677596230473,9.54,109.56949,0.8551847,604.86743,7228.761534774716,100,85.34677596230473,1.3618109850150386,0.0024447583,1439.5282,1850.4569,1223.0284,85.34677596230473,0.0033333332,2.737988504258471,7228.761534774716
2,300,1.0,1.0,1317.5216,0.01,0.9,1052.866609380075,106.25,1.0,0.01,1.0,1753397.054911258,100,1052.866609380075,100.0,3.5044917e-18,886.2042,1052.8666,,1052.866609380075,0.009999998,300.0,1753397.054911258
2,300,1.0,1.0,1348.1738,0.005,0.9,1186.8822484917148,119.63,1.0,0.005,1.0,1909396.082906734,100,1186.8822484917148,200.00000010221265,2.179301e-19,1002.0233,1119.8744,,1186.8822484917148,0.0049999994,300.0,1909396.082906734
,400,0.001653255,3.1580327e+21,0.07603279,1.7450262e-27,0.9,85.34677596230473,9.54,1.3713814e-08,0.99998915,9.473995e+23,7228.761534774716,100,85.34677596230473,,0.003333261,-inf,499.82068,inf,1176.9850377827495,0.0033333334,29167669733.627678,2153868.96007613
1,400,5.120209e-35,2.6712043,2878.5552,4.7920417e-38,0.9,123.43134276403354,13.35,189.03242,0.84955,907.72864,24560.149254394357,100,123.43134276403354,1.3775173402402345,0.001813142,1412.6602,1880.0942,2069.979,123.43134276403354,0.0025,2.1160390877648814,24560.149254394357
2,400,1.0,1.0,1298.613,0.01,0.9,1218.8820709712897,122.83,1.0,0.01,1.0,1703430.1643857758,100,1218.8820709712897,100.0,3.5044917e-18,1052.2156,1218.8821,,1218.8820709712897,0.009999998,400.0,1703430.1643857758
2,400,1.0,1.0,1225.1393,0.005,0.9,1193.6252872656141,120.34,1.0,0.005,1.0,1328503.0447297548,100,1193.6252872656141,200.00000010221265,2.179301e-19,1088.4026,1206.2537,,1193.6252872656141,0.0049999994,400.0,1328503.0447297548
2,400,1.0,1.0,1346.6038,0.0033333334,0.9,1492.8769850819685,150.19,1.0,0.0033333334,1.0,2407397.3357065627,100,1492.8769850819685,299.999969473632,5.4391416e-20,1205.5697,1301.7948,,1492.8769850819685,0.0033333336,400.0,2407397.3357065627
,500,0.0011016508,4.8869956e+31,88.61107,5.635624e-38,0.9,123.43134276403354,13.35,6.7565225e-09,0.99910325,1.9530453e+34,24560.149254394357,100,123.43134276403354,,0.0024955084,-inf,4996.5,inf,1521.6958389946653,0.0025,74002566187.74713,2834233.8942829715
1,500,1.4298276e-33,2.134902,3648.2551,1.3394784e-36,0.9,93.24602059462809,10.33,160.79765,0.8183295,873.5267,7037.515737409423,100,93.24602059462809,1.4792251845292603,0.0013507607,1463.2665,1848.8666,1539.1265,93.24602059462809,0.002,3.109498118007769,7037.515737409423
2,500,1.0,1.0,1702.679,0.01,0.9,1573.688089095775,158.27,1.0,0.01,1.0,2928399.753246741,100,1573.688089095775,100.0,3.5044917e-18,1407.0214,1573.688,,1573.688089095775,0.009999998,500.0,2928399.753246741
2,500,1.0,1.0,1626.7778,0.005,0.9,1373.6090662476934,138.27,1.0,0.005,1.0,2397657.216302378,100,1373.6090662476934,200.00000010221265,2.179301e-19,1355.7974,1473.6486,,1373.6090662476934,0.0049999994,500.0,2397657.216302378
2,500,1.0,1.0,1580.884,0.0033333334,0.9,1246.7273257258041,125.59,1.0,0.0033333334,1.0,2192366.6048536077,100,1246.7273257258041,299.999969473632,5.4391416e-20,1301.7832,1398.0083,,1246.7273257258041,0.0033333336,500.0,2192366.6048536077
2,500,1.0,1.0,1525.6136,0.0025,0.9,1253.6904598021433,126.32,1.0,0.0025,1.0,1814933.7847936184,100,1253.6904598021433,400.0,5.434597e-20,1278.5953,1361.9287,,1253.6904598021433,0.0024999997,500.0,1814933.7847936184
1,500,,1.6245301,895.01776,,0.9,1161.857829345237,117.15,35.13002,0.10612175,86.19898,1864757.956787721,100,1161.857829345237,17.00273362635335,0.000113855844,4454.1284,4895.9053,75.11919,1161.857829345237,0.002,14.232841256128161,1864757.956787721
2,500,1.0,1.0,867.7645,0.01,0.9,4742.115566704068,474.33,1.0,0.01,1.0,760621.4852045549,100,4742.115566704068,100.0,3.5044917e-18,4575.4487,4742.115,,4742.115566704068,0.009999998,500.0,760621.4852045549
2,500,1.0,1.0,940.4463,0.005,0.9,4678.916778133281,468.03,1.0,0.005,1.0,1024107.0543302195,100,4678.916778133281,200.00000010221265,2.179301e-19,4592.665,4710.516,,4678.916778133281,0.0049999994,500.0,1024107.0543302195
2,500,1.0,1.0,953.10944,0.0033333334,0.9,4697.174478862103,469.85,1.0,0.0033333334,1.0,965914.7876548279,100,4697.174478862103,299.999969473632,5.4391416e-20,4609.8438,4706.069,,4697.174478862103,0.0033333336,500.0,965914.7876548279
2,500,1.0,1.0,985.31335,0.0025,0.9,4648.676342457993,465.0,1.0,0.0025,1.0,1167319.6641653136,100,4648.676342457993,400.0,5.434597e-20,4608.387,4691.7207,,4648.676342457993,0.0024999997,500.0,1167319.6641653136
1,500,1.012174e-05,1.0236324,84.040825,1.9776124e-08,0.9,4679.590547906533,468.11,2.0439954,0.008728551,4.4674134,1036356.1148222361,100,4679.590547906533,239.17989242132776,4.3706486e-06,4877.894,4984.4565,1.1449168,4679.590547906533,0.002,244.61894816110507,1036356.1148222361
2,500,1.0,1.0,430.16382,0.01,0.9,4949.972766603777,495.03,1.0,0.01,1.0,186910.02955424463,100,4949.972766603777,100.0,3.5044917e-18,4783.3066,4949.973,,4949.972766603777,0.009999998,500.0,186910.02955424463
2,500,1.0,1.0,329.8625,0.005,0.9,4979.054465274234,497.94,1.0,0.005,1.0,32479.507361594362,100,4979.054465274234,200.00000010221265,2.179301e-19,4846.6626,4964.5137,,4979.054465274234,0.0049999994,500.0,32479.507361594362
2,500,1.0,1.0,269.90012,0.0033333334,0.9,4998.6531387463765,499.89,1.0,0.0033333334,1.0,144.14938036872988,100,4998.6531387463765,299.999969473632,5.4391416e-20,4879.668,4975.893,,4998.6531387463765,0.0033333336,500.0,144.14938036872988
2,500,1.0,1.0,271.10886,0.0025,0.9,4972.263323313323,497.25,1.0,0.0025,1.0,76214.09582920403,100,4972.263323313323,400.0,5.434597e-20,4891.6523,4974.986,,4972.263323313323,0.0024999997,500.0,76214.09582920403
1,500,0.13024981,1.0063757,42.392506,0.0002588493,0.9,4999.869543000375,500.0,1.1128515,0.0031411925,1.5806098,0.023641248644894693,100,4999.869543000375,442.8805116417005,5.1692496e-07,4917.4414,4996.0703,0.13088438,4999.869543000375,0.002,449.29624462053874,0.023641248644894693
2,500,1.0,1.0,0.27418628,0.01,0.9,4999.8477949700655,500.0,1.0,0.01,1.0,0.0759442137511882,100,4999.8477949700655,100.0,3.5044917e-18,4833.181,4999.8477,,4999.8477949700655,0.009999998,500.0,0.0759442137511882
2,500,1.0,1.0,0.24297614,0.005,0.9,4999.8482786872455,500.0,1.0,0.005,1.0,0.04333242754301038,100,4999.8482786872455,200.00000010221265,2.179301e-19,4881.9966,4999.8477,,4999.8482786872455,0.0049999994,500.0,0.04333242754301038
2,500,1.0,1.0,0.21845259,0.0033333334,0.9,4999.873471629452,500.0,1.0,0.0033333334,1.0,0.024906731845821803,100,4999.873471629452,299.999969473632,5.4391416e-20,4903.6313,4999.8564,,4999.873471629452,0.0033333336,500.0,0.024906731845821803
2,500,1.0,1.0,0.20712566,0.0025,0.9,4999.829369368189,500.0,1.0,0.0025,1.0,0.028167996155484442,100,4999.829369368189,400.0,5.434597e-20,4916.516,4999.8496,,4999.829369368189,0.0024999997,500.0,0.028167996155484442
1,500,1.0,1.0,0.26527908,0.002,0.9,4999.8057757210545,500.0,1.0,0.002,1.0,0.18052459931953904,100,4999.8057757210545,500.00000664260017,5.431875e-20,4925.306,4999.842,,4999.8057757210545,0.0020000003,500.0,0.18052459931953904
2,500,1.0,1.0,0.21877633,0.01,0.9,4999.82068848953,500.0,1.0,0.01,1.0,0.04833772109858286,100,4999.82068848953,100.0,3.5044917e-18,4833.1543,4999.821,,4999.82068848953,0.009999998,500.0,0.04833772109858286
2,500,1.0,1.0,352.65726,0.005,0.9,4949.863604381384,495.01,1.0,0.005,1.0,249986.279525843,100,4949.863604381384,200.00000010221265,2.179301e-19,4856.9907,4974.842,,4949.863604381384,0.0049999994,500.0,249986.279525843
2,500,1.0,1.0,288.18472,0.0033333334,0.9,4999.849015640063,500.0,1.0,0.0033333334,1.0,0.044230415514955566,100,4999.849015640063,299.999969473632,5.4391416e-20,4886.9526,4983.1777,,4999.849015640063,0.0033333336,500.0,0.044230415514955566
2,500,1.0,1.0,249.67972,0.0025,0.9,4999.850116963732,500.0,1.0,0.0025,1.0,0.02461519873328425,100,4999.850116963732,400.0,5.434597e-20,4904.012,4987.3457,,4999.850116963732,0.0024999997,500.0,0.02461519873328425
1,500,0.00022264327,0.8885631,4.3888435,5.01131e-07,0.9,4999.872405879139,500.0,1.0000066,0.05797904,25.759018,0.029174850072783268,100,4999.872405879139,55.80772500876943,3.1901134e-05,4924.929,4999.465,6.29684,4999.872405879139,0.002,499.99672176603116,0.029174850072783268
2,500,1.0,1.0,858.6168,0.01,0.9,4751.548417973964,475.3,1.0,0.01,1.0,744669.5503216715,100,4751.548417973964,100.0,3.5044917e-18,4584.882,4751.5483,,4751.548417973964,0.009999998,500.0,744669.5503216715
2,500,1.0,1.0,943.60864,0.005,0.9,4634.934027452499,463.66,1.0,0.005,1.0,1047244.7714423575,100,4634.934027452499,200.00000010221265,2.179301e-19,4575.39,4693.241,,4634.934027452499,0.0049999994,500.0,1047244.7714423575
2,500,1.0,1.0,1008.4689,0.0033333334,0.9,4615.82650176963,461.74,1.0,0.0033333334,1.0,1279029.054436586,100,4615.82650176963,299.999969473632,5.4391416e-20,4571.2114,4667.4365,,4615.82650176963,0.0033333336,500.0,1279029.054436586
2,500,1.0,1.0,963.5847,0.0025,0.9,4826.941151657591,482.8,1.0,0.0025,1.0,650375.3559381607,100,4826.941151657591,400.0,5.434597e-20,4623.979,4707.3125,,4826.941151657591,0.0024999997,500.0,650375.3559381607
1,500,3.8655373e-05,0.99531543,53.963577,7.767462e-08,0.9,4713.201010519168,471.46,1.8789425,0.007076026,3.5214388,815989.696223228,100,4713.201010519168,270.4498395509215,3.40189e-06,4886.057,4988.2266,0.8425229,4713.201010519168,0.002,266.1071335398084,815989.696223228
2,500,1.0,1.0,0.2461328,0.01,0.9,4999.793647749951,500.0,1.0,0.01,1.0,0.06119039208707277,100,4999.793647749951,100.0,3.5044917e-18,4833.127,4999.7935,,4999.793647749951,0.009999998,500.0,0.06119039208707277
2,500,1.0,1.0,276.53845,0.005,0.9,4960.587264140317,496.09,1.0,0.005,1.0,153715.58022801782,100,4960.587264140317,200.00000010221265,2.179301e-19,4862.3394,4980.1904,,4960.587264140317,0.0049999994,500.0,153715.58022801782
2,500,1.0,1.0,225.98053,0.0033333334,0.9,4999.724970251833,500.0,1.0,0.0033333334,1.0,0.15342748216519145,100,4999.724970251833,299.999969473632,5.4391416e-20,4890.477,4986.702,,4999.724970251833,0.0033333336,500.0,0.15342748216519145
2,500,1.0,1.0,195.78725,0.0025,0.9,4999.816514487305,500.0,1.0,0.0025,1.0,0.04132497781983172,100,4999.816514487305,400.0,5.434597e-20,4906.6475,4989.981,,4999.816514487305,0.0024999997,500.0,0.04132497781983172
1,500,0.20095782,0.9977308,39.446053,0.00040282976,0.9,4985.554172982043,498.6,1.0607654,0.0027674807,1.3806003,17262.106740791827,100,4985.554172982043,470.293022589634,2.5317385e-07,4920.6274,4997.394,0.06300653,4985.554172982043,0.002,471.3577637189837,17262.106740791827
2,500,1.0,1.0,0.31627136,0.01,0.9,4999.757833234647,500.0,1.0,0.01,1.0,0.10103574926420052,100,4999.757833234647,100.0,3.5044917e-18,4833.091,4999.7573,,4999.757833234647,0.009999998,500.0,0.10103574926420052
2,500,1.0,1.0,0.27719587,0.005,0.9,4999.774146643481,500.0,1.0,0.005,1.0,0.05406213766179051,100,4999.774146643481,200.00000010221265,2.179301e-19,4881.9146,4999.7656,,4999.774146643481,0.0049999994,500.0,0.05406213766179051
