ESSClassic,delta,Bound,AvgRet,MaxVanillaIw,AvgVanillaIw,EpsThisIter,VarVanillaIw,ESSRenyi,BatchSize,VarNormIw,AvgEpLen,IterType,J,renyi2,AvgDiscRet,VarRet,MaxNormIw,VarJ,MinVanillaIw,VarDiscRet,SamplesThisIter,MinNormIw,AvgNormIw,VanillaAvgRet
2.38367174215,0.6,5.15402,-193.631997185,176.525,9.08078,100,361.484,nan,100,1.28085e-08,500.0,1,19566.9,nan,-193.631997185,71720.2235074,0.00105078,393.691,2.58781e-13,71720.2235074,50000,1.54041e-18,5.4054e-05,-193.631997185
17.179419128,0.6,nan,-241.830772285,24243.6,56.6351,100,505690.0,nan,100,4.60648e-07,500.0,1,nan,nan,-241.830772285,50789.3899489,0.0231388,nan,,50789.3899489,50000,,5.4054e-05,-241.830772285
9.5954054163,0.6,nan,-189.632358921,1.49463e+17,9.73807e+13,100,1.25755e+31,nan,100,3.87469e-06,500.0,1,nan,nan,-189.632358921,28491.7798041,0.0829636,nan,,28491.7798041,50000,,5.40541e-05,-189.632358921
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
nan,0.6,nan,nan,nan,nan,100,nan,nan,100,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,nan,50000,nan,nan,nan
