MinVanillaIw,EpsThisIter,eRenyi2,J,BatchSize,Bound,MinNormIw,VarRet,ESSClassic,VarJ,AvgEpLen,MaxVanillaIw,VarDiscRet,ESSRenyi,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,IterType,AvgNormIw,AvgDiscRet,Delta,AvgRet,VarNormIw,MaxNormIw
0.326209,100,1.04386,-116.108,100,-192.295,0.00328825,1735.98398748,95.2619358963,27.0683,46.09,1.54954,1735.98398748,95.7984769055,0.992042,0.0494432,-119.975974872,1,0.01,-119.975974872,0.2,-119.975974872,5.02396e-06,0.0156197
0.717095,100,1.02004,-115.833,100,-215.097,0.00690067,3054.70491619,95.4408688403,43.3205,40.07,2.7585,3054.70491619,98.0356083745,1.03917,0.0521055,-118.042330583,1,0.01,-118.042330583,0.2,-118.042330583,4.82516e-06,0.0265453
0.529734,100,1.04836,-119.331,100,-217.958,0.00541743,3674.78095051,96.1488431714,41.9375,45.85,1.41356,3674.78095051,95.3874396083,0.977832,0.0386846,-124.075496978,1,0.01,-124.075496978,0.2,-124.075496978,4.04585e-06,0.014456
0.309336,100,1.02837,-111.38,100,-159.083,0.00309661,375.356027315,97.0216137682,15.1764,27.96,1.32682,375.356027315,97.2412856944,0.998949,0.0309433,-112.880571739,1,0.01,-112.880571739,0.2,-112.880571739,3.10085e-06,0.0132821
0.698388,100,1.00928,-109.88,100,-160.438,0.00702093,253.554586781,99.1889659345,12.5447,28.38,1.14981,253.554586781,99.080933854,0.994723,0.00817213,-110.395174343,1,0.01,-110.395174343,0.2,-110.395174343,8.25907e-07,0.0115591
0.330004,100,1.02262,-110.943,100,-176.977,0.00332205,589.445053706,97.010130984,11.8652,23.15,1.36296,589.445053706,97.7880952206,0.993376,0.0307205,-112.941567418,1,0.01,-112.941567418,0.2,-112.941567418,3.11316e-06,0.0137205
0.327426,100,1.02191,-111.034,100,-211.287,0.00332606,1579.14005588,97.3466331782,18.1011,23.94,1.26128,1579.14005588,97.8559801559,0.984427,0.0266814,-113.899522605,1,0.01,-113.899522605,0.2,-113.899522605,2.75322e-06,0.0128124
0.509185,100,1.01264,-108.144,100,-133.786,0.00511569,20.8143505565,98.5620188824,3.90067,17.95,1.22866,20.8143505565,98.7519752201,0.99534,0.0145997,-108.483747201,1,0.01,-108.483747201,0.2,-108.483747201,1.47368e-06,0.0123442
0.835403,100,1.00536,-111.315,100,-210.599,0.00831286,1511.05522472,99.6254284724,34.0828,22.9,1.15737,1511.05522472,99.4667389807,1.00495,0.00383583,-111.85964579,1,0.01,-111.85964579,0.2,-111.85964579,3.79812e-07,0.0115166
0.675861,100,1.00491,-107.539,100,-133.451,0.00677337,18.6728592598,99.4246895133,4.02871,17.45,1.09746,18.6728592598,99.5109158101,0.997821,0.00581947,-107.672618082,1,0.01,-107.672618082,0.2,-107.672618082,5.84491e-07,0.0109985
