AvgEpLen,VarVanillaIw,AvgRet,Delta,BatchSize,AvgNormIw,MinNormIw,MaxVanillaIw,VarNormIw,ESSRenyi,MinVanillaIw,VarRet,VarDiscRet,EpsThisIter,VarJ,VanillaAvgRet,AvgVanillaIw,eRenyi2,IterType,J,ESSClassic,AvgDiscRet,MaxNormIw,Bound
500.0,0.616489,-1456.20757465,0.2,100,0.01,2.54896e-05,2.60129,5.74148e-05,65.6955735216,0.00264127,164610.525753,164610.525753,100,220.894,-1456.20757465,1.03622,1.52217,1,-1223.49,63.7589683068,-1456.20757465,0.0251037,-1708.8
500.0,0.0966223,-1199.93645253,0.2,100,0.01,0.000692304,2.01805,9.83906e-06,91.3995030267,0.0686055,51281.7868233,51281.7868233,100,181.378,-1199.93645253,0.990973,1.0941,1,-1156.68,91.1239168425,-1199.93645253,0.0203643,-1566.77
500.0,0.0983242,-1215.04004294,0.2,100,0.01,0.00158434,1.6069,9.62598e-06,91.2589151311,0.160124,50696.5388803,50696.5388803,100,115.829,-1215.04004294,1.01067,1.09578,1,-1171.84,91.2994323919,-1215.04004294,0.0158994,-1582.44
500.0,0.00330095,-1142.75034249,0.2,100,0.01,0.00834923,1.18033,3.2503e-07,99.6349359285,0.841404,4563.35229741,4563.35229741,100,57.2689,-1142.75034249,1.00776,1.00366,1,-1141.41,99.6792527558,-1142.75034249,0.0117123,-1492.08
500.0,0.023579,-1150.30016211,0.2,100,0.01,0.00299371,1.28404,2.30072e-06,97.6661939723,0.303068,18163.7166387,18163.7166387,100,77.4187,-1150.30016211,1.01235,1.0239,1,-1138.17,97.7730151115,-1150.30016211,0.0126838,-1534.56
500.0,0.0101526,-1147.27931781,0.2,100,0.01,0.00642711,1.17127,1.00478e-06,98.9088391422,0.646056,9003.80093871,9003.80093871,100,62.753,-1147.27931781,1.0052,1.01103,1,-1142.49,99.0150927308,-1147.27931781,0.0116521,-1536.43
500.0,0.00627676,-1135.80674941,0.2,100,0.01,0.00874365,1.35437,6.32341e-07,99.4026791749,0.871133,2422.26897961,2422.26897961,100,54.8164,-1135.80674941,0.996304,1.00601,1,-1134.12,99.377904157,-1135.80674941,0.0135939,-1430.21
500.0,0.0227315,-1133.09048714,0.2,100,0.01,0.00527069,1.68806,2.32273e-06,97.6544832476,0.521414,20857.1853384,20857.1853384,100,139.778,-1133.09048714,0.98927,1.02402,1,-1123.6,97.7522103389,-1133.09048714,0.0170637,-1520.11
500.0,0.00644619,-1132.15824048,0.2,100,0.01,0.0089072,1.35185,6.34664e-07,99.6350187669,0.897678,3227.64727951,3227.64727951,100,59.1503,-1132.15824048,1.00781,1.00366,1,-1131.12,99.3756035277,-1132.15824048,0.0134137,-1431.78
500.0,0.0115583,-1143.76753476,0.2,100,0.01,0.0052949,1.14797,1.1707e-06,99.0544691606,0.526118,9001.95386707,9001.95386707,100,64.095,-1143.76753476,0.993631,1.00955,1,-1139.44,98.8542831084,-1143.76753476,0.0115533,-1524.54
