eRenyi2,VarDiscRet,AvgRet,Bound,MinNormIw,VanillaAvgRet,ESSRenyi,AvgNormIw,ESSClassic,MinVanillaIw,Delta,AvgEpLen,IterType,AvgDiscRet,VarNormIw,EpsThisIter,AvgVanillaIw,MaxNormIw,VarRet,J,VarJ,VarVanillaIw,MaxVanillaIw,BatchSize
4.90179,9329.5350167,142.343569244,271.192,2.66385e-05,142.343569244,20.4007280304,0.01,1.96248791826,0.0103414,0.5,15.55,1,142.343569244,0.00504603,100,3.88214,0.709902,9329.5350167,392.577,357.668,760.489,275.594,100
8.0057,8968.69489214,142.343569244,40.1702,5.62239e-06,142.343569244,24.9821909068,0.01,17.2404952838,0.00362852,0.5,15.55,,195.549716552,0.000484879,100,6.4537,0.149834,9329.5350167,186.734,137.573,201.953,96.6984,200
8.3537,6253.28602067,129.836879794,288.644,6.53337e-07,129.836879794,23.941487911,0.005,1.69059780772,0.000494997,0.5,14.22,1,129.836879794,0.00294727,100,3.78822,0.767174,6253.28602067,400.693,442.544,1691.81,581.244,200
1.0,16563.4305668,242.541201096,168.399,0.01,242.541201096,200.0,0.01,100.0,1.0,0.5,26.28,2,242.541201096,3.50449e-18,100,1.0,0.01,16563.4305668,242.541,128.054,,1.0,200
46.3908,9679.10412558,129.836879794,-61.9337,2.42501e-07,129.836879794,6.46680044878,0.005,8.86722051814,0.00172045,0.5,14.22,,226.998851349,0.000541582,100,35.473,0.284753,6253.28602067,295.146,602.87,27259.7,2020.21,300
7.81334,13023.0464874,137.968281307,243.452,9.22169e-07,137.968281307,38.3958871593,0.00333333,2.14785171457,0.000730833,0.5,15.09,1,137.968281307,0.00154598,100,2.64172,0.680646,13023.0464874,379.997,720.036,971.0,539.422,300
1.0,20440.3652151,243.663066809,148.866,0.01,243.663066809,300.0,0.01,100.0,1.0,0.5,26.43,2,243.663066809,3.50449e-18,100,1.0,0.01,20440.3652151,243.663,142.253,,1.0,300
1.0,6955.90256509,227.05270503,168.326,0.005,227.05270503,300.0,0.005,200.000000102,1.0,0.5,24.62,2,227.05270503,2.1793e-19,100,1.0,0.005,6955.90256509,235.358,116.748,,1.0,300
8.45597,16566.3674279,260.909433305,307.337,9.33866e-10,260.909433305,35.4779019311,0.00333333,3.41331270265,5.92318e-07,0.5,28.26,1,260.909433305,0.000968686,100,2.11421,0.537727,16566.3674279,466.491,790.462,389.694,341.061,300
1.0,8852.25975898,304.009291032,235.234,0.01,304.009291032,300.0,0.01,100.0,1.0,0.5,32.85,2,304.009291032,3.50449e-18,100,1.0,0.01,8852.25975898,304.009,93.6148,,1.0,300
1.0,10146.8485877,309.077128193,257.912,0.005,309.077128193,300.0,0.005,200.000000102,1.0,0.5,33.4,2,309.077128193,2.1793e-19,100,1.0,0.005,10146.8485877,306.543,97.0102,,1.0,300
0.000467094,7667.43523841,260.909433305,-inf,1.46743e-09,260.909433305,856357.910685,0.00333333,1.38651013165,0.00293203,0.5,28.26,,308.521614416,0.00240101,100,6660.22,0.844959,16566.3674279,280.241,144.181,9.58547e+09,1.68828e+06,400
9.64071,11682.5473197,242.186582668,307.536,7.43671e-10,242.186582668,41.4907288198,0.0025,3.93477471584,5.90883e-07,0.5,26.23,1,242.186582668,0.000630687,100,1.98637,0.500364,11682.5473197,454.706,958.98,398.159,397.564,400
1.0,12463.0384234,329.498670795,254.334,0.01,329.498670795,400.0,0.01,100.0,1.0,0.5,35.57,2,329.498670795,3.50449e-18,100,1.0,0.01,12463.0384234,329.499,111.078,,1.0,400
1.0,15001.4436832,332.831725024,277.558,0.005,332.831725024,400.0,0.005,200.000000102,1.0,0.5,35.94,2,332.831725024,2.1793e-19,100,1.0,0.005,15001.4436832,331.165,116.609,,1.0,400
1.0,14492.6553151,303.061765405,275.134,0.00333333,303.061765405,400.0,0.00333333,299.999969474,1.0,0.5,32.77,2,303.061765405,5.43914e-20,100,1.0,0.00333333,14492.6553151,321.797,118.42,,1.0,400
23.3597,15269.8707986,321.313426015,482.155,2.41995e-13,321.313426015,17.1235305001,0.0025,1.71385373612,2.55156e-10,0.5,34.73,1,321.313426015,0.00145609,100,2.63596,0.76311,15269.8707986,677.474,1275.34,1618.78,804.612,400
1.0,13409.4662726,362.459815984,281.413,0.01,362.459815984,400.0,0.01,100.0,1.0,0.5,39.12,2,362.459815984,3.50449e-18,100,1.0,0.01,13409.4662726,362.46,115.219,,1.0,400
1.0,10396.6787347,374.682792251,311.263,0.005,374.682792251,400.0,0.005,200.000000102,1.0,0.5,40.43,2,374.682792251,2.1793e-19,100,1.0,0.005,10396.6787347,368.571,108.726,,1.0,400
1.0,19503.4133957,391.24046461,326.85,0.00333333,391.24046461,400.0,0.00333333,299.999969474,1.0,0.5,42.2,2,391.24046461,5.43914e-20,100,1.0,0.00333333,19503.4133957,376.128,120.13,,1.0,400
6.86717,13890.3517269,321.313426015,254.617,1.69224e-13,321.313426015,72.8102287728,0.0025,2.78114763689,0.00124283,0.5,34.73,,374.035526373,0.000894897,100,1.83607e+07,0.533634,15269.8707986,366.45,242.006,4.82696e+16,3.91917e+09,500
