MinNormIw,VarDiscRet,MaxNormIw,VanillaAvgRet,VarNormIw,VarVanillaIw,BatchSize,MinVanillaIw,AvgNormIw,ESSClassic,AvgVanillaIw,MaxVanillaIw,VarRet,Bound,eRenyi2,AvgDiscRet,ESSRenyi,VarJ,AvgEpLen,AvgRet,J
,10125.743307710829,0.87236744,78.74893765960705,0.0076076267,499.65878,100,,0.01,1.310350019494835,2.5627856,223.56908,10125.743307710829,399.18774,17.105774,-2.9842794901924207e-15,5.845979283596362,830.41943,8.88,78.74893765960705,660.58685
,84252.97648350518,0.9293823,236.3858665582144,0.0086317705,26.693226,100,,0.01,1.1566777613359636,0.5560971,51.68268,84252.97648350518,923.143,25.771654,3.4106051316484808e-15,3.8802321146846133,1151.9232,24.65,236.3858665582144,1697.6057
,425644.73939358734,0.9011594,743.2627598322892,0.008121243,149.7509,100,,0.010000002,1.2284969629041878,1.3579181,122.37006,425644.73939358734,1535.2439,36.491756,1.341504685115069e-13,2.7403449369883948,3758.5867,75.35,743.2627598322892,3516.145
,860658.670474001,0.87772745,1289.5548587662468,0.0077040726,198.43224,100,,0.01,1.2941581155684594,1.6048924,140.86581,860658.670474001,1794.46,21.271605,6.821210263296962e-14,4.701102816269828,3677.6348,129.99,1289.5548587662468,3179.9963
7.7190515e-19,2823167.255795619,0.22148333,2124.658109941429,0.0011630069,21.308111,100,1.04482904e-16,0.01,7.991199936440842,1.3535718,29.979359,2823167.255795619,1728.375,12.083557,3.637978807091713e-14,8.275708794455921,1261.0292,213.37,2124.658109941429,2569.582
7.543677e-18,1717956.7509606655,0.103148885,3615.509770240254,0.0005996882,8.163374,100,8.801469e-16,0.01,14.415633262998185,1.1667346,12.034738,1717956.7509606655,635.7096,6.0240126,-5.911715561524034e-14,16.600230977411233,454.25626,362.34,3615.509770240254,1258.7156
0.0010746662,139750.54053941867,0.016901083,4916.881914682286,1.5233851e-05,0.174097,100,0.11488528,0.010000002,86.8949242767605,1.0690322,1.8067803,139750.54053941867,-183.06496,1.1614382,-9.094947017729283e-14,86.10014523471058,111.54875,491.85,4916.881914682286,53.52972
0.00024994052,298284.49176588125,0.018995713,4868.423171998329,2.3517496e-05,0.21120243,100,0.02368594,0.01,81.11465009164317,0.94766307,1.8001536,298284.4917658813,-236.47672,1.1979368,-4.592948243953288e-13,83.47685973819144,195.92451,487.03,4868.423171998329,78.512726
0.0010654017,383816.86077072605,0.0160035,4873.735732458855,1.3033457e-05,0.11422799,100,0.0997401,0.009999998,88.57152505680314,0.9361737,1.4982057,383816.86077072605,-370.5348,1.1274611,-1.0459189070388675e-13,88.69485798485043,307.2043,487.52,4873.735732458855,65.00657
0.0010558256,145106.69780349298,0.018299539,4916.342952564732,1.8899937e-05,0.17849585,100,0.10260679,0.01,84.23822438391704,0.9718157,1.778378,145106.69780349298,-172.27127,1.1677704,-8.640199666842818e-13,85.63327279141785,86.72481,491.8,4916.342952564732,60.418957
