Delta,AvgDiscRet,eRenyi2,MinVanillaIw,VarNormIw,VarVanillaIw,VarRet,VanillaAvgRet,VarDiscRet,AvgEpLen,ESSRenyi,AvgNormIw,AvgVanillaIw,Bound,MaxNormIw,AvgRet,J,EpsThisIter,BatchSize,IterType,MaxVanillaIw,ESSClassic,VarJ,MinNormIw
1.0,-1743.3246030328082,969.28784,,0.010000003,4.10185e-09,4510235.975432037,-1743.3246030328082,4510235.975432037,200.0,0.10316852815838384,0.01,6.404569e-06,-2.12754,1.0,-1743.3246030328082,-2.12754,100,100,1,0.0006404569,1.0,2.1161616e-10,
1.0,-7.194357212085844,nan,1561.3853,nan,nan,4510235.975432037,-1743.3246030328082,49.774266778881895,200.0,nan,nan,inf,nan,nan,-1743.3246030328082,nan,100,200,,inf,nan,nan,nan
1.0,-2174.7323498485393,1270.6683,,0.004999999,5685.395,4802064.61723197,-2174.7323498485393,4802064.61723197,200.0,0.15739748484890698,0.005,5.331696,-0.043750443,1.0,-2174.7323498485393,-0.043750443,100,200,1,1066.3392,1.0,6.369793e-10,
1.0,-8.426385855182124,1.0,1.0,3.5044917e-18,,55.63873462480472,-8.426385855182124,55.63873462480472,200.0,200.0,0.009999998,1.0,-8.426385,0.01,-8.426385855182124,-8.426385,100,200,2,1.0,100.0,7.4217486,0.01
1.0,-8.882677007904604,nan,0.0009377879,nan,nan,4802064.61723197,-2174.7323498485393,62.36231325558741,200.0,nan,nan,inf,nan,nan,-2174.7323498485393,nan,100,300,,inf,nan,nan,nan
1.0,-2690.4119924283705,5227.186,,0.0033333334,9.392462,5713194.834245015,-2690.4119924283705,5713194.834245015,200.0,0.05739225617422137,0.0033333334,0.17694125,-0.040507086,1.0,-2690.4119924283705,-0.040507086,100,300,1,53.082375,1.0,,
1.0,-8.41614476500865,1.0,1.0,3.5044917e-18,,59.41594196206605,-8.41614476500865,59.41594196206605,200.0,300.0,0.009999998,1.0,-8.416144,0.01,-8.41614476500865,-8.416144,100,300,2,1.0,100.0,7.669536,0.01
1.0,-10.315307403202539,1.0,1.0,2.179301e-19,,84.17325995387212,-10.315307403202539,84.17325995387212,200.0,300.0,0.0049999994,1.0,-9.3657255,0.005,-10.315307403202539,-9.3657255,100,300,2,1.0,200.00000010221265,8.484006,0.005
1.0,-11.01060195115615,nan,0.018838646,nan,nan,5713194.834245015,-2690.4119924283705,79.31342866439313,200.0,nan,nan,inf,nan,nan,-2690.4119924283705,nan,100,400,,inf,nan,nan,nan
1.0,-2418.604675660356,552.7064,,0.002499984,1446.3414,5172044.882558174,-2418.604675660356,5172044.882558174,200.0,0.723711512795148,0.0025,1.9015459,-0.072471134,0.99999684,-2418.604675660356,-0.072471134,100,400,1,760.61597,1.0000062590713905,6.432304e-06,
1.0,-7.750867047794148,1.0,1.0,3.5044917e-18,,52.45823614850656,-7.750867047794148,52.45823614850656,200.0,400.0,0.009999998,1.0,-7.750867,0.01,-7.750867047794148,-7.750867,100,400,2,1.0,100.0,7.206501,0.01
1.0,-7.708592591641013,1.0,1.0,2.179301e-19,,48.607565905139694,-7.708592591641013,48.607565905139694,200.0,400.0,0.0049999994,1.0,-7.7297297,0.005,-7.708592591641013,-7.7297297,100,400,2,1.0,200.00000010221265,7.0730486,0.005
1.0,-8.121110707046462,1.0,1.0,5.4391416e-20,,51.0899523020962,-8.121110707046462,51.0899523020962,200.0,400.0,0.0033333336,1.0,-7.8601904,0.0033333334,-8.121110707046462,-7.8601904,100,400,2,1.0,299.999969473632,7.0884233,0.0033333334
1.0,-7.257941305725487,nan,0.0013147239,nan,nan,5172044.882558174,-2418.604675660356,45.91562241696487,200.0,nan,nan,inf,nan,nan,-2418.604675660356,nan,100,500,,inf,nan,nan,nan
1.0,-2547.1750451098446,670.74115,,0.0010634474,0.00041694322,4798175.700545813,-2547.1750451098446,4798175.700545813,200.0,0.7454440510661934,0.0019999999,0.0012523059,-0.29765025,0.6923474,-2547.1750451098446,-0.29765025,100,500,1,0.4335154,1.877369376265677,4.0364923,
1.0,-10.68743153344746,1.0,1.0,3.5044917e-18,,87.92545526808945,-10.68743153344746,87.92545526808945,200.0,500.0,0.009999998,1.0,-10.687431,0.01,-10.68743153344746,-10.687431,100,500,2,1.0,100.0,9.329855,0.01
1.0,-10.826326393528454,1.0,1.0,2.179301e-19,,74.87840326427654,-10.826326393528454,74.87840326427654,200.0,500.0,0.0049999994,1.0,-10.756879,0.005,-10.826326393528454,-10.756879,100,500,2,1.0,200.00000010221265,8.977345,0.005
1.0,-10.665161060973952,1.0,1.0,5.4391416e-20,,100.61143850502225,-10.665161060973952,100.61143850502225,200.0,500.0,0.0033333336,1.0,-10.726307,0.0033333334,-10.665161060973952,-10.726307,100,500,2,1.0,299.999969473632,9.32374,0.0033333334
