ESSRenyi,AvgNormIw,VarNormIw,AvgVanillaIw,BatchSize,VarVanillaIw,VarRet,MaxVanillaIw,J,MaxNormIw,Bound,eRenyi2,ESSClassic,AvgRet,MinNormIw,VarDiscRet,VarJ,AvgDiscRet,AvgEpLen,MinVanillaIw
44.18884991945654,0.01,0.0001356958,0.99233407,100,1.3362328,4230828.776786032,3.1138067,-26.014498,0.031378616,-286.2508,2.2630143,42.67325006715311,-1608.5544895009277,1.3454312e-16,4230828.776786032,48.294968,-1608.5544895009277,200.0,1.3351173e-14
88.01888344575877,0.010000002,1.4609657e-05,0.99661523,100,0.14510925,82337.79233659263,1.3796166,-11.017792,0.013843021,-36.740887,1.1361198,87.36404125009298,-39.71847229007841,0.0001364149,82337.79233659263,10.251034,-39.71847229007841,200.0,0.013595317
4.540032564633298,0.01,0.0026864407,0.69555426,100,12.996886,71.24442853269991,26.173342,-1.5416957,0.37629473,-4.8733315,22.026274,3.623744642234392,-10.461878749643098,,71.24442853269991,5.5346975,-10.461878749643098,200.0,
1.9635126581117024,0.01,0.00699651,0.6134837,100,26.332228,53.898159386278635,50.24082,-1.0458937,0.818943,-5.4522705,50.929134,1.4231747360385985,-8.582936095956292,,53.898159386278635,12.042805,-8.582936095956292,200.0,
1.7640100867483506,0.01,0.0054075858,1.1216978,100,68.03856,48.985223745070805,77.01204,-0.77030414,0.68656677,-5.2022405,56.68902,1.8336817757984423,-7.635039941664978,,48.985223745070805,6.304351,-7.635039941664978,200.0,
21.646069985125468,0.01,0.0005703975,1.2767148,100,9.297484,47.68020935379894,27.799297,-6.0403147,0.21774085,-7.288534,4.6197762,15.044527091529357,-7.222962054441289,0.00078387524,47.68020935379894,15.085365,-7.222962054441289,200.0,0.100078516
1.9232270397457922,0.01,0.009292557,0.7865994,100,57.496605,42.260151059936426,75.83449,-0.35310778,0.96408015,-4.2955174,51.99594,1.0753118177001977,-7.14017425467807,,42.260151059936426,3.5827157,-7.14017425467807,200.0,
4.172032356232079,0.010000002,0.0023072744,1.3288862,100,40.745037,47.67417248985254,36.05083,-0.50922924,0.27128607,-3.3522453,23.969133,4.1942764753688495,-7.48428770208592,,47.67417248985254,1.9358582,-7.48428770208592,200.0,
3.6057937484160245,0.01,0.0032963566,0.47861537,100,7.551052,52.089638763508674,19.146517,-1.3865559,0.40003973,-4.5831447,27.733145,2.9731877899298733,-7.702057211284663,,52.089638763508674,3.3022695,-7.702057211284663,200.0,
16.167912065885055,0.01,0.0007548574,0.9428267,100,6.710095,55.67505762835064,8.660021,-5.291,0.091851674,-6.8516836,6.1850905,11.802072647819172,-8.266732677229452,,55.67505762835064,17.820847,-8.266732677229452,200.0,
70.07993947563821,0.01,4.7652687e-05,1.1085624,100,0.58560884,44.96412992936225,2.7909884,-7.2442656,0.025176648,-7.9179363,1.4269419,67.94579262834516,-7.722456812847757,0.0068915295,44.96412992936225,6.5461497,-7.722456812847757,200.0,0.76396906
62.21517741536182,0.01,0.00020200964,1.2431648,100,3.1219747,48.48188979069503,18.192589,-7.132595,0.14634094,-7.875021,1.6073248,33.334494997265146,-7.653549345587485,0.0060243225,48.48188979069503,7.74585,-7.653549345587485,200.0,0.7489225
90.95521972800202,0.009999998,8.246982e-06,1.0169889,100,0.08529575,48.70240485301676,2.7801683,-7.5852423,0.027337255,-8.2006645,1.0994421,92.45178382901523,-7.705817082184215,0.00826445,48.70240485301676,7.237124,-7.705817082184215,200.0,0.8404854
77.22980526665782,0.010000002,1.2998324e-05,0.97098184,100,0.12254896,49.70911703533975,2.3924737,-7.1372204,0.024639737,-7.811961,1.2948369,88.59879245473817,-7.3375371034039425,0.008053699,49.70911703533975,7.092823,-7.3375371034039425,200.0,0.7819995
88.24497588166521,0.009999999,1.33972435e-05,0.9814646,100,0.12905201,49.85134009585232,1.3741336,-7.648777,0.014000847,-8.280905,1.133209,88.2898823175902,-7.809959136883496,0.00041525648,49.85134009585232,7.432407,-7.809959136883496,200.0,0.040755954
1.4690422040295548,0.010000002,0.009667782,0.6964064,100,46.886986,44.0700041363708,68.485535,-2.3913214,0.98341334,-6.9977665,68.07156,1.0340080949316082,-8.164854612360479,7.327217e-36,44.0700041363708,0.6405842,-8.164854612360479,200.0,5.102721e-34
92.35795516163508,0.009999999,6.916203e-06,1.1882056,100,0.09764522,42.59889333884509,1.2735058,-6.485201,0.010717891,-7.0563817,1.0827438,93.59174009795947,-6.687393945558881,0.00046229348,42.59889333884509,6.751007,-6.687393945558881,200.0,0.054929968
99.2032503384291,0.009999999,1.4736263e-06,1.0474075,100,0.0161666,43.57374051118883,1.0696559,-7.7506084,0.010212414,-8.308001,1.0080315,98.5621208971356,-7.757719952692477,0.003131901,43.57374051118883,6.5406165,-7.757719952692477,200.0,0.32803765
94.73337334101565,0.01,4.1039043e-06,1.1649703,100,0.05569636,52.026144840077684,1.2129023,-7.5124974,0.010411444,-8.135759,1.0555942,96.09576326326105,-7.792562316647411,0.00012534858,52.026144840077684,7.293847,-7.792562316647411,200.0,0.0146027375
100.0,0.009999998,3.5044917e-18,1.0,100,,51.71671956882697,1.0,-7.6143255,0.01,-8.219147,1.0,100.0,-7.614325693055519,0.01,51.71671956882697,7.155386,-7.614325693055519,200.0,1.0
100.0,0.009999998,3.5044917e-18,1.0,100,,47.598106261758005,1.0,-8.190943,0.01,-8.771181,1.0,100.0,-8.190942868641057,0.01,47.598106261758005,6.864556,-8.190942868641057,200.0,1.0
