VarNormIw,eRenyi2,MinNormIw,EpsThisIter,AvgVanillaIw,IterType,MinVanillaIw,MaxVanillaIw,VarDiscRet,VarVanillaIw,Delta,ESSClassic,AvgDiscRet,AvgRet,AvgEpLen,MaxNormIw,VarJ,ESSRenyi,BatchSize,Bound,VarRet,AvgNormIw,VanillaAvgRet,J
0.000339058,5.72292,1.60911e-25,100,1.25476,1,2.01905e-23,8.19129,23344.6619147,5.33822,0.5,22.9532813307,-309.32856151,-309.32856151,379.06,0.0652817,73.976,17.4736019424,100,-201.67,23344.6619147,0.01,-309.32856151,-101.879
4.30007e-05,1.43806,0.000363611,100,1.14994,1,0.0418131,2.85691,10156.1351473,0.568625,0.5,70.1406660094,-109.273254933,-109.273254933,147.88,0.024844,66.8903,69.5382120342,100,-134.792,10156.1351473,0.01,-109.273254933,-84.7695
8.53297e-06,1.09493,0.000729658,100,1.00698,1,0.0734749,1.4264,6936.28119038,0.0865247,0.5,92.2104009922,-95.5518788782,-95.5518788782,131.16,0.0141652,72.2123,91.329975302,100,-132.059,6936.28119038,0.01,-95.5518788782,-88.4101
4.45719e-06,1.05417,0.00407087,100,0.954515,1,0.38857,1.69399,12737.0594489,0.0406094,0.5,95.7738743435,-115.752171043,-115.752171043,154.51,0.0177472,108.265,94.8612195455,100,-156.201,12737.0594489,0.01,-115.752171043,-113.372
2.70791e-05,1.21766,1.82745e-05,100,0.983881,1,0.00179799,2.26164,6229.41232882,0.262131,0.5,78.8592021976,-92.2723839653,-92.2723839653,128.6,0.022987,57.4444,82.1246941963,100,-127.128,6229.41232882,0.01,-92.2723839653,-81.0972
2.40358e-05,1.25796,0.000934942,100,1.03693,1,0.0969469,2.39127,10131.1765671,0.258438,0.5,80.7783713264,-102.766782682,-102.766782682,139.41,0.0230611,75.8208,79.4936654641,100,-136.996,10131.1765671,0.01,-102.766782682,-90.2098
1.17289e-05,1.10777,0.00159711,100,1.01011,1,0.161326,1.42548,5874.45584292,0.119673,0.5,89.5964651503,-89.3557671051,-89.3557671051,123.26,0.0141121,67.1256,90.2713907136,100,-128.325,5874.45584292,0.01,-89.3557671051,-84.4211
2.81578e-05,1.26209,7.12765e-06,100,1.02873,1,0.000733241,1.98156,5896.24401058,0.297989,0.5,78.2005920694,-88.38556603,-88.38556603,122.63,0.0192623,45.3362,79.2334371095,100,-125.953,5896.24401058,0.01,-88.38556603,-79.0915
2.18225e-05,1.27075,0.0012679,100,1.04288,1,0.132227,1.96305,11322.4866047,0.237339,0.5,82.2339732095,-101.271897986,-101.271897986,136.34,0.0188234,95.3561,78.6939403772,100,-141.188,11322.4866047,0.01,-101.271897986,-94.1653
2.56755e-05,1.21777,2.81589e-05,100,0.962415,1,0.00271005,1.83986,7068.09396891,0.237818,0.5,79.7328828979,-89.2679919331,-89.2679919331,122.43,0.0191171,61.9894,82.1170006091,100,-125.445,7068.09396891,0.01,-89.2679919331,-79.4123
2.7015e-05,1.24537,0.000151752,100,1.02453,1,0.0155474,2.12278,5906.77042215,0.283565,0.5,78.8986957156,-86.6730680087,-86.6730680087,120.6,0.0207196,36.7323,80.2972044757,100,-122.521,5906.77042215,0.01,-86.6730680087,-75.9693
