AvgVanillaIw,VarJ,Bound,EpsThisIter,ESSClassic,ESSRenyi,AvgNormIw,MinNormIw,MaxNormIw,MaxVanillaIw,MinVanillaIw,IterType,eRenyi2,AvgRet,AvgEpLen,VarRet,VarDiscRet,AvgDiscRet,VanillaAvgRet,VarVanillaIw,J,VarNormIw,BatchSize
9.648911,22.205008,21.518286,100,1.1648867630923445,14.140636610225993,0.01,4.3595243e-08,0.9263461,893.8231,4.206466e-05,1,7.0718174,-2.8755984997090605,500.0,152.19978664042404,152.19978664042404,-2.8755984997090605,-2.8755984997090605,7979.0083,33.12322,0.008570228,100
310.06525,57.693985,-inf,100,1.6263082601009284,nan,0.010000003,3.608239e-08,0.76670706,23772.922,0.0011187895,,nan,-2.8755984997090605,500.0,152.19978664042404,333.73633845732064,-2.5233756665449043,-2.8755984997090605,5874179.0,-1.5722165,0.0061099962,200
12.538833,16.9445,15.868698,100,1.1273167364951997,32.852405014946996,0.005,2.4466294e-07,0.9418082,2361.8352,0.0006135576,1,6.0878344,-3.9862708327865537,500.0,162.51111945462273,162.51111945462273,-3.9862708327865537,-3.9862708327865537,27875.357,23.482359,0.004432474,200
1.0,13.815086,-3.6131794,100,100.0,200.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,0.7306615695192583,500.0,192.7844636055033,192.7844636055033,0.7306615695192583,0.7306615695192583,,0.7306616,3.5044917e-18,200
31.483871,31.255241,-18.906773,100,7.19878417249446,12.42175218712425,0.005,6.7240705e-08,0.2588371,1629.8389,0.00042339956,,24.151182,-3.9862708327865537,500.0,162.51111945462273,172.68891201121966,0.6146872780388776,-3.9862708327865537,26681.104,-3.3476682,0.0006729263,300
12.252714,22.861935,16.6515,100,1.1272231971716788,44.012794475566906,0.0033333327,7.127152e-08,0.94185656,3462.0898,0.00026198087,1,6.8162,-4.36024384444755,500.0,158.7498840348826,158.7498840348826,-4.36024384444755,-4.36024384444755,39938.44,23.351671,0.0029558614,300
1.0,11.369743,-3.798594,100,100.0,300.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,1.1788394003428029,500.0,130.57683134307555,130.57683134307555,1.1788394003428029,1.1788394003428029,,1.1788393,3.5044917e-18,300
1.0,13.054587,-2.535339,100,200.00000010221265,300.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,1.4168847636628028,500.0,171.27864104494384,171.27864104494384,1.4168847636628028,1.4168847636628028,,1.4168847,2.179301e-19,300
48.081726,31.116882,-21.668346,100,6.8968699858418825,8.451887620691624,0.0033333332,2.002444e-08,0.26462394,3817.0728,0.0002888429,,47.326706,-4.36024384444755,500.0,158.7498840348826,183.68327602624566,1.101187818991741,-4.36024384444755,98577.664,0.5314512,0.0004737792,400
10.668142,34.211758,14.509567,100,1.1958632399181082,39.65169540780808,0.0025,2.9051517e-09,0.91440535,3902.0024,1.23970285e-05,1,10.087841,-4.206790521382698,500.0,166.95398488051237,166.95398488051237,-4.206790521382698,-4.206790521382698,38048.96,22.494625,0.002089514,400
1.0,9.952002,-1.9744143,100,100.0,400.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,1.7372118484831534,500.0,100.04277892916342,100.04277892916342,1.7372118484831534,1.7372118484831534,,1.7372117,3.5044917e-18,400
1.0,11.543751,-0.633142,100,200.00000010221265,400.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,1.9913740992389446,500.0,133.92781335167177,133.92781335167177,1.9913740992389446,1.9913740992389446,,1.991374,2.179301e-19,400
1.0,12.390633,-0.21153736,100,299.999969473632,400.0,0.0033333336,0.0033333334,0.0033333334,1.0,1.0,2,1.0,1.9360304742261871,500.0,154.0412513088655,154.0412513088655,1.9360304742261871,1.9360304742261871,,1.9360306,5.4391416e-20,400
261.2971,16.022495,-inf,100,1.6728056215989109,nan,0.0025000004,2.4519855e-09,0.7717699,80664.49,0.00025627867,,nan,-4.206790521382698,500.0,166.95398488051237,151.78283277277592,1.7808214381204208,-4.206790521382698,16298618.0,5.3778486,0.0014919749,500
9.154401,43.739475,15.095806,100,1.222910629367186,50.0738422224317,0.0020000003,1.172978e-09,0.90423214,4138.8516,5.3689555e-06,1,9.985253,-4.625854307444952,500.0,159.5229888260924,159.5229888260924,-4.625854307444952,-4.625854307444952,34248.47,22.20145,0.0016347122,500
1.0,13.3510065,-2.8358245,100,100.0,500.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,1.6393347568014796,500.0,180.0498785322797,180.0498785322797,1.6393347568014796,1.6393347568014796,,1.6393346,3.5044917e-18,500
1.0,13.948235,-2.5860128,100,200.00000010221265,500.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,1.5342551391019663,500.0,195.53090673593104,195.53090673593104,1.5342551391019663,1.5342551391019663,,1.5342549,2.179301e-19,500
1.0,13.849099,-1.5675876,100,299.999969473632,500.0,0.0033333336,0.0033333334,0.0033333334,1.0,1.0,2,1.0,1.7965970075887159,500.0,192.43900395186557,192.43900395186557,1.7965970075887159,1.7965970075887159,,1.796597,5.4391416e-20,500
1.0,13.527279,-0.701051,100,400.0,500.0,0.0024999997,0.0025,0.0025,1.0,1.0,2,1.0,2.212418775775523,500.0,183.44589891347752,183.44589891347752,2.212418775775523,2.212418775775523,,2.2124186,5.434597e-20,500
13.019454,78.58594,55.0899,100,1.1462994952695755,31.32852290371801,0.002,2.5700315e-09,0.93396294,6079.8438,1.6730204e-05,1,15.959897,1.5226028626983557,500.0,169.90130563606095,169.90130563606095,1.5226028626983557,1.5226028626983557,73914.58,65.500374,0.0017442334,500
1.0,21.239548,8.194557,100,100.0,500.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,15.24665553009448,500.0,455.6750746719594,455.6750746719594,15.24665553009448,15.24665553009448,,15.246655,3.5044917e-18,500
1.0,20.265587,8.766189,100,200.00000010221265,500.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,13.752774854681409,500.0,412.7578364049157,412.7578364049157,13.752774854681409,13.752774854681409,,13.752775,2.179301e-19,500
1.0,19.170364,9.191079,100,299.999969473632,500.0,0.0033333336,0.0033333334,0.0033333334,1.0,1.0,2,1.0,13.262610323812327,500.0,368.73195361902964,368.73195361902964,13.262610323812327,13.262610323812327,,13.2626095,5.4391416e-20,500
1.0,18.59673,8.780798,100,400.0,500.0,0.0024999997,0.0025,0.0025,1.0,1.0,2,1.0,12.306847029731639,500.0,346.7051057154625,346.7051057154625,12.306847029731639,12.306847029731639,,12.306847,5.434597e-20,500
13.7698,99.26451,66.878624,100,1.1937307200521639,33.89513395543286,0.0019999999,8.8147667e-10,0.9151764,6300.898,6.0688785e-06,1,14.75138,12.219428825896992,500.0,330.6748399192928,330.6748399192928,12.219428825896992,12.219428825896992,79387.14,78.99157,0.0016747697,500
