MaxNormIw,BatchSize,J,AvgDiscRet,VarNormIw,MaxVanillaIw,VanillaAvgRet,SamplesThisIter,VarVanillaIw,ESSClassic,AvgEpLen,IterType,renyi2,MinNormIw,AvgNormIw,VarRet,ESSRenyi,VarDiscRet,AvgVanillaIw,EpsThisIter,MinVanillaIw,VarJ,delta,AvgRet,Bound
0.331867,100,4508.0,-3.81629594252,1.82526e-05,6.51727e+11,-3.81629594252,50000,7.03931e+19,2.99997212021,500.0,1,nan,,5.52486e-05,72.4077300872,nan,72.4077300872,1.08499e+08,100,,112.503,0.5,-3.81629594252,12.0812
0.0438658,100,2560.08,-4.01391676746,4.07384e-07,6152.12,-4.01391676746,50000,8013.12,2.38360358245,500.0,1,nan,,5.52486e-05,98.1871706341,nan,98.1871706341,7.74855,100,,252.754,0.5,-4.01391676746,2.95704
0.332789,100,7292.22,-2.62460131529,1.83541e-05,2.36246e+14,-2.62460131529,50000,9.24961e+24,2.99999406281,500.0,1,nan,,5.52486e-05,110.196670311,nan,110.196670311,3.92208e+10,100,,59.8968,0.5,-2.62460131529,20.7723
0.333333,100,2699.99,-4.39833837775,1.84141e-05,1.00575e+12,-4.39833837775,50000,1.6764e+20,3.00000005874,500.0,1,nan,,5.52486e-05,69.124227766,nan,69.124227766,1.66699e+08,100,,141.888,0.5,-4.39833837775,5.6887
0.0158236,100,1490.22,-5.35288183447,1.79363e-07,3299.52,-5.35288183447,50000,7798.71,1.31399848368,500.0,1,nan,4.58214e-30,5.52486e-05,52.9416354234,nan,52.9416354234,11.5204,100,9.55463e-25,107.47,0.5,-5.35288183447,1.48591
0.00276117,100,452.613,-6.24894322071,3.33245e-08,142.652,-6.24894322071,50000,88.9474,0.714224340441,500.0,1,nan,4.1723e-19,5.52486e-05,38.5294129889,nan,38.5294129889,2.85434,100,2.15556e-14,74.7042,0.5,-6.24894322071,-2.26162
0.0027664,100,1352.9,-6.10730432124,3.85563e-08,135.014,-6.10730432124,50000,91.8383,0.465067645434,500.0,1,nan,6.76797e-33,5.52486e-05,68.7719856578,nan,68.7719856578,2.69641,100,3.30311e-28,200.85,0.5,-6.10730432124,-1.08879
0.00153876,100,757.04,-6.05740050808,1.8388e-08,52.9179,-6.05740050808,50000,21.7469,0.585301742516,500.0,1,nan,5.76601e-18,5.52486e-05,66.2634595018,nan,66.2634595018,1.9,100,1.98293e-13,182.217,0.5,-6.05740050808,-3.31344
0.12827,100,1410.17,-5.4380358029,3.73425e-06,46457.7,-5.4380358029,50000,489857.0,2.1945695824,500.0,1,nan,6.01771e-23,5.52486e-05,57.6146908542,nan,57.6146908542,20.0103,100,2.17954e-17,97.3739,0.5,-5.4380358029,1.6808
0.0955571,100,nan,-2.9766306024,3.68366e-06,24770.0,-2.9766306024,50000,247517.0,1.23166458691,500.0,1,nan,,5.52486e-05,188.167475606,nan,188.167475606,14.3214,100,,nan,0.5,-2.9766306024,nan
nan,100,nan,nan,nan,nan,nan,50000,nan,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,0.5,nan,nan
nan,100,nan,nan,nan,nan,nan,50000,nan,nan,500.0,1,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,0.5,nan,nan
