IterType,MaxNormIw,AvgNormIw,AvgRet,Bound,renyi2,VanillaAvgRet,VarJ,ESSClassic,MinNormIw,VarDiscRet,delta,J,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarRet,VarVanillaIw,AvgVanillaIw,BatchSize,MaxVanillaIw,SamplesThisIter
1,0.091206,5.52486e-05,5.27525875666,24.6534,nan,5.27525875666,73.0932,1.3756512774,,149.144407316,0.8,5396.58,500.0,,nan,3.02984e-06,100,5.27525875666,149.144407316,1.35022e+08,368.819,100,608858.0,50000
1,0.3302,5.52486e-05,6.4530795072,22.6149,nan,6.4530795072,90.9019,2.99981397525,,100.897747639,0.8,5188.05,500.0,,nan,1.80707e-05,100,6.4530795072,100.897747639,2.19053e+30,1.92357e+13,100,1.14965e+17,50000
1,0.49995,5.52486e-05,4.09765627146,19.8536,nan,4.09765627146,106.057,2.00000008678,,91.7431775347,0.8,4523.26,500.0,,nan,2.76172e-05,100,4.09765627146,91.7431775347,2.12945e+24,1.53414e+10,100,1.38826e+14,50000
1,0.178057,5.52486e-05,10.7566013107,37.8709,nan,10.7566013107,69.6267,1.7339511888,,205.412218773,0.8,9064.55,500.0,,nan,9.0892e-06,100,10.7566013107,205.412218773,2.672e+32,2.99555e+14,100,9.65419e+17,50000
1,0.499981,5.52486e-05,4.58881962723,28.1438,nan,4.58881962723,153.366,1.99999997198,,165.109071159,0.8,7024.9,500.0,,nan,2.76207e-05,100,4.58881962723,165.109071159,3.18152e+31,5.92954e+13,100,5.36603e+17,50000
1,0.49967,5.52486e-05,8.61557416663,33.674,nan,8.61557416663,182.954,1.99999905625,,275.945629121,0.8,8287.43,500.0,,nan,2.75863e-05,100,8.61557416663,275.945629121,7.74831e+28,2.92805e+12,100,2.64813e+16,50000
1,0.499076,5.52486e-05,10.5012459252,26.1275,nan,10.5012459252,204.596,2.00000045223,,125.513359975,0.8,6088.21,500.0,,nan,2.75208e-05,100,10.5012459252,125.513359975,1.87927e+12,14437.3,100,1.30416e+08,50000
1,0.779578,5.52486e-05,13.8894729767,34.9034,nan,13.8894729767,484.341,0.994251013393,1.31582e-42,245.740054522,0.8,8140.63,500.0,1.20995e-36,nan,3.37737e-05,100,13.8894729767,245.740054522,2.85449e+07,50.7921,100,716696.0,50000
1,0.172324,5.52486e-05,17.4491815172,45.5093,nan,17.4491815172,121.244,1.62197049674,,258.370648781,0.8,10907.2,500.0,,nan,9.10101e-06,100,17.4491815172,258.370648781,1.36606e+19,6.7688e+07,100,2.11123e+11,50000
1,0.136441,5.52486e-05,13.6350784938,31.5754,nan,13.6350784938,214.507,3.56449450718,,195.140588123,0.8,7142.54,500.0,,nan,2.64732e-06,100,13.6350784938,195.140588123,1.38857e+06,40.013,100,98815.2,50000
1,0.055788,5.52486e-05,16.5280178429,34.486,nan,16.5280178429,285.122,1.71563860241,2.74543e-36,164.767741106,0.8,7577.09,500.0,5.18576e-31,nan,4.58728e-07,100,16.5280178429,164.767741106,16366.6,10.4357,100,10537.6,50000
1,0.0489536,5.52486e-05,17.2530260159,38.7313,nan,17.2530260159,199.396,0.76745025651,,219.717830819,0.8,8598.79,500.0,,nan,7.54083e-07,100,17.2530260159,219.717830819,232017.0,30.6458,100,27154.1,50000
1,0.950833,5.52486e-05,20.6475329657,38.8225,nan,20.6475329657,542.7,1.00000672825,,227.930877933,0.8,8991.7,500.0,,nan,4.99494e-05,100,20.6475329657,227.930877933,2.56598e+08,125.223,100,2.15509e+06,50000
1,0.011387,5.52486e-05,22.0127024414,39.8968,nan,22.0127024414,335.715,0.527846757679,,237.039398836,0.8,8615.08,500.0,,nan,7.557e-08,100,22.0127024414,237.039398836,626.706,5.03128,100,1036.97,50000
1,0.0564111,5.52486e-05,23.8519328239,42.02,nan,23.8519328239,284.588,0.730473705412,,234.293336268,0.8,9789.15,500.0,,nan,1.00132e-06,100,23.8519328239,234.293336268,258904.0,28.0935,100,28684.6,50000
1,0.476239,5.52486e-05,25.2428876663,45.8859,nan,25.2428876663,219.435,2.00004505839,,264.975342405,0.8,9949.43,500.0,,nan,2.50602e-05,100,25.2428876663,264.975342405,2.8497e+08,186.307,100,1.60595e+06,50000
1,0.0112326,5.52486e-05,29.4697001205,46.3381,nan,29.4697001205,176.187,1.28191967226,2.80308e-32,259.288012684,0.8,9787.48,500.0,2.52325e-27,nan,8.12852e-08,100,29.4697001205,259.288012684,658.658,4.97331,100,1011.12,50000
1,0.0189025,5.52486e-05,32.2416371769,48.8022,nan,32.2416371769,227.973,0.946882170478,,270.424462655,0.8,10590.9,500.0,,nan,1.11811e-07,100,32.2416371769,270.424462655,1377.57,6.13248,100,2098.13,50000
1,0.0512459,5.52486e-05,31.4436954386,54.7363,nan,31.4436954386,249.172,1.93576510972,,324.398375265,0.8,12209.4,500.0,,nan,7.94408e-07,100,31.4436954386,324.398375265,210029.0,28.4079,100,26349.8,50000
1,0.249809,5.52486e-05,31.0630859717,50.775,nan,31.0630859717,348.656,1.94888180442,,378.251345745,0.8,12203.1,500.0,,nan,7.07721e-06,100,31.0630859717,378.251345745,8.60046e+06,60.9048,100,275383.0,50000
1,0.00426725,5.52486e-05,38.7459156441,53.4006,nan,38.7459156441,271.253,0.286543850887,,310.188933786,0.8,11564.0,500.0,,nan,6.70806e-08,100,38.7459156441,310.188933786,301.419,3.70347,100,286.045,50000
1,0.00316898,5.52486e-05,43.2570996574,59.3776,nan,43.2570996574,182.108,0.761790498435,1.13329e-29,335.291076362,0.8,12506.1,500.0,1.14574e-24,nan,5.20343e-08,100,43.2570996574,335.291076362,531.84,5.58557,100,320.38,50000
1,0.0106336,5.52486e-05,43.566241403,59.1634,nan,43.566241403,288.163,0.843645156014,2.23008e-26,349.269231663,0.8,12641.8,500.0,1.7206e-21,nan,8.95526e-08,100,43.566241403,349.269231663,533.085,4.26266,100,820.427,50000
1,0.00373377,5.52486e-05,46.4477934549,57.0609,nan,46.4477934549,443.008,0.672396779974,7.7725e-25,219.340487273,0.8,12093.3,500.0,2.6998e-20,nan,3.87309e-08,100,46.4477934549,219.340487273,46.7303,1.91907,100,129.693,50000
1,0.00302203,5.52486e-05,45.7050008126,57.3699,nan,45.7050008126,229.526,0.395848798253,4.85e-25,200.413097715,0.8,12227.2,500.0,3.75574e-20,nan,5.2317e-08,100,45.7050008126,200.413097715,313.725,4.27834,100,234.02,50000
1,0.0024783,5.52486e-05,46.4553014892,60.7371,nan,46.4553014892,174.153,0.720930130981,4.89788e-33,320.864737,0.8,12474.6,500.0,3.16926e-28,nan,3.58174e-08,100,46.4553014892,320.864737,149.966,3.57496,100,160.363,50000
1,0.00280459,5.52486e-05,39.8531906528,55.3925,nan,39.8531906528,212.851,0.432343193983,5.27658e-28,336.912058617,0.8,11792.1,500.0,4.49413e-23,nan,5.20017e-08,100,39.8531906528,336.912058617,377.229,4.7056,100,238.871,50000
1,0.00316286,5.52486e-05,46.7130935686,60.3607,nan,46.7130935686,205.807,0.716296030531,1.59405e-27,294.255830254,0.8,12499.5,500.0,7.90827e-23,nan,4.39465e-08,100,46.7130935686,294.255830254,108.164,2.74095,100,156.913,50000
1,0.0544438,5.52486e-05,42.739011558,58.0572,nan,42.739011558,375.04,1.7146008836,2.94394e-38,316.136288183,0.8,12646.6,500.0,2.78012e-33,nan,3.95471e-07,100,42.739011558,316.136288183,3526.82,5.21742,100,5141.42,50000
1,0.00363746,5.52486e-05,47.4128078217,63.6949,nan,47.4128078217,327.973,0.311671697816,2.20433e-26,301.520137307,0.8,13587.6,500.0,1.37752e-21,nan,5.38253e-08,100,47.4128078217,301.520137307,210.198,3.45257,100,227.31,50000
1,0.00420421,5.52486e-05,48.0434341774,62.123,nan,48.0434341774,270.566,1.29328654671,4.01403e-22,331.769409316,0.8,12952.5,500.0,1.81085e-17,nan,4.30357e-08,100,48.0434341774,331.769409316,87.5852,2.49243,100,189.664,50000
1,0.00186839,5.52486e-05,54.5261310799,64.5947,nan,54.5261310799,154.647,0.989166415735,1.42499e-33,275.210064618,0.8,12940.9,500.0,5.62278e-29,nan,2.3039e-08,100,54.5261310799,275.210064618,35.8709,2.18002,100,73.7236,50000
1,0.0043273,5.52486e-05,50.4410801811,61.056,nan,50.4410801811,181.533,1.3463408277,1.53761e-26,209.341348364,0.8,12495.0,500.0,8.46407e-22,nan,3.565e-08,100,50.4410801811,209.341348364,108.025,3.04126,100,238.204,50000
1,0.00221952,5.52486e-05,51.0169130549,61.5025,nan,51.0169130549,191.357,0.855264913192,2.46974e-29,278.992743408,0.8,12468.3,500.0,7.62884e-25,nan,2.93219e-08,100,51.0169130549,278.992743408,27.9773,1.70659,100,68.5593,50000
