J,AvgDiscRet,MaxNormIw,VarDiscRet,MinNormIw,AvgVanillaIw,MaxVanillaIw,VarVanillaIw,ESSRenyi,AvgNormIw,IterType,Bound,BatchSize,VarNormIw,AvgRet,MinVanillaIw,VarRet,EpsThisIter,ESSClassic,eRenyi2,VarJ,AvgEpLen,VanillaAvgRet,Delta
-54.0557,-337.161126772,0.993796,18582.6270498,,1.24698e-12,1.23924e-10,1.53559e-22,,0.01,1,-54.0557,100,0.00987544,-337.161126772,,18582.6270498,100,1.01248550605,inf,0.462367,414.3,-337.161126772,1.0
nan,-71.3275398417,nan,3810.97223429,nan,inf,inf,nan,nan,nan,,nan,200,nan,-337.161126772,8.06944e+09,18582.6270498,100,nan,nan,nan,414.3,-337.161126772,1.0
-52.7843,-316.517534856,1.0,21414.1608606,,3.53857e-28,7.07714e-26,,2.1323763946e-11,0.005,1,-52.7843,200,0.005,-316.517534856,,21414.1608606,100,inf,9.37921e+12,1.2311e-10,389.29,-316.517534856,1.0
-67.2583,-67.2582558374,0.01,2581.86017452,0.01,1.0,1.0,,200.0,0.01,2,-67.2583,200,3.50449e-18,-67.2582558374,1.0,2581.86017452,100,100.0,1.0,50.5573,96.88,-67.2582558374,1.0
nan,-63.8724192327,nan,1320.69359163,nan,inf,inf,nan,nan,nan,,nan,300,nan,-316.517534856,1.413e+25,21414.1608606,100,nan,nan,nan,389.29,-316.517534856,1.0
-52.1047,-308.528171987,1.0,22970.3407548,,7.66356e-41,2.29906e-38,,3.01335232325e-08,0.00333333,1,-52.1047,300,0.00333333,-308.528171987,,22970.3407548,100,inf,9.95569e+09,,380.0,-308.528171987,1.0
-58.5337,-58.5336883447,0.01,30.4029884128,0.01,1.0,1.0,,300.0,0.01,2,-58.5337,300,3.50449e-18,-58.5336883447,1.0,30.4029884128,100,100.0,1.0,5.48625,85.88,-58.5336883447,1.0
-62.1304,-65.7270517141,0.005,2593.11795665,0.005,1.0,1.0,,300.0,0.005,2,-62.1304,300,2.1793e-19,-65.7270517141,1.0,2593.11795665,100,200.000000102,1.0,36.2157,94.32,-65.7270517141,1.0
nan,-58.1083468793,nan,48.7675077972,nan,inf,inf,nan,1.04071567793e+25,nan,,nan,400,nan,-308.528171987,4.3496e+37,22970.3407548,100,nan,3.84351e-23,nan,380.0,-308.528171987,1.0
-52.1047,-314.616530239,1.0,22183.815505,,6.9503e-41,2.78012e-38,,8.22679272581e-09,0.0025,1,-52.1047,400,0.0025,-314.616530239,,22183.815505,100,inf,4.86216e+10,,386.94,-314.616530239,1.0
-58.7715,-58.7714552793,0.01,46.5081988561,0.01,1.0,1.0,,400.0,0.01,2,-58.7715,400,3.50449e-18,-58.7714552793,1.0,46.5081988561,100,100.0,1.0,6.78551,86.22,-58.7714552793,1.0
-60.7643,-62.7572242887,0.005,1340.02497205,0.005,1.0,1.0,,400.0,0.005,2,-60.7643,400,2.1793e-19,-62.7572242887,1.0,1340.02497205,100,200.000000102,1.0,26.2737,91.29,-62.7572242887,1.0
-63.1486,-67.9171341491,0.00333333,3862.56193445,0.00333333,1.0,1.0,,400.0,0.00333333,2,-63.1486,400,5.43914e-20,-67.9171341491,1.0,3862.56193445,100,299.999969474,1.0,41.7878,96.53,-67.9171341491,1.0
