Bound,IterType,VarRet,MinVanillaIw,AvgDiscRet,VanillaAvgRet,ESSClassic,AvgEpLen,VarJ,J,ESSRenyi,VarDiscRet,BatchSize,VarVanillaIw,AvgRet,MaxNormIw,AvgVanillaIw,VarNormIw,MinNormIw,MaxVanillaIw,AvgNormIw,EpsThisIter,eRenyi2
-174.78976,1,22396.029903691982,1.4862501e-21,-313.0507028433681,-313.0507028433681,15.016572604590188,385.49,96.88678,-85.38475,15.41950173399839,22396.029903691982,100,6.6650963,-313.0507028433681,0.10042003,1.0797896,0.00057164737,1.3764256e-23,10.84325,0.01,100,6.485294
-123.07025,1,8002.065083887749,0.0059478823,-99.394209215343,-99.394209215343,69.79944279949837,136.29,70.426765,-81.52357,71.40341982950903,8002.065083887749,100,0.41266623,-99.394209215343,0.022206753,0.9717073,4.3704687e-05,6.121064e-05,2.1578465,0.01,100,1.4004931
-133.77385,1,10111.53588008194,0.13272469,-101.95677610605955,-101.95677610605955,91.68016768718694,138.12,94.19912,-96.85848,90.44585561475705,10111.53588008194,100,0.08258122,-101.95677610605955,0.01756171,0.94915724,9.16653e-06,0.0013983424,1.6668824,0.01,100,1.1056339
-126.07396,1,8155.944200354937,0.42967805,-92.31338566347956,-92.31338566347956,94.46117523431461,126.65,79.78115,-89.72364,93.2792335200006,8155.944200354937,100,0.05732926,-92.31338566347956,0.019179326,0.9838377,5.922831e-06,0.004367367,1.8869344,0.01,100,1.07205
-110.845924,1,4834.096043724094,0.010357153,-82.8046307130158,-82.8046307130158,85.8258068329244,115.71,30.888142,-72.550766,84.0384922094711,4834.096043724094,100,0.17393571,-82.8046307130158,0.016003404,1.0211079,1.6681899e-05,0.000101430545,1.6341202,0.009999999,100,1.1899309
-107.11192,1,2573.4822831331235,0.42502582,-73.08660323455929,-73.08660323455929,94.53990626927458,103.93,43.887638,-71.075455,94.90688587346416,2573.4822831331235,100,0.059245523,-73.08660323455929,0.014451173,1.0077516,5.83376e-06,0.004217565,1.4563193,0.01,100,1.0536643
-115.23487,1,6069.881179071641,0.08864966,-82.86387003451586,-82.86387003451586,91.21146622775724,115.42,66.93014,-78.06119,89.19115187531325,6069.881179071641,100,0.103108905,-82.86387003451586,0.017092548,1.0292768,9.732665e-06,0.00086128106,1.7592964,0.01,100,1.1211874
-115.882835,1,6061.1845144723775,0.1703968,-84.11249113619327,-84.11249113619327,82.66114242011068,116.14,55.060837,-77.47888,83.56910239461722,6061.1845144723775,100,0.22340056,-84.11249113619327,0.018964864,1.026833,2.1187732e-05,0.0016594401,1.947375,0.009999999,100,1.1966145
-110.37839,1,3762.8738981030624,0.8602992,-75.72748547717929,-75.72748547717929,98.99121690791564,106.69,57.249798,-74.92602,97.99112887107286,3762.8738981030624,100,0.009885251,-75.72748547717929,0.013390258,0.9799516,1.0293865e-06,0.008778997,1.3121805,0.009999999,100,1.0205005
-116.91531,1,7139.41313767584,0.009384535,-87.31377480491996,-87.31377480491996,71.70713423824303,120.17,42.427143,-74.42876,68.28083627380356,7139.41313767584,100,0.45889264,-87.31377480491996,0.020299075,1.0730399,3.985468e-05,8.745747e-05,2.1781716,0.01,100,1.4645398
-121.50597,1,7085.680557871473,0.22018085,-88.40331534832715,-88.40331534832715,88.40378204156016,122.43,74.7431,-84.11885,88.17508359890981,7085.680557871473,100,0.11498298,-88.40331534832715,0.024371905,0.9315628,1.3249801e-05,0.0023635642,2.270396,0.010000002,100,1.1341072
-124.63088,1,7080.081588916308,0.32887542,-90.19309129029513,-90.19309129029513,94.81173578473826,124.08,81.64984,-88.74185,95.68963580002224,7080.081588916308,100,0.053942017,-90.19309129029513,0.017369743,0.9878729,5.5274522e-06,0.0033291269,1.7159098,0.01,100,1.0450453
-120.06022,1,7193.5451539159185,0.3178755,-87.04855402320624,-87.04855402320624,88.52316869697582,119.84,78.33276,-82.719955,88.3964654514263,7193.5451539159185,100,0.13061361,-87.04855402320624,0.019229561,0.99868655,1.30957405e-05,0.0031829358,1.9204303,0.009999999,100,1.131267
-106.999565,1,2594.741076720063,0.87580156,-72.31008730471135,-72.31008730471135,97.41738214281838,103.01,46.393963,-71.535645,97.96252025702437,2594.741076720063,100,0.026866812,-72.31008730471135,0.01893832,1.0016438,2.6778703e-06,0.008743643,1.896945,0.01,100,1.0207986
-111.19151,1,4921.170845912742,0.13545336,-79.4705075085163,-79.4705075085163,89.29926424313659,111.2,51.798714,-73.82804,88.28754056085889,4921.170845912742,100,0.13104604,-79.4705075085163,0.015953856,1.0405113,1.2104041e-05,0.0013017962,1.6600165,0.01,100,1.1326627
-115.87898,1,6081.3021622196065,0.17742264,-82.83988640889525,-82.83988640889525,91.75859901190216,114.59,69.365135,-79.63427,93.82402380818964,6081.3021622196065,100,0.08520597,-82.83988640889525,0.01927989,0.96911573,9.072329e-06,0.0018307683,1.8684444,0.01,100,1.0658251
-107.51671,1,2586.2340830232256,0.8577933,-73.0706997898221,-73.0706997898221,97.3740865529353,103.71,44.383087,-71.91151,97.21133322262459,2586.2340830232256,100,0.027537923,-73.0706997898221,0.01875856,1.0054654,2.7239357e-06,0.008531306,1.8861083,0.010000002,100,1.0286866
-130.1879,1,10358.992665061423,0.7703916,-97.95050790816545,-97.95050790816545,94.25227863256048,132.26,87.35424,-93.37599,90.95458856386414,10358.992665061423,100,0.058478408,-97.95050790816545,0.02229272,0.97434616,6.1598334e-06,0.0079067545,2.1720827,0.01,100,1.0994498
-121.80068,1,9230.915777790378,0.0032524776,-94.71227960377932,-94.71227960377932,71.28428302063308,129.4,74.76273,-81.10837,74.43459804414819,9230.915777790378,100,0.38655055,-94.71227960377932,0.020873187,0.97467005,4.069032e-05,3.3370037e-05,2.034447,0.01,100,1.3434613
-107.59834,1,2581.393987446686,0.6207168,-72.81231280341744,-72.81231280341744,98.43577765683176,103.2,44.482746,-72.16591,98.15293266796678,2581.393987446686,100,0.016219625,-72.81231280341744,0.013398029,1.0052379,1.6051039e-06,0.006174825,1.3468206,0.010000002,100,1.0188183
-124.629196,1,8198.24668876788,0.23431268,-91.878583111763,-91.878583111763,85.29945341175713,125.23,74.951416,-87.11064,87.55818262093959,8198.24668876788,100,0.18037617,-91.878583111763,0.031878836,1.0179192,1.7408147e-05,0.002301879,3.245008,0.01,100,1.1420977
-117.46332,1,8168.370452951333,0.008382416,-92.26951900705696,-92.26951900705696,70.71128729510946,125.95,48.20859,-75.61965,70.39452566985968,8168.370452951333,100,0.43348864,-92.26951900705696,0.020761728,1.0178894,4.1838546e-05,8.235096e-05,2.1133142,0.009999999,100,1.420565
-119.52388,1,7177.60992636303,0.20907564,-86.96098586201668,-86.96098586201668,86.11156854182867,119.58,73.674065,-82.33642,89.12661819810684,7177.60992636303,100,0.1737,-86.96098586201668,0.0286498,1.0325751,1.6291333e-05,0.0020247984,2.9583068,0.009999999,100,1.1219993
