VanillaAvgRet,MaxVanillaIw,BatchSize,J,MinNormIw,eRenyi2,MinVanillaIw,VarDiscRet,AvgNormIw,VarRet,AvgVanillaIw,ESSRenyi,VarVanillaIw,EpsThisIter,MaxNormIw,VarNormIw,IterType,Bound,VarJ,AvgDiscRet,AvgEpLen,AvgRet,Delta,ESSClassic
-1425.44948405,3.37501,100,-1186.04,2.02118e-06,1.87254,0.000229893,133464.220469,0.01,133464.220469,1.13742,53.4034972681,1.07201,100,0.0296725,8.28621e-05,1,-1521.17,149.825,-1425.44948405,500.0,-1425.44948405,0.4,54.9349338455
-1226.39315931,1.88121,100,-1151.12,0.0004481,1.23033,0.0380345,68392.059135,0.01,68392.059135,0.848794,81.278881076,0.236074,100,0.0221634,3.27675e-05,1,-1420.46,96.7879,-1226.39315931,500.0,-1226.39315931,0.4,75.5059859294
-1138.30984664,1.21283,100,-1132.91,0.00376889,1.01804,0.373398,12097.2982359,0.01,12097.2982359,0.990739,98.227789049,0.0201295,100,0.0122417,2.05076e-06,1,-1374.18,78.1674,-1138.30984664,500.0,-1138.30984664,0.4,98.0101535912
-1136.13994082,1.17375,100,-1133.82,0.00562461,1.01125,0.55846,3104.49726181,0.01,3104.49726181,0.992887,98.8876884438,0.0136592,100,0.0118216,1.38556e-06,1,-1307.08,49.5803,-1136.13994082,500.0,-1136.13994082,0.4,98.6468388478
-1143.18615561,1.36189,100,-1138.02,0.00454495,1.01584,0.461369,9070.91367979,0.01,9070.91367979,1.01513,98.440982935,0.0150918,100,0.013416,1.46454e-06,1,-1380.01,51.4271,-1143.18615561,500.0,-1143.18615561,0.4,98.5708478329
-1140.16681395,1.21024,100,-1135.02,0.00396972,1.0144,0.390676,9165.61812109,0.01,9165.61812109,0.98414,98.5808581789,0.0149148,100,0.0122975,1.53994e-06,1,-1376.77,58.3736,-1140.16681395,500.0,-1140.16681395,0.4,98.4983329276
-1131.10196497,1.84995,100,-1123.53,0.0056755,1.04522,0.568015,7901.28565311,0.01,7901.28565311,1.00082,95.6737237842,0.0568619,100,0.0184844,5.67688e-06,1,-1326.78,136.108,-1131.10196497,500.0,-1131.10196497,0.4,94.678936272
-1146.36922669,1.2525,100,-1140.68,0.00500705,1.01806,0.497214,9262.93316455,0.01,9262.93316455,0.993028,98.2263973092,0.0212114,100,0.0126129,2.15103e-06,1,-1387.8,50.5418,-1146.36922669,500.0,-1146.36922669,0.4,97.9148882306
-1142.22964349,1.2091,100,-1139.45,0.0051293,1.01315,0.507259,1745.80489514,0.01,1745.80489514,0.988944,98.7019307136,0.0146574,100,0.0122262,1.4987e-06,1,-1322.36,25.6017,-1142.22964349,500.0,-1142.22964349,0.4,98.5379947324
-1132.28832827,1.14051,100,-1132.07,0.00919631,1.00164,0.916924,157.434152035,0.01,157.434152035,0.997056,99.8367238028,0.00159746,100,0.0114388,1.60691e-07,1,-1271.45,14.1793,-1132.28832827,500.0,-1132.28832827,0.4,99.8411977388
-1127.85209382,2.04149,100,-1121.67,0.00646963,1.05327,0.641623,1869.78255292,0.01,1869.78255292,0.991745,94.9428595876,0.0528379,100,0.0205849,5.37212e-06,1,-1265.04,85.9554,-1127.85209382,500.0,-1127.85209382,0.4,94.9501960461
-1148.03148115,1.26788,100,-1142.08,0.00544012,1.02074,0.543332,8774.2164473,0.01,8774.2164473,0.998749,97.9682063191,0.0196427,100,0.0126947,1.96919e-06,1,-1386.33,53.5018,-1148.03148115,500.0,-1148.03148115,0.4,98.087770559
-1130.14808614,1.7104,100,-1122.41,0.00501303,1.03976,0.508375,12459.3780464,0.01,12459.3780464,1.01411,96.1757435022,0.0454203,100,0.0168661,4.41655e-06,1,-1369.49,136.45,-1130.14808614,500.0,-1130.14808614,0.4,95.8107918278
-1143.1811752,1.28436,100,-1139.82,0.00615264,1.01203,0.617129,7432.26146304,0.01,7432.26146304,1.00303,98.8108339617,0.0102564,100,0.0128048,1.01945e-06,1,-1384.72,53.4998,-1143.1811752,500.0,-1143.1811752,0.4,99.0008218582
-1160.31836631,1.2282,100,-1140.46,0.000831639,1.04104,0.08053,15482.7980969,0.01,15482.7980969,0.968329,96.0578595582,0.0615064,100,0.0126838,6.55956e-06,1,-1377.95,26.3956,-1160.31836631,500.0,-1160.31836631,0.4,93.9020282124
-1136.72088342,13.714,100,-1074.98,0.00087404,1.54837,0.093545,6534.10248935,0.01,6534.10248935,1.07026,64.5839915988,1.96014,100,0.128137,0.000171123,1,-1321.37,588.864,-1136.72088342,500.0,-1136.72088342,0.4,37.1179096726
-1140.79418128,1.11418,100,-1137.05,0.00520414,1.01249,0.524433,7313.64605651,0.01,7313.64605651,1.00772,98.7663577282,0.0111971,100,0.0110564,1.10261e-06,1,-1378.73,46.1939,-1140.79418128,500.0,-1140.79418128,0.4,98.9201967774
-1136.13874133,1.20007,100,-1132.1,0.00566915,1.0136,0.562726,16586.8408622,0.01,16586.8408622,0.992611,98.6584110726,0.0141875,100,0.01209,1.43995e-06,1,-1377.56,95.6772,-1136.13874133,500.0,-1136.13874133,0.4,98.5944618764
-1128.30998737,2.1117,100,-1123.23,0.00728444,1.04368,0.73498,1128.5611667,0.01,1128.5611667,1.00897,95.8150761428,0.0468919,100,0.0209292,4.60616e-06,1,-1265.28,65.369,-1128.30998737,500.0,-1128.30998737,0.4,95.6388072843
-1126.52616921,31.8401,100,-990.383,0.000355048,2.13743,0.0519344,4454.99711617,0.01,4454.99711617,1.46275,46.7851641322,11.727,100,0.217674,0.000548085,1,-1213.39,784.947,-1126.52616921,500.0,-1126.52616921,0.4,15.5616787239
-1142.96428796,1.67846,100,-1133.01,0.00266958,1.03337,0.276353,11371.1088407,0.01,11371.1088407,1.03519,96.7710148211,0.0301424,100,0.0162139,2.81277e-06,1,-1376.62,70.9718,-1142.96428796,500.0,-1142.96428796,0.4,97.2908383147
-1131.43591019,77.269,100,-925.814,5.37033e-05,2.21933,0.00919534,13955.7527244,0.01,13955.7527244,1.71225,45.0587149636,59.3657,100,0.451272,0.0020249,1,-1283.43,1081.7,-1131.43591019,500.0,-1131.43591019,0.4,4.75139361379
-1051.52797936,11.6634,100,-872.247,2.32931e-05,2.17217,0.00288637,57170.5760277,0.01,57170.5760277,1.23915,46.0368382163,3.07561,100,0.0941239,0.0002003,1,-1226.02,479.588,-1051.52797936,500.0,-1051.52797936,0.4,33.523635757
-1031.12131956,12.5816,100,-748.904,3.50214e-13,2.76549,3.64921e-11,85272.6435301,0.01,85272.6435301,1.042,36.1599689361,3.47642,100,0.120745,0.000320184,1,-1148.94,357.998,-1031.12131956,500.0,-1031.12131956,0.4,23.9818445707
-835.148240399,3.31216,100,-706.678,0.000108402,1.6137,0.00998353,62034.9966336,0.01,62034.9966336,0.920976,61.9693309504,0.565632,100,0.0359636,6.66865e-05,1,-1012.64,171.409,-835.148240399,500.0,-835.148240399,0.4,60.2338384851
-754.556881861,2.80292,100,-659.339,0.000345302,1.37994,0.0317415,61650.3849448,0.01,61650.3849448,0.91924,72.4669859832,0.415964,100,0.0304917,4.92264e-05,1,-941.455,195.562,-754.556881861,500.0,-754.556881861,0.4,67.234076754
-652.950090362,4.60642,100,-609.77,0.00126025,1.24111,0.130361,19755.2431864,0.01,19755.2431864,1.03441,80.5727202541,0.449923,100,0.044532,4.20489e-05,1,-792.058,87.3797,-652.950090362,500.0,-652.950090362,0.4,70.607294372
-621.187923663,1.74057,100,-602.364,0.0010989,1.12061,0.106383,8806.90017617,0.01,8806.90017617,0.968086,89.2372259489,0.123639,100,0.0179795,1.31925e-05,1,-739.316,61.2077,-621.187923663,500.0,-621.187923663,0.4,88.4481369416
-601.856143849,1.50174,100,-582.182,0.00358305,1.07622,0.356851,23994.0109379,0.01,23994.0109379,0.995942,92.9181620684,0.0865159,100,0.0150786,8.72223e-06,1,-831.361,86.5548,-601.856143849,500.0,-601.856143849,0.4,92.0513567694
-585.579483456,2.79543,100,-562.844,0.00066796,1.19132,0.0690082,6127.95539379,0.01,6127.95539379,1.03312,83.9407842091,0.246058,100,0.0270582,2.30535e-05,1,-673.973,67.2263,-585.579483456,500.0,-585.579483456,0.4,81.4180123198
-591.144882948,1.85627,100,-575.637,0.00154861,1.07628,0.156546,10271.1333705,0.01,10271.1333705,1.01088,92.9129956344,0.0819546,100,0.0183629,8.01998e-06,1,-740.564,71.3142,-591.144882948,500.0,-591.144882948,0.4,92.6442519054
