Inner Iteration,MinIW,MeanIW,ESSRenyiArithmetic,EpRewMean,EmpiricalD2Arithmetic,ESSRenyiHarmonic,InitialReturnMin,Iteration,MeanD2-0,EpLenMean,ReturnMeanIW,TimeElapsed,InitialReturnMax,MinTargetPdf,StdIW,DivergenceHarmonic,EpisodesSoFar,EmpiricalD2Harmonic,MeanEntropy,MinBehavPdf,EpThisIter,TimestepsSoFar,ReturnStepMaxmin,ReturnStepMax,InitialReturnStd,InitialBound,Bound,InitialReturnMean,MaxIW
1,0.55837655,1.0589463,100.0,55.15911385070117,1.0,100.0,,1,1.0,6.52,3839.636,1.8338072299957275,229.82451,-32.212578,0.29718095,1.202465,100,1.0,1.4189444,-32.212578,100,652,9.999979,9.999979,37.516354,-4980.8584,-4421.7544,55.159115,2.3221312
2,0.19655144,1.0213381,93.363785,72.65434278579156,1.0710791,93.363785,9.979836,1,1.0710791,8.27,4863.207,21.070432901382446,249.9259,-40.77746,0.55399644,2.0158126,200,1.0710791,1.4189444,-40.402397,100,1479,9.999986,9.999986,58.12643,-6235.8833,-5754.5195,72.65434,2.6196864
3,0.107419014,1.024048,88.76464,67.95292338587699,1.1265748,88.76464,9.9803505,1,1.1265748,7.8,4605.1377,43.116161823272705,429.7191,-62.306664,0.46636865,1.3496972,300,1.1265748,1.4189444,-60.814594,100,2259,9.999978,9.999978,56.307495,-7534.199,-6761.2427,67.95292,3.1600778
4,0.40257344,1.0382426,97.71978,55.65964291476427,1.0233343,97.71978,,1,1.0233343,6.57,4143.6484,65.28785634040833,239.92499,-33.012337,0.2696799,1.1945286,400,1.0233343,1.4189444,-32.89038,100,2916,9.999989,9.999989,41.870068,-4820.9224,-4775.961,55.659645,1.8417547
5,0.4373145,1.0326902,96.45111,64.25604395670427,1.0367947,96.45111,9.979811,1,1.0367947,7.43,4939.715,84.42983150482178,229.83798,-32.932808,0.38722563,1.3483815,500,1.0367947,1.4189444,-32.54757,100,3659,9.999996,9.999996,45.592804,-5707.1455,-5556.214,64.25604,2.7116122
6,0.19803862,1.0312439,95.03798,78.05388564214626,1.0522109,95.03798,,1,1.0522109,8.81,6672.4097,107.74637579917908,299.83618,-43.893814,0.39751983,1.4840686,600,1.0522109,1.4189444,-43.28968,100,4540,9.999998,9.999998,60.584496,-8172.493,-7773.131,78.05388,2.317596
7,0.07586295,0.94542044,92.44471,77.6494811927881,1.0817276,92.44471,,1,1.0817276,8.77,5739.8066,133.283433675766,369.77127,-52.152573,0.41581056,1.6538626,700,1.0817276,1.4189444,-51.556015,100,5417,9.999995,9.999995,71.923065,-8032.624,-7507.0586,77.64948,2.2833192
8,0.13968669,1.092176,93.43759,77.55482961405214,1.0702331,93.43759,,1,1.0702331,8.76,6036.238,159.11513018608093,389.8589,-52.205452,0.5027935,1.5522964,800,1.0702331,1.4189444,-51.270103,100,6293,9.999989,9.999989,62.932644,-8366.06,-7939.4385,77.55483,2.8228698
9,0.2987965,1.053772,93.61499,69.55526360421746,1.068205,93.61499,,1,1.068205,7.96,5076.6865,185.3061556816101,279.8622,-36.029358,0.44659597,1.5607703,900,1.068205,1.4189444,-35.535957,100,7089,9.999996,9.999996,49.229725,-6135.084,-6060.1094,69.55526,2.2837286
10,0.121574126,1.1026719,93.10797,79.05426728385552,1.0740219,93.10797,,1,1.0740219,8.91,6318.6323,204.21798944473267,349.8761,-45.857727,0.5170621,1.5557443,1000,1.0740219,1.4189444,-44.8593,100,7980,9.999998,9.999998,66.89362,-7906.0386,-7853.1787,79.05427,2.7778122
