ESSRenyiHarmonic,Bound,TimeElapsed,Inner Iteration,EmpiricalD2Harmonic,MinTargetPdf,InitialReturnMax,EpLenMean,EpRewMean,MinIW,MinBehavPdf,ReturnStepMax,StdIW,EpisodesSoFar,InitialReturnMin,EpThisIter,ReturnMeanIW,ReturnStepMaxmin,EmpiricalD2Arithmetic,Iteration,DivergenceHarmonic,InitialBound,TimestepsSoFar,ESSRenyiArithmetic,InitialReturnStd,MeanEntropy,MaxIW,InitialReturnMean,MeanIW,MeanD2-0
100.0,-4267.0015,2.2252798080444336,1,1.0,-26.459877,169.85983,6.63,56.26266255406494,0.46992406,-26.459877,9.999961,0.20999232,100,,100,3958.2075,9.999961,1.0,1,1.1339935,-4811.4146,663,100.0,36.82323,1.4189444,1.4248694,56.26266,1.0194067,1.0
94.27401,-6343.872,40.959277391433716,2,1.0607377,-47.003334,289.90228,8.29,72.85257459963186,0.06618146,-46.476486,9.999997,0.5295422,200,,100,5281.4355,9.999997,1.0607377,1,1.5821021,-6808.7188,1492,94.27401,61.798466,1.4189444,4.168185,72.85258,1.0290136,1.0607377
93.30225,-4443.6226,74.22149920463562,3,1.0717854,-37.15708,219.90399,6.75,57.46005986967627,0.15963192,-36.325905,9.999996,0.39359415,300,,100,3871.6938,9.999996,1.0717854,1,1.3847992,-4650.1875,2167,93.30225,41.415005,1.4189444,2.4132624,57.460052,1.0512327,1.0717854
95.80155,-3888.8372,102.89941096305847,4,1.0438244,-28.581041,169.96182,6.37,53.66356070355334,0.40138656,-28.074394,9.99997,0.28916407,400,,100,3571.934,9.99997,1.0438244,1,1.1914681,-4102.7715,2804,95.80155,36.443615,1.4189444,1.8617078,53.66356,1.04652,1.0438244
97.31301,-5436.0586,130.7418577671051,5,1.0276119,-32.41053,219.8922,7.42,64.16122137997621,0.21659376,-31.73851,10.0,0.36087045,500,,100,4853.7817,10.0,1.0276119,1,1.4356726,-5667.865,3546,97.31301,48.522972,1.4189444,2.0759406,64.161224,1.0461751,1.0276119
100.0,-6648.8516,157.53373336791992,1,1.0,-44.15672,309.82794,7.76,67.55602394576023,0.29085457,-44.15672,9.999994,0.25581068,600,,100,5544.61,9.999994,1.0,2,1.3100293,-8325.945,4322,100.0,52.890076,1.3943418,1.9031618,67.55602,1.0148845,1.0
91.83016,-5646.7964,191.49917268753052,2,1.0889668,-37.561543,209.82687,7.96,69.55765027092758,0.21427624,-36.714523,9.999986,0.502194,700,,100,5065.673,9.999986,1.0889668,2,1.724756,-5984.1777,5118,91.83016,49.835625,1.3943418,2.565648,69.55765,1.0641274,1.0889668
91.55693,-6046.373,229.44586086273193,3,1.0922166,-34.56077,239.82448,8.56,75.55311544737911,0.19290721,-34.010563,9.999997,0.5624454,800,9.9815,100,5212.763,9.999997,1.0922166,2,2.079634,-6288.4326,5974,91.55693,52.100254,1.3943418,3.1468995,75.55312,1.0331676,1.0922166
87.3733,-7679.2803,262.5893442630768,4,1.1445144,-47.12793,369.8767,9.09,80.85204312113255,0.12554915,-46.510864,9.999989,0.6657342,900,9.979966,100,5803.5825,9.999989,1.1445144,2,1.8609432,-8303.764,6883,87.3733,64.70956,1.3943418,4.399736,80.85204,1.0478787,1.1445144
92.79209,-5568.3896,306.28561210632324,5,1.0776781,-36.70835,279.87103,7.73,67.25550739032498,0.23127638,-36.097965,9.999989,0.41452247,1000,,100,4642.448,9.999989,1.0776781,2,1.3834723,-5810.3184,7656,92.79209,47.282036,1.3943418,2.0818667,67.25551,1.0246997,1.0776781
