ESSRenyiHarmonic,InitialReturnStd,InitialReturnMean,Bound,EmpiricalD2Arithmetic,Iteration,MinBehavPdf,TimestepsSoFar,ReturnMeanIW,EpLenMean,InitialReturnMax,MinIW,StdIW,MeanIW,InitialBound,EmpiricalD2Harmonic,EpThisIter,EpRewMean,ReturnStepMaxmin,InitialReturnMin,ESSRenyiArithmetic,EpisodesSoFar,Inner Iteration,ReturnStepMax,MaxIW,MeanEntropy,TimeElapsed,MeanD2-0,DivergenceHarmonic,MinTargetPdf
100.0,36.82323,56.26266,-4267.0015,1.0,1,-26.459877,663,3958.2075,6.63,169.85983,0.46992406,0.20999232,1.0194067,-4811.4146,1.0,100,56.26266255406494,9.999961,,100.0,100,1,9.999961,1.4248694,1.4189444,3.736297845840454,1.0,1.1339935,-26.459877
94.27401,61.798466,72.85258,-6343.872,1.0607377,1,-46.476486,1492,5281.4355,8.29,289.90228,0.06618146,0.5295422,1.0290136,-6808.7188,1.0607377,100,72.85257459963186,9.999997,,94.27401,200,2,9.999997,4.168185,1.4189444,51.63787078857422,1.0607377,1.5821021,-47.003334
93.30225,41.415005,57.460052,-4443.6226,1.0717854,1,-36.325905,2167,3871.6938,6.75,219.90399,0.15963192,0.39359415,1.0512327,-4650.1875,1.0717854,100,57.46005986967627,9.999996,,93.30225,300,3,9.999996,2.4132624,1.4189444,94.33796811103821,1.0717854,1.3847992,-37.15708
95.80155,36.443615,53.66356,-3888.8372,1.0438244,1,-28.074394,2804,3571.934,6.37,169.96182,0.40138656,0.28916407,1.04652,-4102.7715,1.0438244,100,53.66356070355334,9.99997,,95.80155,400,4,9.99997,1.8617078,1.4189444,136.94998478889465,1.0438244,1.1914681,-28.581041
97.31301,48.522972,64.161224,-5436.0586,1.0276119,1,-31.73851,3546,4853.7817,7.42,219.8922,0.21659376,0.36087045,1.0461751,-5667.865,1.0276119,100,64.16122137997621,10.0,,97.31301,500,5,10.0,2.0759406,1.4189444,186.01981115341187,1.0276119,1.4356726,-32.41053
93.07924,52.890076,67.55602,-5384.3213,1.0743535,1,-44.15672,4322,4135.335,7.76,309.82794,0.14677286,0.43274385,0.97466505,-6112.873,1.0743535,100,67.55602394576023,9.999994,,93.07924,600,6,9.999994,2.5193927,1.4189444,230.5266933441162,1.0743535,1.6759785,-44.994354
90.79804,50.837437,67.85691,-5677.7476,1.1013453,1,-42.384903,5101,4406.4404,7.79,309.90598,0.10311251,0.48983854,1.0447901,-5930.769,1.1013453,100,67.85691213090007,9.999997,,90.79804,700,7,9.999997,2.604389,1.4189444,287.2320785522461,1.1013453,1.7346684,-43.59761
92.10916,56.537273,68.65495,-5510.759,1.0856683,1,-53.79673,5888,3828.1453,7.87,359.87747,0.054622438,0.5048993,0.9936313,-6023.4014,1.0856683,100,68.6549515078918,9.999996,,92.10916,800,8,9.999996,2.6192493,1.4189444,333.63537979125977,1.0856683,1.6710335,-55.13259
91.34654,45.576187,67.06042,-5984.6675,1.0947322,1,-38.186462,6659,4894.64,7.71,289.89563,0.34330708,0.42854515,1.018227,-6281.9844,1.0947322,100,67.0604191729331,9.999991,,91.34654,900,9,9.999991,2.3516514,1.4189444,388.05793929100037,1.0947322,1.6654947,-38.499115
94.58264,41.430687,56.062332,-4087.5774,1.0572765,1,-34.045666,7320,3701.5708,6.61,179.95628,0.29758617,0.48828837,1.0941664,-4174.8325,1.0572765,100,56.06233507423702,9.999997,,94.58264,1000,10,9.999997,3.8571253,1.4189444,437.15515899658203,1.0572765,1.4065553,-34.608887
100.0,40.076492,58.062393,-5009.5527,1.0,2,-33.784103,8001,4371.893,6.81,239.87057,0.5000751,0.2426951,1.0579396,-5555.644,1.0,100,58.06239562993568,9.999991,,100.0,1100,1,9.999991,1.8151093,1.4116899,474.89837551116943,1.0,1.2159214,-33.784103
92.81508,51.820892,73.05557,-6476.101,1.0774112,2,-40.918114,8832,5671.7407,8.31,259.889,0.08537378,0.44818777,1.0254861,-6743.347,1.0774112,100,73.05557669779195,9.999993,9.979234,92.81508,1200,2,9.999993,2.7108934,1.4116899,518.9501581192017,1.0774112,1.4040577,-42.073174
95.38832,57.711708,73.754166,-6730.6763,1.0483464,2,-42.667553,9670,5435.977,8.38,319.88824,0.10020578,0.48025706,1.0454656,-7261.1777,1.0483464,100,73.75416458717427,9.999986,,95.38832,1300,3,9.999986,3.188181,1.4116899,570.4046473503113,1.0483464,1.58482,-43.4225
91.36986,59.197216,75.15478,-6402.7075,1.0944529,2,-35.227318,10522,5260.436,8.52,289.8905,0.12199316,0.7241259,1.0518111,-6638.827,1.0944529,100,75.15477572296189,9.999987,9.979383,91.36986,1400,4,9.999987,6.257008,1.4116899,618.934018611908,1.0944529,1.8291016,-35.86224
92.117386,51.36618,71.45458,-6166.245,1.0855714,2,-39.048172,11337,5182.825,8.15,279.8959,0.2438241,0.5558102,1.0432743,-6235.171,1.0855714,100,71.45458315368045,9.999998,,92.117386,1500,5,9.999998,3.2609742,1.4116899,666.9468603134155,1.0855714,1.5600086,-39.3602
93.71139,68.61699,80.65093,-7594.2925,1.0671061,2,-48.05641,12244,5954.865,9.07,359.8735,0.10289013,0.48361927,1.0043004,-7863.843,1.0671061,100,80.65093061057182,9.999999,,93.71139,1600,6,9.999999,2.964878,1.4116899,708.0853307247162,1.0671061,1.5864266,-48.891163
93.13623,59.68346,79.45364,-7888.7773,1.073696,2,-59.838882,13139,5927.798,8.95,399.85944,0.11149291,0.4637837,0.98495054,-7952.0312,1.073696,100,79.45364519182881,9.999998,,93.13623,1700,7,9.999998,2.2786858,1.4116899,757.5825006961823,1.073696,1.4891962,-61.02352
94.64397,47.371574,65.7543,-5722.372,1.0565914,2,-38.61296,13897,4835.197,7.58,269.79617,0.13738683,0.40257555,1.0826873,-5871.972,1.0565914,100,65.75430122066635,9.999993,9.981106,94.64397,1800,8,9.999993,2.2637966,1.4116899,799.2177007198334,1.0565914,1.4706562,-39.6204
93.65152,59.02324,74.15642,-7778.748,1.0677884,2,-44.41344,14739,6637.952,8.42,309.8568,0.18247235,0.44923586,1.0579419,-8177.063,1.0677884,100,74.1564191735389,9.999994,,93.65152,1900,9,9.999994,3.7556064,1.4116899,843.1900534629822,1.0677884,1.3976768,-44.884468
95.44561,43.17213,69.35484,-5479.778,1.0477171,2,-31.780766,15533,4959.8604,7.94,209.90363,0.208791,0.3890473,1.0243297,-5715.739,1.0477171,100,69.35484748266147,9.999975,,95.44561,2000,10,9.999975,2.516552,1.4116899,894.7039761543274,1.0477171,1.378556,-32.577335
100.0,53.029903,73.653915,-7665.448,1.0,3,-46.398933,16370,6372.822,8.37,329.76233,0.24526627,0.28202048,1.0193242,-9329.981,1.0,100,73.65391623810565,9.999995,,100.0,2100,1,9.999995,1.8636832,1.3917272,943.0752921104431,1.0,1.3988692,-46.398933
90.122574,67.063774,83.644905,-10198.408,1.1096,3,-65.95995,17307,6461.211,9.37,559.7641,0.078994595,0.33977127,0.9300087,-11965.006,1.1096,100,83.64490793387753,9.999998,,90.122574,2200,2,9.999998,1.9002454,1.3917272,997.4490296840668,1.1096,1.4083389,-67.68888
96.69247,64.70787,75.54833,-7985.718,1.0342067,3,-49.14753,18163,6427.651,8.56,359.92096,0.2104382,0.57753223,1.103284,-8959.131,1.0342067,100,75.54832920815319,9.999996,,96.69247,2300,3,9.999996,4.4767337,1.3917272,1052.5826199054718,1.0342067,1.4321187,-49.121883
92.51732,58.527264,82.04512,-7181.708,1.0808787,3,-37.800728,19084,6206.13,9.21,269.95038,0.18339351,0.70575166,1.0779886,-7604.041,1.0808787,100,82.0451145441703,9.999997,,92.51732,2400,4,9.999997,5.3104157,1.3917272,1112.1259574890137,1.0808787,1.7742853,-38.078857
90.589485,59.07519,76.85113,-7621.505,1.1038809,3,-48.242798,19953,5997.6016,8.69,359.80078,0.16605046,0.6480475,1.1232852,-7917.043,1.1038809,100,76.85113291573015,9.999997,,90.589485,2500,5,9.999997,4.874478,1.3917272,1163.8264610767365,1.1038809,1.5577834,-49.067265
95.251175,57.05159,82.647484,-8043.1577,1.0498558,3,-48.90132,20880,6652.4907,9.27,329.9125,0.26763108,0.47184595,1.03072,-8204.244,1.0498558,100,82.64748299371766,9.999995,9.981413,95.251175,2600,6,9.999995,3.1298633,1.3917272,1205.4542906284332,1.0498558,1.6161673,-49.377293
91.61439,67.24775,84.24572,-7783.811,1.0915316,3,-49.431213,21823,6318.6123,9.43,329.91833,0.10339454,0.5542901,1.0458623,-7909.305,1.0915316,100,84.24573062496235,9.999993,,91.61439,2700,7,9.999993,3.0147114,1.3917272,1244.6357185840607,1.0915316,1.793918,-50.41887
92.36443,61.49602,79.85101,-7688.4873,1.0826678,3,-36.375774,22722,6555.6187,8.99,289.82098,0.14113717,0.6071875,1.1112746,-8000.593,1.0826678,100,79.85101782658855,9.999999,,92.36443,2800,8,9.999999,4.102687,1.3917272,1286.8590257167816,1.0826678,1.8008388,-37.154686
90.28369,69.523346,93.74331,-9860.095,1.1076198,3,-40.855316,23760,8749.07,10.38,279.9427,0.15545179,0.52345955,1.0330424,-10048.29,1.1076198,100,93.743315327632,9.999995,9.981288,90.28369,2900,9,9.999995,3.2130206,1.3917272,1330.5154638290405,1.1076198,1.9897854,-41.331856
91.85584,74.06738,87.14932,-7818.576,1.0886624,3,-43.472637,24732,6170.7246,9.72,339.83926,0.12326273,0.6869351,1.1138982,-7933.0513,1.0886624,100,87.14932554414091,9.999997,,91.85584,3000,10,9.999997,3.9279525,1.3917272,1374.6663732528687,1.0886624,2.015474,-44.504116
100.0,78.27546,100.837364,-14118.461,1.0,4,-50.123756,25841,12440.584,11.09,369.88034,0.31227002,0.32849446,1.0504088,-17670.229,1.0,100,100.83736548465694,9.999985,9.983972,100.0,3100,1,9.999985,2.1071947,1.3672321,1414.274066209793,1.0,1.489053,-50.123756
89.86287,62.303905,89.24708,-10231.876,1.1128067,4,-41.496216,26834,8643.976,9.93,359.92047,0.1650048,0.55446076,1.107095,-11048.644,1.1128067,100,89.24707614410421,9.999989,,89.86287,3200,2,9.999989,3.7450414,1.3672321,1471.021503686905,1.1128067,1.4874945,-42.595966
95.51267,57.977318,83.3488,-8927.29,1.0469815,4,-36.751514,27768,8165.1836,9.34,249.91899,0.34641698,0.51741517,1.15893,-9715.535,1.0469815,100,83.34880380192818,9.999965,9.979902,95.51267,3300,3,9.999965,2.8632903,1.3672321,1524.340892314911,1.0469815,1.4739059,-37.287457
93.65567,57.06422,84.948235,-8898.188,1.067741,4,-45.546783,28718,7229.077,9.5,369.90363,0.2020016,0.4052607,1.0282886,-9050.732,1.067741,100,84.94823661004818,9.999999,9.980149,93.65567,3400,4,9.999999,2.6485755,1.3672321,1572.8493888378143,1.067741,1.473165,-46.36453
94.24509,62.8261,92.5435,-9103.511,1.0610633,4,-37.01158,29744,8211.2295,10.26,259.8758,0.100996315,0.49374318,1.0798336,-9416.33,1.0610633,100,92.54350277941907,9.999997,9.9842825,94.24509,3500,5,9.999997,2.3786006,1.3672321,1613.7881124019623,1.0610633,1.7281265,-37.38983
90.96683,79.484985,101.64051,-12171.791,1.0993018,4,-51.28714,30861,9733.662,11.17,419.87253,0.080302276,0.55209726,1.0150399,-12562.403,1.0993018,100,101.64050840220166,9.999999,,90.96683,3600,6,9.999999,3.4513705,1.3672321,1651.3815231323242,1.0993018,1.8935574,-51.842056
91.58224,73.455765,95.94158,-9690.24,1.0919148,4,-42.745415,31921,8072.3174,10.6,339.91833,0.100025505,0.68601495,1.0914841,-9788.564,1.0919148,100,95.94158248542091,9.999993,,91.58224,3700,7,9.999993,4.3869653,1.3672321,1694.2812712192535,1.0919148,1.9411204,-43.43038
90.78904,69.00424,87.64866,-10516.105,1.1014545,4,-42.249153,32898,8831.09,9.77,369.84958,0.18681808,0.45131156,1.0960351,-10979.459,1.1014545,100,87.64866295383264,9.999992,,90.78904,3800,8,9.999992,2.6463737,1.3672321,1729.2901709079742,1.1014545,1.5022521,-42.993156
94.90912,81.112144,99.942215,-12227.486,1.0536395,4,-69.25653,33998,9672.118,11.0,449.8592,0.13503514,0.57118875,1.1654983,-12579.843,1.0536395,100,99.94222291952875,9.999971,9.984671,94.90912,3900,9,9.999971,3.441494,1.3672321,1768.3747816085815,1.0536395,1.5784674,-69.954
91.97663,59.891914,92.74161,-10061.484,1.0872327,4,-40.81967,35026,9121.409,10.28,269.80377,0.21907166,0.44018686,1.0804368,-10113.925,1.0872327,100,92.74160880235473,9.999999,9.983044,91.97663,4000,10,9.999999,2.7650042,1.3672321,1804.3945546150208,1.0872327,1.6510817,-41.142315
100.0,79.16219,108.83373,-17443.201,1.0,5,-53.74555,36215,15956.822,11.89,369.79742,0.5395336,0.21012889,1.0252517,-19485.828,1.0,100,108.83373953781351,9.999996,9.982874,100.0,4100,1,9.999996,1.719711,1.3594528,1835.0581505298615,1.0,1.1696024,-53.74555
95.33094,74.03545,108.537254,-13199.209,1.0489774,5,-47.826958,37401,11721.4375,11.86,339.73508,0.20881331,0.44782448,1.0198694,-13723.199,1.0489774,100,108.53724827131691,10.0,9.980613,95.33094,4200,2,10.0,2.8916981,1.3594528,1883.0390241146088,1.0489774,1.6228874,-48.304214
92.613106,69.05675,106.0338,-12244.954,1.0797608,5,-44.83466,38562,10950.48,11.61,309.84818,0.23534809,0.50382197,1.0699494,-12888.333,1.0797608,100,106.03379585467462,9.999992,,92.613106,4300,3,9.999992,3.5839257,1.3594528,1922.2775638103485,1.0797608,1.7998062,-45.114746
90.63969,88.05387,113.53045,-14847.204,1.1032695,5,-64.24101,39798,11909.613,12.36,459.822,0.10854768,0.45722875,1.0219902,-16069.846,1.1032695,100,113.53045108248503,9.999994,,90.63969,4400,4,9.999994,2.0605812,1.3594528,1957.4878888130188,1.1032695,1.9109923,-65.01873
91.10766,76.48855,116.13248,-12710.129,1.0976026,5,-52.37587,41060,11045.414,12.62,339.8343,0.14129555,0.5981556,1.0645447,-13634.358,1.0976026,100,116.13248278704877,9.999989,,91.10766,4500,5,9.999989,2.8573546,1.3594528,1995.5896830558777,1.0976026,2.0570571,-53.02191
87.486206,78.82379,113.033875,-13542.369,1.1430373,5,-45.971268,42291,11852.425,12.31,329.8659,0.18856075,0.6485523,1.0754794,-13927.168,1.1430373,100,113.03387996585383,9.999996,,87.486206,4600,6,9.999996,3.8009748,1.3594528,2032.3733658790588,1.1430373,2.3879778,-46.207794
89.943146,82.06182,103.63919,-12849.154,1.1118134,5,-55.696915,43428,10176.713,11.37,449.8056,0.13383514,0.5030257,1.0867789,-13246.483,1.1118134,100,103.63918306060988,9.999993,,89.943146,4700,7,9.999993,2.73675,1.3594528,2063.741544485092,1.1118134,1.7272377,-56.797638
92.7997,78.482704,108.73462,-12488.522,1.0775898,5,-48.026073,44616,11081.789,11.88,319.89203,0.08763606,0.53672796,1.0951312,-12757.105,1.0775898,100,108.73461826514273,9.9999895,,92.7997,4800,8,9.9999895,2.9314485,1.3594528,2093.2615962028503,1.0775898,1.8708767,-49.18909
89.874756,81.64021,115.02978,-13088.627,1.1126595,5,-45.449776,45867,11231.281,12.51,349.89874,0.16725452,0.5497781,1.0265663,-13242.088,1.1126595,100,115.02977765015302,9.999998,,89.874756,4900,9,9.999998,2.6075926,1.3594528,2121.5577716827393,1.1126595,2.2785113,-45.9641
89.599014,80.963585,108.536644,-15573.339,1.1160837,5,-49.606243,47053,13749.766,11.86,359.825,0.21982677,0.6340114,1.2183076,-18414.348,1.1160837,100,108.53664626602495,9.999998,9.98045,89.599014,5000,10,9.999998,3.2257745,1.3594528,2153.1133844852448,1.1160837,1.9638859,-48.963547
100.0,87.41818,128.32664,-21513.35,1.0,6,-61.129105,48437,18972.9,13.84,459.70706,0.47065783,0.3126745,1.0252011,-26233.615,1.0,100,128.32663494504362,9.999996,,100.0,5100,1,9.999996,2.0579145,1.3570079,2199.16987991333,1.0,1.4306446,-61.129105
89.72194,86.95625,127.3191,-16436.842,1.1145546,6,-59.24495,49811,13183.949,13.74,479.76584,0.14813635,0.5147553,0.95825315,-16950.738,1.1145546,100,127.31910267486288,9.999996,,89.72194,5200,2,9.999996,2.6220112,1.3570079,2245.658051967621,1.1145546,1.9772314,-60.271164
92.349304,96.975,130.8246,-20917.486,1.0828452,6,-69.56735,51220,16933.457,14.09,559.7285,0.07298452,0.5243074,1.0868068,-21333.656,1.0828452,100,130.82460707184148,9.99998,,92.349304,5300,3,9.99998,3.0806165,1.3570079,2277.037857532501,1.0828452,1.6009237,-70.94145
