MinBehavPdf,EpLenMean,EmpiricalD2Harmonic,ReturnStepMax,ESSRenyiHarmonic,EmpiricalD2Arithmetic,InitialReturnStd,EpRewMean,MinTargetPdf,StdIW,MeanIW,Iteration,Inner Iteration,ESSRenyiArithmetic,TimeElapsed,InitialBound,InitialReturnMean,EpisodesSoFar,MeanEntropy,MinIW,InitialReturnMax,MaxIW,TimestepsSoFar,ReturnMeanIW,MeanD2-0,EpThisIter,ReturnStepMaxmin,DivergenceHarmonic,InitialReturnMin,Bound
-42.518715,6.05,1.0,9.999986,100.0,1.0,34.351532,50.465139243065636,-42.518715,0.22781423,1.0286866,1,1,100.0,3.265825033187866,-4169.8027,50.46514,100,1.4189444,0.29247007,209.95807,1.5177149,605,3126.727,1.0,100,9.999986,1.1975037,,-3611.5532
-40.08043,7.29,1.075007,9.999993,93.02265,1.075007,41.681606,62.86279702450095,-41.265076,0.43866986,0.98343575,1,2,93.02265,41.871461629867554,-5155.628,62.862797,200,1.4189444,0.1646238,229.88107,3.0654473,1334,4283.4146,1.075007,100,9.999993,1.4211242,,-4916.562
-50.660137,7.62,1.0628335,9.999999,94.08811,1.0628335,52.521084,66.15632669535839,-51.484104,0.34456652,0.9437759,1,3,94.08811,82.41226887702942,-6288.411,66.15633,300,1.4189444,0.14249937,379.7049,2.2937953,2096,4243.648,1.0628335,100,9.999999,1.484953,9.979394,-6009.406
-27.376125,5.86,1.0534207,9.999979,94.92884,1.0534207,32.51379,48.56864063473998,-27.529602,0.3675493,1.0704529,1,4,94.92884,121.07306814193726,-3667.3352,48.568638,400,1.4189444,0.4795811,189.88934,2.6914237,2682,3077.2883,1.0534207,100,9.999979,1.1524506,,-3466.3286
-38.68364,7.43,1.0197064,9.999994,98.067444,1.0197064,50.790787,64.25738024386668,-39.675217,0.37361926,1.0266806,1,5,98.067444,165.69213008880615,-5694.673,64.25738,500,1.4189444,0.07339102,269.84033,2.058837,3425,4254.0415,1.0197064,100,9.999994,1.50297,,-5151.2046
-41.847794,7.68,1.1004891,9.999993,90.86868,1.1004891,49.4763,66.75941388578323,-43.04392,0.49208435,0.986261,1,6,90.86868,208.67241525650024,-5146.1797,66.759415,600,1.4189444,0.10398547,279.89786,2.8747547,4193,4038.0544,1.1004891,100,9.999993,1.6879671,,-5061.026
-28.872791,6.1,1.0705543,9.999997,93.40956,1.0705543,39.286366,50.9633115190234,-29.808046,0.58744,1.0880597,1,7,93.40956,241.73429155349731,-3524.6453,50.96331,700,1.4189444,0.13956791,199.86998,4.9162426,4803,2911.598,1.0705543,100,9.999997,1.5872556,,-3417.4236
-78.546906,8.67,1.1390144,9.999991,87.795204,1.1390144,74.64708,76.65302540188175,-81.22475,0.5032454,0.9990931,1,8,87.795204,275.20447278022766,-34971.246,76.65302,800,1.4189444,0.021551479,549.6267,3.0348408,5670,4932.3745,1.1390144,100,9.999991,1.5371425,9.982024,-8696.596
-33.311398,7.01,1.0332628,10.0,96.78079,1.0332628,42.519314,60.06539054431072,-33.88114,0.35099196,1.0915289,1,9,96.78079,332.38299918174744,-5217.242,60.065384,900,1.4189444,0.3098659,239.87714,2.4747596,6371,4531.828,1.0332628,100,10.0,1.2624254,,-5181.603
-24.637188,6.29,1.0394108,9.999996,96.20835,1.0394108,36.18456,52.86393582331991,-24.562458,0.39893794,1.032051,1,10,96.20835,357.3639166355133,-3616.3809,52.863937,1000,1.4189444,0.27011526,159.96317,2.381356,7000,3202.7983,1.0394108,100,9.999996,1.372538,,-3504.0884
-34.653774,7.2,1.0,9.999999,100.0,1.0,48.109394,61.964515031409476,-34.653774,0.33660215,1.0745424,2,1,100.0,387.8723018169403,-6781.872,61.964516,1100,1.4120667,0.49956983,249.92206,2.2627304,7720,5231.336,1.0,100,9.999999,1.2501171,,-5933.2227
-39.465378,7.02,1.0758927,9.999978,92.946075,1.0758927,53.968525,60.15946117233752,-39.75347,0.44382107,1.0500427,2,2,92.946075,421.873202085495,-5511.815,60.159462,1200,1.4120667,0.20640416,269.84476,3.7083423,8422,4325.785,1.0758927,100,9.999978,1.5461465,,-5235.7734
-41.376312,8.05,1.065537,9.999998,93.849396,1.065537,51.846012,70.45507542526727,-41.993538,0.40985012,1.072902,2,3,93.849396,456.58430790901184,-6676.2397,70.45507,1300,1.4120667,0.21817763,259.885,2.9475284,9227,5679.3477,1.065537,100,9.999998,1.3701233,,-6473.904
-35.37723,7.13,1.042112,9.999996,95.95898,1.042112,51.310516,61.25867224639043,-36.139122,0.4690375,1.1408966,2,4,95.95898,486.4467740058899,-5395.9907,61.25868,1400,1.4120667,0.21742988,239.8636,2.7435758,9940,4652.858,1.042112,100,9.999996,1.3677956,,-5329.1304
-35.342422,7.54,1.061935,9.999987,94.167725,1.061935,46.467415,65.3585448122535,-35.88398,0.5616982,1.1077152,2,5,94.167725,513.2288796901703,-5677.111,65.35854,1500,1.4120667,0.3055231,239.8948,2.8517601,10694,4606.203,1.061935,100,9.999987,1.6313009,9.981101,-5344.9424
-40.910816,8.17,1.1099416,9.999998,90.09483,1.1099416,55.239586,71.65723772723862,-41.453133,0.48120588,0.97505087,2,6,90.09483,541.5615456104279,-6533.9707,71.65724,1600,1.4120667,0.22031872,299.85876,3.4419897,11511,4892.1025,1.1099416,100,9.999998,1.7916878,,-6101.7173
-46.181965,8.43,1.0865301,9.999999,92.03611,1.0865301,62.567802,74.25245661353874,-47.178284,0.58909446,1.0805932,2,7,92.03611,573.9796044826508,-6803.9053,74.25246,1700,1.4120667,0.1597574,319.7737,3.3322113,12354,5316.373,1.0865301,100,9.999999,1.7667892,9.982371,-6682.4033
-44.64165,7.85,1.0853842,10.0,92.13327,1.0853842,53.930977,68.45709760933686,-45.53041,0.45196816,0.9834535,2,8,92.13327,603.99249792099,-6260.2295,68.45709,1800,1.4120667,0.11275553,349.85376,3.3423002,13139,4698.5654,1.0853842,100,10.0,1.54387,,-6227.0493
