EpRewMean,MeanEntropy,StdIW,EmpiricalD2Arithmetic,EpisodesSoFar,ESSRenyiHarmonic,TimestepsSoFar,TimeElapsed,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,EpThisIter,ReturnMeanIW,MeanD2-0,EpLenMean,ReturnStepMax,Bound,InitialBound,Inner Iteration,InitialReturnStd,ReturnStepMaxmin,DivergenceHarmonic,MaxIW,ESSRenyiArithmetic,MinTargetPdf,MinBehavPdf,Iteration,InitialReturnMean,EmpiricalD2Harmonic
56.96442048830549,1.4189444,0.20449072,1.0,100,100.0,670,3.260728597640991,189.9531,0.50395113,1.046782,,100,4480.3076,1.0,6.7,9.999982,-4869.2607,-5469.044,1,43.144638,9.999982,1.1503875,1.9210722,100.0,-35.97934,-35.97934,1,56.964424,1.0
59.16182241506718,1.4189444,0.5162744,1.0456531,200,95.63401,1362,56.70432925224304,229.87744,0.21914354,1.0720546,,100,3976.8545,1.0456531,6.92,9.999994,-4629.6514,-4819.696,2,50.683617,9.999994,1.5107976,2.9761698,95.63401,-32.599792,-32.051453,1,59.16182,1.0456531
64.8593775523356,1.4189444,0.4996385,1.0806179,300,92.53965,2111,101.05649209022522,219.92116,0.19437052,1.0247128,,100,4261.628,1.0806179,7.49,9.999999,-4890.052,-4971.5425,3,43.99221,9.999999,1.6713703,2.974876,92.53965,-30.213448,-29.327099,1,64.85938,1.0806179
67.36087719344727,1.4189444,0.4180898,1.0728837,400,93.20675,2885,137.94929909706116,259.93008,0.23465066,1.0164676,,100,4938.4883,1.0728837,7.74,9.999998,-5782.745,-5928.5405,4,52.206017,9.999998,1.5458184,2.3126636,93.20675,-42.46446,-42.206993,1,67.36088,1.0728837
62.96082806164265,1.4189444,0.41945574,1.0685581,500,93.58405,3615,173.4277467727661,179.90973,0.18549441,1.0146625,,100,4020.8257,1.0685581,7.3,9.999994,-4440.954,-4540.1074,5,39.344757,9.999994,1.6679426,2.0975628,93.58405,-24.849476,-24.270203,1,62.96082,1.0685581
59.26095483105445,1.4189444,0.38415825,1.0712371,600,93.35001,4308,203.5899374485016,209.90723,0.12930149,1.0144213,,100,3740.9868,1.0712371,6.93,10.0,-4295.534,-4540.594,6,42.648926,10.0,1.5682058,2.1058767,93.35001,-33.267685,-32.482353,1,59.260952,1.0712371
62.95995319126951,1.4189444,0.50756633,1.0874953,700,91.954414,5038,234.10750555992126,379.8987,0.029593438,1.111604,,100,3893.267,1.0874953,7.3,9.999995,-5638.1826,-5983.269,7,58.312004,9.999995,1.447147,2.5512965,91.954414,-66.54036,-64.32013,1,62.95996,1.0874953
66.35608111226817,1.4189444,0.46063963,1.051822,800,95.07313,5802,270.6650207042694,239.87819,0.15458605,1.054183,9.980201,100,4567.4116,1.051822,7.64,9.999997,-5258.219,-5324.3076,8,43.785156,9.999997,1.4268757,2.5987372,95.07313,-39.296135,-38.399315,1,66.35608,1.051822
59.66155606662704,1.4189444,0.39615008,1.053306,900,94.93917,6499,300.38066959381104,319.76648,0.12574182,1.0288128,,100,3681.047,1.053306,6.97,9.999991,-4864.2734,-4963.199,9,45.9431,9.999991,1.3256818,2.4649184,94.93917,-48.117947,-47.06157,1,59.661552,1.053306
65.05880224092984,1.4189444,0.45403054,1.0495865,1000,95.27561,7250,328.63217067718506,229.90057,0.1598769,1.0266798,,100,4169.032,1.0495865,7.51,9.99998,-4821.7847,-4953.6978,10,43.190342,9.99998,1.5099823,2.551311,95.27561,-37.501694,-36.86328,1,65.05881,1.0495865
55.46262743305974,1.4048929,0.17654416,1.0,1100,100.0,7905,359.81613397598267,229.91719,0.5966992,1.0312593,9.982,100,4023.3958,1.0,6.55,9.999983,-4578.1523,-5014.8413,1,37.51608,9.999983,1.090321,1.6753429,100.0,-36.513847,-36.513847,2,55.462627,1.0
71.85792307720655,1.4048929,0.41104957,1.0429008,1200,95.8864,8724,396.48684787750244,359.77612,0.09959223,1.0902297,,100,6125.593,1.0429008,8.19,9.999999,-7590.539,-8056.411,2,57.797356,9.999999,1.268088,2.8319945,95.8864,-57.110546,-55.8732,2,71.85792,1.0429008
