ESSRenyiHarmonic,DivergenceHarmonic,EpRewMean,TimeElapsed,EmpiricalD2Harmonic,InitialReturnMin,InitialReturnMax,EpThisIter,InitialBound,MinIW,Bound,TimestepsSoFar,ReturnMeanIW,ReturnStepMaxmin,MinTargetPdf,MeanD2-0,InitialReturnStd,MeanIW,StdIW,InitialReturnMean,MinBehavPdf,EmpiricalD2Arithmetic,EpLenMean,Inner Iteration,MaxIW,MeanEntropy,Iteration,ESSRenyiArithmetic,EpisodesSoFar,ReturnStepMax
100.0,1.5522908,63.2582515574414,5.951620817184448,1.0,9.9812765,269.91086,100,-7609.197,0.3446823,-5923.117,733,5010.876,9.999994,-37.60865,1.0,53.622772,1.1009125,0.46484295,63.25825,-37.60865,1.0,7.33,1,3.679877,1.4189444,1,100.0,100,9.999994
87.35877,1.7053124,62.26216038464404,74.2512149810791,1.1447047,,179.95563,100,-4720.1147,0.27837193,-4535.9917,1456,4110.966,9.999991,-25.477655,1.1447047,37.82707,0.9975411,0.51510996,62.262157,-24.688211,1.1447047,7.23,2,3.6405587,1.4189444,1,87.35877,200,9.999991
95.13947,1.7550206,61.25987596097388,129.85509538650513,1.0510885,9.984005,209.91307,100,-4448.3755,0.2631303,-4293.32,2169,3706.6382,9.999982,-29.000057,1.0510885,39.848534,1.0032208,0.41847026,61.259876,-28.385408,1.0510885,7.13,3,2.6043718,1.4189444,1,95.13947,300,9.999982
90.91562,1.6325449,67.95530910818601,195.1257357597351,1.099921,,269.7707,100,-6126.031,0.19446917,-5412.569,2949,4478.0146,9.999951,-42.896137,1.099921,51.563847,1.061632,0.5630497,67.95531,-42.32824,1.099921,7.8,4,3.2390733,1.4189444,1,90.91562,400,9.999951
92.58886,1.1909614,64.56071097627573,269.13933300971985,1.0800436,,329.86658,100,-7323.889,0.17685692,-6538.9346,3695,5345.4746,9.999974,-53.97876,1.0800436,49.056988,1.1091287,0.34633875,64.560715,-52.36664,1.0800436,7.46,5,2.1944232,1.4189444,1,92.58886,500,9.999974
100.0,1.3239539,66.45702774893581,328.61689734458923,1.0,9.979291,219.91699,100,-6873.5356,0.42881027,-5828.918,4460,5269.629,9.999996,-31.90756,1.0,44.39513,1.0779412,0.42471895,66.45702,-31.90756,1.0,7.65,1,4.0161266,1.4112444,2,100.0,600,9.999996
91.39233,1.5905709,75.35238346148618,390.8512909412384,1.0941838,9.983934,299.8227,100,-6614.8125,0.12898521,-6499.222,5314,5359.7915,9.999997,-46.017178,1.0941838,50.56055,1.0210552,0.5550737,75.35239,-45.018814,1.0941838,8.54,2,4.0032096,1.4112444,2,91.39233,700,9.999997
93.32632,1.5759932,79.04796033299222,434.03103137016296,1.0715091,9.981906,319.80408,100,-7633.118,0.113791704,-7432.6104,6205,6142.2007,9.999974,-51.5802,1.0715091,67.36171,1.0531597,0.49877205,79.04796,-50.65964,1.0715091,8.91,3,2.7173047,1.4112444,2,93.32632,800,9.999974
93.84122,1.5726434,70.95797724377928,474.5663182735443,1.0656298,,289.92117,100,-6549.1406,0.19769897,-6355.4966,7015,5296.103,9.999989,-44.093166,1.0656298,58.673252,1.1094432,0.5893673,70.95798,-43.70861,1.0656298,8.1,4,3.662931,1.4112444,2,93.84122,900,9.999989
93.09595,1.3910551,67.25665267260642,515.3177664279938,1.0741606,,289.85846,100,-5667.744,0.10436459,-5514.0415,7788,4518.1167,9.9999695,-43.19584,1.0741606,48.159912,1.0409844,0.46435544,67.25665,-42.330605,1.0741606,7.73,5,3.2537918,1.4112444,2,93.09595,1000,9.9999695
100.0,1.3831885,71.65504779478242,553.4120674133301,1.0,,299.83765,100,-9432.915,0.43339187,-7547.449,8605,6484.7866,9.999995,-41.9707,1.0,58.265884,1.0607373,0.30147517,71.655045,-41.9707,1.0,8.17,1,2.3626573,1.4127755,3,100.0,1100,9.999995
90.60729,1.7510244,79.14947572712043,607.457142829895,1.1036639,9.97982,329.90088,100,-7356.4233,0.10631101,-7188.581,9497,5741.158,9.999999,-50.316833,1.1036639,56.733784,1.0047965,0.47798213,79.149475,-49.234825,1.1036639,8.92,2,2.4590745,1.4127755,3,90.60729,1200,9.999999
92.400085,1.7573328,76.95146718370988,645.1141850948334,1.0822501,,279.73538,100,-6187.857,0.11718013,-6124.0513,10367,5081.484,9.999972,-46.62982,1.0822501,57.038906,1.0111529,0.5249515,76.95147,-45.687813,1.0822501,8.7,3,2.6921325,1.4127755,3,92.400085,1300,9.999972
92.131256,1.609304,78.35360217875105,681.7163329124451,1.085408,,309.87164,100,-7176.3184,0.109238885,-7115.216,11251,5890.98,9.999987,-46.30196,1.085408,63.795403,1.091845,0.5773218,78.35361,-45.53171,1.085408,8.84,4,3.8938107,1.4127755,3,92.131256,1400,9.999987
92.91437,2.0804632,93.44886616882904,715.3290555477142,1.0762599,,349.81955,100,-10266.876,0.101690635,-9375.206,12286,7601.2188,9.999993,-50.485516,1.0762599,77.685974,1.0535728,0.5543882,93.44887,-50.149727,1.0762599,10.35,5,2.690015,1.4127755,3,92.91437,1500,9.999993
100.0,1.3916038,86.24985905561878,764.2256140708923,1.0,,349.86023,100,-12527.268,0.40658456,-10605.778,13249,9154.571,9.999999,-45.556053,1.0,62.113132,1.0848163,0.31374753,86.24986,-45.556053,1.0,9.63,1,2.5263436,1.3951855,4,100.0,1600,9.999999
89.62673,2.0279703,101.43917809570692,812.31715965271,1.1157385,,309.92804,100,-11241.97,0.19418894,-11099.099,14364,9724.313,9.999994,-46.23433,1.1157385,73.60624,1.0114889,0.5377755,101.43918,-45.50106,1.1157385,11.15,2,2.8209753,1.3951855,4,89.62673,1700,9.999994
90.43397,2.0991108,106.63588871966871,849.2325632572174,1.1057792,9.979622,349.78497,100,-12013.98,0.15582463,-11469.602,15531,9688.034,9.999987,-49.39395,1.1057792,75.45933,1.0065914,0.5094393,106.63589,-49.468964,1.1057792,11.67,3,2.423586,1.3951855,4,90.43397,1800,9.999987
