MinBehavPdf,DivergenceHarmonic,InitialBound,MeanIW,InitialReturnMin,MinTargetPdf,InitialReturnMean,EmpiricalD2Arithmetic,InitialReturnStd,ReturnStepMax,EpThisIter,TimeElapsed,TimestepsSoFar,StdIW,MeanEntropy,MeanD2-0,ESSRenyiHarmonic,MinIW,Inner Iteration,Iteration,MaxIW,EpLenMean,EpisodesSoFar,Bound,ReturnStepMaxmin,InitialReturnMax,ESSRenyiArithmetic,EpRewMean,EmpiricalD2Harmonic,ReturnMeanIW
-32.212578,1.202465,-4980.8584,1.0589463,,-32.212578,55.159115,1.0,37.516354,9.999979,100,0.9659128189086914,652,0.29718095,1.4189444,1.0,100.0,0.55837655,1,1,2.3221312,6.52,100,-4421.7544,9.999979,229.82451,100.0,55.15911385070117,1.0,3839.636
-40.402397,1.5991826,-9285.111,1.0773503,9.979836,-40.402397,72.65434,1.0,58.12643,9.999986,100,9.455485105514526,1479,0.42231834,1.3831109,1.0,100.0,0.33947057,1,2,2.4338095,8.27,200,-7152.8213,9.999986,249.9259,100.0,72.65434278579156,1.0,6358.943
-53.685585,1.1540904,-10868.178,1.0533825,,-53.685585,76.951126,1.0,58.480137,9.999993,100,18.56716561317444,2349,0.22350036,1.3683,1.0,100.0,0.51088643,1,3,1.7891188,8.7,300,-9666.888,9.999993,389.75922,100.0,76.9511226162773,1.0,8026.694
-55.078476,1.2453299,-16885.393,1.0800238,,-55.078476,89.33956,1.0,84.94432,9.99998,100,27.958386421203613,3343,0.27877766,1.3654007,1.0,100.0,0.41251495,1,4,2.0217013,9.94,400,-14208.342,9.99998,409.85797,100.0,89.33955714933388,1.0,12324.297
-63.73462,1.3598081,-27480.459,1.026246,,-63.73462,123.92241,1.0,97.532265,9.999991,100,38.17472696304321,4683,0.28515485,1.352169,1.0,100.0,0.36452398,1,5,2.0839086,13.4,500,-21876.79,9.999991,509.71228,100.0,123.92240990067377,1.0,18831.9
-52.947327,1.1418252,-19030.607,1.0654511,,-52.947327,102.23095,1.0,82.50982,9.999984,100,54.649543046951294,5806,0.19575363,1.3251325,1.0,100.0,0.6062623,1,6,1.6646976,11.23,600,-17036.557,9.999984,419.84393,100.0,102.23094969266896,1.0,15143.525
-76.09326,1.658154,-41894.68,1.0335537,,-76.09326,153.40898,1.0,122.39973,9.999994,100,69.5726010799408,7441,0.3577246,1.3000524,1.0,100.0,0.2668156,1,7,2.0180492,16.35,700,-29838.059,9.999994,579.8043,100.0,153.40899106361775,1.0,25487.373
-80.88011,1.4612621,-55353.29,1.0456661,9.9852085,-80.88011,181.90117,1.0,132.74594,10.0,100,87.96759676933289,9361,0.2995344,1.2854654,1.0,100.0,0.3352853,1,8,1.7942637,19.2,800,-44043.703,10.0,679.74207,100.0,181.9011706253517,1.0,38430.19
-89.01581,1.3410115,-64944.4,1.0541177,,-89.01581,193.59207,1.0,150.61455,9.999999,100,105.26406121253967,11398,0.29364043,1.248092,1.0,100.0,0.4448184,1,9,1.9662955,20.37,900,-52705.07,9.999999,689.7684,100.0,193.59207426814947,1.0,47167.68
-80.30452,1.133196,-72462.27,1.0403314,,-80.30452,220.18999,1.0,142.27696,9.999998,100,123.43874406814575,13701,0.20464765,1.2423224,1.0,100.0,0.6381557,1,10,1.6236805,23.03,1000,-66877.49,9.999998,609.6868,100.0,220.18998694091908,1.0,62900.555
-81.77517,1.1255691,-78737.76,1.0683235,,-81.77517,221.28764,1.0,160.17587,9.999998,100,144.73556399345398,16015,0.21103853,1.2328522,1.0,100.0,0.5522609,1,11,1.5903816,23.14,1100,-71767.51,9.999998,639.73474,100.0,221.28763808353398,1.0,67403.67
-103.19987,1.160344,-112435.76,1.0222908,,-103.19987,282.9408,1.0,161.10689,9.999997,100,173.5192301273346,18946,0.19261229,1.234131,1.0,100.0,0.5832592,1,12,1.503063,29.31,1200,-103056.86,9.999997,799.5401,100.0,282.94076906391257,1.0,96136.06
-93.5396,1.1271873,-107991.62,1.0138074,,-93.5396,275.8534,1.0,164.24391,9.999997,100,210.96625566482544,21806,0.16354908,1.2271243,1.0,100.0,0.5974189,1,13,1.445057,28.6,1300,-100558.26,9.999997,699.699,100.0,275.8534061783231,1.0,95334.26
-106.24396,1.2033839,-168271.73,1.0008717,9.979877,-106.24396,352.8385,1.0,187.32692,10.0,100,246.72061371803284,25436,0.22704369,1.216444,1.0,100.0,0.4285094,1,14,1.8777057,36.3,1400,-151591.94,10.0,929.61725,100.0,352.8384896761347,1.0,142064.14
-108.53819,1.2096809,-161562.31,1.0220066,,-108.53819,343.94556,1.0,188.37498,9.999998,100,285.4487066268921,28977,0.24746929,1.2031376,1.0,100.0,0.52196133,1,15,1.766864,35.41,1500,-148444.8,9.999998,879.75354,100.0,343.94553957958436,1.0,139889.4
-88.03525,1.0843595,-150722.0,0.9943755,,-88.03525,340.44086,1.0,171.23918,9.999999,100,322.92756271362305,32483,0.16772361,1.2031118,1.0,100.0,0.43730116,1,16,1.4418029,35.06,1600,-142134.56,9.999999,739.703,100.0,340.4408688495165,1.0,136408.14
-148.415,1.035727,-219514.38,0.98933977,,-148.415,386.02612,1.0,231.3503,10.0,100,358.3454086780548,36445,0.11481814,1.2102093,1.0,100.0,0.7199873,1,17,1.4144984,39.62,1700,-214281.08,10.0,1299.6217,100.0,386.02611891101617,1.0,197005.25
-115.64505,1.0931001,-191581.7,1.0136843,,-115.64505,382.825,1.0,189.63826,9.999997,100,373.9950804710388,40375,0.17398189,1.2063762,1.0,100.0,0.6226694,1,18,1.8017261,39.3,1800,-183049.78,9.999997,949.664,100.0,382.82500264493615,1.0,173573.19
