InitialBound,MeanIW,ReturnMeanIW,InitialReturnStd,EmpiricalD2Arithmetic,TimeElapsed,StdIW,ESSRenyiHarmonic,TimestepsSoFar,MeanEntropy,EmpiricalD2Harmonic,EpRewMean,InitialReturnMax,ReturnStepMaxmin,InitialReturnMean,DivergenceHarmonic,MeanD2-0,EpisodesSoFar,MinIW,ReturnStepMax,Bound,MinTargetPdf,EpThisIter,Inner Iteration,ESSRenyiArithmetic,Iteration,EpLenMean,InitialReturnMin,MinBehavPdf,MaxIW
-7609.197,1.1009125,5010.876,53.622772,1.0,3.585594415664673,0.46484295,100.0,733,1.4189444,1.0,63.2582515574414,269.91086,9.999994,63.25825,1.5522908,1.0,100,0.3446823,9.999994,-5923.117,-37.60865,100,1,100.0,1,7.33,9.9812765,-37.60865,3.679877
-4720.1147,0.9975411,4110.966,37.82707,1.1447047,50.83244776725769,0.51510996,87.35877,1456,1.4189444,1.1447047,62.26216038464404,179.95563,9.999991,62.262157,1.7053124,1.1447047,200,0.27837193,9.999991,-4535.9917,-25.477655,100,2,87.35877,1,7.23,,-24.688211,3.6405587
-4448.3755,1.0032208,3706.6382,39.848534,1.0510885,89.78038001060486,0.41847026,95.13947,2169,1.4189444,1.0510885,61.25987596097388,209.91307,9.999982,61.259876,1.7550206,1.0510885,300,0.2631303,9.999982,-4293.32,-29.000057,100,3,95.13947,1,7.13,9.984005,-28.385408,2.6043718
-6126.031,1.061632,4478.0146,51.563847,1.099921,129.35110306739807,0.5630497,90.91562,2949,1.4189444,1.099921,67.95530910818601,269.7707,9.999951,67.95531,1.6325449,1.099921,400,0.19446917,9.999951,-5412.569,-42.896137,100,4,90.91562,1,7.8,,-42.32824,3.2390733
-7323.889,1.1091287,5345.4746,49.056988,1.0800436,170.03546690940857,0.34633875,92.58886,3695,1.4189444,1.0800436,64.56071097627573,329.86658,9.999974,64.560715,1.1909614,1.0800436,500,0.17685692,9.999974,-6538.9346,-53.97876,100,5,92.58886,1,7.46,,-52.36664,2.1944232
-5799.569,1.0907465,4645.8013,44.39513,1.0158669,208.5646710395813,0.61012405,98.438095,4460,1.4189444,1.0158669,66.45702774893581,219.91699,9.999996,66.45702,1.4807217,1.0158669,600,0.25786576,9.999996,-5237.277,-31.845757,100,6,98.438095,1,7.65,9.979291,-31.90756,5.288542
-5129.591,1.0505803,4064.9639,56.460033,1.0972886,247.10253500938416,0.53463376,91.13373,5212,1.4189444,1.0972886,65.15904927627217,269.75177,9.999989,65.15905,1.680392,1.0972886,700,0.08691229,9.999989,-5012.9814,-42.473362,100,7,91.13373,1,7.52,,-41.583893,2.9948816
-4796.3604,1.0585726,4204.9497,45.70377,1.059626,275.14390873908997,0.48970172,94.372925,5942,1.4189444,1.059626,62.960581768388685,209.82935,9.99997,62.960583,1.5606298,1.059626,800,0.17030823,9.99997,-4757.7456,-31.270569,100,8,94.372925,1,7.3,,-30.424738,2.977504
-5431.1123,1.074511,4630.3916,45.919487,1.0699072,301.4110538959503,0.47385508,93.46605,6717,1.4189444,1.0699072,67.45919101147616,229.81409,9.999997,67.45919,1.5428438,1.0699072,900,0.10747968,9.999997,-5289.7124,-37.35309,100,9,93.46605,1,7.75,9.985487,-36.35024,2.5715027
-4603.6543,1.0651257,4142.8525,38.04412,1.0495288,330.87486124038696,0.38194367,95.28085,7410,1.4189444,1.0495288,59.26524918860284,189.84317,9.999996,59.265247,1.2623622,1.0495288,1000,0.2161431,9.999996,-4549.824,-25.93554,100,10,95.28085,1,6.93,,-25.193607,2.0849822
-7326.439,1.0956681,5620.657,51.315536,1.0,359.3609187602997,0.34774172,100.0,8148,1.4377469,1.0,63.762521646611994,249.87,9.999996,63.762524,1.3209121,1.0,1100,0.49363855,9.999996,-6341.8438,-34.205547,100,1,100.0,2,7.38,,-34.205547,2.3873043
-7079.427,1.0201535,5795.2246,58.289986,1.086925,395.4893538951874,0.5323823,92.00266,8997,1.4377469,1.086925,74.8548764644064,269.89313,9.999985,74.85488,1.5473465,1.086925,1200,0.14344509,9.999985,-6705.892,-45.6324,100,2,92.00266,2,8.49,,-45.0253,3.5578873
-8566.149,1.0656048,4860.045,57.672043,1.0777105,428.8850688934326,0.5447008,92.7893,9807,1.4377469,1.0777105,70.95474374663408,379.85324,9.999992,70.95474,1.540619,1.0777105,1300,0.18172629,9.999992,-6660.0,-61.490395,100,3,92.7893,2,8.1,,-61.553528,2.6511378
-6873.2036,1.101943,5359.587,67.80059,1.0831503,472.7086617946625,0.51879257,92.323296,10669,1.4377469,1.0831503,76.1509348828432,319.8889,9.99999,76.15094,1.6816722,1.0831503,1400,0.06946561,9.99999,-6693.266,-55.60425,100,4,92.323296,2,8.62,,-54.018337,2.4180496
-6000.556,1.056053,5234.8887,57.28615,1.0837023,501.3562195301056,0.54431325,92.27626,11505,1.4377469,1.0837023,73.55383491807542,219.88684,9.999993,73.553825,1.6612691,1.0837023,1500,0.06495489,9.999993,-5861.2153,-39.931946,100,5,92.27626,2,8.36,,-38.78026,3.4378562
-10141.932,0.93875086,6423.0127,69.58027,1.0958283,532.4283170700073,0.37959832,91.25517,12437,1.4377469,1.0958283,83.1437183210282,479.71155,9.999998,83.14371,1.6145902,1.0958283,1600,0.0319167,9.999998,-9361.839,-66.80083,100,6,91.25517,2,9.32,9.979936,-64.97383,2.0045457
-7365.0444,1.0339984,6052.411,60.492214,1.0667243,568.4726393222809,0.48352128,93.744934,13312,1.4377469,1.0667243,77.45417869431435,299.76843,9.999989,77.45418,1.83055,1.0667243,1700,0.28844362,9.999989,-7274.3374,-44.255844,100,7,93.744934,2,8.75,,-43.73353,2.5557332
-9830.514,0.93568265,6931.3164,68.069824,1.1042327,596.320503950119,0.41484436,90.56062,14315,1.4377469,1.1042327,90.24403960236404,429.68118,9.999991,90.24404,1.7131746,1.1042327,1800,0.106186986,9.999991,-9360.027,-63.245346,100,8,90.56062,2,10.03,,-62.304802,2.3505752
-56425.156,1.0540179,6346.969,92.019295,1.1014191,626.0120785236359,0.43744242,90.79196,15236,1.4377469,1.1014191,82.04732218090221,699.614,9.999999,82.047325,1.4448731,1.1014191,1900,0.05866082,9.999999,-12260.057,-98.59708,100,9,90.79196,2,9.21,,-98.57323,2.9200644
-6070.7905,1.0254586,5077.169,45.223354,1.0413864,680.6056096553802,0.32393885,96.02584,16011,1.4377469,1.0413864,67.45923028349682,269.91425,9.999991,67.45923,1.4286824,1.0413864,2000,0.30949262,9.999991,-5952.358,-38.248234,100,10,96.02584,2,7.75,9.980202,-37.766724,2.0251982
-9164.194,1.0691868,6767.226,57.13084,1.0,708.5003664493561,0.36556432,100.0,16841,1.4122453,1.0,72.95249866911023,239.8535,9.999997,72.9525,1.4517443,1.0,2100,0.28531596,9.999997,-7463.884,-35.519657,100,1,100.0,3,8.3,,-35.519657,2.667272
-12116.502,0.90144163,8728.452,88.16237,1.1629032,746.3132984638214,0.5382403,85.991684,18057,1.4122453,1.1629032,111.53574947661075,429.85925,9.999986,111.53575,2.262964,1.1629032,2200,0.09447854,9.999986,-11522.113,-60.16676,100,2,85.991684,3,12.16,,-58.98331,2.6898122
-11821.623,1.0700339,6818.6377,95.545746,1.1080784,780.3528738021851,0.5985127,90.24632,19083,1.4122453,1.1080784,92.54459091457548,529.792,9.999998,92.544586,1.6786324,1.1080784,2300,0.039642867,9.999998,-10473.5,-76.74058,100,3,90.24632,3,10.26,,-76.23822,4.1795373
-9436.994,1.0857747,7766.256,62.859646,1.0667137,820.8810222148895,0.5399887,93.745865,20025,1.4122453,1.0667137,84.14989864035812,339.93903,9.999996,84.149895,1.494334,1.0667137,2400,0.18872195,9.999996,-9185.994,-47.63518,100,4,93.745865,3,9.42,,-46.85649,3.936878
-9579.053,1.0541737,7074.3906,71.39557,1.062261,854.5957748889923,0.42739373,94.138824,20929,1.4122453,1.062261,80.35040756998245,399.74268,9.999999,80.35041,1.4415278,1.062261,2500,0.11831022,9.999999,-9002.604,-54.657043,100,5,94.138824,3,9.04,,-53.531452,2.219941
-8452.67,1.0569756,7037.9155,63.959694,1.064037,890.9928598403931,0.47959808,93.9817,21856,1.4122453,1.064037,82.65016532244297,329.87018,9.999997,82.65017,1.4567161,1.064037,2600,0.17699325,9.999997,-8357.861,-53.544785,100,6,93.9817,3,9.27,,-52.721466,2.6271746
-7414.4336,1.1145005,5704.363,60.801968,1.0670398,922.2812097072601,0.4900338,93.71721,22697,1.4122453,1.0670398,74.04885124906495,319.76822,9.99999,74.04885,1.7075096,1.0670398,2700,0.20067441,9.99999,-7047.2344,-38.8363,100,7,93.71721,3,8.41,,-38.347267,2.422278
