ReturnStepMax,InitialBound,ReturnStepMaxmin,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,MinBehavPdf,MinIW,StdIW,DivergenceHarmonic,Inner Iteration,InitialReturnMin,MinTargetPdf,MeanEntropy,ESSRenyiHarmonic,MaxIW,EpRewMean,MeanD2-0,MeanIW,Iteration,InitialReturnMax,EpLenMean,EpThisIter,Bound,ESSRenyiArithmetic,InitialReturnMean,EpisodesSoFar,TimeElapsed
9.999994,-7609.197,9.999994,53.622772,733,5010.876,1.0,1.0,-37.60865,0.3446823,0.46484295,1.5522908,1,9.9812765,-37.60865,1.4189444,100.0,3.679877,63.2582515574414,1.0,1.1009125,1,269.91086,7.33,100,-5923.117,100.0,63.25825,100,3.015770196914673
9.999991,-5632.9355,9.999991,37.82707,1456,5051.4634,1.0,1.0,-24.688211,0.6843095,0.16886899,1.1172954,1,,-24.688211,1.3813448,100.0,1.6076806,62.26216038464404,1.0,1.0258808,2,179.95563,7.23,100,-5395.494,100.0,62.262157,200,39.405728340148926
9.999996,-10439.932,9.999996,61.534542,2283,7043.0195,1.0,1.0,-54.822304,0.40788013,0.2536136,1.1973792,1,,-54.822304,1.3555249,100.0,1.9155838,72.65641587745266,1.0,1.0656961,3,369.8092,8.27,100,-8547.04,100.0,72.65642,300,67.91409373283386
9.999994,-14799.777,9.999994,71.8029,3293,10284.678,1.0,1.0,-43.479996,0.20730531,0.33870462,1.4093792,1,,-43.479996,1.3405769,100.0,2.796498,90.94293481672385,1.0,1.0573719,4,369.67844,10.1,100,-11915.267,100.0,90.94294,400,117.92446660995483
9.999994,-16245.183,9.999994,73.89026,4314,11871.147,1.0,1.0,-53.59629,0.32299718,0.24298577,1.1613116,1,9.981373,-53.59629,1.308654,100.0,2.3564153,92.0454858570244,1.0,1.0640954,5,479.7342,10.21,100,-14363.779,100.0,92.04549,500,173.2197299003601
9.999978,-16340.583,9.999978,74.76064,5383,12407.01,1.0,1.0,-55.907753,0.30079556,0.28864256,1.2486073,1,,-55.907753,1.2855866,100.0,2.1277072,96.83958025825645,1.0,1.0770811,6,369.6809,10.69,100,-13941.801,100.0,96.83958,600,245.67779421806335
9.999998,-32885.61,9.999998,108.49618,6844,25378.889,1.0,1.0,-69.14963,0.3660205,0.23074506,1.2221247,1,,-69.14963,1.2792482,100.0,1.9394511,136.02304803014556,1.0,1.0545529,7,509.787,14.61,100,-28266.36,100.0,136.02304,700,324.0302662849426
9.999991,-38912.523,9.999991,123.61286,8368,27214.87,1.0,1.0,-69.17727,0.39438206,0.26627547,1.3192307,1,,-69.17727,1.2687957,100.0,1.748766,142.3173012392965,1.0,1.0836769,8,579.7623,15.24,100,-31094.967,100.0,142.3173,800,421.8258616924286
9.999999,-70268.54,9.999999,158.20448,10494,50856.457,1.0,1.0,-80.67041,0.38186052,0.3016302,1.6023288,1,,-80.67041,1.2472404,100.0,1.7686983,202.47883053921797,1.0,1.0348914,9,649.68787,21.26,100,-56226.375,100.0,202.47882,900,514.8305668830872
9.999992,-81461.34,9.999992,173.52568,12733,60611.984,1.0,1.0,-88.84224,0.4300684,0.3123824,1.3528284,1,9.98014,-88.84224,1.2130094,100.0,2.038977,213.78536668851186,1.0,1.0995986,10,749.5132,22.39,100,-67178.914,100.0,213.78537,1000,597.0544080734253
