ESSRenyiHarmonic,InitialReturnMax,EmpiricalD2Arithmetic,TimeElapsed,InitialReturnMin,ESSRenyiArithmetic,DivergenceHarmonic,MaxIW,ReturnStepMaxmin,MinBehavPdf,MeanIW,Iteration,EpRewMean,EpThisIter,StdIW,InitialReturnStd,InitialBound,TimestepsSoFar,MinTargetPdf,Bound,InitialReturnMean,MinIW,ReturnStepMax,EpLenMean,EmpiricalD2Harmonic,Inner Iteration,ReturnMeanIW,MeanEntropy,EpisodesSoFar,MeanD2-0
100.0,209.95807,1.0,2.1473865509033203,,100.0,1.1975037,1.5177149,9.999986,-42.518715,1.0286866,1,50.465139243065636,100,0.22781423,34.351532,-4169.8027,605,-42.518715,-3611.5532,50.46514,0.29247007,9.999986,6.05,1.0,1,3126.727,1.4189444,100,1.0
100.0,229.88107,1.0,22.962470769882202,,100.0,1.1881523,1.9870124,9.999993,-40.08043,1.0207386,2,62.86279702450095,100,0.22585812,41.681606,-6220.2026,1334,-40.08043,-5688.6523,62.862797,0.5799977,9.999993,7.29,1.0,1,5109.7236,1.4575895,200,1.0
100.0,229.92343,1.0,41.728742361068726,,100.0,1.4459959,2.4203568,9.999993,-37.4989,1.0475886,3,71.65198548149023,100,0.3618345,50.626747,-8228.385,2151,-37.4989,-6848.0933,71.651985,0.43733954,9.999993,8.17,1.0,1,6209.194,1.451704,300,1.0
100.0,259.9577,1.0,63.259480237960815,9.979434,100.0,1.1976429,2.0810053,9.999973,-36.068336,1.0665312,4,72.25315352118707,100,0.24563378,56.20562,-9058.773,2974,-36.068336,-7885.862,72.25315,0.5288721,9.999973,8.23,1.0,1,7142.5835,1.4396981,400,1.0
100.0,419.76456,1.0,86.78476881980896,,100.0,1.2890319,1.6620152,9.9999895,-61.34829,1.033606,5,83.9501243674885,100,0.26565292,75.58335,-14531.367,3914,-61.34829,-11749.109,83.95013,0.35294238,9.9999895,9.4,1.0,1,9738.509,1.4031216,500,1.0
100.0,569.7449,1.0,110.93511176109314,,100.0,1.3768735,1.9742095,10.0,-77.42064,1.0739032,6,92.93941516959104,100,0.2903348,88.667404,-19762.088,4944,-77.42064,-14434.766,92.939415,0.24144538,10.0,10.3,1.0,1,10606.6045,1.3672343,600,1.0
100.0,609.74054,1.0,146.75094151496887,,100.0,1.352655,2.5265172,9.999998,-73.23958,1.0728863,7,119.0319219254653,100,0.29497448,101.73263,-28254.69,6235,-73.23958,-22901.904,119.03191,0.29615927,9.999998,12.91,1.0,1,18556.14,1.3516372,700,1.0
100.0,469.58896,1.0,181.02139377593994,,100.0,1.2060413,1.9807385,9.999999,-62.177654,1.0874898,8,130.1209215331475,100,0.28297123,97.127045,-28581.363,7637,-62.177654,-25372.354,130.12093,0.57433933,9.999999,14.02,1.0,1,22938.473,1.319095,800,1.0
100.0,659.718,1.0,225.84207105636597,9.979604,100.0,1.3387562,1.9992267,9.999991,-93.658714,1.063374,9,161.20899844283107,100,0.2780138,131.12813,-47557.133,9350,-93.658714,-39856.74,161.209,0.36836812,9.999991,17.13,1.0,1,34795.582,1.3129759,900,1.0
100.0,779.81775,1.0,269.43334579467773,9.981985,100.0,1.2624494,1.691042,9.999984,-101.49183,1.08356,10,171.10571636354018,100,0.27706772,143.57445,-56002.58,11162,-101.49183,-47131.91,171.10573,0.34074724,9.999984,18.12,1.0,1,40264.773,1.2993174,1000,1.0
100.0,1359.4308,1.0,334.2861158847809,,100.0,1.4186195,2.6962845,9.999999,-174.25195,1.0375382,11,236.08025180465,100,0.39958563,213.41881,-119855.08,13624,-174.25195,-88134.33,236.08026,0.20819291,9.999999,24.62,1.0,1,66012.06,1.2777562,1100,1.0
100.0,749.72766,1.0,427.3866732120514,,100.0,1.3184029,2.60626,10.0,-89.45303,1.0518969,12,254.56836826584538,100,0.31532115,175.97365,-101420.984,16271,-89.45303,-87069.01,254.56837,0.49889565,10.0,26.47,1.0,1,80582.46,1.2656251,1200,1.0
100.0,919.76196,1.0,527.7876627445221,,100.0,1.2522448,1.7798864,9.999998,-113.99454,1.0219041,13,274.8466683830522,100,0.26679665,184.38303,-118040.03,19121,-113.99454,-102778.81,274.84668,0.36881807,9.999998,28.5,1.0,1,93264.49,1.2531706,1300,1.0
100.0,919.56573,1.0,631.7643826007843,,100.0,1.1203884,1.4483352,9.999999,-117.97908,1.019959,14,327.7321651898536,100,0.16986452,202.19867,-156791.28,22500,-117.97908,-147298.88,327.73215,0.5807549,9.999999,33.79,1.0,1,138303.23,1.2434691,1400,1.0
100.0,859.75354,1.0,716.1651067733765,,100.0,1.0802119,1.6185846,9.999999,-106.28583,1.0161213,15,327.2410495482046,100,0.16622469,199.26086,-154220.58,25874,-106.28583,-146313.2,327.24106,0.6825081,9.999999,33.74,1.0,1,138592.0,1.234314,1500,1.0
100.0,1249.5687,1.0,792.6323790550232,9.979936,100.0,1.22371,1.8473397,10.0,-148.47244,1.0288461,16,359.62528229629623,100,0.2545289,211.1588,-189611.28,29572,-148.47244,-170785.81,359.6253,0.5043684,10.0,36.98,1.0,1,153426.12,1.2241242,1600,1.0
100.0,899.68304,1.0,856.588015794754,9.981839,100.0,1.0464318,1.5132172,9.999999,-119.42786,1.0154998,17,374.32436570293504,100,0.12279623,194.62894,-186134.19,33417,-119.42786,-180780.42,374.32437,0.751805,9.999999,38.45,1.0,1,172458.62,1.2124791,1700,1.0
100.0,1309.5579,1.0,917.8719890117645,,100.0,1.024265,1.22808,10.0,-150.42415,1.001271,18,403.02056249558575,100,0.07458914,223.66168,-229685.98,37549,-150.42415,-223192.2,403.02054,0.8015877,10.0,41.32,1.0,1,205748.53,1.2069218,1800,1.0
100.0,1169.6846,1.0,956.2594060897827,,100.0,1.1428943,1.639777,9.999999,-139.32758,0.9996212,19,409.0119173388234,100,0.20705535,230.36913,-234111.19,41741,-139.32758,-218739.8,409.0119,0.5237285,9.999999,41.92,1.0,1,204039.61,1.20424,1900,1.0
100.0,1069.3464,1.0,969.6700055599213,9.97954,100.0,1.218441,1.9268742,9.999999,-128.32831,1.0116302,20,411.1047994941799,100,0.22149694,246.762,-241391.25,45954,-128.32831,-217462.05,411.10477,0.51831055,9.999999,42.13,1.0,1,204776.14,1.1994796,2000,1.0
