MeanIW,InitialReturnMax,MeanD2-0,StdIW,EpLenMean,InitialReturnStd,TimestepsSoFar,EmpiricalD2Harmonic,MinTargetPdf,InitialReturnMean,InitialBound,EpRewMean,EmpiricalD2Arithmetic,ESSRenyiHarmonic,EpisodesSoFar,MaxIW,EpThisIter,ReturnMeanIW,MinIW,ReturnStepMax,Bound,MeanEntropy,TimeElapsed,ReturnStepMaxmin,DivergenceHarmonic,Inner Iteration,Iteration,MinBehavPdf,ESSRenyiArithmetic,InitialReturnMin
1.0589463,229.82451,1.0,0.29718095,6.52,37.516354,652,1.0,-32.212578,55.159115,-4980.8584,55.15911385070117,1.0,100.0,100,2.3221312,100,3839.636,0.55837655,9.999979,-4421.7544,1.4189444,1.2898268699645996,9.999979,1.202465,1,1,-32.212578,100.0,
1.0213381,249.9259,1.0710791,0.55399644,8.27,58.12643,1479,1.0710791,-40.77746,72.65434,-6235.8833,72.65434278579156,1.0710791,93.363785,200,2.6196864,100,4863.207,0.19655144,9.999986,-5754.5195,1.4189444,15.166026830673218,9.999986,2.0158126,2,1,-40.402397,93.363785,9.979836
1.024048,429.7191,1.1265748,0.46636865,7.8,56.307495,2259,1.1265748,-62.306664,67.95292,-7534.199,67.95292338587699,1.1265748,88.76464,300,3.1600778,100,4605.1377,0.107419014,9.999978,-6761.2427,1.4189444,26.478473901748657,9.999978,1.3496972,3,1,-60.814594,88.76464,9.9803505
1.0382426,239.92499,1.0233343,0.2696799,6.57,41.870068,2916,1.0233343,-33.012337,55.659645,-4820.9224,55.65964291476427,1.0233343,97.71978,400,1.8417547,100,4143.6484,0.40257344,9.999989,-4775.961,1.4189444,37.39322805404663,9.999989,1.1945286,4,1,-32.89038,97.71978,
1.0326902,229.83798,1.0367947,0.38722563,7.43,45.592804,3659,1.0367947,-32.932808,64.25604,-5707.1455,64.25604395670427,1.0367947,96.45111,500,2.7116122,100,4939.715,0.4373145,9.999996,-5556.214,1.4189444,47.93472337722778,9.999996,1.3483815,5,1,-32.54757,96.45111,9.979811
1.0930191,299.83618,1.0,0.33030832,8.81,60.584496,4540,1.0,-43.28968,78.05388,-10666.4375,78.05388564214626,1.0,100.0,600,2.493741,100,8177.3027,0.33935663,9.999998,-9205.223,1.392144,59.342376708984375,9.999998,1.2942499,1,2,-43.28968,100.0,
1.0261788,389.79272,1.0893109,0.4627639,8.85,66.24667,5425,1.0893109,-53.760597,78.4485,-8635.462,78.44849964865786,1.0893109,91.801155,700,3.3139477,100,6392.5996,0.14239396,9.999989,-8286.298,1.392144,73.72887372970581,9.999989,1.5378779,2,2,-52.693794,91.801155,
1.0722358,279.8883,1.0636396,0.5831515,9.82,67.97742,6407,1.0636396,-43.97786,88.148636,-9111.163,88.14862759190198,1.0636396,94.01681,800,3.6823835,100,7636.301,0.19980669,9.999997,-8702.594,1.392144,85.63945984840393,9.999997,1.834211,3,2,-43.57572,94.01681,
1.0242375,329.86572,1.1164312,0.54979354,9.62,71.75844,7369,1.1164312,-50.70284,86.14389,-7722.4365,86.1438842942503,1.1164312,89.57112,900,3.2321737,100,5958.506,0.05203091,9.999998,-7506.945,1.392144,100.10351037979126,9.999998,2.0048168,4,2,-49.29667,89.57112,
1.0002449,409.77686,1.0916433,0.49853683,9.04,64.542885,8273,1.0916433,-53.900257,80.348946,-8515.612,80.34894086307884,1.0916433,91.60501,1000,3.0524654,100,6251.763,0.0969096,9.999999,-8430.32,1.392144,116.57407855987549,9.999999,1.6664163,5,2,-52.71923,91.60501,
1.0467988,369.82556,1.0,0.3171601,9.46,74.71994,9219,1.0,-49.60351,84.54705,-14105.872,84.5470498707906,1.0,100.0,1100,2.1622424,100,8734.485,0.33128053,9.999983,-10446.612,1.3795028,133.55756545066833,9.999983,1.5513844,1,3,-49.60351,100.0,
1.1844181,379.85666,1.1463876,0.60985875,9.81,71.017715,10200,1.1463876,-58.956253,88.04866,-12861.249,88.04866360865832,1.1463876,87.23053,1200,3.3255954,100,8634.192,0.27791464,9.999998,-10527.543,1.3795028,166.65037941932678,9.999998,1.7045833,2,3,-58.584267,87.23053,9.980215
1.1140819,459.69476,1.096301,0.5636601,10.69,86.96978,11269,1.096301,-64.719604,96.84144,-59963.6,96.84143337810467,1.096301,91.21583,1300,2.6980336,100,9266.526,0.10805027,9.999999,-12220.485,1.3795028,197.8647198677063,9.999999,1.9344875,3,3,-66.260124,91.21583,9.983157
1.041598,309.90567,1.1568209,0.6161743,11.77,82.52565,12446,1.1568209,-51.539284,107.63679,-12842.494,107.63678602450011,1.1568209,86.4438,1400,4.0253677,100,10922.809,0.13212967,10.0,-12273.3955,1.3795028,237.06316423416138,10.0,1.9577734,4,3,-50.535374,86.4438,
1.0601876,369.86136,1.0882292,0.54338753,10.64,74.406586,13510,1.0882292,-48.542503,96.34249,-11937.921,96.34249861471213,1.0882292,91.89241,1500,3.225787,100,9478.141,0.145664,9.9999895,-11282.5625,1.3795028,264.8662564754486,9.9999895,1.7224854,5,3,-48.054653,91.89241,
1.0286372,339.81012,1.0,0.24567689,9.41,65.62874,14451,1.0,-42.440643,84.04371,-12531.003,84.04370504596052,1.0,100.0,1600,1.7903357,100,8755.431,0.45132375,9.999992,-10105.154,1.354185,292.3693287372589,9.999992,1.352633,1,4,-42.440643,100.0,
1.1278747,289.878,1.1089115,0.45046607,11.02,73.09566,15553,1.1089115,-50.366096,100.13891,-22174.576,100.13890601666249,1.1089115,90.17852,1700,2.608294,100,13175.788,0.29646674,9.999996,-14246.496,1.354185,322.97092723846436,9.999996,1.6073719,2,4,-49.776833,90.17852,
1.002887,339.84836,1.0815213,0.45312667,11.19,69.03487,16672,1.0815213,-49.418915,101.84072,-11564.766,101.8407212244122,1.0815213,92.46235,1800,2.263149,100,9966.278,0.097918876,9.999978,-11455.0625,1.354185,353.95130491256714,9.999978,1.6449709,3,4,-48.286263,92.46235,
1.0291847,359.8316,1.0831616,0.3848922,11.12,75.24325,17784,1.0831616,-50.33502,101.13922,-15603.325,101.13922668347348,1.0831616,92.32233,1900,2.290355,100,12289.651,0.3127254,9.999995,-13898.555,1.354185,375.6898260116577,9.999995,1.5286133,4,4,-49.625107,92.32233,
1.0752473,389.8849,1.0565914,0.51459956,10.7,85.23958,18854,1.0565914,-50.048836,96.944374,-12408.74,96.94437136869126,1.0565914,94.64397,2000,4.4682717,100,10188.617,0.1896081,9.999998,-12140.17,1.354185,403.9554035663605,9.999998,1.6317371,5,4,-49.517105,94.64397,
1.1212693,409.8152,1.0,0.35288027,12.11,91.849,20065,1.0,-49.382572,111.03474,-22452.9,111.0347425256187,1.0,100.0,2100,2.2084157,100,16256.691,0.4491288,9.999999,-18321.756,1.3301268,427.8777530193329,9.999999,1.4967539,1,5,-49.382572,100.0,
1.0833688,539.7111,1.1294241,0.6215188,13.56,102.369934,21421,1.1294241,-70.92407,125.52716,-18889.691,125.52715519011716,1.1294241,88.5407,2200,3.4778829,100,14527.291,0.13484572,9.999998,-18528.709,1.3301268,458.4536712169647,9.999998,1.8681751,2,5,-69.852745,88.5407,
1.0381382,729.7208,1.0890561,0.51129204,14.96,127.540596,22917,1.0890561,-106.80916,139.52011,-25643.898,139.52011814685383,1.0890561,91.82263,2300,2.6574814,100,17461.135,0.10745508,9.999995,-24449.12,1.3301268,480.1356122493744,9.999995,1.7049515,3,5,-105.70433,91.82263,
1.0361916,489.87875,1.0703046,0.46845487,14.93,110.59507,24410,1.0703046,-63.185184,139.22461,-23844.973,139.22460642266273,1.0703046,93.43134,2400,2.6063592,100,18904.604,0.17556632,9.999997,-22332.004,1.3301268,505.91062021255493,9.999997,2.0193443,4,5,-62.849293,93.43134,9.98018
1.0502496,509.79443,1.1358165,0.5821151,15.18,115.38376,25928,1.1358165,-68.72879,141.71716,-22820.686,141.71717355095444,1.1358165,88.0424,2500,2.6404595,100,16555.357,0.15613165,9.999992,-20396.008,1.3301268,532.5531613826752,9.999992,2.162044,5,5,-67.6931,88.0424,9.981441
1.076507,599.6755,1.0,0.31518334,15.89,117.88907,27517,1.0,-76.743744,148.81157,-39656.926,148.81156393036505,1.0,100.0,2600,1.7413834,100,27749.596,0.39352843,9.999995,-32226.023,1.3130637,561.0576515197754,9.999995,1.5340278,1,6,-76.743744,100.0,
