EmpiricalD2Harmonic,EpLenMean,ReturnStepMax,DivergenceHarmonic,InitialReturnMean,ESSRenyiHarmonic,MeanD2-0,InitialReturnMax,EmpiricalD2Arithmetic,TimeElapsed,MeanIW,Bound,Iteration,MinBehavPdf,InitialReturnStd,EpRewMean,ReturnStepMaxmin,MinTargetPdf,TimestepsSoFar,Inner Iteration,MeanEntropy,ReturnMeanIW,InitialBound,InitialReturnMin,ESSRenyiArithmetic,EpThisIter,EpisodesSoFar,MinIW,MaxIW,StdIW
1.0,6.05,9.999986,1.1975037,50.46514,100.0,1.0,209.95807,1.0,4.195414066314697,1.0286866,-3611.5532,1,-42.518715,34.351532,50.465139243065636,9.999986,-42.518715,605,1,1.4189444,3126.727,-4169.8027,,100.0,100,100,0.29247007,1.5177149,0.22781423
1.075007,7.29,9.999993,1.4211242,62.862797,93.02265,1.075007,229.88107,1.075007,53.6558051109314,0.98343575,-4916.562,1,-40.08043,41.681606,62.86279702450095,9.999993,-41.265076,1334,2,1.4189444,4283.4146,-5155.628,,93.02265,100,200,0.1646238,3.0654473,0.43866986
1.0628335,7.62,9.999999,1.484953,66.15633,94.08811,1.0628335,379.7049,1.0628335,107.92445635795593,0.9437759,-6009.406,1,-50.660137,52.521084,66.15632669535839,9.999999,-51.484104,2096,3,1.4189444,4243.648,-6288.411,9.979394,94.08811,100,300,0.14249937,2.2937953,0.34456652
1.0534207,5.86,9.999979,1.1524506,48.568638,94.92884,1.0534207,189.88934,1.0534207,164.46873450279236,1.0704529,-3466.3286,1,-27.376125,32.51379,48.56864063473998,9.999979,-27.529602,2682,4,1.4189444,3077.2883,-3667.3352,,94.92884,100,400,0.4795811,2.6914237,0.3675493
1.0197064,7.43,9.999994,1.50297,64.25738,98.067444,1.0197064,269.84033,1.0197064,227.6933183670044,1.0266806,-5151.2046,1,-38.68364,50.790787,64.25738024386668,9.999994,-39.675217,3425,5,1.4189444,4254.0415,-5694.673,,98.067444,100,500,0.07339102,2.058837,0.37361926
1.0,7.68,9.999993,1.1819552,66.759415,100.0,1.0,279.89786,1.0,297.25370740890503,1.0184685,-6579.3755,2,-41.847794,49.4763,66.75941388578323,9.999993,-41.847794,4193,1,1.4117547,5723.3594,-7692.0986,,100.0,100,600,0.4812938,1.6687238,0.21153341
1.0533134,7.82,9.999987,1.528571,68.15228,94.93851,1.0533134,279.85938,1.0533134,381.8998169898987,1.082336,-6254.7686,2,-38.99848,56.790466,68.15228060254384,9.999987,-39.57779,4975,2,1.4117547,5281.562,-6428.0796,,94.93851,100,700,0.21136825,3.4942195,0.5758022
1.0723059,7.92,9.99999,1.3950377,69.15788,93.256966,1.0723059,349.79318,1.0723059,434.5926306247711,1.0510514,-6745.672,2,-46.791176,61.57634,69.15788305521156,9.99999,-47.80249,5767,3,1.4117547,5293.2324,-7074.243,,93.256966,100,800,0.15080014,2.5611255,0.4425074
1.0446653,8.41,10.0,1.775572,74.05977,95.724434,1.0446653,339.93997,1.0446653,484.22057127952576,1.014092,-7133.7417,2,-48.637833,60.544186,74.05977276270245,10.0,-49.009193,6608,4,1.4117547,5586.1514,-7454.4517,,95.724434,100,900,0.12743677,2.0967789,0.38830498
1.1068364,7.95,9.999996,1.4050647,69.45404,90.34759,1.1068364,309.86523,1.1068364,526.9747407436371,1.0228524,-6731.8066,2,-41.88295,48.545696,69.4540389224644,9.999996,-42.675972,7403,5,1.4117547,5587.938,-7181.1807,,90.34759,100,1000,0.3294381,3.7529144,0.4872671
