IterType,AvgVanillaIw,eRenyi2,Bound,AvgDiscRet,BatchSize,VarJ,VarRet,VarVanillaIw,VarDiscRet,J,MaxVanillaIw,VarNormIw,MinNormIw,VanillaAvgRet,AvgNormIw,EpsThisIter,Delta,ESSRenyi,MaxNormIw,ESSClassic,MinVanillaIw,AvgRet,AvgEpLen
1,0.772632,2.72662,-1039.43,-2322.82268263,100,221.214,5149764.10411,1.30563,5149764.10411,-88.5302,3.83383,0.000218713,3.65601e-11,-2322.82268263,0.01,100,0.5,36.6754192206,0.0496204,31.5929495369,2.82475e-09,-2322.82268263,200.0
1,0.972877,1.07675,-392.173,-106.429435679,100,60.3886,299558.511902,0.0875951,299558.511902,-18.4922,1.26126,9.25474e-06,0.00031999,-106.429435679,0.01,100,0.5,92.872332605,0.0129643,91.606791985,0.031131,-106.429435679,200.0
1,1.10168,2.24648,-11.3134,-9.89688896984,100,10.7655,91.3864840658,1.37058,91.3864840658,-6.73461,3.09156,0.000112926,6.48736e-19,-9.89688896984,0.01,100,0.5,44.5140608707,0.0280622,47.2150480011,7.147e-17,-9.89688896984,200.0
1,0.965466,1.47891,-11.3021,-9.26098696378,100,9.14224,62.6672162491,0.509035,62.6672162491,-7.96601,1.94899,5.46102e-05,1.47456e-06,-9.26098696378,0.01,100,0.5,67.6175317585,0.020187,64.9080695987,0.000142364,-9.26098696378,200.0
1,0.997072,1.03751,-11.0574,-8.7493165482,100,7.38192,55.5672410234,0.0348222,55.5672410234,-8.63362,1.1725,3.50271e-06,0.00412327,-8.7493165482,0.01,100,0.5,96.3844989386,0.0117595,96.648533273,0.41112,-8.7493165482,200.0
1,1.09468,1.17112,-10.0223,-7.95105424002,100,7.0533,47.4069904025,0.300054,47.4069904025,-7.45283,4.5204,2.50393e-05,0.00740813,-7.95105424002,0.01,100,0.5,85.3885774081,0.0412941,80.1353213677,0.810957,-7.95105424002,200.0
1,1.00249,1.16976,-11.0702,-8.80395951655,100,8.04445,53.9377058357,0.290123,53.9377058357,-8.44713,5.35894,2.88686e-05,0.00808514,-8.80395951655,0.01,100,0.5,85.4874044132,0.0534564,77.7726789903,0.810524,-8.80395951655,200.0
1,0.98947,1.10719,-10.4034,-7.73734677678,100,7.62031,60.7156228449,0.13116,60.7156228449,-7.47835,3.35815,1.33967e-05,0.00747801,-7.73734677678,0.01,100,0.5,90.3188115561,0.0339388,88.2903298783,0.739927,-7.73734677678,200.0
1,0.980234,1.06714,-9.8381,-7.17540776597,100,6.69759,46.8844008256,0.0812992,46.8844008256,-6.87707,1.31127,8.46111e-06,0.00174271,-7.17540776597,0.01,100,0.5,93.7081880699,0.0133771,92.2709521732,0.170826,-7.17540776597,200.0
1,0.969093,1.18121,-9.84406,-7.54836399161,100,7.71535,51.7457506699,0.220142,51.7457506699,-7.16512,1.47505,2.34408e-05,0.000487349,-7.54836399161,0.01,100,0.5,84.659196246,0.0152209,81.1646279347,0.0472286,-7.54836399161,200.0
