optimgain,EpThisIter,J_hat,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpRewMean,EpLenMean,SampleRenyi2,surrgain,Step_size,EpisodesSoFar,DiscEpRewMean,Var_J,TimestepsSoFar
0.018748,100,2.8830857276916504,65.77470636367798,0.00883414,,-0.0572545528412,2.83794,-0.184220466232,500.0,623.758,0.018748,1.0,100,-0.244356423614,0.2548038363456726,50000
0.0226534,100,7.277900218963623,131.37392854690552,0.00946926,,0.545786261559,2.83076,9.79490199955,500.0,1.34675e+09,0.0226534,1.0,200,6.98431031885,2.235219717025757,100000
0.0203199,100,21.621999740600586,198.73516488075256,0.00932179,,0.694337904453,2.81055,18.7058172373,500.0,7.70084e+16,0.0203199,1.0,300,12.5266534493,2.1518476009368896,150000
0.0127788,100,19.70347023010254,267.69148540496826,0.00846522,,0.753025129437,2.79973,23.5815791808,500.0,1.75647e+12,0.0127788,1.0,400,16.5846943999,0.4335414171218872,200000
0.00682108,100,22.70691680908203,334.85697078704834,0.00798783,,0.743567198515,2.7773,25.8009729157,500.0,1.88859e+17,0.00682108,1.0,500,20.0364070819,1.303496241569519,250000
0.00486748,100,22.599597930908203,402.413450717926,0.00781426,,0.686309754848,2.75298,26.9695375703,500.0,6.862e+17,0.00486748,1.0,600,21.815575426,0.20549681782722473,300000
0.00365222,100,22.274988174438477,470.64435505867004,0.00760887,,0.649303168058,2.69994,26.5169428514,500.0,2.80988e+36,0.00365222,1.0,700,23.1619780878,0.3364420533180237,350000
0.00291146,100,24.014404296875,543.0508320331573,0.00716651,,0.646598786116,2.65801,26.5203672364,500.0,1.2542e+30,0.00291146,1.0,800,23.86235341,0.14266586303710938,400000
0.00376654,100,25.257200241088867,611.0220503807068,0.00745705,,0.676957279444,2.60375,26.5432880563,500.0,2.78062e+37,0.00376654,1.0,900,24.3255727267,0.01954304426908493,450000
0.00429996,100,25.6693115234375,678.2702679634094,0.00832053,,0.736632496119,2.58588,25.6242273915,500.0,5.72378e+14,0.00429996,1.0,1000,24.3100353434,0.033187396824359894,500000
0.00334949,100,24.72045135498047,746.5503852367401,0.00765918,,0.753310784698,2.53711,25.5085571976,500.0,3.83335e+34,0.00334949,1.0,1100,24.5674409127,0.05031710863113403,550000
0.00306733,100,24.593469619750977,814.5260322093964,0.0069855,,0.760785654187,2.54108,25.5731788298,500.0,0.284913,0.00306733,1.0,1200,24.6972964534,0.0007045299862511456,600000
0.00320836,100,24.488319396972656,884.5474092960358,0.00699753,,0.803098708391,2.58491,24.2848232482,500.0,8.36836e-28,0.00320836,1.0,1300,24.4780514124,0.03447907045483589,650000
0.00413861,100,24.151399612426758,958.8012270927429,0.00663073,,0.83444827795,2.57836,21.4472655772,500.0,2.60929e+07,0.00413861,1.0,1400,23.7643428745,0.10330382734537125,700000
0.00441921,100,23.894330978393555,1029.2341649532318,0.007366,,0.830484718084,2.57495,20.9928636429,500.0,702603.0,0.00441921,1.0,1500,23.9624966653,0.08265440911054611,750000
0.00470444,100,25.039722442626953,1097.8350338935852,0.00635197,,0.827594965696,2.54864,19.6332188912,500.0,3.00211e+18,0.00470444,1.0,1600,23.9903007045,0.040983084589242935,800000
0.00376546,100,25.05451011657715,1167.3255116939545,0.00670408,,0.833034798503,2.5332,22.6614219909,500.0,1.29666e+12,0.00376546,1.0,1700,24.5032569402,0.20819704234600067,850000
0.00388401,100,25.245933532714844,1237.4757633209229,0.00670157,,0.778883188963,2.48634,25.0876700669,500.0,1.54388e+33,0.00388401,1.0,1800,24.7858092036,0.24290412664413452,900000
