VarJ,EpsThisIter,ESSClassic,AvgEpLen,MinNormIw,AvgVanillaIw,VarDiscRet,AvgRet,Delta,Bound,IterType,AvgNormIw,eRenyi2,VanillaAvgRet,AvgDiscRet,VarRet,J,MaxNormIw,MaxVanillaIw,ESSRenyi,VarVanillaIw,VarNormIw,BatchSize,MinVanillaIw
104.548,100,13.4472556582,388.34,5.02008e-23,1.69947,22510.512621,-317.008742276,0.8,-143.54,1,0.01,9.5422,-317.008742276,-317.008742276,22510.512621,-79.1112,0.112307,19.0862,10.4797645267,18.7775,0.000650148,100,8.53147e-21
33.8694,100,56.6850745218,116.61,2.18427e-05,0.953128,3824.25332137,-82.7939102247,0.8,-98.193,1,0.01,1.68334,-82.7939102247,-82.7939102247,3824.25332137,-71.1328,0.0295624,2.81768,59.4057532441,0.70119,7.71851e-05,100,0.00208189
20.4626,100,17.4510781267,97.59,8.61585e-13,0.738391,180.467897068,-67.4193704632,0.8,-68.3722,1,0.01,4.21971,-67.4193704632,-67.4193704632,180.467897068,-57.081,0.108478,8.00991,23.6982876318,2.60511,0.000477808,100,6.36186e-11
0.059461,100,1.00479482811,97.59,7.9235e-12,1.57563e+08,4931.18052595,-67.4193704632,0.8,-inf,,0.01,0.0046215,-67.4193704632,-78.3222605342,180.467897068,-72.6947,0.997609,1.57187e+10,43275.9563606,2.47066e+18,0.0099518,200,0.124845
52.6283,100,187.852610323,117.59,0.00120705,1.00009,6074.91005688,-84.7641609247,0.8,-89.8209,1,0.005,1.07183,-84.7641609247,-84.7641609247,6074.91005688,-74.5522,0.00733716,1.46756,186.596811379,0.0650007,1.62474e-06,200,0.24143
60.8132,100,100.0,112.28,0.01,1.0,3735.60273747,-79.5554330641,0.8,-100.411,2,0.01,1.0,-79.5554330641,-79.5554330641,3735.60273747,-79.5554,0.01,1.0,200.0,,3.50449e-18,200,1.0
35.7771,100,165.36265632,101.73,7.32372e-06,0.983603,1359.21674441,-70.5319990772,0.8,-86.2849,1,0.005,1.18732,-70.5319990772,-70.5319990772,1359.21674441,-70.2156,0.00854056,1.6801,168.446231284,0.203669,5.2629e-06,200,0.00144073
61.3743,100,100.0,105.41,0.01,1.0,3804.84963245,-74.8873788129,0.8,-95.7407,2,0.01,1.0,-74.8873788129,-74.8873788129,3804.84963245,-74.8874,0.01,1.0,200.0,,3.50449e-18,200,1.0
72.4002,100,149.991545695,122.05,1.94912e-05,1.03963,8300.65319346,-89.548765929,0.8,-94.5867,1,0.005,1.36058,-89.548765929,-89.548765929,8300.65319346,-77.3839,0.0106559,2.21563,146.99658829,0.362167,8.37711e-06,200,0.00405272
90.8556,100,100.0,120.81,0.01,1.0,8338.12522062,-88.4675452879,0.8,-109.325,2,0.01,1.0,-88.4675452879,-88.4675452879,8338.12522062,-88.4675,0.01,1.0,200.0,,3.50449e-18,200,1.0
75.8609,100,135.408413131,110.64,1.09684e-05,1.03202,4993.89363294,-79.4660377449,0.8,-96.5131,1,0.005,1.52456,-79.4660377449,-79.4660377449,4993.89363294,-78.3031,0.0128136,2.64476,131.185649818,0.510601,1.19853e-05,200,0.00226391
77.7002,100,100.0,113.89,0.01,1.0,6098.29813811,-81.910223048,0.8,-102.767,2,0.01,1.0,-81.910223048,-81.910223048,6098.29813811,-81.9102,0.01,1.0,200.0,,3.50449e-18,200,1.0
65.794,100,190.883114922,107.49,0.00403537,1.00351,3760.04674953,-76.1317819855,0.8,-93.2871,1,0.005,1.05776,-76.1317819855,-76.1317819855,3760.04674953,-78.1189,0.00944116,1.89486,189.078275279,0.0483393,1.20004e-06,200,0.809909
37.304,100,100.0,99.77,0.01,1.0,1405.64819624,-69.6692342751,0.8,-90.5252,2,0.01,1.0,-69.6692342751,-69.6692342751,1405.64819624,-69.6692,0.01,1.0,200.0,,3.50449e-18,200,1.0
40.1913,100,158.085678337,109.66,0.000509676,0.961595,4913.36989949,-77.9837243426,0.8,-86.9264,1,0.005,1.24604,-77.9837243426,-77.9837243426,4913.36989949,-70.4638,0.0119592,2.29997,160.5084312,0.246394,6.66171e-06,200,0.0980203
70.272,100,100.0,106.37,0.01,1.0,4988.0378044,-76.1714699396,0.8,-97.0286,2,0.01,1.0,-76.1714699396,-76.1714699396,4988.0378044,-76.1715,0.01,1.0,200.0,,3.50449e-18,200,1.0
76.6963,100,197.263510694,118.19,0.00294382,0.99631,7189.66848033,-85.7040050967,0.8,-95.5617,1,0.005,1.01665,-85.7040050967,-85.7040050967,7189.66848033,-80.6912,0.00678186,1.35137,196.724728462,0.0138389,3.48539e-07,200,0.586591
69.4536,100,100.0,112.69,0.01,1.0,4872.52780661,-80.3833459896,0.8,-101.24,2,0.01,1.0,-80.3833459896,-80.3833459896,4872.52780661,-80.3833,0.01,1.0,200.0,,3.50449e-18,200,1.0
51.799,100,174.095478192,103.41,0.00135112,0.952257,2558.87539674,-72.4435622257,0.8,-90.0055,1,0.005,1.16631,-72.4435622257,-72.4435622257,2558.87539674,-74.0783,0.0113802,2.16738,171.480283956,0.135604,3.73857e-06,200,0.257323
70.1464,100,100.0,107.77,0.01,1.0,4970.22354734,-77.316297541,0.8,-98.173,2,0.01,1.0,-77.316297541,-77.316297541,4970.22354734,-77.3163,0.01,1.0,200.0,,3.50449e-18,200,1.0
52.2808,100,160.924082403,101.35,0.00017333,1.09303,2599.84125972,-71.2803625366,0.8,-87.4997,1,0.005,1.19031,-71.2803625366,-71.2803625366,2599.84125972,-71.4095,0.0176349,3.85509,168.023203468,0.291559,6.10106e-06,200,0.0378908
50.4097,100,100.0,101.57,0.01,1.0,2566.80730121,-71.2444105938,0.8,-92.1015,2,0.01,1.0,-71.2444105938,-71.2444105938,2566.80730121,-71.2444,0.01,1.0,200.0,,3.50449e-18,200,1.0
