MaxVanillaIw,MaxNormIw,VarNormIw,SamplesThisIter,VarDiscRet,ESSRenyi,AvgRet,Bound,VanillaAvgRet,IterType,MinVanillaIw,BatchSize,delta,VarJ,ESSClassic,AvgEpLen,renyi2,VarRet,AvgDiscRet,AvgVanillaIw,MinNormIw,VarVanillaIw,J,EpsThisIter,AvgNormIw
3.2958e+16,0.0436913,2.70027e-08,50000,3096.05716411,nan,47.770346295,303.874,47.770346295,1,,100,0.4,7297.98,21.9999995551,5.77767506355,nan,3096.05716411,47.770346295,4.84259e+11,,1.53653e+28,51959.4,8654,6.41964e-07
1.15206e+19,0.0451881,3.23369e-08,50000,5250.07919901,nan,54.76332839,478.195,54.76332839,1,,100,0.4,15604.0,21.9993270858,6.47836227002,nan,5250.07919901,54.76332839,1.83517e+14,,inf,69249.2,7718,7.19818e-07
2.78425e+16,0.0368393,2.05396e-08,50000,3546.0503353,nan,51.858652487,277.662,51.858652487,1,,100,0.4,27906.5,22.0000020892,6.18658747835,nan,3546.0503353,51.858652487,5.19525e+11,,1.17324e+28,38692.3,8082,6.87398e-07
1.01757e+12,0.0515176,3.00957e-08,50000,8080.88052645,nan,67.0088503464,513.786,67.0088503464,1,,100,0.4,15533.6,9.96008726861,7.70178681454,nan,8080.88052645,67.0088503464,1.69028e+07,,1.17414e+19,80053.8,6492,8.55754e-07
3.137e+13,0.0821815,8.21173e-08,50000,11853.2370463,nan,81.144128589,561.104,81.144128589,1,,100,0.4,14446.7,11.9977588959,9.117432531,nan,11853.2370463,81.144128589,3.86697e+08,,1.19651e+22,92514.9,5484,1.01305e-06
6.4501e+19,0.0776526,1.31324e-07,50000,71003.1801385,nan,152.617699764,1693.33,152.617699764,1,,100,0.4,18060.1,11.9493173252,16.2654521796,nan,71003.1801385,152.617699764,1.50118e+15,,inf,407144.0,3074,1.80727e-06
7.83055e+08,0.0592804,1.08047e-07,50000,131938.561813,nan,244.073334343,1482.82,244.073334343,1,,100,0.4,18536.5,9.18106812003,25.406504065,nan,131938.561813,244.073334343,37289.2,,1.88527e+13,245392.0,1968,2.82294e-06
4.17174e+08,0.0228993,3.83525e-08,50000,253452.234668,nan,343.62817953,2046.05,343.62817953,1,,100,0.4,20866.0,9.15844618899,35.360678925,nan,253452.234668,343.62817953,71576.8,,1.27286e+13,256150.0,1414,3.92896e-06
7.85878e+25,0.1,3.98519e-07,50000,235149.095523,nan,348.704827912,2037.45,348.704827912,1,,100,0.4,20790.5,10.0000019533,35.8680057389,nan,235149.095523,348.704827912,3.13199e+21,,inf,402873.0,1394,3.98533e-06
2.76458e+19,0.0778319,2.65344e-07,50000,305872.49612,nan,317.246487122,2649.8,317.246487122,1,,100,0.4,28745.6,11.9523208001,32.722513089,nan,305872.49612,317.246487122,1.29145e+15,,inf,433756.0,1528,3.63583e-06
1.52707e+16,0.0833333,3.19271e-07,50000,161118.260347,nan,334.77091185,nan,334.77091185,1,,100,0.4,nan,11.9999967047,34.4827586207,nan,161118.260347,334.77091185,7.02099e+11,,1.07211e+28,nan,1450,3.83142e-06
1.81859e+19,0.0716303,2.30714e-07,50000,155246.937805,nan,340.150862353,1678.37,340.150862353,1,,100,0.4,14612.0,8.65149941607,35.0140056022,nan,155246.937805,340.150862353,9.87726e+14,,inf,330832.0,1428,3.89044e-06
1.03005e+24,0.0831761,3.99648e-07,50000,268435.93695,nan,423.301402776,1997.16,423.301402776,1,,100,0.4,19442.4,11.9999700687,43.3275563258,nan,268435.93695,423.301402776,5.96185e+19,,inf,392039.0,1154,4.81417e-06
8.21897e+14,0.0474421,1.36778e-07,50000,406314.486944,nan,333.978969801,3296.0,333.978969801,1,,100,0.4,47427.0,9.05300233562,34.3878954608,nan,406314.486944,333.978969801,6.61937e+10,,4.10509e+25,563354.0,1454,3.82088e-06
1.71017e+20,0.083288,5.58484e-07,50000,585297.556867,nan,594.074304057,3231.34,594.074304057,1,,100,0.4,29071.5,11.9999937409,60.38647343,nan,585297.556867,594.074304057,1.3777e+16,,inf,617682.0,828,6.70961e-06
2.96274e+20,0.0831681,4.19186e-07,50000,250888.782338,nan,444.570145875,2248.87,444.570145875,1,,100,0.4,28683.2,11.9999842765,45.4545454545,nan,250888.782338,444.570145875,1.79917e+16,,inf,409672.0,1100,5.05051e-06
1.00305e+16,0.0752739,3.93185e-07,50000,519601.504757,nan,508.837328519,3231.61,508.837328519,1,,100,0.4,36559.6,11.9583279127,51.867219917,nan,519601.504757,508.837328519,7.67942e+11,,6.98156e+27,607694.0,964,5.76302e-06
1.04262e+09,0.0759625,5.92258e-07,50000,585596.293669,nan,759.333731448,2410.15,759.333731448,1,,100,0.4,20116.2,11.9932643272,76.9230769231,nan,585596.293669,759.333731448,117311.0,,1.11574e+14,460089.0,650,8.54701e-06
1.8917e+11,0.0451852,2.56694e-07,50000,856131.377117,nan,717.172491773,3693.77,717.172491773,1,,100,0.4,27805.3,11.7295881506,72.6744186047,nan,856131.377117,717.172491773,3.38061e+07,,4.49911e+18,628960.0,688,8.07494e-06
91386.4,0.0126737,6.23375e-08,50000,2032985.49463,nan,1395.35843963,3861.74,1395.35843963,1,,100,0.4,21177.0,6.07090209604,140.449438202,nan,2032985.49463,1395.35843963,112.527,,3.24121e+06,738564.0,356,1.56055e-05
8770.42,0.00460448,1.4391e-08,50000,2434492.66126,nan,1452.99073718,3872.41,1452.99073718,1,,100,0.4,21860.4,14.8401227282,146.198830409,nan,2434492.66126,1452.99073718,30.9415,,52212.0,749824.0,342,1.62443e-05
172300.0,0.0071435,4.55154e-08,50000,1696759.78893,nan,1327.72526852,3693.58,1327.72526852,1,,100,0.4,22940.4,9.21288457432,133.689839572,nan,1696759.78893,1327.72526852,358.286,,2.64793e+07,698665.0,374,1.48544e-05
72663.0,0.00374523,2.06984e-08,50000,1780240.21706,nan,1253.39839351,3872.97,1253.39839351,1,,100,0.4,23791.2,11.5738517397,126.262626263,nan,1780240.21706,1253.39839351,272.187,,7.79123e+06,692953.0,396,1.40292e-05
