MeanEntropy,OptimizationReturnMean,ESSRenyi,OptimizationReturnMax,LearnableVariance,Weights,OptimizationReturnMin,MaxIWNorm,EmpiricalD2,ReturnStepMax,InitialReturnMax,TimestepsSoFar,StdIW,Iteration,StdIWNorm,MeanIW,Bound,EpThisIter,MaxIW,MeanIWNorm,VarianceInit,InitialReturnMin,EpisodesSoFar,InitialReturnMean,ESSClassic,J_sample_variance,InitialReturnStd,TimeElapsed,EpRewMean,EpLenMean,ReturnStepMaxmin,MinIWNorm,ReturnMeanIW,MinIW,InitialBound
1.4261436,62.699875,8.836234,139.93523,True,[ 0. -0. -0. -0.  0.],,0.20693325,1.2448742,9.999995,149.91876,91,0.47242644,1,0.04294786,1.0612285,29.332645,11,2.2762656,0.09647532,-1,9.983534,11,72.68341,9.180623,8369.177,43.482643,0.6433711051940918,72.68341206896862,8.272727272727273,9.999995,0.036038812,91.10128,0.39642692,17.322247
1.4202751,59.04204,2.1385155,129.93993,True,[-0.141  0.026 -0.057 -0.216  0.007],,1.0907775,5.143755,9.999963,129.93993,167,3.2706854,2,0.29733506,2.2893324,111.21116,11,11.998552,0.20812112,-1,,22,59.04204,3.6171367,213273.36,37.26588,2.266542911529541,59.042040958381264,6.909090909090909,9.999963,0.022356795,220.037,0.24592474,11.058548
1.4584963,99.04673,8.024356,209.94708,True,[-0.288 -0.365 -0.14  -0.712  0.001],,0.26074976,1.3708266,9.999947,239.91437,320,0.59602904,3,0.05418446,1.2775127,79.70724,11,2.8682473,0.11613753,-1,29.967281,33,129.01402,9.033624,18829.17,58.519295,2.809107780456543,129.0140222770378,13.909090909090908,9.999947,0.03922665,183.43542,0.43149313,40.41977
1.4955413,75.39602,10.559569,169.88423,True,[-0.366 -0.402 -0.215 -0.919  0.04 ],,0.12478405,1.0417092,9.999603,179.86423,425,0.14648956,4,0.013317235,1.0329654,22.744331,11,1.3726245,0.09390595,-1,9.979993,44,85.37602,10.783136,4230.883,53.959743,3.4416298866271973,85.37601532922166,9.545454545454545,9.999603,0.07565991,90.53459,0.832259,18.956749
1.1707157,108.16084,0.2980934,329.9531,True,[-0.379 -0.373 -0.262 -0.867  0.077],,7.197876,36.901184,9.999992,389.8755,621,22.821842,5,2.074713,10.366268,2599.8735,11,79.176636,0.9423881,-1,59.9224,55,168.08325,1.8813664,61979496.0,103.63284,3.9468894004821777,168.083246940389,17.818181818181817,9.999992,0.007405871,3474.445,0.08146458,24.112183
1.1240844,129.92618,9.540146,299.91165,True,[ 0.028 -0.235 -0.279 -1.079 -0.248],,0.41938514,1.1530222,9.999999,299.91165,775,1.0868585,6,0.09880533,1.2654955,106.40529,11,4.6132364,0.11504505,-1,,66,129.92618,6.3305464,160574.67,103.27331,4.822491884231567,129.92617570731474,14.0,9.999999,0.042090524,225.32709,0.46299577,19.17646
1.2090924,118.11994,5.5179076,259.88077,True,[-0.4   -0.154 -0.349 -1.035 -0.295],,0.59092474,1.9935093,9.999968,269.86078,927,1.670735,7,0.151885,1.5577925,136.17586,11,6.5001717,0.1416175,-1,9.980023,77,128.09996,5.1156607,215625.62,87.52255,5.402732849121094,128.09995801000932,13.818181818181818,9.999968,0.028431145,276.8772,0.3127426,28.447266
1.241577,202.65088,4.2546244,589.87646,True,[-0.571 -0.04  -0.52  -1.285 -0.21 ],,0.47399157,2.585422,9.999989,599.8595,1172,1.7327564,8,0.1575233,1.7961934,284.38,11,5.2139072,0.1632903,-1,9.983029,88,212.63393,5.697675,984037.2,187.9738,6.098550081253052,212.63392076132448,22.272727272727273,9.999989,0.03910037,640.5559,0.43010408,-8.878876
1.2381451,217.18695,7.0250206,509.89066,True,[-0.822  0.309 -0.729 -1.594 -0.177],,0.28945735,1.5658317,9.999991,559.8318,1477,0.7333713,9,0.06667012,1.4088035,169.96768,11,3.1840308,0.12807304,-1,49.94114,99,267.12805,8.654698,220965.92,172.79921,6.926017999649048,267.1280630436892,27.727272727272727,9.999991,0.055408616,428.65753,0.60949475,60.39647
1.2610431,174.49194,10.575643,389.833,True,[-1.013  0.247 -0.838 -1.464 -0.181],,0.11846086,1.040126,9.999958,449.74258,1746,0.1782968,10,0.016208801,1.0163958,83.94806,11,1.3030694,0.09239963,-1,59.90959,110,234.40152,10.671608,27871.395,108.453316,7.680968999862671,234.40153140354096,24.454545454545453,9.999958,0.072326966,253.32578,0.7955966,68.32309
