LearnableVariance,VarianceInit,EpRewMean,InitialReturnMax,EpLenMean,StdIW,MeanIWNorm,StdIWNorm,MaxIWNorm,ReturnMeanIW,EpThisIter,TimeElapsed,InitialReturnMin,Iteration,EpisodesSoFar,EmpiricalD2,OptimizationReturnMean,MinIW,Bound,InitialReturnStd,ReturnStepMax,Weights,InitialReturnMean,InitialBound,TimestepsSoFar,OptimizationReturnMin,MinIWNorm,OptimizationReturnMax,ESSRenyi,MeanEntropy,J_sample_variance,MeanIW,ESSClassic,ReturnStepMaxmin,MaxIW
True,-1,62.689451218015556,119.87665,7.2727272727272725,8.9307375,0.4402276,0.8118853,2.8900352,363.55777,11,0.7262513637542725,19.982502,1,11,14.065503,42.70695,0.0045294757,197.53734,33.032623,9.999904,[ 0. -0. -0. -0.  0.],62.68945,18.42207,80,,0.00041177054,99.89415,0.7820552,1.0361506,582570.9,4.8425035,2.4993072,9.999904,31.790386
True,-1,35.432156792172165,99.971115,4.545454545454546,0.30492234,0.10262754,0.027720217,0.14431325,44.065926,11,2.5269720554351807,9.980363,2,22,1.1686622,25.451794,0.54523444,4.157158,23.877214,9.999998,[-0.041 -0.111  0.305  0.693 -0.383],35.432156,-1.484623,130,,0.049566768,89.99075,9.412472,0.91707194,1564.0575,1.1289029,10.252047,9.999998,1.5874457
True,-1,36.33902899414394,119.967316,4.636363636363637,1.1053342,0.11609869,0.10048492,0.3986064,75.265854,11,3.183380603790283,,3,33,1.7430739,36.339027,0.16521513,16.777401,29.925837,9.99951,[-0.042 -0.254  0.354  0.69  -0.502],36.339027,-7.961834,181,,0.015019558,119.967316,6.3106904,0.65468544,22982.758,1.2770855,6.2889028,9.99951,4.3846703
True,-1,58.14750040869601,109.94411,6.818181818181818,0.84372395,0.1404593,0.07670218,0.28038648,108.776245,11,3.721757650375366,19.966331,4,44,1.9863063,38.181168,0.09703414,51.5567,28.217003,9.999956,[ 0.272 -0.496  0.56   0.665 -0.764],58.1475,17.54795,256,,0.008821286,89.977776,5.537917,0.4950284,8630.202,1.545052,8.473238,9.999956,3.0842512
True,-1,50.87973441209678,89.965256,6.090909090909091,0.30959538,0.09900865,0.028145036,0.16008787,56.769806,11,4.421176433563232,19.975176,5,55,1.1191573,30.904558,0.6895486,21.62431,24.284288,9.999975,[ 0.062 -0.528  0.296  0.541 -0.924],50.879734,17.657867,323,,0.06268624,69.99008,9.828824,0.46766979,1619.3397,1.089095,10.177566,9.999975,1.7609664
True,-1,50.88187644149286,89.97577,6.090909090909091,2.942415,0.17420456,0.2674923,1.0014056,103.85447,11,4.971025228500366,9.984914,6,66,2.612928,40.89696,0.28761023,50.146523,26.77923,9.999989,[ 0.097 -0.51   0.404  0.603 -0.951],50.881874,17.656124,390,,0.026146386,79.99085,4.209837,0.66384035,26046.281,1.9162501,3.2759728,9.999989,11.015461
True,-1,59.971463403291345,129.94403,7.0,0.6609182,0.101800136,0.06008347,0.25651798,76.41617,11,5.581191301345825,9.983939,7,77,1.1317291,49.987526,0.6620761,25.368385,36.918507,9.999964,[ 0.092 -0.568  0.561  0.585 -0.755],59.971462,11.986454,467,,0.06018874,119.96009,9.719641,0.72107565,9166.0205,1.1198015,8.158132,9.999964,2.8216977
True,-1,55.41935499628901,99.94989,6.545454545454546,0.47464818,0.10734074,0.043149833,0.23581962,72.88215,11,6.2906880378723145,9.981194,8,88,1.0917722,45.43816,0.7679665,34.31677,24.626965,9.999965,[-0.004 -0.347  0.425  0.42  -0.698],55.419357,18.510414,539,,0.06981514,89.9687,10.075362,0.7481154,3952.248,1.180748,9.469732,9.999965,2.5940158
True,-1,71.79109977848312,329.9614,8.181818181818182,1.1913239,0.13599971,0.108302176,0.4180979,198.37961,11,6.9184794425964355,9.980053,9,99,1.6675156,61.811047,0.5212624,41.03662,86.946304,9.99999,[-0.133 -0.724  0.487  0.655 -0.671],71.7911,-50.05522,629,,0.047387492,319.98135,6.5966396,0.80873865,188531.11,1.4959966,6.7312884,9.99999,4.5990767
True,-1,57.23356762561416,119.95181,6.7272727272727275,8.3025465,0.37792805,0.754777,2.6684349,243.30914,11,7.642883777618408,19.969435,10,110,12.288,37.264133,0.00013514793,88.03587,26.656591,9.999884,[-0.188 -0.894  0.505  0.573 -0.61 ],57.233566,12.938427,703,,1.2286176e-05,99.982376,0.8951823,0.4963465,136698.52,4.1572084,2.2050333,9.999884,29.352783
True,-1,46.33368313139411,69.98264,5.636363636363637,0.9757633,0.11938909,0.08870576,0.3701903,68.784676,11,8.19978380203247,19.972126,11,121,1.6166142,26.361559,0.60286146,35.926548,13.670682,9.999997,[-0.126 -1.061  0.771  1.14  -0.923],46.333683,20.490883,765,,0.054805588,50.010517,6.8043447,0.6344301,3998.0632,1.3132799,7.087423,9.999997,4.072093
True,-1,49.968702711962074,89.95919,6.0,6.447492,0.2723818,0.58613575,2.085605,227.9569,11,8.947624444961548,19.973743,12,132,14.8674965,29.994959,0.012691652,99.867325,21.74396,9.999979,[-0.172 -0.956  0.771  1.151 -0.785],49.9687,16.749073,831,,0.0011537867,69.98544,0.739869,0.49205402,232866.05,2.9961998,1.9536002,9.999979,22.941652
True,-1,56.328870806087224,99.9733,6.636363636363637,2.3739,0.15226954,0.21580909,0.8223133,129.71994,11,9.577279567718506,19.969574,13,143,2.6062405,36.3593,0.4860222,70.12073,29.308998,9.999999,[-0.236 -0.736  0.545  0.638 -0.927],56.328873,19.411285,904,,0.04418384,80.00372,4.2206388,0.64571315,46387.3,1.6749649,3.6560736,9.999999,9.045446
