OptimizationReturnMean,LearnableVariance,TimestepsSoFar,StdIW,OptimizationReturnMin,ReturnMeanIW,EpLenMean,ReturnStepMax,InitialReturnStd,EpThisIter,Bound,MeanIWNorm,J_sample_variance,ReturnStepMaxmin,ESSClassic,OptimizationReturnMax,MeanIW,InitialReturnMin,MaxIWNorm,Iteration,MinIWNorm,InitialBound,InitialReturnMean,InitialReturnMax,MaxIW,TimeElapsed,ESSRenyi,EpisodesSoFar,VarianceInit,Weights,MeanEntropy,EpRewMean,MinIW,EmpiricalD2,StdIWNorm
68.13911,True,86,27.076279,,1858.5184,7.818181818181818,9.999975,59.032936,11,934.2631,0.86090034,35925770.0,9.999975,1.1989126,209.91066,9.469906,,8.629892,1,1.3774731e-10,-9.375534,68.13911,209.91066,94.92882,0.6922628879547119,0.077370666,11,-1,[ 0.  0.  0. -0.  0.],1.1081958,68.139112134007,1.5152204e-09,142.17274,2.46148
112.66335,True,232,5.583146,,537.9435,13.272727272727273,9.999984,80.08225,11,305.2743,0.25032476,1747896.9,9.999984,2.1521506,229.8181,2.7535725,9.980941,1.8512225,2,0.054386836,34.09262,122.64429,239.79904,20.363447,2.6947691440582275,1.5933399,22,-1,[-0.113 -0.277 -0.127 -0.598 -0.311],1.2058866,122.64428614148504,0.59825516,6.903737,0.50755876
79.945656,True,364,0.9002538,,158.77861,12.0,9.999885,76.12259,11,52.92945,0.104975894,49016.26,9.999885,6.841619,209.8583,1.1547348,29.969,0.32216698,3,0.028030125,21.352562,109.91465,239.8273,3.5438366,3.3269810676574707,7.700406,33,-1,[ 0.007 -0.027 -0.26  -0.892 -0.213],1.0850233,109.91465401564902,0.30833137,1.4284961,0.08184126
130.85802,True,563,15.017757,,2757.0903,18.09090909090909,9.99995,111.286156,11,1995.7754,0.9007731,20812340.0,9.99995,3.33619,319.948,9.908503,39.935165,4.4107246,4,0.00015304777,37.897522,170.7932,359.88315,48.517967,3.917437791824341,0.33518574,44,-1,[-0.197 -0.085 -0.527 -0.893 -0.334],0.82674706,170.79318296717457,0.0016835255,32.817627,1.3652507
200.7888,True,806,0.9856859,,256.67752,22.09090909090909,9.999981,133.88362,11,53.38365,0.08574681,188789.0,9.999981,5.257916,459.8766,0.94321483,9.986874,0.36404806,5,0.03391414,37.26712,210.7757,469.86346,4.0045285,4.7785749435424805,8.012833,55,-1,[-0.427 -0.079 -0.775 -1.365 -0.592],0.7617514,210.77568666568413,0.37305555,1.3727978,0.089607805
156.33177,True,1077,0.3590444,,320.57446,24.636363636363637,9.999995,140.85541,11,113.45831,0.113792226,64469.918,9.999995,10.163743,429.90088,1.2517146,79.87894,0.17739329,6,0.078382075,47.96205,236.21071,509.77982,1.9513261,5.375455141067505,9.08717,66,-1,[-0.361 -0.029 -0.843 -1.357 -0.657],0.7451538,236.21070292668836,0.86220276,1.210498,0.032640398
167.22145,True,1382,19.777775,,2512.6191,27.727272727272727,9.999963,128.68475,11,1362.9194,0.6515192,27531014.0,9.999963,1.2767252,449.87576,7.16671,99.88504,6.3273597,7,0.004114851,64.09387,267.10648,549.7608,69.60095,6.022211790084839,0.34298095,77,-1,[-0.548 -0.049 -0.936 -1.346 -0.674],0.51369977,267.1065002908174,0.045263357,32.07175,1.7979796
363.4461,True,1793,90.12356,,20841.836,37.36363636363637,9.999991,227.37628,11,16250.164,2.6058893,4761398000.0,9.999991,1.0105592,769.7722,28.664782,,28.514505,8,0.0005331444,79.18887,363.4461,769.7722,313.65955,6.8409507274627686,0.042157423,88,-1,[-0.591  0.067 -1.099 -1.545 -0.905],0.43090904,363.44608303247713,0.005864588,260.92676,8.193051
356.2899,True,2273,0.49914092,,479.36035,43.63636363636363,9.999996,195.97935,11,128.65775,0.116930984,41572.77,9.999996,9.560296,809.9458,1.2862407,69.89709,0.19367169,9,0.023648959,101.28351,426.18698,879.8429,2.1303885,7.89182448387146,9.441121,99,-1,[-0.669  0.296 -1.199 -1.382 -0.988],0.40842986,426.1869924745613,0.26013854,1.1651158,0.04537645
178.25067,True,2744,2.089321,,915.508,42.81818181818182,9.99999,100.54257,11,486.8946,0.17662215,758015.0,9.99999,5.100929,390.07886,1.9428437,239.73596,0.57426256,10,0.004996492,185.4121,417.9866,629.8148,6.316888,8.514642000198364,3.2388103,110,-1,[-0.644  0.267 -1.169 -1.313 -1.011],0.3027299,417.986620251092,0.05496141,3.396309,0.18993826
77.388336,True,3203,6.0529404,,918.61707,41.72727272727273,9.999996,75.09718,11,411.6734,0.23173696,790043.3,9.999996,1.657023,210.12222,2.5491066,329.68484,1.9684345,11,0.029914077,207.73625,407.07315,539.80707,21.652779,14.840210437774658,1.7007833,121,-1,[-0.716  0.351 -1.183 -1.269 -1.116],0.37397474,407.0731911240395,0.32905483,6.4676085,0.5502673
261.73978,True,3601,0.95488256,,416.25458,36.18181818181818,9.999998,96.544014,11,204.58548,0.11224477,84465.55,9.999998,6.883123,379.88092,1.2346925,89.88109,0.3573908,12,0.017822528,178.14973,351.62088,469.76202,3.9312985,15.510073184967041,7.3880897,132,-1,[-0.673  0.263 -1.153 -1.301 -1.045],0.37998655,351.6208551857379,0.19604781,1.4888829,0.08680751
209.10622,True,3985,0.14989957,,367.9619,34.90909090909091,9.999978,86.92642,11,202.08363,0.09805209,32240.912,9.999978,10.791555,300.0848,1.0785728,129.79898,0.12146376,13,0.07309405,180.16011,338.9052,429.8838,1.3361013,16.005825519561768,10.074287,143,-1,[-0.668  0.217 -1.148 -1.26  -1.039],0.37632447,338.9052079691762,0.80403453,1.0918887,0.013627234
199.10931,True,4512,3.032107,,1177.1167,47.90909090909091,10.0,166.81386,11,616.8464,0.1921222,1836823.6,10.0,3.5965462,430.01062,2.113344,269.7563,0.88562846,14,0.020811472,210.45953,468.8656,699.7669,9.741913,16.635392904281616,2.3399296,154,-1,[-0.673  0.217 -1.143 -1.327 -1.043],0.4652069,468.8655880565098,0.22892618,4.7009964,0.2756461
274.44974,True,4869,0.9817366,,415.35342,32.45454545454545,9.999996,136.94536,11,148.4444,0.11251385,135664.45,9.999996,6.7517557,569.9763,1.2376522,39.925793,0.33911952,15,0.031724162,89.15428,314.37552,609.9021,3.7303145,17.371829509735107,7.832221,165,-1,[-0.776  0.224 -1.169 -1.333 -0.954],0.4634912,314.3755574763985,0.3489658,1.4044547,0.089248784
321.71536,True,5267,0.16478604,,369.74243,36.18181818181818,9.999994,186.47264,11,76.337006,0.09474091,44884.707,9.999994,10.731684,749.8818,1.04215,29.946743,0.12479125,16,0.061866622,63.691376,351.6621,779.8285,1.3727037,18.03175139427185,10.596273,176,-1,[-0.856  0.277 -1.167 -1.255 -0.955],0.46129158,351.66212361279673,0.6805328,1.0381008,0.014980549
215.40727,True,5735,2.806742,,779.32043,42.54545454545455,9.999999,127.11209,11,391.61746,0.14467452,1231665.2,9.999999,2.6760492,419.9835,1.5914199,199.87918,0.94160974,17,0.024725478,186.38701,415.2865,619.8627,10.357707,18.566399335861206,3.8342814,187,-1,[-0.842  0.261 -1.215 -1.284 -0.958],0.51839936,415.2864601274712,0.27198026,2.8688557,0.25515836
83.755356,True,6124,8.011381,,2152.0315,35.36363636363637,9.999977,95.75611,11,1402.0458,0.3849517,6508416.0,9.999977,2.4020326,320.1319,4.2344685,259.695,1.9787868,18,0.0001884228,129.33511,343.45035,579.8269,21.766655,19.229488372802734,0.89656544,198,-1,[-0.845  0.308 -1.289 -1.174 -0.901],0.3348887,343.4503608164228,0.0020726507,12.269043,0.72830737
124.49583,True,6536,1.0489551,,531.8441,37.45454545454545,9.999989,56.80134,11,277.07794,0.13457426,181153.45,9.999989,7.323001,240.00258,1.4803169,239.87675,0.29396072,19,0.01644888,187.16537,364.3726,479.87933,3.2335677,19.94296956062317,5.3219614,209,-1,[-0.782  0.348 -1.287 -1.158 -1.084],0.2701556,364.3725767388089,0.18093768,2.0669072,0.09535956
170.04381,True,7042,0.29508194,,465.38904,46.0,9.999997,155.73204,11,155.69101,0.09603796,120636.68,9.999997,10.203876,539.99493,1.0564175,279.78656,0.15677112,20,0.0557029,147.10599,449.83035,819.7815,1.7244823,20.662437915802002,10.51019,220,-1,[-0.823  0.326 -1.322 -1.098 -1.149],0.2532709,449.8303564005728,0.6127319,1.0466033,0.026825635
160.9813,True,7516,2.5135558,,1007.0017,43.09090909090909,9.999999,126.546555,11,490.0946,0.19893788,851760.6,9.999999,4.7427278,470.11908,2.1883163,259.7339,0.7804453,21,0.012500554,151.19916,420.7152,729.85297,8.584898,21.232192039489746,2.9904528,231,-1,[-0.851  0.343 -1.324 -1.093 -1.166],0.20667157,420.715175758115,0.1375061,3.6783729,0.22850509
160.88365,True,8089,2.2212284,,1015.18195,52.09090909090909,9.999995,118.794464,11,521.7549,0.16329524,1026732.44,9.999995,4.349264,399.91446,1.7962476,349.8455,0.59958166,22,0.026278382,233.86194,510.72913,749.75995,6.595398,22.060863971710205,3.4632978,242,-1,[-0.746  0.34  -1.395 -1.089 -1.212],0.23425178,510.72911952733625,0.2890622,3.1761634,0.20192985
497.1323,True,8658,3.3865943,,1278.1747,51.72727272727273,9.999995,207.13266,11,718.3731,0.19181271,5579651.0,9.999995,3.0758562,709.87305,2.1099396,9.980945,1.1209204,23,0.008885791,241.28955,507.1132,719.854,12.330124,22.801894903182983,2.480344,253,-1,[-0.75   0.385 -1.458 -1.175 -1.185],0.19061841,507.11322395616804,0.0977437,4.434869,0.3078722
202.64581,True,9244,1.3483821,,803.0337,53.27272727272727,9.999998,154.5381,11,429.27066,0.13271444,528507.8,9.999998,5.935972,399.82626,1.4598587,319.8721,0.49265257,24,0.047867626,256.7517,522.5179,719.69836,5.419178,23.717206716537476,5.561598,264,-1,[-0.857  0.496 -1.466 -1.102 -1.228],0.26072666,522.5179276076974,0.52654386,1.9778489,0.1225802
233.54938,True,9875,5.2634535,,2270.5012,57.36363636363637,9.999999,227.00908,11,1232.344,0.26043028,12486071.0,9.999999,2.5138412,749.8451,2.8647327,329.8932,1.7505186,25,0.012187125,164.72284,563.44257,1079.7383,19.255703,24.582280158996582,1.6225646,275,-1,[-0.885  0.509 -1.445 -1.14  -1.158],0.340854,563.4425770678126,0.13405837,6.7793913,0.47849575
457.991,True,10401,0.14222705,,486.34122,47.81818181818182,9.999999,191.5872,11,198.305,0.0933355,52669.895,9.999999,10.792879,759.77673,1.0266904,9.9808445,0.11042267,26,0.0612609,183.72003,467.97186,769.75757,1.2146493,25.24393129348755,10.712848,286,-1,[-0.874  0.558 -1.449 -1.134 -1.078],0.32935765,467.97185063813447,0.6738699,1.0268044,0.012929733
189.03627,True,11027,18.219799,,4388.7646,56.90909090909091,9.999995,187.62178,11,2059.192,0.5901058,44034944.0,9.999995,1.2389516,639.7901,6.4911633,369.80157,5.824458,27,0.0055199238,186.02145,558.8378,1009.5917,64.06904,25.774523735046387,0.28172818,297,-1,[-0.898  0.573 -1.474 -1.139 -1.09 ],0.38220125,558.8378456735574,0.06071916,39.044727,1.6563452
281.82983,True,11678,16.831985,,3560.1433,59.18181818181818,10.0,243.03336,11,2018.5682,0.56876105,26679210.0,10.0,1.335256,749.9094,6.2563705,299.77466,5.3977485,28,0.0031424623,193.98297,581.6045,1049.6841,59.37523,26.746021270751953,0.69547117,308,-1,[-0.94   0.526 -1.441 -0.978 -1.037],0.3965651,581.6045161375497,0.034567084,15.816616,1.5301807
