InitialReturnStd,MaxIW,MaxIWNorm,InitialReturnMean,J_sample_variance,OptimizationReturnMean,VarianceInit,Weights,MinIWNorm,ESSClassic,Bound,TimeElapsed,MeanIWNorm,OptimizationReturnMax,MinIW,StdIW,InitialReturnMin,StdIWNorm,ReturnStepMax,LearnableVariance,MeanEntropy,InitialReturnMax,Iteration,EpisodesSoFar,ReturnMeanIW,ReturnStepMaxmin,EmpiricalD2,EpLenMean,TimestepsSoFar,ESSRenyi,InitialBound,EpThisIter,EpRewMean,OptimizationReturnMin,MeanIW
18.79608,4.274779,0.38861626,50.872707,5599.487,40.892185,-1,[ 0. -0. -0.  0.  0.],0.004059324,6.4945397,45.265976,0.723825216293335,0.14293984,69.93875,0.044652563,1.3096079,9.980522,0.11905527,9.999891,True,1.2498314,79.91927,1,11,84.86672,9.999891,1.8005496,6.090909090909091,67,6.109246,21.360563,11,50.87270853206733,,1.5723381
29.165972,3.4438257,0.31307507,51.784252,6227.109,31.809532,-1,[-0.314  0.332 -0.402  0.049 -0.169],0.0016501653,6.9580445,18.935425,2.5612404346466064,0.11857577,89.97061,0.018151818,0.9941244,19.97472,0.09037495,9.99985,True,1.0296239,109.945335,2,22,70.119934,9.99985,1.5893697,6.181818181818182,135,6.920983,11.18425,11,51.784253344383394,,1.3043333
26.398586,2.1164293,0.19240268,45.421394,3406.2883,25.452393,-1,[-0.306  0.222 -0.273  0.18  -0.389],0.046442244,9.413393,18.788612,3.2613847255706787,0.108038954,80.0015,0.5108647,0.48790407,19.969,0.044354916,9.999973,True,1.120281,99.970505,3,33,59.32343,9.999973,1.2056302,5.545454545454546,196,9.123859,8.504841,11,45.421394177202664,,1.1884284
29.614475,14.73271,1.3393373,66.32055,52947.156,36.340397,-1,[-0.607  0.575 -0.41  -0.032 -0.299],0.0006059898,2.7353702,59.56996,3.7733843326568604,0.22294793,79.98233,0.0066658873,4.2628474,29.980145,0.38753158,9.999976,True,0.68680435,109.96248,4,44,166.16228,9.999976,6.8907137,7.636363636363637,280,1.5963514,25.714207,11,66.32054057292027,,2.4524271
24.49006,5.1897492,0.4717954,49.96683,7455.265,39.98636,-1,[-0.612  0.639 -0.363  0.09  -0.732],0.0406609,6.2087474,46.533615,4.327842950820923,0.15192765,79.97836,0.44726986,1.4680877,9.9804735,0.13346252,9.999861,True,0.7460647,89.95884,5,55,93.49119,9.999861,1.9981357,6.0,346,5.5051317,16.747334,11,49.96683185803351,,1.671204
34.43916,28.988592,2.6353266,66.328026,907463.6,56.347935,-1,[-0.627  0.45  -0.397  0.009 -0.673],0.010551887,1.6242417,216.68214,4.782217502593994,0.3074392,109.99586,0.11607075,8.125119,9.980097,0.7386472,9.999923,True,0.85846084,119.97595,6,66,351.99683,9.999923,9.328307,7.636363636363637,430,1.1792065,22.02398,11,66.32802764726335,,3.3818312
43.514004,6.0960207,0.5541837,93.57261,79746.96,63.62421,-1,[-0.853  0.781 -0.828 -0.453 -0.56 ],0.054727875,5.7844653,103.92934,5.567715167999268,0.1429347,159.95888,0.6020066,1.4929596,29.948399,0.13572362,9.999998,True,0.802614,189.90727,7,77,198.38725,9.999998,1.8142409,10.363636363636363,544,6.063142,23.44471,11,93.57260900670695,,1.5722816
73.01714,23.651846,2.150168,89.036644,4249092.5,89.036644,-1,[-0.846  0.999 -0.932 -0.794 -0.616],0.003960628,1.3276867,288.18726,6.279803276062012,0.22565478,289.89062,0.04356691,6.6996884,,0.6090626,9.999973,True,0.7452073,289.89062,8,88,641.53033,9.999973,10.894975,9.909090909090908,653,1.0096397,-18.012558,11,89.03664705607797,,2.4822023
75.27764,5.0695977,0.46087253,178.10347,125976.2,158.13097,-1,[-0.745  0.781 -0.999 -0.922 -0.674],0.006548276,5.8549466,182.42613,7.0449440479278564,0.15916105,299.92935,0.072031036,1.6412053,19.9725,0.1492005,10.0,True,0.60354424,319.90186,9,99,353.003,10.0,2.0850103,18.818181818181817,860,5.2757535,59.971886,11,178.10346703299388,,1.7507714
147.20515,13.927561,1.2661419,252.59868,2791131.8,242.6127,-1,[-0.464  0.731 -0.916 -0.972 -0.815],0.009879497,3.466386,421.48148,7.9908740520477295,0.23387232,519.6787,0.10867446,3.7925794,9.985973,0.34477994,9.999957,True,0.65265596,529.6647,10,110,823.65106,9.999957,4.2278333,26.272727272727273,1149,2.6018054,57.00702,11,252.5986656860299,,2.5725954
