StdIWNorm,EpThisIter,VarianceInit,StdIW,EpRewMean,ESSClassic,MinIWNorm,ESSRenyi,InitialReturnStd,EmpiricalD2,OptimizationReturnMean,MeanIW,TimestepsSoFar,MeanEntropy,InitialReturnMax,MeanIWNorm,ReturnMeanIW,EpLenMean,MaxIWNorm,J_sample_variance,InitialReturnMean,EpisodesSoFar,OptimizationReturnMin,InitialBound,Bound,LearnableVariance,Iteration,MaxIW,MinIW,InitialReturnMin,OptimizationReturnMax,ReturnStepMaxmin,TimeElapsed,ReturnStepMax,Weights
0.0035066793,11,-1,0.03857347,35.426419455477635,10.983827,0.08417261,10.9700775,19.23599,1.0027276,25.442308,1.0052067,50,1.404476,89.95726,0.09138243,35.74096,4.545454545454546,0.09450984,553.0292,35.42642,11,,2.2075043,2.4767647,True,1,1.0396082,0.9258987,9.984112,79.973145,9.999,2.0764198303222656,9.999,[ 0.  0.  0. -0.  0.]
26.377254,11,-1,290.14975,77.21468637890617,1.0012591,1.7069207e-16,0.0020186114,57.964256,5449.2905,77.214676,91.81694,146,0.70896184,169.8153,8.346994,14675.186,8.727272727272727,91.75918,2368843000.0,77.214676,22,,14.506233,10046.09,True,2,1009.35095,1.8776126e-15,,169.8153,9.999932,4.553955078125,9.999932,[ 0.01  -0.055  0.054  0.014 -0.014]
0.14986725,11,-1,1.6485398,94.48955740076848,5.3492894,0.025807243,4.539415,66.37927,2.42322,64.52724,1.6039687,261,0.5112609,249.95523,0.14581536,222.16428,10.454545454545455,0.52590823,144046.17,94.489555,33,,2.1874695,78.48044,True,3,5.7849903,0.28387967,29.962318,219.99292,9.999948,6.607569932937622,9.999948,[-0.349 -0.715  0.011 -0.32  -0.71 ]
0.12218335,11,-1,1.3440169,120.83470594986726,5.0888133,0.030366002,6.598538,107.48026,1.6670359,100.871826,1.2470266,405,0.47565874,439.8966,0.11336605,283.17102,13.090909090909092,0.49112034,447101.75,120.83472,44,,-41.607872,73.4353,True,4,5.4023237,0.334026,19.962881,419.93372,9.999995,8.064833402633667,9.999995,[-0.478 -0.577 -0.11  -0.207 -0.908]
0.32006505,11,-1,3.520716,96.28140833100069,2.7932575,0.0027079005,2.1962147,54.477314,5.008618,66.31495,2.054003,522,0.4879761,229.93706,0.18672754,335.1466,10.636363636363637,1.1820145,600936.2,96.2814,55,,11.371529,145.11877,True,5,13.002159,0.029786905,29.966465,199.9706,9.999976,9.805606842041016,9.999976,[-0.634 -0.317 -0.3   -0.36  -0.943]
0.31542104,11,-1,3.469631,142.64974865800679,3.382743,0.030771267,2.3470955,95.242035,4.6866436,122.68033,2.3121634,690,0.5015587,289.8971,0.21019667,561.41724,15.272727272727273,1.0810244,1034971.3,142.64975,66,,35.598152,329.66492,True,6,11.891268,0.33848393,19.969414,269.92767,9.999975,11.753744125366211,9.999975,[-0.701 -0.642 -0.28  -0.511 -0.931]
0.3778936,11,-1,4.1568294,178.08104841961853,2.3174248,0.023074368,2.6092975,71.72251,4.215694,68.19673,2.1475375,897,0.6433104,319.9022,0.19523068,456.69067,18.818181818181817,1.3829619,403763.6,178.08104,77,,59.94934,214.1408,True,7,15.21258,0.25381804,109.884315,210.01788,9.999996,13.627349138259888,9.999996,[-0.761 -0.374 -0.495 -0.739 -0.917]
7.079913,11,-1,77.879036,156.26664532725087,1.0173491,0.00011306651,0.015952183,75.82252,689.5608,86.367294,24.861803,1080,0.4629006,299.90454,2.260164,6425.0176,16.636363636363637,24.648718,244399660.0,156.26665,88,,45.519554,3516.8555,True,8,271.1359,0.0012437316,69.89935,230.00519,9.999994,15.690428256988525,9.999994,[-1.065 -0.501 -0.783 -0.696 -0.776]
1.9518076,11,-1,21.469881,181.7091004570005,1.386062,0.00015207233,0.21672083,56.542297,50.756542,121.80881,8.152116,1291,0.09478354,269.90738,0.74110144,2139.3818,19.181818181818183,6.866932,22704878.0,181.7091,99,,82.0392,1429.2974,True,9,75.53625,0.0016727956,59.9003,210.00708,9.999755,17.792418718338013,9.999755,[-0.761 -0.622 -0.662 -1.39  -0.956]
0.044944227,11,-1,0.4943865,287.17129367861384,9.53919,0.0673656,9.312905,131.78831,1.1811566,147.30673,1.2633547,1618,0.08218657,599.9086,0.114850424,342.26205,29.727272727272727,0.22299437,52733.426,287.1713,110,,65.64038,101.49994,True,10,2.452938,0.74102163,139.86456,460.04407,9.999999,20.181164979934692,9.999999,[-1.09  -0.451 -0.731 -1.197 -1.324]
