ReturnStepMaxmin,TimeElapsed,MeanIW,ESSRenyi,InitialReturnMax,MaxIW,OptimizationReturnMean,MinIWNorm,StdIW,Weights,EpRewMean,InitialBound,MaxIWNorm,InitialReturnStd,ReturnMeanIW,Bound,ESSClassic,J_sample_variance,LearnableVariance,VarianceInit,InitialReturnMean,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,TimestepsSoFar,ReturnStepMax,MinIW,Iteration,MeanEntropy,EpisodesSoFar,EmpiricalD2,StdIWNorm,EpLenMean,InitialReturnMin,MeanIWNorm
9.999927,0.7889542579650879,1.6822804,2.879491,179.86467,11.296334,50.88644,0.00039120007,3.0943446,[ 0. -0.  0.  0.  0.],60.87045267028819,-5.5489807,1.0269395,50.32568,227.29857,97.48096,2.5095239,325660.84,True,-1,60.87045,11,,169.88066,78,9.999927,0.0043032006,1,1.2731155,11,3.8201196,0.28130406,7.090909090909091,9.984011,0.1529346
9.999969,2.834263801574707,1.5701096,7.691521,319.9143,3.4925764,90.87784,0.02292751,0.9162309,[-0.129 -0.223 -0.159 -0.419 -0.146],140.8318400927092,22.695663,0.31750694,78.2019,264.42703,123.149475,8.205738,65936.37,True,-1,140.83183,11,,269.9603,244,9.999969,0.2522026,2,1.2558029,22,1.4301462,0.08329372,15.090909090909092,49.954,0.14273722
9.999961,3.7611804008483887,1.1554918,9.931848,199.91943,1.5667866,92.68234,0.06373924,0.26249838,[-0.755 -0.31  -0.424 -0.522 -0.163],102.66329232536299,28.83815,0.14243515,53.078915,123.733635,46.03997,10.460169,6753.8433,True,-1,102.6633,11,,189.93848,368,9.999961,0.7011316,3,1.2996083,33,1.1075482,0.023863489,11.272727272727273,9.980956,0.105044715
9.999999,4.814573049545288,1.7113124,6.956768,629.7822,7.672363,148.1159,0.033524312,1.9524233,[-0.881 -0.411 -0.419 -0.377 -0.119],158.09709981364247,-74.46539,0.69748753,168.83467,569.35785,276.9209,4.77921,1964428.2,True,-1,158.0971,11,,619.801,553,9.999999,0.3687674,4,1.3104256,44,1.581194,0.17749305,16.818181818181817,9.981208,0.15557386
9.999898,5.997805595397949,0.9852446,7.534257,219.85625,3.1417754,80.8721,0.014596294,0.8477759,[-0.867 -0.272 -0.57  -0.693 -0.109],100.84193489154906,19.654633,0.28561595,62.70537,139.00215,40.903236,6.3203382,38786.453,True,-1,100.84193,11,,199.88641,675,9.999898,0.16055922,5,1.194153,55,1.459998,0.077070534,11.090909090909092,19.969835,0.08956769
9.999984,6.687056541442871,1.2194767,9.456823,459.87286,1.9911534,159.04901,0.047124963,0.3772532,[-0.915 -0.285 -0.659 -0.886 -0.225],208.97985499126918,39.16057,0.18101394,128.6403,257.32477,74.17314,10.039229,32505.732,True,-1,208.97987,11,,409.94202,916,9.999984,0.51837456,6,1.1618656,66,1.1631813,0.034295745,21.90909090909091,49.930836,0.11086152
9.999973,7.8461549282073975,1.1038018,9.251172,239.92186,1.5881193,117.211815,0.019037807,0.43531382,[-0.975 -0.265 -0.71  -1.023 -0.257],147.18844581806763,58.59143,0.14437449,65.22158,164.48914,67.88025,9.519418,13060.343,True,-1,147.18846,11,,209.94522,1089,9.999973,0.20941588,7,1.1058918,77,1.1890385,0.039573986,15.727272727272727,29.976635,0.10034562
9.999558,8.329261064529419,1.4418994,5.2046676,219.83083,4.6833816,96.29963,0.0025311634,1.3401948,[-1.01  -0.208 -0.713 -0.923 -0.313],126.24841873244722,45.07052,0.42576197,63.10312,209.81445,91.79932,5.9015884,38121.09,True,-1,126.24842,11,,189.88203,1239,9.999558,0.027842795,8,0.9963553,88,2.1134875,0.121835895,13.636363636363637,29.948788,0.13108176
9.9999275,9.462029457092285,17.961662,0.077878304,259.8542,196.74463,130.82135,2.4614733e-06,56.536476,[-1.408 -0.1   -0.932 -1.232 -0.423],140.8032061554967,44.845703,17.885876,71.38319,4126.5757,2986.1497,1.0084796,170116930.0,True,-1,140.8032,11,,249.87233,1405,9.9999275,2.7076205e-05,9,0.5685196,99,141.24602,5.13968,15.090909090909092,9.981863,1.6328785
9.999974,10.734557390213013,1.0804307,9.695704,459.88397,1.9626682,91.832275,0.05649074,0.37703907,[-2.522  0.467 -1.136 -1.467 -0.85 ],301.6975070745487,131.8741,0.17842439,74.33073,327.15613,146.27045,9.805837,64811.152,True,-1,301.69748,11,,250.01874,1748,9.999974,0.62139815,10,0.56985724,110,1.134523,0.034276284,31.181818181818183,209.86523,0.098220974
