InitialReturnMin,InitialReturnStd,J_sample_variance,EmpiricalD2,TimestepsSoFar,InitialReturnMax,EpRewMean,OptimizationReturnMax,ESSClassic,MeanEntropy,InitialReturnMean,MinIWNorm,MaxIW,Iteration,MeanIWNorm,EpLenMean,MinIW,OptimizationReturnMean,MeanIW,EpisodesSoFar,OptimizationReturnMin,LearnableVariance,TimeElapsed,ReturnStepMax,StdIW,EpThisIter,VarianceInit,ReturnMeanIW,Bound,MaxIWNorm,Weights,StdIWNorm,InitialBound,ESSRenyi,ReturnStepMaxmin
,56.10505,326052.38,2.732585,71,179.8382,54.502935877236496,179.8382,3.5123754,1.3104284,54.50293,0.0022602447,9.855911,1,0.1812883,6.454545454545454,0.024862692,54.50293,1.9941715,11,,True,0.6562323570251465,9.999996,2.9116154,11,-1,263.48593,153.70724,0.895992,[0. 0. 0. 0. 0.],0.26469234,-11.906715,4.025492,9.999996
,98.320076,1928431.6,1.670758,151,359.84924,62.690098120299645,359.84924,2.8196728,1.1926271,62.690098,0.04233666,12.877737,2,0.18384424,7.2727272727272725,0.46570325,62.690098,2.0222864,22,,True,2.461833953857422,9.999935,3.4445198,11,-1,448.0702,276.30835,1.1707034,[-0.485 -0.197 -0.51  -0.317 -0.109],0.31313816,-70.19304,6.583838,9.999935
19.978928,67.00831,143960.88,1.5346713,287,279.7904,113.56764899979807,259.81146,6.2191753,1.1155354,113.56765,0.032116108,5.072082,3,0.12713535,12.363636363636363,0.35327718,93.58872,1.3984889,33,,True,3.1449875831604004,9.999989,1.2261511,11,-1,220.05696,92.062904,0.46109837,[-1.016  0.118 -0.892 -0.359 -0.226],0.11146829,10.248207,7.167659,9.999989
9.980094,63.51616,15775.841,1.2052468,400,219.91559,92.67292661490659,209.9355,9.147906,1.1133617,92.67293,0.03601854,2.0099382,4,0.09201748,10.272727272727273,0.3962039,82.69283,1.0121922,44,,True,3.704169750213623,9.999915,0.45544282,11,-1,110.74829,21.593788,0.18272166,[-1.225  0.373 -1.021 -0.41  -0.303],0.04140389,11.463715,9.126761,9.999915
9.984859,60.8048,63989.727,1.3715365,498,209.94487,79.04399355730244,199.96,5.809361,0.9976243,79.044,0.019343933,4.1996007,5,0.107166894,8.909090909090908,0.21278326,69.059135,1.1788357,55,,True,4.123137950897217,9.999988,1.1142933,11,-1,144.48422,53.689995,0.3817819,[-1.157  0.4   -1.002 -0.574 -0.306],0.101299405,1.5167084,8.020203,9.999988
39.926155,88.16643,6726636.0,9.420428,676,349.8512,151.74216922857295,309.92505,1.6317112,0.9689555,151.74217,0.0019692944,27.968964,6,0.2971535,16.181818181818183,0.021662237,111.81601,3.2686884,66,,True,4.707860469818115,9.999997,7.832169,11,-1,1002.99695,606.47437,2.542633,[-1.648  0.249 -1.165 -0.384 -0.421],0.71201533,22.551056,1.1676751,9.999997
,128.46037,825154.56,2.3405638,900,409.8533,193.5567121601135,409.8533,4.2945027,0.99007,193.5567,0.030289505,7.4353247,7,0.14345728,20.363636363636363,0.33318454,193.5567,1.57803,77,,True,5.341094732284546,9.999978,1.9718517,11,-1,480.49985,248.95348,0.6759386,[-1.211  0.539 -1.16  -0.805 -0.45 ],0.17925926,42.20836,4.6997223,9.999978
39.944565,111.37103,27316496.0,61.28175,1188,379.868,251.6830509000561,339.92346,1.9705017,0.76183903,251.68304,1.3419317e-07,59.708176,8,0.7944395,26.181818181818183,1.4761249e-06,211.73848,8.738834,88,,True,5.9565770626068115,9.999993,18.706692,11,-1,2743.08,1644.9656,5.428016,[-1.37   0.61  -1.364 -1.065 -0.429],1.7006085,111.4075,0.17949879,9.999993
199.7685,127.416115,2697928.8,8.728896,1584,639.83167,349.85709992535953,440.06317,1.7087729,0.62548846,349.85712,0.0025835074,19.95337,9,0.22373122,36.0,0.02841858,150.08861,2.4610434,99,,True,6.65580940246582,9.99999,5.738702,11,-1,1095.1582,397.0951,1.8139427,[-1.153  0.353 -1.288 -1.245 -0.657],0.5217002,113.58362,1.2601823,9.99999
229.76878,92.01462,147929.42,1.6514577,1975,579.90466,345.27507384214346,350.13586,7.0018597,0.6601176,345.2751,0.035822567,3.8945415,10,0.12955242,35.54545454545455,0.3940482,115.50628,1.4250767,110,,True,7.30313515663147,10.0,1.076863,11,-1,488.27283,213.0784,0.35404924,[-0.962  0.333 -1.285 -1.406 -0.793],0.09789664,131.1311,6.6607823,10.0
