LearnableVariance,Bound,InitialReturnStd,EpRewMean,VarianceInit,EmpiricalD2,OptimizationReturnMean,MinIWNorm,TimeElapsed,MeanIW,InitialReturnMin,ESSClassic,ReturnStepMax,Weights,ReturnMeanIW,ReturnStepMaxmin,InitialReturnMax,InitialBound,MaxIW,J_sample_variance,StdIW,OptimizationReturnMax,ESSRenyi,TimestepsSoFar,InitialReturnMean,StdIWNorm,OptimizationReturnMin,Iteration,EpLenMean,EpThisIter,MeanEntropy,MinIW,MeanIWNorm,EpisodesSoFar,MaxIWNorm
True,138.16371,76.30205,89.03762121166898,-1,2.9132597,79.05791,0.0065316423,1.5468494892120361,1.6016461,9.979718,2.8417706,9.999885,[-0. -0.  0. -0.  0.],327.17612,9.999885,299.88272,-21.701408,9.985848,741612.6,2.7137506,289.903,3.775839,109,89.03763,0.24670462,,1,9.909090909090908,11,1.1904727,0.071848065,0.1456042,11,0.9078044
True,32.46328,47.171062,80.86399715103002,-1,1.2513611,60.894997,0.034154106,4.510868549346924,1.176109,19.968998,9.325503,9.99988,[ 0.038  0.105 -0.209 -0.231 -0.228],110.91855,9.99988,189.92471,10.729652,2.3333359,13315.133,0.49837232,169.95572,8.790428,209,80.864,0.04530658,,2,9.090909090909092,11,1.1586963,0.37569517,0.106919,22,0.21212146
True,17.447845,52.63802,70.87071327591566,-1,1.2958585,70.87072,0.036645472,5.941047668457031,1.2813636,,8.232907,9.999904,[-0.174  0.02  -0.328 -0.341 -0.26 ],101.5041,9.999904,199.95944,-2.9692078,3.174817,11096.264,0.7428609,199.95944,8.488581,298,70.87072,0.06753281,,3,8.090909090909092,11,1.1933557,0.4031002,0.116487615,33,0.28861976
True,122.12479,69.32565,100.85534730521702,-1,3.9219668,70.866234,0.0017552836,7.138587713241577,1.867044,29.989113,3.4165769,9.999978,[-0.148 -0.52  -0.022 -0.191 -0.226],304.87756,9.999978,249.89798,8.574402,9.530985,386021.72,2.7815802,219.90887,2.8047152,420,100.85535,0.25287095,,4,11.090909090909092,11,1.0147719,0.019308118,0.16973127,44,0.8664532
True,588.41785,58.114845,121.74587421090396,-1,43.21245,71.80771,5.2137025e-06,8.560415983200073,6.2263074,49.938168,1.8222882,9.9999895,[-0.295 -0.594 -0.186 -0.555 -0.404],1146.5752,9.9999895,229.93385,36.83718,49.574387,7303739.5,13.972987,179.99568,0.25455627,565,121.74587,1.2702715,,5,13.181818181818182,11,0.6492091,5.7350728e-05,0.56602794,55,4.5067625
True,-8.312073,104.209656,100.85328709900813,-1,1.3774238,90.86873,0.041627925,10.018079042434692,1.2531132,9.984552,5.494345,9.999999,[ 0.016 -1.203  0.282 -0.519 -0.77 ],156.3419,9.999999,379.91736,-39.44049,5.174849,81076.734,1.254402,369.9328,7.985923,687,100.853294,0.11403655,,6,11.090909090909092,11,0.7081234,0.45790717,0.113919385,66,0.47044083
True,52.961586,54.966667,113.56543196262288,-1,1.3922753,83.608345,0.014610641,11.123533010482788,1.2168994,29.957085,7.8970346,9.999932,[-0.097 -0.94   0.133 -0.602 -0.711],140.0632,9.999932,199.90073,39.7472,2.5632844,11517.96,0.76280063,169.94363,7.9007363,823,113.56543,0.06934551,,7,12.363636363636363,11,0.5866069,0.16071704,0.11062723,77,0.23302586
True,61.212097,50.523945,89.02210286001402,-1,2.1361914,79.04127,0.03795846,12.266601800918579,1.5085696,9.980833,6.3141212,9.999984,[-0.277 -1.067  0.007 -0.51  -0.832],152.91425,9.999984,169.90656,26.279957,4.769144,48367.95,1.2995839,159.92572,5.1493516,932,89.0221,0.11814399,,8,9.909090909090908,11,0.5591207,0.41754305,0.13714269,88,0.43355855
True,26.339264,46.47055,91.74244892216568,-1,1.1221973,51.802467,0.06405684,13.926934719085693,1.0564568,39.93998,9.355869,9.999839,[-0.335 -1.225 -0.05  -0.789 -0.86 ],100.62792,9.999839,189.90596,21.615036,2.2658217,6137.6714,0.4428717,149.96597,9.802198,1044,91.74244,0.040261064,,9,10.181818181818182,11,0.5185845,0.70462525,0.096041515,99,0.2059838
True,74.87689,72.0143,116.28471002256445,-1,1.7889248,86.33425,0.013635601,15.163472414016724,1.6231014,29.950462,6.1629643,9.999968,[-0.332 -1.056 -0.117 -0.807 -0.9  ],218.06364,9.999968,289.90622,9.229752,4.029452,31555.994,1.4379388,259.95575,6.148945,1183,116.28471,0.13072172,,10,12.636363636363637,11,0.37856695,0.1499916,0.14755465,110,0.36631382
True,44.57144,47.144756,96.2820529537917,-1,1.2792969,76.31592,0.062170155,17.13637399673462,1.1842543,19.966133,9.577122,9.999651,[-0.628 -0.899 -0.283 -0.796 -1.04 ],132.24754,9.999651,209.91635,18.765305,2.45422,16717.99,0.45646894,189.95023,8.598474,1300,96.28206,0.04149718,,11,10.636363636363637,11,0.46231145,0.6838717,0.10765949,121,0.22311091
True,480.49445,51.039886,116.27797950753778,-1,94.42005,66.33603,5.2433166e-05,18.321829795837402,15.344961,49.941944,1.162053,9.999995,[-0.691 -0.845 -0.374 -0.749 -0.957],1305.5222,9.999995,229.9255,31.372368,156.246,2642314.8,44.648323,179.98357,0.116500676,1439,116.27798,4.058938,,12,12.636363636363637,11,0.39159864,0.0005767648,1.3949965,132,14.204183
True,1242.8784,50.05703,118.08790873961787,-1,100.52348,78.151955,4.214102e-05,19.653276920318604,12.08577,39.935955,1.2497344,9.999909,[-0.922 -1.02  -0.525 -1.258 -1.027],2057.0654,9.999909,219.90802,36.8815,118.587036,25111644.0,33.75776,179.97206,0.10942717,1580,118.0879,3.0688875,,13,12.818181818181818,11,0.04532395,0.00046355117,1.0987064,143,10.78064
True,476.923,133.41498,147.19482353287168,-1,4.489583,117.24243,0.004079842,21.714497566223145,2.8498402,29.952393,3.654241,9.999999,[-0.97  -1.333 -0.223 -0.882 -1.374],891.5435,9.999999,529.9056,-48.48578,13.231156,4017156.0,4.040548,499.9532,2.4501162,1753,147.19482,0.36732256,,14,15.727272727272727,11,0.06522367,0.044878263,0.2590764,154,1.2028325
True,5568.472,77.75232,129.00879570344887,-1,204.69487,89.073555,2.0491314e-10,23.78915047645569,23.627983,39.935238,1.0418707,9.999985,[-0.98  -1.125 -0.233 -0.704 -1.354],7205.951,9.999985,309.93668,14.557091,254.61157,430435500.0,73.04804,270.00143,0.053738523,1906,129.0088,6.6407313,,15,13.909090909090908,11,-0.3281248,2.2540445e-09,2.1479986,165,23.146507
True,149.465,42.854023,109.92417153821066,-1,4.851245,79.979195,0.007624426,25.164727449417114,2.5917025,29.94497,3.5995235,9.999858,[-1.147 -1.546 -0.059 -0.636 -1.747],295.82095,9.999858,179.94281,43.47589,12.763096,128122.08,3.7161436,149.99783,2.2674592,2038,109.92417,0.33783123,,16,12.0,11,-0.35743797,0.08386868,0.23560931,176,1.1602814
True,68.67241,51.494164,131.74289317877066,-1,1.374958,61.82373,0.04968965,26.828704595565796,1.2572582,69.91916,8.594129,9.999976,[-1.226 -1.775 -0.139 -0.858 -1.776],172.5665,9.999976,239.93678,43.140358,3.095116,14072.602,0.6652115,170.01762,8.000244,2194,131.74289,0.060473774,,17,14.181818181818182,11,-0.37584028,0.54658616,0.1142962,187,0.2813742
True,83.45918,100.61459,138.10574573797967,-1,1.91069,108.15423,0.020627052,28.231195211410522,1.4049731,29.951513,6.05648,9.999997,[-1.216 -1.664 -0.168 -0.903 -1.795],272.2761,9.999997,369.9103,1.507309,5.2260046,269435.22,1.2693341,339.9588,5.7570825,2357,138.10573,0.11539401,,18,14.818181818181818,11,-0.47617528,0.22689755,0.12772484,198,0.47509134
True,56.957893,56.950504,104.46517603164662,-1,1.9140552,64.53106,0.0026426727,29.792198419570923,1.262208,39.934116,5.7014437,9.999857,[-1.061 -1.656 -0.208 -0.995 -1.895],179.53532,9.999857,239.92967,15.86528,4.4851995,73699.5,1.2167947,199.99556,5.7469606,2483,104.46518,0.110617705,,19,11.454545454545455,11,-0.6460593,0.0290694,0.11474618,209,0.40774542
True,-25.069244,99.111244,116.28540436808248,-1,1.0765882,76.34695,0.06914004,30.92816400527954,1.03727,39.93846,10.60099,9.99999,[-1.068 -1.698 -0.208 -1.071 -2.065],131.99501,9.99999,409.92392,-35.08902,1.4974616,26536.562,0.20123796,369.98547,10.2174635,2622,116.28541,0.018294359,,20,12.636363636363637,11,-0.6725384,0.7605404,0.09429727,220,0.13613287
True,69.93387,62.506794,131.7363877005828,-1,1.3896769,71.83105,0.046595853,32.346381187438965,1.4195511,59.905342,9.428797,9.9999695,[-1.054 -1.743 -0.166 -1.108 -2.091],187.44206,9.9999695,269.9367,32.055656,2.3753672,21362.85,0.57948077,210.03137,7.9155087,2778,131.73639,0.052680075,,21,14.181818181818182,11,-0.7371536,0.51255435,0.1290501,231,0.21594247
True,211.52728,52.76076,112.64331638919384,-1,4.484753,52.727173,0.02055191,33.70420169830322,2.437873,59.91614,2.439088,9.999838,[-1.149 -1.808 -0.228 -1.166 -2.156],391.33084,9.999838,229.92157,27.739151,16.26381,482740.84,4.5672765,170.00543,2.4527547,2913,112.64331,0.41520697,,22,12.272727272727273,11,-0.5895922,0.226071,0.22162484,242,1.4785281
True,733.86456,57.57283,116.28064269890784,-1,41.50906,66.349976,0.00013561273,35.344850063323975,7.2934856,49.930664,1.4619454,9.999991,[-1.29  -1.864 -0.271 -1.234 -2.009],1304.6841,9.999991,239.92642,27.681938,65.698944,7742717.0,18.629425,189.99576,0.2650024,3052,116.28064,1.6935841,,23,12.636363636363637,11,-0.57403755,0.00149174,0.66304415,253,5.9726315
True,75.340904,41.42818,115.37897370143496,-1,1.6071197,55.453415,0.037507594,36.86632513999939,1.4833932,59.92556,8.0652485,9.99975,[-1.259 -1.941 -0.181 -1.032 -1.993],164.25629,9.99975,189.93434,45.24108,3.51683,13860.268,0.89481467,130.00879,6.844543,3190,115.378975,0.081346795,,24,12.545454545454545,11,-0.62673086,0.41258353,0.13485394,264,0.31971183
True,49.60436,38.929947,94.4687161671011,-1,1.0945679,54.532127,0.07676604,38.362834453582764,1.1281242,39.93659,10.575141,9.999055,[-1.208 -2.013 -0.142 -0.972 -2.046],107.52278,9.999055,149.91533,39.108818,1.4544187,4710.938,0.22611834,109.978745,10.049628,3305,94.468704,0.020556215,,25,10.454545454545455,11,-0.6170584,0.8444264,0.10255675,275,0.13221988
True,480.86472,101.92068,176.2891247556718,-1,6.902853,116.36487,0.00076103193,40.43626642227173,3.0433066,59.924255,3.3658366,9.999999,[-1.154 -1.975 -0.062 -1.032 -2.036],897.9842,9.999999,429.92914,17.527267,15.966302,3111945.5,4.5833178,370.00488,1.593544,3510,176.28912,0.41666523,,26,18.636363636363637,11,-0.786156,0.008371351,0.27666423,286,1.451482
True,494.64508,78.63969,152.6521901228693,-1,10.941068,102.72229,0.002590808,42.019890546798706,3.4982474,49.929905,1.688729,9.999995,[-1.228 -1.875 -0.014 -0.915 -2.205],848.7878,9.999995,289.934,45.586975,29.337223,4095975.8,8.214384,240.00409,1.0053864,3689,152.65219,0.7467622,,27,16.272727272727273,11,-0.9207713,0.028498888,0.3180225,297,2.6670203
True,74.59772,56.929623,113.56762225832613,-1,1.7023721,73.63388,0.01576373,43.60970711708069,1.1938517,39.933743,4.8220587,9.999782,[-1.178 -2.054  0.108 -1.086 -2.34 ],166.10674,9.999782,189.92728,43.432335,5.1832776,54718.832,1.3513132,149.99353,6.461572,3825,113.56763,0.12284666,,28,12.363636363636363,11,-1.0198921,0.17340103,0.108531974,308,0.47120708
