StdIW,InitialReturnMax,Iteration,ReturnStepMaxmin,MinIWNorm,EpLenMean,ReturnMeanIW,ESSRenyi,EpisodesSoFar,TimeElapsed,OptimizationReturnMean,InitialReturnStd,MeanIW,InitialReturnMin,InitialReturnMean,OptimizationReturnMax,MaxIWNorm,TimestepsSoFar,VarianceInit,ESSClassic,InitialBound,ReturnStepMax,MinIW,MeanEntropy,EmpiricalD2,StdIWNorm,Weights,OptimizationReturnMin,J_sample_variance,EpThisIter,MaxIW,LearnableVariance,Bound,MeanIWNorm,EpRewMean
0.68681914,249.85445,1,9.999993,0.0036272528,9.41,108.8065,73.13731,100,1.3311972618103027,64.085,55.066658,1.0612391,19.965588,84.05058,229.88885,0.041304827,941,-1.0,70.47962,53.449795,9.999993,0.3627253,0.4189424,1.3672912,0.006868191,[-0.  0.  0. -0.],,17670.787,100,4.1304827,,73.02461,0.010612391,84.05058605201825
1.4402994,409.86407,2,9.999992,0.0007563937,10.63,168.51808,45.24174,200,3.760638475418091,86.25687,67.09588,1.1191915,9.986259,96.243126,399.8778,0.09263952,2004,-1.0,37.64864,46.04523,9.999992,0.075639375,0.4189424,2.2103481,0.014402993,[-0.303  0.158 -0.281 -0.096],,168697.88,100,9.263952,,93.88767,0.011191916,96.24312811831538
1.6869164,409.9043,3,9.999999,0.00047950505,14.31,201.62541,37.73198,300,5.8902201652526855,123.04132,86.427666,1.07221,9.983629,133.02495,399.92065,0.16206074,3435,-1.0,28.774511,82.82213,9.999999,0.047950506,0.4189424,2.650272,0.016869165,[-0.054  0.256 -0.358 -0.352],,301059.16,100,16.206074,,119.89696,0.0107221,133.02495716522208
1.1664753,569.82697,4,10.0,0.0014643054,20.83,315.15775,48.00036,400,8.63699197769165,198.18594,125.98387,1.2866948,,198.18594,569.82697,0.093931004,5518,-1.0,54.888844,128.39664,10.0,0.14643055,0.4189424,2.0833178,0.011664752,[ 0.023  0.274 -0.407 -0.57 ],,257359.53,100,9.393101,,214.426,0.012866948,198.18593876431558
1.637819,849.70605,5,9.999999,0.0006746193,22.97,408.65244,49.910343,500,11.676103115081787,209.61319,171.87296,1.1243075,9.980128,219.59332,839.72595,0.13742892,7815,-1.0,32.029934,115.52601,9.999999,0.06746193,0.4189424,2.0035927,0.016378189,[-0.041  0.398 -0.52  -0.757],,1383026.2,100,13.742893,,261.3469,0.011243074,219.59331657227315
0.7963245,909.8114,6,9.999996,0.0029707556,27.34,340.445,61.197205,600,15.193552017211914,263.25946,171.49982,1.0207597,,263.25946,909.8114,0.0630777,10549,-1.0,62.16579,151.83078,9.999996,0.29707557,0.4189424,1.6340616,0.007963244,[-0.046  0.516 -0.624 -0.982],,349218.44,100,6.3077707,,198.00525,0.010207598,263.2594518492348
0.296589,899.4238,7,10.0,0.0052221427,34.16,344.8538,91.231026,700,18.64762282371521,321.4538,192.90756,0.9675903,9.980312,331.43405,889.44354,0.02392103,13965,-1.0,91.4113,221.27763,10.0,0.5222143,0.4189424,1.0961183,0.0029658896,[-0.129  0.537 -0.782 -1.057],,92407.18,100,2.392103,,229.52472,0.009675902,331.43408868452855
2.998715,1399.7354,8,9.999999,0.001135768,42.14,680.0827,40.868305,800,22.015976428985596,411.20636,273.1926,1.2634751,,411.20636,1399.7354,0.28712147,18179,-1.0,15.076212,239.77452,9.999999,0.1135768,0.4189424,2.446884,0.02998715,[-0.136  0.537 -0.809 -1.097],,4895413.5,100,28.712149,,411.92007,0.01263475,411.20637884971984
1.364767,1599.5598,9,9.999998,0.0028731476,48.53,650.058,58.72637,900,27.360286712646484,455.10532,307.59436,1.1835688,19.96698,475.0723,1579.5928,0.108468175,23032,-1.0,42.925316,279.16705,9.999998,0.28731477,0.4189424,1.7028126,0.01364767,[-0.103  0.421 -0.839 -1.021],,1368386.1,100,10.846818,,394.41757,0.01183569,475.0723064602278
0.8153267,1329.4404,10,10.0,0.0019052355,55.01,679.3885,65.96911,1000,32.69158315658569,519.88715,308.24503,1.1234909,19.967789,539.85486,1309.4727,0.04565623,28533,-1.0,65.50281,377.03232,10.0,0.19052355,0.4189424,1.515861,0.008153265,[-0.153  0.416 -0.873 -0.99 ],,677686.8,100,4.5656233,,478.92087,0.011234909,539.8549020766143
0.9030337,1549.281,11,9.999998,0.0017145425,51.91,653.1831,65.13498,1100,37.11031365394592,508.85608,342.12122,1.0494875,,508.85608,1549.281,0.0537307,33724,-1.0,57.458794,319.10864,9.999998,0.17145425,0.4189424,1.5352734,0.0090303365,[-0.19   0.408 -0.895 -0.981],,850994.75,100,5.3730702,,418.0744,0.010494874,508.85605395973863
