EmpiricalD2,TimestepsSoFar,InitialReturnStd,LearnableVariance,InitialReturnMax,Bound,ReturnMeanIW,StdIWNorm,MeanIW,ReturnStepMaxmin,EpLenMean,StdIW,Iteration,MaxIW,InitialReturnMean,MinIW,MaxIWNorm,InitialBound,OptimizationReturnMean,TimeElapsed,EpRewMean,MeanIWNorm,ESSRenyi,OptimizationReturnMin,ESSClassic,InitialReturnMin,VarianceInit,OptimizationReturnMax,Weights,ReturnStepMax,J_sample_variance,MinIWNorm,MeanEntropy,EpisodesSoFar,EpThisIter
1.9472327,898,54.35938,,279.9594,70.72731,118.573746,0.010732249,1.097386,9.999999,8.98,1.0732249,1,7.092983,79.75573,0.12998036,0.070929825,45.467842,69.77276,1.6884284019470215,79.75573281757119,0.01097386,51.35493,,51.11296,9.98297,-1.0,269.97644,[ 0. -0. -0.  0.],9.999999,55959.51,0.0012998035,0.4189424,100,100
4.077697,2098,84.33989,,449.917,180.8495,292.1214,0.031936456,1.324859,9.999993,12.0,3.1936457,2,26.60371,109.93793,0.08355703,0.2660371,54.83457,99.95629,4.9190833568573,109.93792633209017,0.013248589,24.523647,,14.682616,9.981636,-1.0,439.93536,[-0.594  0.059 -0.328 -0.1  ],9.999993,882967.5,0.0008355703,0.4189424,200,100
1.2772156,3936,113.443214,,489.7904,143.95746,211.75095,0.0055390466,1.0712713,9.999999,18.38,0.5539046,3,3.2985654,173.71036,0.3194167,0.032985654,113.723495,163.72774,8.388905048370361,173.71033997394392,0.010712713,78.29532,,78.90516,9.982594,-1.0,479.8078,[-0.954  0.29  -0.503 -0.398],9.999999,42568.066,0.003194167,0.4189424,300,100
1.7118901,5994,118.41093,,559.6741,185.96786,275.65265,0.008728166,1.0540729,10.0,20.58,0.8728167,4,4.935815,195.70074,0.08439267,0.049358148,127.154945,185.7204,12.373941659927368,195.70073757671145,0.0105407275,58.414967,,59.324158,9.980349,-1.0,549.6937,[-1.195  0.352 -0.624 -0.438],10.0,153897.47,0.0008439266,0.4189424,400,100
1.2629701,8486,103.820816,,639.81104,178.28198,266.34506,0.005627459,1.0250382,10.0,24.92,0.5627459,5,4.0995793,239.08072,0.15625927,0.04099579,160.72018,229.09631,16.549281120300293,239.08072816511256,0.010250381,79.17844,,76.84028,9.984427,-1.0,629.8266,[-1.319  0.44  -0.733 -0.594],10.0,68164.81,0.0015625927,0.4189424,500,100
1.1009321,11224,110.17997,,619.6195,197.64706,277.27234,0.0029123165,1.0107989,10.0,27.38,0.29123166,6,1.7355543,263.67776,0.21790911,0.017355543,187.79019,263.67776,20.70280909538269,263.6777710919624,0.0101079885,90.83212,,92.33498,,-1.0,619.6195,[-1.44   0.532 -0.846 -0.648],10.0,24771.914,0.002179091,0.4189424,600,100
1.2492626,14022,123.7678,,599.826,234.57764,316.68796,0.0049129613,1.0515987,9.999999,27.98,0.49129614,7,2.9779267,269.68042,0.27182695,0.029779267,196.21707,249.71114,24.02574896812439,269.680431696992,0.010515985,80.047226,,82.08386,19.969307,-1.0,579.8567,[-1.531  0.535 -0.892 -0.674],9.999999,61362.688,0.0027182694,0.4189424,700,100
6.0206547,17119,102.76054,,529.8886,359.29727,518.53723,0.030285545,1.3726841,9.999999,30.97,3.0285544,8,23.90102,299.57956,0.01742867,0.2390102,234.6817,279.6119,28.447983026504517,299.5795591372262,0.013726843,16.60949,,17.042267,19.967628,-1.0,509.921,[-1.706  0.581 -1.014 -0.746],9.999999,1880605.4,0.0001742867,0.4189424,800,100
5.069807,20565,118.64608,,669.81934,397.31317,582.02686,0.032303598,1.3904785,10.0,34.46,3.2303598,9,22.41023,334.46112,0.037616804,0.2241023,252.42534,314.49652,34.057776927948,334.4611350420987,0.013904785,19.724617,,15.631696,19.964596,-1.0,649.85474,[-1.604  0.617 -1.063 -0.922],10.0,3153649.5,0.00037616803,0.4189424,900,100
1.0837399,24369,152.16309,,1059.7397,266.77814,401.89435,0.002992921,1.0210454,10.0,38.04,0.2992921,10,2.034206,370.2555,0.4261186,0.02034206,240.46443,350.29102,39.74785661697388,370.2555229980655,0.010210454,92.27306,,92.0877,19.964504,-1.0,1039.7753,[-1.539  0.723 -1.079 -1.003],10.0,83942.805,0.004261186,0.4189424,1000,100
