InitialReturnMax,ReturnMeanIW,MaxIW,J_sample_variance,EpLenMean,InitialReturnMin,MaxIWNorm,ReturnStepMax,EmpiricalD2,ESSClassic,Weights,OptimizationReturnMin,StdIWNorm,EpisodesSoFar,MeanEntropy,StdIW,MinIWNorm,LearnableVariance,InitialReturnMean,MeanIWNorm,MinIW,ReturnStepMaxmin,TimestepsSoFar,OptimizationReturnMean,Bound,ESSRenyi,EpThisIter,VarianceInit,Iteration,OptimizationReturnMax,MeanIW,InitialReturnStd,EpRewMean,InitialBound,TimeElapsed
269.841,302.36993,79.22312,4247287.5,8.95,9.986606,0.7922312,9.999998,4.833829,4.1301384,[-0. -0. -0. -0.],,0.07876948,100,0.4189424,7.8769474,0.00021420942,,79.45088,0.0163493,0.021420943,9.999998,895,69.46428,229.70929,20.687534,100,-1.0,1,259.8544,1.6349303,55.54281,79.45088302114604,46.402233,1.343764066696167
509.71442,332.6392,31.19627,2741847.2,12.11,9.983484,0.3119627,9.999994,5.401029,10.8463335,[ 0.06   0.202 -0.173 -0.354],,0.035592113,200,0.4189424,3.5592113,0.00023095563,,111.03163,0.012414396,0.023095563,9.999994,2106,101.04816,187.55809,18.51499,100,-1.0,2,499.73093,1.2414397,95.90586,111.03164314475582,48.604633,3.390857458114624
439.83167,643.7728,122.11318,21414726.0,20.11,,1.2211318,10.0,9.880761,3.0792048,[ 0.097  0.272 -0.293 -0.67 ],,0.121110685,300,0.4189424,12.111068,3.935232e-05,,190.9876,0.021587046,0.003935232,10.0,4117,190.9876,474.44537,10.120678,100,-1.0,3,439.83167,2.1587048,114.555115,190.98759582266155,137.11945,5.315385818481445
759.8267,231.93137,2.5615308,76932.89,20.86,9.982074,0.025615308,9.999998,1.1846622,87.46507,[-0.179  0.479 -0.436 -0.725],,0.0037796618,400,0.4189424,0.37796623,0.0040289355,,198.49542,0.009984113,0.40289354,9.999998,6203,188.51337,130.6435,84.41225,100,-1.0,4,749.84467,0.99841124,137.89536,198.49543835943055,105.43604,8.01257586479187
839.7238,496.19107,10.405979,1257645.9,26.13,9.980867,0.104059786,9.999999,3.4636066,33.542885,[-0.219  0.527 -0.472 -0.83 ],,0.017796978,500,0.4189424,1.7796979,0.00074646104,,251.16615,0.012643746,0.07464611,9.999999,8816,241.18529,304.78912,28.87164,100,-1.0,5,829.7429,1.2643747,166.78389,251.16613332463191,148.32138,10.854635000228882
1079.7087,1614.2188,129.05548,190256510.0,31.14,9.979756,1.2905548,10.0,16.121641,2.17741,[-0.169  0.55  -0.654 -1.016],,0.12803772,600,0.4189424,12.803773,5.839822e-05,,301.24414,0.019102426,0.005839822,10.0,11930,291.26437,1083.2648,6.202842,100,-1.0,6,1069.729,1.9102426,197.77493,301.244143004857,169.00732,14.41524362564087
1749.4666,604.28723,1.7797077,230198.48,57.4,19.96548,0.017797077,10.0,1.054812,96.32169,[-0.225  0.592 -0.732 -1.266],,0.001996242,700,0.4189424,0.19962423,0.007008689,,563.75085,0.01021533,0.7008689,10.0,17670,543.78534,384.2284,94.80363,100,-1.0,7,1729.5011,1.021533,366.2704,563.7508187816622,349.48584,18.945491075515747
2089.2578,1617.64,31.79507,48770372.0,66.48,,0.3179507,9.999999,6.6210566,12.937188,[-0.243  0.617 -0.77  -1.287],,0.039531164,800,0.4189424,3.9531162,0.00019450762,,654.50916,0.015238533,0.019450763,9.999999,24318,654.50916,959.2226,15.10333,100,-1.0,8,2089.2578,1.5238533,414.184,654.5090923255847,398.62823,23.355520963668823
2079.2996,1352.6578,20.679066,10184217.0,76.73,9.982739,0.20679066,10.0,4.8699436,22.742077,[-0.305  0.631 -0.825 -1.376],,0.023486493,900,0.4189424,2.3486495,7.6090095e-05,,757.0022,0.012742709,0.0076090097,10.0,31991,747.0195,790.6729,20.534119,100,-1.0,9,2069.317,1.2742709,459.64716,757.0022460076334,502.34103,29.019686222076416
2759.4553,1216.101,2.324442,531446.7,110.92,29.94802,0.023244418,10.0,1.160751,87.5903,[-0.373  0.715 -1.126 -1.471],,0.0040593,1000,0.4189424,0.40593,0.0014797242,,1098.8389,0.010784464,0.14797242,10.0,43083,1068.8909,851.98596,86.15112,100,-1.0,10,2729.5073,1.0784465,436.1814,1098.8388360565996,760.87585,36.64915943145752
3668.9927,1102.1235,2.3546927,861055.25,105.77,29.950325,0.023546927,10.0,1.0510912,94.46074,[-0.389  0.748 -1.212 -1.488],,0.0024407557,1100,0.4189424,0.24407558,0.0055444646,,1047.3286,0.010079146,0.55444646,10.0,53660,1017.3783,641.4294,95.13922,100,-1.0,11,3639.0422,1.0079148,570.72736,1047.3286428990698,597.9706,43.8356614112854
