OptimizationReturnMin,OptimizationReturnMax,EpThisIter,InitialReturnMax,MaxIWNorm,StdIW,EpisodesSoFar,InitialReturnStd,MeanEntropy,ESSClassic,OptimizationReturnMean,InitialBound,MeanIW,InitialReturnMin,LearnableVariance,ReturnStepMaxmin,EpLenMean,Iteration,StdIWNorm,Bound,ReturnStepMax,VarianceInit,J_sample_variance,InitialReturnMean,MinIWNorm,ESSRenyi,MaxIW,EpRewMean,ReturnMeanIW,MeanIWNorm,TimestepsSoFar,TimeElapsed,Weights,MinIW,EmpiricalD2
,249.9272,100,259.90958,0.6532823,6.822986,100,49.862003,0.4189424,5.10334,69.769005,47.919083,1.5822543,9.98238,,10.0,8.98,1,0.06822986,159.46599,10.0,-1.0,2543616.2,79.75138,1.0828928e-05,5.7220273,65.32823,79.75137881521245,292.53992,0.015822543,898,2.9916739463806152,[ 0. -0.  0.  0.],0.0010828928,17.476324
,509.75952,100,519.7436,0.27899334,2.8977082,200,99.57557,0.4189424,14.030247,109.7411,56.069813,1.170616,9.984068,,9.999998,12.98,2,0.02897708,175.2114,9.999998,-1.0,2068515.2,119.72516,0.00012221033,30.627895,27.899334,119.7251586501383,290.23215,0.01170616,2196,7.370535135269165,[ 0.114  0.223 -0.142 -0.474],0.012221033,3.2649975
,969.74493,100,969.74493,0.23758693,2.6225214,300,148.40483,0.4189424,14.500032,196.29619,77.52717,1.0799919,,,9.999998,20.64,3,0.026225213,186.99263,9.999998,-1.0,5390395.5,196.29619,0.00025508384,25.278872,23.758694,196.2961878796511,423.2168,0.010799919,4260,12.683566093444824,[ 0.04   0.348 -0.315 -0.72 ],0.025508383,3.9558728
,839.6774,100,849.6589,0.04495479,0.613096,400,165.99445,0.4189424,74.35439,257.38202,163.30196,1.0439397,9.981471,,9.999998,27.75,4,0.00613096,194.861,9.999998,-1.0,147308.83,267.3635,0.0031720817,75.786644,4.495479,267.36348403457225,314.39566,0.010439397,7035,18.45736813545227,[ 0.088  0.253 -0.794 -0.758],0.31720817,1.3194938
,909.6259,100,919.60974,0.5721354,5.6564684,500,190.32045,0.4189424,8.022197,300.66202,198.01714,1.6705154,9.983826,,10.0,32.08,5,0.056564678,622.38635,10.0,-1.0,25190216.0,310.64587,0.0015838078,28.261816,57.21354,310.6458567689179,834.24646,0.016705155,10243,24.595385551452637,[ 0.088  0.206 -0.849 -0.762],0.15838078,3.538343
,849.85394,100,849.85394,0.030127227,0.4771646,600,213.49707,0.4189424,81.681366,298.73956,194.65411,1.0075886,,,9.999999,30.89,6,0.0047716456,220.62213,9.999999,-1.0,138594.58,298.73956,0.002218042,78.70386,3.0127227,298.73953732940856,337.9475,0.010075888,13332,31.283617734909058,[ 0.043  0.132 -0.972 -0.603],0.2218042,1.2705858
,1509.4984,100,1519.4812,0.07809001,1.154324,700,267.92426,0.4189424,46.11353,351.93613,175.8212,1.0678298,9.982756,,10.0,37.21,7,0.01154324,325.8599,10.0,-1.0,1754143.2,361.91882,0.0013619212,65.90848,7.8090014,361.9188873753139,555.0893,0.010678297,17053,37.956055641174316,[ 0.08   0.123 -1.031 -0.687],0.13619213,1.5172555
,2079.457,100,2079.457,0.06618786,0.70941633,800,286.39282,0.4189424,65.35898,419.4028,164.72237,0.97444755,,,10.0,42.96,8,0.007094163,243.16513,10.0,-1.0,1941549.2,419.4028,0.0025064042,71.32019,6.6187863,419.4028045297631,544.73596,0.0097444765,21349,45.96009707450867,[ 0.035  0.177 -1.13  -0.736],0.25064042,1.4021275
,1859.3021,100,1869.2839,0.03477278,0.5000086,900,407.9205,0.4189424,81.00797,533.85864,314.90085,1.0326563,9.981827,,10.0,55.41,9,0.0050000856,420.7038,10.0,-1.0,774589.25,543.84045,0.004310113,79.23377,3.4772782,543.8404481654813,677.9007,0.0103265615,26890,55.34105348587036,[ 0.04   0.186 -1.273 -0.822],0.4310113,1.2620881
,3308.7275,100,3318.7078,0.2038014,2.1845076,1000,643.18616,0.4189424,22.58832,692.62213,296.14526,1.1800278,9.980184,,10.0,71.29,10,0.021845076,843.2824,10.0,-1.0,22567424.0,702.60236,0.0012227381,36.793125,20.38014,702.6023635063945,1513.3696,0.011800278,34019,67.3777334690094,[ 0.032  0.2   -1.329 -0.897],0.12227381,2.717899
,4978.8564,100,4978.8564,0.051354308,0.6634054,1100,918.0471,0.4189424,70.52725,1024.8224,415.03937,1.0262358,,,10.0,103.52,11,0.0066340547,660.4942,10.0,-1.0,7725082.0,1024.8224,0.002190727,75.583664,5.135431,1024.82235328701,1361.887,0.010262358,44371,83.55959272384644,[ 0.002  0.192 -1.418 -0.947],0.21907271,1.3230373
,4988.864,100,4998.8438,0.02342912,0.32010147,1200,879.2715,0.4189424,90.75786,1058.4222,456.17126,1.0030985,9.979917,,10.0,107.87,12,0.003201015,561.75665,10.0,-1.0,2203385.2,1068.4022,0.0057735317,93.371826,2.342912,1068.4021164555122,1195.3451,0.010030985,55158,100.31030654907227,[ 4.361e-04  1.783e-01 -1.455e+00 -9.772e-01],0.5773532,1.0709869
,4998.501,100,4998.501,0.049495976,1.0335889,1300,951.42883,0.4189424,58.4438,1226.0509,613.86194,1.2257425,,,10.0,123.64,13,0.010335889,857.42346,10.0,-1.0,5326042.0,1226.0509,0.00221823,61.62867,4.949598,1226.0508774829054,1637.2428,0.012257423,67522,119.37777304649353,[-0.007  0.183 -1.478 -0.996],0.221823,1.6226214
,4528.3145,100,4528.3145,0.05285248,0.82461953,1400,992.4831,0.4189424,63.075222,1294.1322,739.52905,1.077765,,,10.0,130.46,14,0.008246195,1033.5969,10.0,-1.0,7953154.0,1294.1322,0.0011306403,65.526245,5.2852483,1294.1321214935215,1718.7294,0.0107776495,80568,136.2616240978241,[-0.02   0.173 -1.502 -1.025],0.11306403,1.526106
,4998.738,100,4998.738,0.043233216,0.7221553,1500,955.344,0.4189424,69.173584,1384.0679,771.85,1.0817808,,,10.0,139.44,15,0.0072215525,1012.5771,10.0,-1.0,7718043.0,1384.0679,0.0022209245,75.03414,4.323322,1384.0677974141922,1719.3445,0.010817807,94512,158.56976056098938,[-0.023  0.196 -1.549 -1.104],0.22209245,1.3327266
