MaxIWNorm,EpThisIter,VarianceInit,Weights,InitialReturnStd,InitialReturnMean,ESSRenyi,StdIW,TimestepsSoFar,MinIWNorm,MaxIW,LearnableVariance,InitialReturnMin,OptimizationReturnMax,ReturnStepMaxmin,EpRewMean,OptimizationReturnMean,EpisodesSoFar,MinIW,ReturnMeanIW,EmpiricalD2,ReturnStepMax,TimeElapsed,Bound,MeanEntropy,OptimizationReturnMin,InitialReturnMax,EpLenMean,ESSClassic,MeanIWNorm,MeanIW,Iteration,InitialBound,StdIWNorm,J_sample_variance
0.6691492,100,-1.0,[-0.  0. -0.  0.],66.079216,90.65188,8.845184,6.6735673,1007,3.39348e-05,66.914925,,9.980416,349.85034,9.999998,90.65186605700181,80.67145,100,0.0033934803,343.16074,11.305587,9.999998,1.709437608718872,194.98044,0.4189424,,359.83075,10.07,5.542897,0.016166242,1.6166244,1,46.581768,0.06673566,5472031.0
0.19295488,100,-1.0,[-0.159  0.111 -0.209 -0.363],123.01173,154.00636,31.140533,2.5875711,2648,0.00057438476,19.295488,,9.980655,469.83835,9.999996,154.0063669605937,144.02571,200,0.057438478,385.76584,3.2112489,9.999996,5.208505630493164,280.45816,0.4189424,,479.819,16.41,22.519293,0.013949961,1.3949959,2,95.240776,0.025875712,1324608.5
0.17303292,100,-1.0,[-0.215  0.228 -0.293 -0.583],173.86581,233.07898,52.37808,1.8302287,5080,0.00064857915,17.303293,,9.982083,659.928,10.0,233.07897295699894,223.0969,300,0.064857915,386.841,1.9091957,10.0,10.43268346786499,273.47382,0.4189424,,669.91003,24.32,28.32817,0.011506424,1.1506424,3,151.03206,0.018302284,1183267.4
0.04467403,100,-1.0,[-0.204  0.242 -0.355 -0.73 ],242.2499,313.2292,75.36711,0.58100194,8314,0.0024004462,4.4674034,,9.9805355,1089.82,10.0,313.2292141539723,303.2487,400,0.24004462,399.90393,1.3268387,10.0,16.852863073349,244.74791,0.4189424,,1099.8005,32.34,74.805084,0.01001121,1.0011212,4,178.53171,0.0058100196,342123.28
0.021054162,100,-1.0,[-0.238  0.267 -0.436 -0.824],264.39145,395.90936,87.97058,0.35381034,12375,0.003398551,2.1054163,,9.980893,1289.7067,10.0,395.9093623911078,385.92844,500,0.3398551,444.74136,1.1367437,10.0,23.60536527633667,275.02808,0.4189424,,1299.6875,40.61,88.90533,0.010015596,1.0015596,5,236.73083,0.0035381035,172729.38
0.0298062,100,-1.0,[-0.27   0.284 -0.499 -0.873],243.37143,411.7136,81.381424,0.49156812,16594,0.0012155452,2.9806201,,19.970037,1319.7855,9.999999,411.71360989631546,391.7436,600,0.12155453,470.77594,1.2287817,9.999999,30.74829363822937,288.88605,0.4189424,,1339.7556,42.19,82.785065,0.0107796965,1.0779699,6,247.6277,0.004915681,175983.27
0.023451596,100,-1.0,[-0.266  0.26  -0.532 -0.918],302.57455,463.59433,81.3681,0.43696484,21332,0.0021438918,2.3451598,,,1649.4852,10.0,463.5943202065205,463.59433,700,0.21438919,554.606,1.2289828,10.0,38.121859312057495,330.64783,0.4189424,,1649.4852,47.38,87.067665,0.011338001,1.1338003,7,261.5744,0.004369648,193928.22
0.019824214,100,-1.0,[-0.289  0.305 -0.553 -0.942],256.29968,382.81323,91.04829,0.3083112,25262,0.003675463,1.9824214,,,1289.6449,10.0,382.8132866710137,382.81323,800,0.3675463,428.1464,1.0983183,10.0,44.2781765460968,262.61517,0.4189424,,1289.6449,39.3,91.839554,0.010343008,1.034301,8,224.86469,0.0030831117,139576.92
0.016904738,100,-1.0,[-0.304  0.316 -0.587 -1.001],243.94226,510.68164,89.73439,0.32568532,30471,0.0034649612,1.6904738,,,1149.4125,10.0,510.6816272754531,510.68164,900,0.34649613,553.89105,1.1143999,10.0,54.1597900390625,405.28308,0.4189424,,1149.4125,52.09,90.83075,0.010250568,1.0250568,9,369.9079,0.003256853,125288.82
0.10253612,100,-1.0,[-0.342  0.352 -0.62  -1.045],305.52963,570.86053,54.24869,1.3447909,36282,0.0012786431,10.2536125,,9.98603,2399.3635,10.0,570.860550113059,560.8745,1000,0.12786432,785.0836,1.8433625,10.0,62.42535328865051,384.44684,0.4189424,,2409.3496,58.11,43.520416,0.011804716,1.1804717,10,275.77667,0.01344791,2217491.5
