EpLenMean,J_sample_variance,MinIWNorm,EmpiricalD2,MeanEntropy,OptimizationReturnMin,ReturnStepMax,MinIW,EpThisIter,OptimizationReturnMax,StdIWNorm,TimestepsSoFar,Weights,InitialReturnMax,TimeElapsed,MeanIWNorm,VarianceInit,Bound,InitialBound,LearnableVariance,InitialReturnStd,MeanIW,InitialReturnMin,EpisodesSoFar,StdIW,MaxIW,ESSClassic,EpRewMean,ReturnMeanIW,Iteration,ESSRenyi,InitialReturnMean,ReturnStepMaxmin,OptimizationReturnMean,MaxIWNorm
9.57,648195.2,8.872288e-05,7.6434526,0.4189424,,9.999998,0.008872288,100,319.91803,0.03241128,957,[-0. -0.  0. -0.],329.89825,0.9207510948181152,0.015733581,-1.0,169.46198,45.244354,,60.130016,1.5733582,9.980229,100,3.2411284,17.377686,19.070766,85.64847579036704,281.1664,1,13.083093,85.648476,9.999998,75.66824,0.17377685
13.34,448137.9,0.0004560145,2.5391386,0.4189424,,10.0,0.04560145,100,469.8062,0.022272028,2291,[-0.441  0.064 -0.385 -0.256],479.78885,2.853092670440674,0.010712365,-1.0,108.52328,64.56111,,88.49391,1.0712364,9.982646,200,2.2272031,20.993198,18.78767,123.32301159880933,202.15845,2,39.383434,123.323006,10.0,113.34036,0.20993198
22.7,515525.38,0.00072312757,2.5234025,0.4189424,,9.999999,0.07231276,100,649.79126,0.013367072,4561,[-0.497  0.178 -0.48  -0.5  ],669.75885,4.607969760894775,0.010630085,-1.0,227.20174,134.85751,,146.6142,1.0630087,19.967567,300,1.3367072,7.987707,38.74101,216.8858931819975,357.5056,3,39.629032,216.8859,9.999999,196.91832,0.07987707
32.27,117385.52,0.0022364045,1.3570164,0.4189424,,9.999999,0.22364044,100,879.85626,0.006066077,7788,[-0.615  0.283 -0.689 -0.673],899.8208,6.667802572250366,0.01087578,-1.0,257.86105,202.34416,,149.46298,1.0875782,19.96456,400,0.60660774,3.1324499,76.27203,312.5492536738334,386.2401,4,73.69108,312.54926,9.999999,292.58472,0.0313245
34.98,8858916.0,8.176926e-05,8.008803,0.4189424,,10.0,0.0081769265,100,839.7447,0.06439899,11286,[-0.661  0.325 -0.766 -0.781],849.7271,8.795949697494507,0.016620787,-1.0,442.25723,235.56787,,164.36705,1.6620787,9.982429,500,6.4398994,59.23697,6.2450943,339.6377575737609,736.77325,5,12.486259,339.63773,10.0,329.6553,0.5923697
41.77,254551.19,0.004278199,1.217885,0.4189424,,10.0,0.4278199,100,1119.6616,0.004816477,15463,[-0.585  0.347 -0.817 -0.947],1119.6616,11.342605590820312,0.009891036,-1.0,295.6413,270.38153,,209.30336,0.9891036,,600,0.48164773,3.9125688,80.83265,407.5115741566806,446.97498,6,82.10956,407.5116,10.0,407.5116,0.03912569
43.59,1687286.2,0.0015404397,2.3117402,0.4189424,,10.0,0.15404397,100,1149.6106,0.023034774,19822,[-0.568  0.362 -0.858 -0.971],1159.592,13.696207761764526,0.012946048,-1.0,416.85968,283.68228,,218.03522,1.2946047,9.981446,700,2.3034775,20.567225,24.004568,425.70271473655436,632.79333,7,43.257458,425.70273,10.0,415.72128,0.20567223
48.44,239103060.0,1.4633406e-05,38.79653,0.4189424,,10.0,0.0014633406,100,1039.7006,0.15684779,24666,[-0.48   0.344 -0.835 -1.003],1039.7006,15.833826541900635,0.022726119,-1.0,1086.7339,346.86453,,185.94467,2.272612,,800,15.684779,158.11778,2.0562246,474.2013183926876,1879.8748,8,2.57755,474.20132,10.0,474.20132,1.5811778
55.79,877859.06,0.00060113746,2.355416,0.4189424,,10.0,0.060113747,100,1149.7848,0.011974995,30245,[-0.522  0.468 -0.893 -0.96 ],1159.7654,19.71631908416748,0.011770228,-1.0,475.75134,405.6355,,208.49216,1.1770228,9.980531,900,1.1974994,6.383839,49.13772,547.6771387521763,693.74786,9,42.455345,547.6771,10.0,537.6966,0.06383839
55.69,321176.2,0.002735477,1.1588811,0.4189424,,10.0,0.2735477,100,1299.4788,0.0046668425,35814,[-0.594  0.479 -0.95  -1.042],1309.4606,22.02145791053772,0.010281214,-1.0,431.02353,386.3013,,235.26085,1.0281214,9.981763,1000,0.46668428,3.237739,82.915794,546.6768775225547,603.6699,10,86.29013,546.67694,10.0,536.6951,0.03237739
