MeanIWNorm,TimeElapsed,ReturnStepMaxmin,EpThisIter,VarianceInit,MeanIW,Bound,InitialReturnMax,EpisodesSoFar,MeanEntropy,ESSRenyi,ReturnMeanIW,TimestepsSoFar,OptimizationReturnMin,ESSClassic,ReturnStepMax,J_sample_variance,InitialBound,InitialReturnMin,InitialReturnStd,Iteration,StdIW,OptimizationReturnMean,LearnableVariance,InitialReturnMean,Weights,MinIW,MinIWNorm,StdIWNorm,EpLenMean,MaxIWNorm,EpRewMean,EmpiricalD2,MaxIW,OptimizationReturnMax
0.013313422,1.1158254146575928,9.999998,100,-1.0,1.3313422,81.22865,249.95084,100,0.4189424,21.122644,147.83661,894,,16.144245,9.999998,271552.25,48.73861,9.984839,47.545177,1,3.0342212,69.36638,,79.351204,[ 0. -0. -0. -0.],0.022575991,0.00022575991,0.030342212,8.94,0.30414888,79.35120763412581,4.734256,30.414888,239.966
0.042810377,3.3173842430114746,9.999986,100,-1.0,4.281038,832.74756,379.87512,200,0.4189424,0.5334701,1469.7358,1909,,1.3408768,9.999986,186750610.0,44.91659,9.98027,63.042652,2,36.721737,81.461334,,91.44161,[-0.198 -0.184 -0.284 -0.084],0.05932912,0.0005932912,0.3672174,10.15,3.6958654,91.44160736505033,187.45193,369.58655,369.89484
0.019185359,4.612677335739136,9.999998,100,-1.0,1.9185357,366.77795,609.5991,300,0.4189424,12.496785,577.97644,4090,,3.4122298,9.999998,16970302.0,133.31924,9.982017,132.57683,3,10.207322,197.99754,,207.97961,[-0.611  0.263 -0.653 -0.45 ],0.039438147,0.00039438147,0.10207322,21.81,1.0334107,207.97958218189214,8.002058,103.341064,599.6171
0.010711586,7.038070201873779,10.0,100,-1.0,1.0711588,172.82391,749.71106,400,0.4189424,65.544655,286.239,6420,,71.15071,10.0,114151.66,131.06195,9.982986,148.18254,4,0.6820745,212.89946,,222.88245,[-0.441  0.291 -0.573 -0.459],0.11785998,0.0011785998,0.0068207453,23.3,0.029099092,222.88243729660707,1.5256774,2.9099092,739.7281
0.010311705,8.602103233337402,10.0,100,-1.0,1.0311704,214.46156,619.7051,500,0.4189424,72.014046,303.89957,9055,,78.99055,10.0,82773.28,177.46576,,145.73486,5,0.5318022,253.36385,,253.36385,[-0.512  0.294 -0.62  -0.552],0.2018808,0.002018808,0.005318022,26.35,0.025660882,253.36384102581863,1.388618,2.5660882,619.7051
0.012254426,10.600638389587402,9.999999,100,-1.0,1.2254428,284.89944,689.8174,600,0.4189424,36.198563,425.3211,11999,,36.59794,9.999999,657214.0,199.7855,9.981277,176.16339,6,1.612933,274.28928,,284.27054,[-0.576  0.375 -0.714 -0.649],0.0068115816,6.811581e-05,0.016129332,29.44,0.13782534,284.27056048393183,2.7625406,13.782534,679.8361
0.08324619,12.533748149871826,9.999999,100,-1.0,8.324618,3799.444,759.71277,700,0.4189424,0.4667316,5161.395,15455,,1.257103,9.999999,2180238800.0,242.40515,9.981998,167.01299,7,73.778854,325.46863,,335.4506,[-0.744  0.483 -0.933 -0.705],0.0019499154,1.9499153e-05,0.7377885,34.56,7.415632,335.4505963115194,214.2559,741.5632,749.7308
0.012088984,15.92415738105774,10.0,100,-1.0,1.2088984,477.15912,1329.7117,800,0.4189424,44.775482,720.538,20599,,37.946667,10.0,2044128.8,341.34045,29.946857,207.5971,8,1.5459149,474.2494,,504.1962,[-0.729  0.558 -0.989 -0.997],0.08497262,0.0008497262,0.015459148,51.44,0.11546664,504.19622421111205,2.233365,11.546664,1299.7648
0.010548629,18.870049715042114,9.999999,100,-1.0,1.0548629,394.429,1659.5664,900,0.4189424,66.908455,642.91376,25826,,60.39902,9.999999,1324573.9,309.23123,9.983889,288.1109,9,0.85414976,502.50195,,512.48584,[-0.729  0.62  -1.064 -1.042],0.0990084,0.000990084,0.008541498,52.27,0.07634334,512.4858125750131,1.4945794,7.634334,1649.5825
0.010115174,22.19210147857666,10.0,100,-1.0,1.0115175,452.84702,1149.6072,1000,0.4189424,83.52876,606.90247,31483,,85.61539,10.0,167413.8,414.67865,,236.27916,10,0.4146164,555.47614,,555.47614,[-0.798  0.71  -1.19  -1.13 ],0.31371868,0.0031371866,0.0041461643,56.57,0.025518864,555.4761519994412,1.1971924,2.5518866,1149.6072
0.010348534,25.517682552337646,9.999999,100,-1.0,1.0348536,488.46362,1599.3888,1100,0.4189424,74.11404,715.99927,38052,,71.86437,9.999999,408082.62,450.76605,9.981597,267.98294,11,0.64751583,636.6688,,646.6504,[-0.795  0.707 -1.231 -1.176],0.21945742,0.002194574,0.006475158,65.69,0.033539496,646.6504067697851,1.349272,3.3539498,1589.4072
0.010355218,27.590099811553955,9.999999,100,-1.0,1.035522,495.11505,1289.6255,1200,0.4189424,83.74846,667.7071,44492,,81.2026,9.999999,164272.66,475.81293,9.981569,255.32542,12,0.49822265,623.77765,,633.7592,[-0.792  0.718 -1.27  -1.24 ],0.31641027,0.0031641026,0.0049822265,64.4,0.033378888,633.7592406282052,1.1940519,3.3378887,1279.6439
0.010265626,31.122628211975098,9.999999,100,-1.0,1.0265626,550.8987,1249.8003,1300,0.4189424,82.68991,719.2281,51252,,80.95294,9.999999,242293.23,512.6755,319.8258,223.55623,13,0.497947,345.91837,,665.74414,[-0.815  0.719 -1.291 -1.283],0.25863928,0.0025863927,0.0049794703,67.6,0.027290985,665.7441324646846,1.2093374,2.7290986,929.9745
0.01040277,34.860071659088135,10.0,100,-1.0,1.040277,582.04004,1739.4976,1400,0.4189424,80.40645,819.62775,58768,,80.183044,10.0,354274.22,528.28687,289.8107,269.97983,14,0.5171614,451.52026,,741.3311,[-0.829  0.756 -1.321 -1.322],0.25355422,0.0025355422,0.0051716147,75.16,0.031708572,741.3310049967013,1.2436813,3.1708574,1449.6869
0.010766906,39.16467261314392,10.0,100,-1.0,1.0766906,554.10693,1499.4124,1500,0.4189424,81.5994,757.40027,65838,,84.18172,10.0,215598.73,513.09906,19.965174,255.29507,15,0.46672574,676.7737,,696.73883,[-0.864  0.81  -1.359 -1.342],0.31008875,0.0031008874,0.0046672574,70.7,0.023026034,696.7388253298508,1.2254992,2.3026035,1479.4471
0.010486594,42.64630627632141,10.0,100,-1.0,1.0486594,461.37582,2289.2705,1600,0.4189424,85.33839,764.8841,72889,,84.48994,10.0,338263.25,414.46506,19.964752,292.90402,16,0.4493026,674.87756,,694.8423,[-0.857  0.827 -1.369 -1.318],0.31704715,0.0031704714,0.004493026,70.51,0.024601646,694.842288938977,1.1718056,2.4601645,2269.3057
0.010266937,46.61566185951233,10.0,100,-1.0,1.0266937,604.5299,1419.7072,1700,0.4189424,94.26476,783.6192,80667,,95.189545,10.0,204737.95,593.64777,349.70752,258.70706,17,0.23080206,417.8182,,767.52576,[-0.908  0.86  -1.405 -1.376],0.38655296,0.0038655296,0.0023080206,77.78,0.01790273,767.5256959887869,1.0608418,1.7902731,1069.9996
0.010131481,50.52382016181946,10.0,100,-1.0,1.0131483,517.2107,1469.6715,1800,0.4189424,98.352,698.7097,87695,,98.74352,10.0,71588.65,512.5436,19.965876,253.35878,18,0.11428719,672.575,,692.54083,[-0.928  0.865 -1.397 -1.383],0.72548854,0.007254885,0.0011428719,70.28,0.013653938,692.5408640024363,1.0167562,1.3653938,1449.7057
0.009999102,53.79852342605591,10.0,100,-1.0,0.9999102,556.3335,1349.5874,1900,0.4189424,98.29817,723.0482,94886,,98.17284,10.0,84366.49,543.54755,19.969734,233.59644,19,0.13641202,688.868,,708.83765,[-0.93  0.86 -1.41 -1.37],0.68730426,0.0068730423,0.0013641203,71.91,0.013457308,708.8375814661351,1.0173129,1.3457308,1329.6177
0.010396914,56.8038387298584,10.0,100,-1.0,1.0396913,530.06464,1479.5176,2000,0.4189424,96.097176,714.9108,101978,,95.83889,10.0,74403.27,517.75305,29.95802,254.32779,20,0.21663938,668.9983,,698.95624,[-0.946  0.878 -1.443 -1.39 ],0.6196208,0.006196208,0.002166394,70.92,0.018009014,698.9562530329437,1.0406133,1.8009014,1449.5596
