InitialReturnStd,InitialReturnMean,OptimizationReturnMin,EpLenMean,ReturnMeanIW,MaxIW,MeanIW,OptimizationReturnMax,EpRewMean,Iteration,StdIWNorm,ESSClassic,InitialReturnMax,EpThisIter,ReturnStepMaxmin,EpisodesSoFar,ESSRenyi,OptimizationReturnMean,MeanEntropy,TimeElapsed,Bound,MinIW,LearnableVariance,InitialReturnMin,MaxIWNorm,Weights,StdIW,TimestepsSoFar,ReturnStepMax,MinIWNorm,J_sample_variance,EmpiricalD2,MeanIWNorm,VarianceInit,InitialBound
1065.132,1642.5841,,165.31,1886.9608,3.7903059,1.0521483,4209.1123,1642.5840677431731,16,0.005889563,76.14191,4209.1123,100,10.0,1600,75.40463,1642.5841,0.4189424,37.18907928466797,1293.3018,0.09956799,,,0.03790306,[-0.086  0.424 -1.599 -1.287],0.58895636,122774,10.0,0.0009956799,4845923.0,1.3261784,0.010521485,-1.0,1127.0751
1035.5844,1659.1691,,166.96,4523.697,45.645878,1.7848077,4998.925,1659.1691252084074,17,0.061488956,7.770657,4998.925,100,10.0,1700,15.199628,1659.1691,0.4189424,42.78670835494995,2953.313,0.047360055,,,0.45645878,[-0.083  0.413 -1.619 -1.318],6.1488953,139470,10.0,0.00047360055,503554660.0,6.579108,0.017848076,-1.0,1046.9282
1213.0646,2284.7812,,229.52,2396.0623,2.2517314,1.0212317,4979.277,2284.781372247302,18,0.0034350592,89.835884,4999.2446,100,10.0,1800,90.068985,2264.8137,0.4189424,49.13021993637085,1750.9097,0.46823272,,19.967672,0.022517314,[-0.054  0.379 -1.636 -1.347],0.34350595,162422,10.0,0.004682327,3339851.0,1.1102601,0.010212316,-1.0,1672.5012
1335.8619,2430.5422,,244.07,2822.4814,5.265685,1.0239539,4949.1675,2430.542430655579,19,0.008769918,57.68506,4999.09,100,10.0,1900,65.053085,2380.6204,0.4189424,57.59920644760132,2063.375,0.08500077,,49.922173,0.052656848,[-0.048  0.386 -1.659 -1.344],0.8769918,186829,10.0,0.00085000764,15194018.0,1.5372062,0.010239539,-1.0,1818.2812
1596.0573,2679.4016,,268.86,10454.814,104.43594,2.727397,4989.2666,2679.4013963554216,20,0.111252375,5.6693215,4999.2485,100,10.0,2000,1.9914638,2669.4194,0.4189424,66.55060005187988,6116.069,0.0010768502,,9.98205,1.0443594,[-0.035  0.386 -1.684 -1.375],11.1252365,213715,10.0,1.0768502e-05,2886153500.0,50.21432,0.027273972,-1.0,2067.121
1556.4895,2633.6375,,264.31,3000.4631,2.2727761,1.045563,4979.234,2633.637528007016,21,0.0036343755,89.21993,4999.198,100,10.0,2100,89.64115,2613.6733,0.4189424,74.593670129776,2353.7788,0.51738095,,19.964315,0.022727761,[-0.045  0.467 -1.742 -1.397],0.36343753,240146,10.0,0.0051738094,6604837.0,1.1155591,0.010455629,-1.0,2021.3632
1609.1831,2671.9685,,268.11,3715.056,24.374657,1.163501,4989.2095,2671.9685641197775,22,0.024153158,18.834608,4999.1914,100,10.0,2200,43.748734,2661.9868,0.4189424,83.56089305877686,2789.372,0.088647254,,9.981791,0.24374656,[-0.038  0.448 -1.773 -1.378],2.4153156,266957,10.0,0.0008864725,151296180.0,2.2857804,0.011635009,-1.0,2059.6953
1717.8036,2716.5579,,272.51,3104.2837,3.5829456,1.0634018,4999.023,2716.5580715079805,23,0.0062477924,74.33892,4999.023,100,10.0,2300,72.352684,2716.5579,0.4189424,93.6758964061737,2384.4976,0.1397866,,,0.035829455,[-0.019  0.418 -1.793 -1.362],0.6247793,294208,10.0,0.0013978659,10416506.0,1.3821187,0.010634018,-1.0,2104.3052
1609.6635,3214.8987,,322.32,4828.075,12.920294,1.3352817,4999.3237,3214.8988811456366,24,0.019457925,32.01562,4999.3237,100,10.0,2400,28.98598,3214.8987,0.4189424,106.23577165603638,3690.807,0.04234335,,,0.12920293,[-0.022  0.395 -1.82  -1.36 ],1.9457924,326440,10.0,0.00042343346,67284690.0,3.4499438,0.013352816,-1.0,2602.6091
1571.1273,3314.8193,,332.28,3509.2534,2.512786,1.0489964,4989.2554,3314.8194655019483,25,0.003931792,87.68192,4999.236,100,10.0,2500,87.93819,3304.8394,0.4189424,117.32804441452026,2856.3325,0.40304706,,9.980231,0.025127858,[-0.015  0.359 -1.83  -1.371],0.39317918,359668,10.0,0.0040304703,4784243.5,1.1371624,0.010489966,-1.0,2702.5408
