InitialReturnMin,EpRewMean,EpLenMean,LearnableVariance,EpisodesSoFar,ReturnStepMaxmin,StdIWNorm,Bound,Iteration,InitialReturnMax,InitialReturnStd,InitialReturnMean,OptimizationReturnMin,InitialBound,ReturnMeanIW,MeanIW,MeanIWNorm,ESSClassic,OptimizationReturnMax,MaxIW,MinIWNorm,MeanEntropy,VarianceInit,ReturnStepMax,EmpiricalD2,OptimizationReturnMean,EpThisIter,J_sample_variance,StdIW,MinIW,MaxIWNorm,TimeElapsed,ESSRenyi,TimestepsSoFar,Weights
9.980917,81.15212361797597,9.12,,100,9.999988,0.022999577,92.32202,1,359.93124,53.07847,81.15213,,37.069717,174.75627,1.2262847,0.012262847,22.135218,349.95032,16.25642,0.00031760253,0.4189424,-1.0,9.999988,3.4969146,71.1712,100,446486.72,2.299958,0.031760253,0.1625642,0.6023402214050293,28.596638,912,[ 0. -0. -0. -0.]
9.982375,108.63937972108734,11.87,,200,9.999998,0.022046564,149.74223,2,339.87552,74.78922,108.63937,,67.013306,233.19849,1.2062054,0.012062054,23.037678,329.89316,12.1575985,0.00033941792,0.4189424,-1.0,9.999998,4.019636,98.65701,100,388604.88,2.2046566,0.033941794,0.12157598,2.318516731262207,24.877874,2099,[ 0.24   0.186 -0.083 -0.347]
9.982189,159.61173718993993,16.97,,300,9.999992,0.011178123,130.1182,3,469.88885,94.74615,159.61174,,102.062325,205.68019,1.2174848,0.012174848,54.260323,459.90668,8.460134,0.0014378782,0.4189424,-1.0,9.999992,1.7239522,149.62955,100,76278.625,1.1178122,0.14378783,0.084601335,3.2963597774505615,58.00625,3796,[ 0.155  0.337 -0.326 -0.644]
9.983119,150.41482595606752,16.05,,400,9.999999,0.008174391,131.98706,4,389.73682,94.77245,150.41483,,102.68201,187.91005,0.9878602,0.009878602,59.356667,379.7537,6.9775443,0.0019004532,0.4189424,-1.0,9.999999,1.3726085,140.4317,100,94439.805,0.8174392,0.19004533,0.06977544,4.614192485809326,72.85398,5401,[ 0.104  0.453 -0.418 -0.684]
,173.8061134412744,18.39,,500,9.999999,0.0071846843,116.08583,5,769.81647,122.55588,173.8061,,79.52324,221.7532,0.99069124,0.009906912,65.53325,769.81647,5.3458767,0.0030669707,0.4189424,-1.0,9.999999,1.2560767,173.8061,100,216192.3,0.7184684,0.30669707,0.053458765,5.558307409286499,79.612976,7240,[-0.027  0.495 -0.559 -0.767]
,216.4812804903834,22.66,,600,10.0,8.560204,47176.242,6,769.6693,145.66344,216.48126,,122.21642,58929.484,87.08956,0.87089574,1.0244528,769.6693,8604.089,6.678979e-07,0.4189424,-1.0,10.0,15545.89,216.48126,100,342020850000.0,856.0204,6.678979e-05,86.040886,6.805463790893555,0.0064325687,9506,[-0.126  0.587 -0.701 -0.858]
,462.0865683294227,47.23,,700,9.999999,0.009279717,400.5183,7,1069.6492,238.95613,462.0866,,331.0818,563.7462,1.0860958,0.010860958,57.80288,1069.6492,7.0586843,0.002460396,0.4189424,-1.0,9.999999,1.5524405,462.0866,100,446080.28,0.92797166,0.2460396,0.070586845,8.80941128730774,64.4147,14229,[-0.271  0.45  -0.749 -0.987]
9.981739,548.4563925134116,55.87,,800,9.999999,0.0083569465,454.69485,8,1429.5662,274.09573,548.45636,,373.37097,668.3127,1.0270361,0.010270361,60.164833,1419.5845,6.4615717,0.0012312242,0.4189424,-1.0,9.999999,1.4885904,538.4747,100,1080836.9,0.83569455,0.123122424,0.06461572,10.86909818649292,67.17765,19816,[-0.287  0.42  -0.755 -1.011]
9.98177,674.0413819526599,68.43,,900,10.0,0.004704808,582.09424,9,1349.6455,307.05972,674.0414,,508.7443,762.38556,1.0529003,0.010529004,83.35636,1339.6637,3.569577,0.002157384,0.4189424,-1.0,10.0,1.1896496,664.0597,100,355756.72,0.4704808,0.21573842,0.03569577,12.579840421676636,84.058365,26659,[-0.334  0.453 -0.81  -1.098]
9.9815035,643.4488983033614,65.37,,1000,10.0,0.002363681,415.28998,10,2009.3705,339.58377,643.44885,,397.35223,667.23456,1.0092244,0.0100922445,94.79992,1999.389,1.7509689,0.0063143843,0.4189424,-1.0,10.0,1.0480903,633.4674,100,165519.83,0.2363681,0.63143843,0.01750969,14.944748163223267,95.41162,33196,[-0.339  0.46  -0.861 -1.155]
