IterType,VarDiscRet,AvgDiscRet,BatchSize,VarRet,MaxNormIw,Bound,EpsThisIter,MinNormIw,MaxVanillaIw,Delta,AvgRet,eRenyi2,VanillaAvgRet,ESSClassic,J,AvgEpLen,VarNormIw,VarJ,VarVanillaIw,AvgNormIw,AvgVanillaIw,MinVanillaIw,ESSRenyi
1,130564.030447,-1410.57569336,100,130564.030447,0.0339292,-1694.94,100,1.63375e-05,3.53684,0.2,-1410.57569336,1.44934,-1410.57569336,67.1736088934,-1219.87,500.0,4.93616e-05,190.063,0.536382,0.01,1.04242,0.00170305,68.9968553105
1,67048.7976994,-1230.9390961,100,67048.7976994,0.025935,-1592.67,100,0.00138101,2.70839,0.2,-1230.9390961,1.16966,-1230.9390961,85.1210040513,-1162.48,500.0,1.76564e-05,183.426,0.192554,0.01,1.0443,0.144219,85.4945662194
1,15993.5024496,-1148.56694286,100,15993.5024496,0.0119246,-1537.38,100,0.00512906,1.19928,0.2,-1148.56694286,1.01505,-1148.56694286,98.5735843331,-1142.0,500.0,1.46166e-06,95.1272,0.0147842,0.01,1.00572,0.515838,98.5175059073
1,27679.9373081,-1161.73215042,100,27679.9373081,0.0131877,-1541.33,100,0.00361069,1.3403,0.2,-1161.73215042,1.0388,-1161.73215042,96.7170973457,-1144.17,500.0,3.42862e-06,107.159,0.035415,0.01,1.01633,0.366964,96.2647662983
1,13802.6792656,-1135.45987016,100,13802.6792656,0.0142382,-1479.16,100,0.00398865,1.40188,0.2,-1135.45987016,1.02433,-1135.45987016,97.3852611441,-1126.52,500.0,2.71211e-06,108.674,0.0262917,0.01,0.984591,0.392719,97.6249346829
1,24951.2144429,-1130.99228099,100,24951.2144429,0.126112,-1502.21,100,0.00230179,13.4261,0.2,-1130.99228099,1.34177,-1130.99228099,39.3342929882,-1046.73,500.0,0.000155789,648.492,1.76575,0.01,1.06462,0.245054,74.5282065884
1,27276.2967982,-1151.05936141,100,27276.2967982,0.013936,-1537.99,100,0.00487435,1.40314,0.2,-1151.05936141,1.02413,-1151.05936141,97.7060229513,-1140.72,500.0,2.37156e-06,126.909,0.0240415,0.01,1.00685,0.490772,97.6434913655
1,18282.4095993,-1097.62255999,100,18282.4095993,0.0520548,-1342.67,100,0.00220312,5.52205,0.2,-1097.62255999,1.33755,-1097.62255999,62.9166141491,-1024.51,500.0,5.95359e-05,347.175,0.669975,0.01,1.06082,0.23371,74.7633911956
1,26965.8614117,-1100.35924155,100,26965.8614117,0.0200348,-1474.17,100,0.00236082,2.01197,0.2,-1100.35924155,1.06665,-1100.35924155,92.077156951,-1077.36,500.0,8.69147e-06,198.662,0.0876524,0.01,1.00423,0.237082,93.7515353104
1,33221.7657997,-1107.12754962,100,33221.7657997,0.0176328,-1493.64,100,0.00608759,1.75992,0.2,-1107.12754962,1.0394,-1107.12754962,97.1239811221,-1093.47,500.0,2.9911e-06,225.035,0.0297971,0.01,0.998095,0.607599,96.2093642958
