EpRewMean,Step_size,EpisodesSoFar,surrgain,TimeElapsed,meankl,DiscEpRewMean,optimgain,entropy,TimestepsSoFar,SampleRenyi2,Var_J,EpThisIter,EpLenMean,J_hat,ev_tdlam_before,entloss
0.583700494916,1.0,100,0.0195326,75.40245485305786,0.00900945,0.177156095097,0.0195326,2.83393,50000,4.81109e+06,0.33699220418930054,100,500.0,3.627251386642456,-0.0150665044785,
8.56928714948,1.0,200,0.0230078,344.997433423996,0.00938646,5.69897231808,0.0230078,2.83008,100000,2.76995e+06,2.645581007003784,100,500.0,13.583712577819824,0.609618365765,
20.1986118723,1.0,300,0.0195999,628.4000492095947,0.00927535,11.8329680514,0.0195999,2.82296,150000,1.17319e+09,0.20739564299583435,100,500.0,15.50647258758545,0.742011845112,
24.5760982134,1.0,400,0.0118581,916.4181785583496,0.00835014,17.0522034131,0.0118581,2.79988,200000,2.38424e+18,0.3515263795852661,100,500.0,18.996854782104492,0.762920990586,
26.814938348,1.0,500,0.00772235,1163.904824256897,0.00810651,20.4525967151,0.00772235,2.77733,250000,2.97212e+17,0.42007777094841003,100,500.0,23.36487579345703,0.753006950021,
27.668128296,1.0,600,0.00438954,1462.1322758197784,0.00604467,22.2188555856,0.00438954,2.7882,300000,5.09606e-06,0.34244197607040405,100,500.0,21.58684730529785,0.73513841629,
28.6832916657,1.0,700,0.00524541,1730.2604660987854,0.00541039,23.1037853566,0.00524541,2.80474,350000,1.8762e-08,0.2835088074207306,100,500.0,24.655176162719727,0.723001599312,
28.4815512265,1.0,800,0.00442104,1975.5743601322174,0.00664463,23.5180796362,0.00442104,2.77448,400000,5.90158e+21,0.08140745013952255,100,500.0,24.376489639282227,0.75159971416,
29.2117368196,1.0,900,0.00413493,2282.1274313926697,0.00603815,24.1422097805,0.00413493,2.75759,450000,5.23334e+13,0.19627442955970764,100,500.0,23.676706314086914,0.766978859901,
30.0278593658,1.0,1000,0.00583531,2577.875545978546,0.00667677,24.4732967279,0.00583531,2.73415,500000,1.19013e+21,0.1355120986700058,100,500.0,25.87396240234375,0.792675182223,
30.9747843193,1.0,1100,0.00558695,2875.3272416591644,0.00586542,25.1541948963,0.00558695,2.72926,550000,425444.0,0.16954322159290314,100,500.0,25.405319213867188,0.783719390631,
30.9763110755,1.0,1200,0.0054991,3209.9994039535522,0.00626632,25.3783715363,0.0054991,2.74002,600000,2.71091e-06,0.07101387530565262,100,500.0,26.032577514648438,0.787808701396,
32.8255471633,1.0,1300,0.00573026,3492.2628939151764,0.007989,25.9471767068,0.00573026,2.71574,650000,1.63601e+20,0.18307621777057648,100,500.0,26.8365421295166,0.777026429772,
34.4673477201,1.0,1400,0.0053223,3799.4593267440796,0.008127,26.6820228144,0.0053223,2.73638,700000,2.43838e-11,0.2054649293422699,100,500.0,27.34027862548828,0.793588995934,
36.916616869,1.0,1500,0.00374259,4023.4300453662872,0.00763734,27.4107598678,0.00374259,2.70294,750000,7.17646e+23,0.3330059349536896,100,500.0,28.35418701171875,0.793781980872,
39.4708727605,1.0,1600,0.0044066,4124.439535856247,0.00804808,28.6178928144,0.0044066,2.66302,800000,7.83773e+28,0.0441100113093853,100,500.0,30.213117599487305,0.807721540332,
42.0285602103,1.0,1700,0.00497229,4224.471640586853,0.00854896,29.6027103405,0.00497229,2.66011,850000,4841.09,0.24816441535949707,100,500.0,30.057720184326172,0.817677006125,
43.7657774878,1.0,1800,0.0031834,4325.496139526367,0.00671443,30.1264153098,0.0031834,2.62115,900000,4.82444e+27,0.07944139093160629,100,500.0,30.970762252807617,0.823725029826,
45.0629331604,1.0,1900,0.00420249,4549.0188138484955,0.00833399,30.7625022322,0.00420249,2.60522,950000,2.01189e+12,0.5426679849624634,100,500.0,30.518598556518555,0.828703522682,
46.4625159517,1.0,2000,0.0039796,4716.19965004921,0.00687219,31.2497388094,0.0039796,2.59938,1000000,2.47599e+07,0.32680273056030273,100,500.0,33.1658821105957,0.84077270329,
48.1460354566,1.0,2100,0.0039135,4986.282709598541,0.00682259,32.1719529213,0.0039135,2.58617,1050000,2.97183e+10,0.09988049417734146,100,500.0,33.194915771484375,0.842243328691,
50.3014079563,1.0,2200,0.0053669,5363.203033685684,0.00859404,32.7896671726,0.0053669,2.5813,1100000,301162.0,0.014486595056951046,100,500.0,33.593624114990234,0.863332778215,
50.9188214928,1.0,2300,0.00341543,5746.886013031006,0.00654745,33.406423191,0.00341543,2.5871,1150000,0.0234827,0.1114460900425911,100,500.0,34.32344055175781,0.861465141177,
51.7797112269,1.0,2400,0.00374389,5947.527037143707,0.00694023,33.553132815,0.00374389,2.59663,1200000,0.00124405,0.31735238432884216,100,500.0,34.912166595458984,0.880820944905,
53.1360056627,1.0,2500,0.00398438,6266.31866145134,0.00689189,34.1015910739,0.00398438,2.56255,1250000,6.52725e+25,0.321047842502594,100,500.0,35.10184860229492,0.890200942755,
61.2417935059,1.0,2600,0.00461166,6551.004501104355,0.0075032,36.0216868273,0.00461166,2.56256,1300000,82.2719,0.11042089015245438,100,500.0,39.66101837158203,0.90319083631,
65.3211735691,1.0,2700,0.00554357,6825.62204003334,0.0076832,36.7813976247,0.00554357,2.56465,1350000,856.693,1.16741943359375,100,500.0,35.69572448730469,0.908311270177,
69.9334463389,1.0,2800,0.00490021,7096.120144367218,0.0073882,38.0315365892,0.00490021,2.54494,1400000,3.12394e+17,0.25561198592185974,100,500.0,41.251182556152344,0.906491458416,
79.5540166958,1.0,2900,0.00502708,7439.369079351425,0.00714,40.1894240753,0.00502708,2.52832,1450000,5.5267e+12,0.8564464449882507,100,500.0,41.414981842041016,0.918706573546,
101.57697473,1.0,3000,0.00585388,7696.480450630188,0.00731294,43.7718792173,0.00585388,2.52046,1500000,1.50543e+07,0.7378986477851868,100,500.0,45.17765808105469,0.922267861664,
106.640118638,1.0,3100,0.0056288,7937.586816549301,0.00711742,44.9569679892,0.0056288,2.49488,1550000,1.54996e+19,1.2072653770446777,100,500.0,48.80473709106445,0.922773763537,
124.705208286,1.0,3200,0.00648059,8228.983637809753,0.00651943,48.1813146851,0.00648059,2.45092,1600000,9.75222e+30,0.7261975407600403,100,500.0,49.8933219909668,0.92598862946,
133.814350142,1.0,3300,0.00757169,8493.71492934227,0.00694405,49.983657211,0.00757169,2.41575,1650000,2.45987e+24,2.68355655670166,100,500.0,50.01438903808594,0.927302412689,
142.396437454,1.0,3400,0.00895382,8711.935189008713,0.00688457,51.9776846765,0.00895382,2.39258,1700000,1.48563e+24,0.060023341327905655,100,500.0,53.87639617919922,0.928660310805,
