MinNormIw,MinVanillaIw,AvgRet,VarDiscRet,AvgEpLen,AvgVanillaIw,Bound,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgNormIw,VarRet,MaxVanillaIw,J,BatchSize,VarJ,VarVanillaIw,AvgDiscRet,ESSClassic
,,-1704.5819581729843,4553425.762000742,200.0,12.7133045,20302.096,0.6029353,0.0051635485,0.1322782399792411,755.98224,0.01,4553425.762000742,766.53,1698.8284,100,48.97869,8345.745,-1.0913936421275138e-13,1.9186810105008258
,,-12.626290231664031,100.62149900073301,200.0,1.060113e+34,1.2299295e+35,1.0,0.0100000035,,inf,0.01,100.62149900073301,1.0601131e+36,11.601871,100,,inf,-2.842170943040401e-16,
0.01,1.0,-12.589838648117404,106.78158383377554,200.0,1.0,-0.86908,0.01,3.5044917e-18,nan,nan,0.009999998,106.78158383377554,1.0,-2.9802322e-08,100,10.28172,,6.039613253960852e-16,100.0
0.01,1.0,-11.09591224931439,89.61981191354054,200.0,1.0,-0.7961842,0.01,3.5044917e-18,nan,nan,0.009999998,89.61981191354054,1.0,2.9802322e-08,100,9.419321,,-1.1723955140041654e-15,100.0
0.01,1.0,-12.684440753663285,97.38974969006492,200.0,1.0,-0.8299809,0.01,3.5044917e-18,nan,nan,0.009999998,97.38974969006492,1.0,-5.9604645e-08,100,9.819158,,-7.105427357601002e-16,100.0
0.01,1.0,-12.72135030407286,99.16225301754326,200.0,1.0,-0.8374997,0.01,3.5044917e-18,nan,nan,0.009999998,99.16225301754328,1.0,5.9604645e-08,100,9.908109,,1.8829382497642656e-15,100.0
0.01,1.0,-11.752757031520396,99.41729464568492,200.0,1.0,-0.8385761,0.01,3.5044917e-18,nan,nan,0.009999998,99.41729464568492,1.0,2.9802322e-08,100,9.920842,,-1.794120407794253e-15,100.0
0.01,1.0,-13.477818370426256,103.34079427735871,200.0,1.0,-0.8549633,0.01,3.5044917e-18,nan,nan,0.009999998,103.34079427735871,1.0,-1.4901161e-07,100,10.114711,,3.1530333899354444e-15,100.0
0.01,1.0,-11.420544149594527,99.9902175409254,200.0,1.0,-0.8409891,0.01,3.5044917e-18,nan,nan,0.009999998,99.9902175409254,1.0,-5.9604645e-08,100,9.949388,,-1.2967404927621828e-15,100.0
0.01,1.0,-11.986760596514102,98.82051744910301,200.0,1.0,-0.8360555,0.01,3.5044917e-18,nan,nan,0.009999998,98.820517449103,1.0,-5.9604645e-08,100,9.891022,,-4.796163466380677e-16,100.0
0.01,1.0,-12.738252812186348,108.54310984681904,200.0,1.0,-0.87621886,0.01,3.5044917e-18,nan,nan,0.009999998,108.54310984681904,1.0,5.9604645e-08,100,10.366179,,2.3980817331903383e-15,100.0
0.01,1.0,-11.587793641846297,108.02596716411301,200.0,1.0,-0.87412935,0.01,3.5044917e-18,nan,nan,0.009999998,108.02596716411301,1.0,-2.3841858e-07,100,10.341455,,-8.348877145181177e-16,100.0
0.01,1.0,-12.357597543565603,100.15991865099566,200.0,1.0,-0.8417024,0.01,3.5044917e-18,nan,nan,0.009999998,100.15991865099566,1.0,-1.1920929e-07,100,9.957828,,1.5987211554602254e-16,100.0
0.01,1.0,-11.747506943761955,100.26141437731599,200.0,1.0,-0.84212863,0.01,3.5044917e-18,nan,nan,0.009999998,100.261414377316,1.0,4.4703484e-08,100,9.962871,,2.9132252166164106e-15,100.0
0.01,1.0,-11.862309466647705,103.15236552258072,200.0,1.0,-0.8541834,0.01,3.5044917e-18,nan,nan,0.009999998,103.15236552258072,1.0,-1.1920929e-07,100,10.105486,,3.019806626980426e-16,100.0
0.01,1.0,-11.566395651622743,105.55221797505612,200.0,1.0,-0.8640624,0.01,3.5044917e-18,nan,nan,0.009999998,105.55221797505612,1.0,7.4505806e-08,100,10.2223625,,7.283063041541026e-16,100.0
0.01,1.0,-12.35665544941019,94.17652856115323,200.0,1.0,-0.8161741,0.01,3.5044917e-18,nan,nan,0.009999998,94.17652856115323,1.0,2.2351742e-08,100,9.655814,,-2.3447910280083307e-15,100.0
0.01,1.0,-11.903856871653705,100.92031803236524,200.0,1.0,-0.8448913,0.01,3.5044917e-18,nan,nan,0.009999998,100.92031803236524,1.0,2.3841858e-07,100,9.995555,,4.085620730620576e-16,100.0
0.01,1.0,-12.514960334018303,98.29071449185416,200.0,1.0,-0.83381116,0.01,3.5044917e-18,nan,nan,0.009999998,98.29071449185416,1.0,-6.7055225e-08,100,9.864471,,-1.0480505352461477e-15,100.0
0.01,1.0,-10.388398899365306,104.30413838305009,200.0,1.0,-0.858939,0.01,3.5044917e-18,nan,nan,0.009999998,104.30413838305009,1.0,8.940697e-08,100,10.161747,,8.881784197001253e-17,100.0
0.01,1.0,-13.155230344802352,98.89088062856956,200.0,1.0,-0.83635324,0.01,3.5044917e-18,nan,nan,0.009999998,98.89088062856956,1.0,8.940697e-08,100,9.894543,,-4.263256414560601e-16,100.0
0.01,1.0,-13.437962172373425,100.15272673850677,200.0,1.0,-0.8416718,0.01,3.5044917e-18,nan,nan,0.009999998,100.1527267385068,1.0,,100,9.957469,,-2.646771690706373e-15,100.0
0.01,1.0,-9.954091221817118,80.71560059447387,200.0,1.0,-0.755597,0.01,3.5044917e-18,nan,nan,0.009999998,80.71560059447387,1.0,5.9604645e-08,100,8.939152,,-2.646771690706373e-15,100.0
0.01,1.0,-11.701379025731818,100.5052756035056,200.0,1.0,-0.8431522,0.01,3.5044917e-18,nan,nan,0.009999998,100.5052756035056,1.0,8.940697e-08,100,9.974979,,-6.039613253960852e-16,100.0
0.01,1.0,-11.959758125469468,93.35649843289946,200.0,1.0,-0.8126131,0.01,3.5044917e-18,nan,nan,0.009999998,93.35649843289946,1.0,,100,9.613685,,-3.552713678800501e-17,100.0
0.01,1.0,-9.700429623833106,86.42901668543429,200.0,1.0,-0.7818821,0.01,3.5044917e-18,nan,nan,0.009999998,86.42901668543429,1.0,-2.9802322e-08,100,9.25012,,7.815970093361102e-16,100.0
0.01,1.0,-12.102339791840496,99.8053123286247,200.0,1.0,-0.84021103,0.01,3.5044917e-18,nan,nan,0.009999998,99.80531232862472,1.0,-8.940697e-08,100,9.940184,,3.8280489889075394e-15,100.0
0.01,1.0,-11.309180372085475,99.16146982818455,200.0,1.0,-0.83749646,0.01,3.5044917e-18,nan,nan,0.009999998,99.16146982818456,1.0,-4.4703484e-08,100,9.908071,,1.1013412404281553e-15,100.0
0.01,1.0,-12.007499854844587,87.45314884634686,200.0,1.0,-0.786501,0.01,3.5044917e-18,nan,nan,0.009999998,87.45314884634686,1.0,2.9802322e-08,100,9.304763,,-3.730349362740526e-16,100.0
