eRenyi2,J,VarVanillaIw,VarDiscRet,AvgDiscRet,VarNormIw,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize,IterType,VanillaAvgRet,EpsThisIter,AvgEpLen,VarRet,AvgNormIw,Delta,ESSClassic,VarJ,MaxVanillaIw,MaxNormIw,MinNormIw,Bound,MinVanillaIw
2.08954e+12,-64.2487,2.26787e-08,22510.512621,-317.008742276,0.00512974,4.78574833513e-11,-317.008742276,2.10262e-05,100,1,-317.008742276,100,388.34,22510.512621,0.01,1.0,1.93108424812,9.03439,0.00148763,0.70751,4.90484e-20,-64.2487,1.0313e-22
4471.19,-52.03,32.2017,47.959519886,-59.3674963109,0.01,0.0223653913043,-59.3674963109,0.567465,100,1,-59.3674963109,100,87.42,47.959519886,0.01,1.0,1.0,,56.7465,1.0,,-52.03,
9.56411e-09,nan,nan,2588.09330121,-66.0504239587,nan,20911509091.6,-59.3674963109,inf,200,,-59.3674963109,100,87.42,47.959519886,nan,1.0,nan,nan,inf,nan,nan,nan,0.0176222
8972.8,-50.4838,8.16732e-14,1330.48459457,-63.3626370345,0.00499998,0.0222895770868,-63.3626370345,2.02081e-08,200,1,-63.3626370345,100,91.99,1330.48459457,0.005,1.0,1.00000472569,6.40707e-05,4.04162e-06,0.999998,,-50.4838,
1.0,-66.5343,,2575.92336941,-66.5342509612,3.50449e-18,200.0,-66.5342509612,1.0,200,2,-66.5342509612,100,95.15,2575.92336941,0.01,1.0,100.0,50.4991,1.0,0.01,0.01,-66.5343,1.0
3.10533e-09,nan,nan,1328.80148042,-61.8806971775,nan,96608200701.2,-63.3626370345,inf,300,,-63.3626370345,100,91.99,1330.48459457,nan,1.0,nan,nan,inf,nan,nan,nan,247426.0
7533.47,-49.8546,1.057e-41,49.0653463432,-59.7928578982,0.00333333,0.0398223007606,-59.7928578982,1.87707e-22,300,1,-59.7928578982,100,87.85,49.0653463432,0.00333333,1.0,1.0,,5.63122e-20,1.0,,-49.8546,
1.0,-63.1712,,1329.27694639,-63.1712499985,3.50449e-18,300.0,-63.1712499985,1.0,300,2,-63.1712499985,100,91.67,1329.27694639,0.01,1.0,100.0,36.2765,1.0,0.01,0.01,-63.1712,1.0
1.0,-60.5911,,47.1013933828,-58.0109911834,2.1793e-19,300.0,-58.0109911834,1.0,300,2,-58.0109911834,100,85.06,47.1013933828,0.005,1.0,200.000000102,26.2291,1.0,0.005,0.005,-60.5911,1.0
4.61639e-09,nan,nan,43.557757239,-58.768642053,nan,86647818078.2,-59.7928578982,inf,400,,-59.7928578982,100,87.85,49.0653463432,nan,1.0,nan,nan,inf,nan,nan,nan,1.77581e+19
