AvgNormIw,ESSRenyi,IterType,MinNormIw,VarDiscRet,VarNormIw,Delta,MinVanillaIw,VarVanillaIw,VanillaAvgRet,Bound,AvgEpLen,J,MaxNormIw,VarJ,ESSClassic,AvgRet,EpsThisIter,MaxVanillaIw,eRenyi2,VarRet,BatchSize,AvgVanillaIw,AvgDiscRet
0.01,12.4772605468,1,2.32431e-06,9329.5350167,0.00646982,0.8,0.0014999,2694.2,142.343569244,341.347,15.55,418.953,0.80276,200.132,1.53725001526,142.343569244,100,518.03,8.01458,9329.5350167,100,6.45311,142.343569244
0.01,5.93342103333,,1.00767e-06,18653.5108701,0.00147767,0.8,0.00193039,5422.87,142.343569244,-107.327,15.55,236.244,0.348026,168.073,6.39838439111,142.343569244,100,666.71,33.7074,9329.5350167,200,19.1569,227.365271572
0.005,18.7243139693,1,1.16123e-06,13204.2169305,0.00273829,0.8,0.00112332,2562.43,154.008872188,330.5,16.8,401.8,0.738846,421.783,1.81845087949,154.008872188,100,714.727,10.6813,13204.2169305,200,4.83678,154.008872188
0.01,200.0,2,0.01,19407.3094628,3.50449e-18,0.8,1.0,,249.188568916,191.411,27.0,249.189,0.01,138.612,100.0,249.188568916,100,1.0,1.0,19407.3094628,200,1.0,249.188568916
0.005,4.08976566347,,1.91835e-07,9992.47329576,0.000276061,0.8,0.00139914,14684.9,154.008872188,-150.323,16.8,199.587,0.122057,293.284,16.6844458255,154.008872188,100,890.216,73.3538,13204.2169305,300,36.4672,244.033706951
0.00333333,20.5359189329,1,2.63527e-07,9797.99329914,0.00178784,0.8,0.000389285,3901.34,144.184843988,334.54,15.74,402.623,0.731489,492.008,1.85908934368,144.184843988,100,1080.56,14.6086,9797.99329914,300,4.92403,144.184843988
0.01,300.0,2,0.01,11222.215961,3.50449e-18,0.8,1.0,,244.076977753,210.688,26.46,244.077,0.01,105.404,100.0,244.076977753,100,1.0,1.0,11222.215961,300,1.0,244.076977753
0.005,300.0,2,0.005,17872.8800292,2.1793e-19,0.8,1.0,,256.569435009,219.35,27.78,250.323,0.005,120.171,200.000000102,256.569435009,100,1.0,1.0,17872.8800292,300,1.0,256.569435009
0.00333333,0.386144383448,,3.6159e-08,12065.8608972,0.00013619,0.8,0.000925443,89209.9,144.184843988,-509.706,15.74,304.246,0.100369,856.836,22.6993070058,144.184843988,100,2568.82,1035.88,9797.99329914,400,85.3124,254.561807495
0.0025,21.5311534338,1,1.27987e-07,5713.82718422,0.00139523,0.8,0.000241666,4974.43,129.29326733,334.869,14.15,401.359,0.746456,590.817,1.78827731206,129.29326733,100,1409.46,18.5777,5713.82718422,400,4.7205,129.29326733
0.01,400.0,2,0.01,10565.2527303,3.50449e-18,0.8,1.0,,246.831843837,219.831,26.74,246.832,0.01,102.272,100.0,246.831843837,100,1.0,1.0,10565.2527303,400,1.0,246.831843837
0.005,400.0,2,0.005,11881.0784527,2.1793e-19,0.8,1.0,,256.535082074,225.745,27.77,251.683,0.005,105.52,200.000000102,256.535082074,100,1.0,1.0,11881.0784527,400,1.0,256.535082074
0.00333333,400.0,2,0.00333333,12072.3244082,5.43914e-20,0.8,1.0,,241.389648043,227.074,26.16,248.252,0.00333333,106.913,299.999969474,241.389648043,100,1.0,1.0,12072.3244082,400,1.0,241.389648043
0.0025,0.525702029112,,1.59643e-08,11466.2046549,8.38977e-05,0.8,0.000709492,165709.0,129.29326733,-406.302,14.15,255.05,0.0931078,264.302,27.7969375426,129.29326733,100,4137.94,951.109,5713.82718422,500,111.106,273.462943455
0.002,21.5936610137,1,1.10991e-10,10650.9142961,0.00103959,0.8,2.42398e-07,4958.44,148.769788867,335.112,16.23,401.506,0.719601,642.846,1.9202935846,148.769788867,100,1571.57,23.1549,10650.9142961,500,4.36789,148.769788867
0.01,500.0,2,0.01,13060.1390854,3.50449e-18,0.8,1.0,,251.117689474,207.897,27.18,251.118,0.01,113.708,100.0,251.117689474,100,1.0,1.0,13060.1390854,500,1.0,251.117689474
0.005,500.0,2,0.005,24929.5110558,2.1793e-19,0.8,1.0,,297.961552421,234.711,32.22,274.54,0.005,139.117,200.000000102,297.961552421,100,1.0,1.0,24929.5110558,500,1.0,297.961552421
0.00333333,500.0,2,0.00333333,7842.41888802,5.43914e-20,0.8,1.0,,252.095282204,234.538,27.3,267.058,0.00333333,124.909,299.999969474,252.095282204,100,1.0,1.0,7842.41888802,500,1.0,252.095282204
0.0025,500.0,2,0.0025,7723.99366265,5.4346e-20,0.8,1.0,,261.929478702,237.613,28.36,265.776,0.0025,116.698,400.0,261.929478702,100,1.0,1.0,7723.99366265,500,1.0,261.929478702
0.002,29.3182071855,1,1.05462e-08,6052.09925036,0.0016151,0.8,4.14291e-05,24924.3,241.188128144,706.61,26.11,810.636,0.89875,1090.7,1.23772594265,241.188128144,100,3530.62,17.0542,6052.09925036,500,7.85673,241.188128144
0.01,500.0,2,0.01,15989.8274228,3.50449e-18,0.8,1.0,,338.155359384,297.892,36.53,338.155,0.01,125.817,100.0,338.155359384,100,1.0,1.0,15989.8274228,500,1.0,338.155359384
0.005,500.0,2,0.005,24362.0682189,2.1793e-19,0.8,1.0,,341.627516614,306.74,36.9,339.891,0.005,141.341,200.000000102,341.627516614,100,1.0,1.0,24362.0682189,500,1.0,341.627516614
0.00333333,500.0,2,0.00333333,28313.8129987,5.43914e-20,0.8,1.0,,313.917291533,281.676,33.96,331.233,0.00333333,151.035,299.999969474,313.917291533,100,1.0,1.0,28313.8129987,500,1.0,313.917291533
0.0025,500.0,2,0.0025,36010.3039622,5.4346e-20,0.8,1.0,,378.121579021,300.038,40.84,342.955,0.0025,162.584,400.0,378.121579021,100,1.0,1.0,36010.3039622,500,1.0,378.121579021
0.002,21.4973908959,1,1.32611e-10,33291.2170595,0.00104836,0.8,2.47161e-07,3641.77,357.841463725,726.473,38.7,911.602,0.717262,1511.04,1.90428687594,357.841463725,100,1336.84,23.2586,33291.2170595,500,3.72762,357.841463725
0.01,500.0,2,0.01,68080.9557928,3.50449e-18,0.8,1.0,,506.987591829,407.971,54.8,506.988,0.01,259.615,100.0,506.987591829,100,1.0,1.0,68080.9557928,500,1.0,506.987591829
0.005,500.0,2,0.005,72912.1020874,2.1793e-19,0.8,1.0,,447.450520961,407.204,48.32,477.219,0.005,265.853,200.000000102,447.450520961,100,1.0,1.0,72912.1020874,500,1.0,447.450520961
0.00333333,500.0,2,0.00333333,55664.5469934,5.43914e-20,0.8,1.0,,462.112942921,415.016,49.9,472.184,0.00333333,256.005,299.999969474,462.112942921,100,1.0,1.0,55664.5469934,500,1.0,462.112942921
0.0025,500.0,2,0.0025,69397.0030915,5.4346e-20,0.8,1.0,,488.520583897,426.759,52.8,476.268,0.0025,257.643,400.0,488.520583897,100,1.0,1.0,69397.0030915,500,1.0,488.520583897
0.002,10.6719514017,1,4.38912e-27,89060.0242401,0.00118752,0.8,5.08049e-24,1591.11,492.598083796,1044.12,53.26,1347.22,0.769493,3105.48,1.68187540945,492.598083796,100,890.704,46.8518,89060.0242401,500,2.31504,492.598083796
0.01,500.0,2,0.01,87941.4417938,3.50449e-18,0.8,1.0,,596.962236886,509.41,64.51,596.962,0.01,295.063,100.0,596.962236886,100,1.0,1.0,87941.4417938,500,1.0,596.962236886
0.005,500.0,2,0.005,85938.9003419,2.1793e-19,0.8,1.0,,620.752000406,541.335,67.05,608.857,0.005,293.619,200.000000102,620.752000406,100,1.0,1.0,85938.9003419,500,1.0,620.752000406
0.00333333,500.0,2,0.00333333,106577.038464,5.43914e-20,0.8,1.0,,618.694980734,545.09,66.86,612.136,0.00333333,304.412,299.999969474,618.694980734,100,1.0,1.0,106577.038464,500,1.0,618.694980734
0.0025,500.0,2,0.0025,126311.835615,5.4346e-20,0.8,1.0,,649.309207643,561.115,70.24,621.43,0.0025,317.839,400.0,649.309207643,100,1.0,1.0,126311.835615,500,1.0,649.309207643
0.002,9.82172348947,1,1.62618e-17,101237.434081,0.00145507,0.8,3.1048e-14,5304.15,629.322220698,1775.48,67.95,2160.39,0.852295,3173.25,1.37347854771,629.322220698,100,1627.26,50.9076,101237.434081,500,3.81853,629.322220698
0.01,500.0,2,0.01,538211.258296,3.50449e-18,0.8,1.0,,1052.70419625,822.672,114.05,1052.7,0.01,729.951,100.0,1052.70419625,100,1.0,1.0,538211.258296,500,1.0,1052.70419625
0.005,500.0,2,0.005,177010.519924,2.1793e-19,0.8,1.0,,946.62293599,837.007,102.56,999.664,0.005,597.368,200.000000102,946.62293599,100,1.0,1.0,177010.519924,500,1.0,946.62293599
0.00333333,500.0,2,0.00333333,203851.184338,5.43914e-20,0.8,1.0,,953.533528831,851.478,103.33,984.287,0.00333333,552.849,299.999969474,953.533528831,100,1.0,1.0,203851.184338,500,1.0,953.533528831
0.0025,500.0,2,0.0025,264221.755692,5.4346e-20,0.8,1.0,,1016.16812638,877.241,110.23,992.257,0.0025,542.971,400.0,1016.16812638,100,1.0,1.0,264221.755692,500,1.0,1016.16812638
0.002,9.04369007836,1,5.82103e-21,267448.896883,0.00147794,0.8,8.78409e-18,3365.52,1001.13371024,2631.8,108.52,3396.72,0.859366,5487.99,1.35227830334,1001.13371024,100,1296.81,55.2872,267448.896883,500,3.01805,1001.13371024
0.01,500.0,2,0.01,677239.193049,3.50449e-18,0.8,1.0,,1611.7365512,1379.15,174.95,1611.74,0.01,818.82,100.0,1611.7365512,100,1.0,1.0,677239.193049,500,1.0,1611.7365512
0.005,500.0,2,0.005,343720.449391,2.1793e-19,0.8,1.0,,1472.83132721,1377.82,159.91,1542.28,0.005,714.282,200.000000102,1472.83132721,100,1.0,1.0,343720.449391,500,1.0,1472.83132721
0.00333333,500.0,2,0.00333333,459062.473777,5.43914e-20,0.8,1.0,,1497.92086072,1393.21,162.78,1527.5,0.00333333,701.47,299.999969474,1497.92086072,100,1.0,1.0,459062.473777,500,1.0,1497.92086072
0.0025,500.0,2,0.0025,745592.228221,5.4346e-20,0.8,1.0,,1590.5857946,1426.97,173.02,1543.27,0.0025,744.531,400.0,1590.5857946,100,1.0,1.0,745592.228221,500,1.0,1590.5857946
0.002,13.5699122975,1,1.00799e-19,495937.253624,0.00138994,0.8,1.98789e-16,5405.94,1417.89946943,3188.11,154.03,3819.51,0.833353,5641.53,1.43765053657,1417.89946943,100,1643.49,36.8462,495937.253624,500,3.94428,1417.89946943
0.01,500.0,2,0.01,1165957.82809,3.50449e-18,0.8,1.0,,2396.62845039,2163.79,262.04,2396.63,0.01,1074.38,100.0,2396.62845039,100,1.0,1.0,1165957.82809,500,1.0,2396.62845039
0.005,500.0,2,0.005,1201395.71137,2.1793e-19,0.8,1.0,,2415.1343499,2241.24,263.88,2405.88,0.005,1082.56,200.000000102,2415.1343499,100,1.0,1.0,1201395.71137,500,1.0,2415.1343499
0.00333333,500.0,2,0.00333333,1411147.29481,5.43914e-20,0.8,1.0,,2504.94618003,2304.47,273.47,2438.9,0.00333333,1117.65,299.999969474,2504.94618003,100,1.0,1.0,1411147.29481,500,1.0,2504.94618003
0.0025,500.0,2,0.0025,1159961.58123,5.4346e-20,0.8,1.0,,2506.08557528,2339.28,273.58,2455.7,0.0025,1106.7,400.0,2506.08557528,100,1.0,1.0,1159961.58123,500,1.0,2506.08557528
0.002,19.1913390649,1,4.56273e-27,1229647.02972,0.000635337,0.8,9.54836e-24,2782.36,2474.25253663,3883.08,270.05,4415.4,0.546573,3049.93,3.13446905447,2474.25253663,100,1143.81,26.0534,1229647.02972,500,4.18538,2474.25253663
0.01,500.0,2,0.01,1116381.03816,3.50449e-18,0.8,1.0,,3694.30014908,3460.83,401.75,3694.3,0.01,1051.29,100.0,3694.30014908,100,1.0,1.0,1116381.03816,500,1.0,3694.30014908
0.005,500.0,2,0.005,1388279.97594,2.1793e-19,0.8,1.0,,3532.29370665,3448.21,384.56,3613.3,0.005,1116.41,200.000000102,3532.29370665,100,1.0,1.0,1388279.97594,500,1.0,3532.29370665
0.00333333,500.0,2,0.00333333,1113779.94353,5.43914e-20,0.8,1.0,,3619.87523569,3480.7,393.56,3615.49,0.00333333,1094.75,299.999969474,3619.87523569,100,1.0,1.0,1113779.94353,500,1.0,3619.87523569
0.0025,500.0,2,0.0025,1168005.42327,5.4346e-20,0.8,1.0,,3770.17571442,3537.43,409.45,3654.16,0.0025,1091.98,400.0,3770.17571442,100,1.0,1.0,1168005.42327,500,1.0,3770.17571442
0.002,71.9484802508,1,1.24938e-11,1151176.12862,2.39306e-05,0.8,7.66899e-09,9.01654,3790.89427794,4178.81,411.81,4454.05,0.0460245,678.82,71.7290997063,3790.89427794,100,28.251,6.94942,1151176.12862,500,1.22765,3790.89427794
0.01,500.0,2,0.01,465967.017916,3.50449e-18,0.8,1.0,,4289.92491871,4056.61,464.94,4289.92,0.01,679.196,100.0,4289.92491871,100,1.0,1.0,465967.017916,500,1.0,4289.92491871
0.005,500.0,2,0.005,478934.960667,2.1793e-19,0.8,1.0,,4324.70414298,4142.29,468.25,4307.31,0.005,684.126,200.000000102,4324.70414298,100,1.0,1.0,478934.960667,500,1.0,4324.70414298
0.00333333,500.0,2,0.00333333,728362.992906,5.43914e-20,0.8,1.0,,4164.98010367,4125.09,451.39,4259.87,0.00333333,746.245,299.999969474,4164.98010367,100,1.0,1.0,728362.992906,500,1.0,4164.98010367
0.0025,500.0,2,0.0025,653269.592856,5.4346e-20,0.8,1.0,,4208.92648751,4130.41,457.15,4247.13,0.0025,761.467,400.0,4208.92648751,100,1.0,1.0,653269.592856,500,1.0,4208.92648751
0.002,139.201156116,1,2.00264e-07,845591.075809,2.29768e-05,0.8,0.000106041,6.44224,4125.36506045,4351.51,447.36,4549.37,0.0762117,360.298,74.2642002658,4125.36506045,100,40.3548,3.59192,845591.075809,500,1.05902,4125.36506045
0.01,500.0,2,0.01,100671.690343,3.50449e-18,0.8,1.0,,4519.86233971,4286.53,488.57,4519.86,0.01,315.698,100.0,4519.86233971,100,1.0,1.0,100671.690343,500,1.0,4519.86233971
0.005,500.0,2,0.005,255390.842431,2.1793e-19,0.8,1.0,,4436.45397413,4313.12,480.12,4478.16,0.005,421.889,200.000000102,4436.45397413,100,1.0,1.0,255390.842431,500,1.0,4436.45397413
0.00333333,500.0,2,0.00333333,236350.515324,5.43914e-20,0.8,1.0,,4499.67958287,4350.58,486.8,4485.33,0.00333333,443.575,299.999969474,4499.67958287,100,1.0,1.0,236350.515324,500,1.0,4499.67958287
0.0025,500.0,2,0.0025,173304.708988,5.4346e-20,0.8,1.0,,4495.36394512,4371.14,485.99,4487.84,0.0025,436.441,400.0,4495.36394512,100,1.0,1.0,173304.708988,500,1.0,4495.36394512
0.002,307.593315427,1,9.58355e-06,275525.476989,2.52301e-06,0.8,0.00466671,0.598258,4460.97081064,4432.27,482.55,4565.41,0.0082754,263.636,306.844250725,4460.97081064,100,4.02971,1.62552,275525.476989,500,0.9739,4460.97081064
0.01,500.0,2,0.01,93548.0504952,3.50449e-18,0.8,1.0,,4564.5712413,4331.23,493.32,4564.57,0.01,304.323,100.0,4564.5712413,100,1.0,1.0,93548.0504952,500,1.0,4564.5712413
0.005,500.0,2,0.005,128273.784722,2.1793e-19,0.8,1.0,,4551.1545654,4392.81,491.8,4557.86,0.005,331.431,200.000000102,4551.1545654,100,1.0,1.0,128273.784722,500,1.0,4551.1545654
0.00333333,500.0,2,0.00333333,165764.783951,5.43914e-20,0.8,1.0,,4540.82941254,4417.42,490.37,4552.19,0.00333333,357.768,299.999969474,4540.82941254,100,1.0,1.0,165764.783951,500,1.0,4540.82941254
0.0025,500.0,2,0.0025,207351.464247,5.4346e-20,0.8,1.0,,4505.14496878,4423.7,486.65,4540.42,0.0025,384.36,400.0,4505.14496878,100,1.0,1.0,207351.464247,500,1.0,4505.14496878
0.002,355.643317133,1,3.74913e-05,70242.0326334,1.84385e-06,0.8,0.0183334,0.440911,4545.60205904,4474.26,491.06,4598.05,0.00808718,174.93,342.456471838,4545.60205904,100,3.95467,1.4059,70242.0326334,500,0.978009,4545.60205904
0.01,500.0,2,0.01,151404.129608,3.50449e-18,0.8,1.0,,4523.05432203,4289.47,488.3,4523.05,0.01,387.156,100.0,4523.05432203,100,1.0,1.0,151404.129608,500,1.0,4523.05432203
0.005,500.0,2,0.005,19531.1070319,2.1793e-19,0.8,1.0,,4601.87799011,4397.3,497.21,4562.47,0.005,293.541,200.000000102,4601.87799011,100,1.0,1.0,19531.1070319,500,1.0,4601.87799011
0.00333333,500.0,2,0.00333333,52607.176012,5.43914e-20,0.8,1.0,,4593.43549833,4437.93,496.71,4572.79,0.00333333,273.894,299.999969474,4593.43549833,100,1.0,1.0,52607.176012,500,1.0,4593.43549833
0.0025,500.0,2,0.0025,83553.3076117,5.4346e-20,0.8,1.0,,4585.43803545,4459.16,495.04,4575.95,0.0025,277.44,400.0,4585.43803545,100,1.0,1.0,83553.3076117,500,1.0,4585.43803545
