VarJ,VarNormIw,IterType,Delta,AvgNormIw,ESSRenyi,VarVanillaIw,VarRet,Bound,VarDiscRet,AvgDiscRet,MaxNormIw,ESSClassic,MaxVanillaIw,AvgEpLen,EpsThisIter,AvgRet,VanillaAvgRet,MinNormIw,eRenyi2,AvgVanillaIw,MinVanillaIw,J,BatchSize
21.0867,4.23522e-05,1,0.8,0.01,66.6969967059,0.484814,4970.32067428,-145.73,4970.32067428,-131.642931766,0.0246594,70.4579288178,2.63835,60.61,100,-131.642931766,-131.642931766,6.50065e-05,1.49932,1.06992,0.00695515,-115.298,100
10.959,1.7538e-05,1,0.8,0.01,90.1938306429,0.201323,1215.14710149,-133.058,1215.14710149,-113.427963911,0.0338777,85.2059739155,3.62969,24.94,100,-113.427963911,-113.427963911,0.00153547,1.10872,1.07141,0.164512,-109.327,100
6.25097,2.20872e-05,1,0.8,0.01,85.1041070002,0.193847,192.622623411,-119.48,192.622623411,-111.085731985,0.0182644,82.0571207309,1.71105,21.92,100,-111.085731985,-111.085731985,0.000976104,1.17503,0.936825,0.0914439,-108.861,100
3.86905,1.08343e-05,1,0.8,0.01,91.3567409484,0.104694,18.9710751888,-114.702,18.9710751888,-108.551558265,0.0175688,90.3130411418,1.72704,19.15,100,-108.551558265,-108.551558265,0.00288515,1.09461,0.983015,0.283615,-107.894,100
3.43138,5.97965e-06,1,0.8,0.01,94.5323405528,0.0568603,12.5496606819,-114.241,12.5496606819,-108.257202916,0.0147994,94.4109852401,1.44315,18.06,100,-108.257202916,-108.257202916,0.00417405,1.05784,0.975139,0.407028,-107.917,100
3.57607,3.19917e-06,1,0.8,0.01,96.3206413562,0.0326199,22.3280126545,-114.382,22.3280126545,-107.497455905,0.0130321,96.9300774113,1.31594,17.2,100,-107.497455905,-107.497455905,0.00416088,1.0382,1.00977,0.420153,-107.187,100
2.63129,7.56565e-06,1,0.8,0.01,96.1754347587,0.0803328,6.92848017504,-113.349,6.92848017504,-107.579838338,0.023053,93.0319272486,2.37548,17.47,100,-107.579838338,-107.579838338,0.00449805,1.03977,1.03044,0.463498,-107.365,100
4.05114,9.33732e-06,1,0.8,0.01,92.889846363,0.0924733,20.3243962035,-113.181,20.3243962035,-106.929249695,0.0157856,91.538239437,1.57094,17.48,100,-106.929249695,-106.929249695,0.000605668,1.07654,0.995169,0.0602742,-106.308,100
2.80977,5.56313e-06,1,0.8,0.01,96.4219674886,0.058391,6.07959164459,-112.659,6.07959164459,-106.972913532,0.025984,94.7800076378,2.66207,17.42,100,-106.972913532,-106.972913532,0.00488748,1.03711,1.0245,0.500724,-106.77,100
2.28712,3.4821e-06,1,0.8,0.01,96.941972855,0.0337362,6.14956556828,-113.14,6.14956556828,-107.454763022,0.0129561,96.6676155998,1.27527,17.8,100,-107.454763022,-107.454763022,0.00400062,1.03154,0.984301,0.393781,-107.269,100
2.9901,5.55367e-06,1,0.8,0.01,94.8469437539,0.0600122,88.6292751884,-116.877,88.6292751884,-107.636601016,0.0132923,94.7883926351,1.38175,18.59,100,-107.636601016,-107.636601016,0.00200464,1.05433,1.03951,0.208385,-106.715,100
2.93344,6.31243e-06,1,0.8,0.01,96.4352025516,0.065117,6.85960373865,-112.198,6.85960373865,-106.569996126,0.0209677,94.1182602709,2.12961,17.68,100,-106.569996126,-106.569996126,0.00508558,1.03697,1.01566,0.516523,-106.391,100
3.43816,5.88698e-06,1,0.8,0.01,94.7648904132,0.0560499,365.443976003,-122.52,365.443976003,-109.198394663,0.0136941,94.4928630515,1.33621,23.24,100,-109.198394663,-109.198394663,0.00119685,1.05524,0.975755,0.116783,-107.304,100
26.7858,0.000244341,1,0.8,0.01,62.4461638145,3.18818,10.8977881596,-111.306,10.8977881596,-106.797203328,0.151951,29.2485580571,17.3571,18.74,100,-106.797203328,-106.797203328,0.00145941,1.60138,1.14228,0.166706,-104.096,100
4.32267,8.35289e-06,1,0.8,0.01,91.4621954766,0.0895878,11.2223405158,-112.237,11.2223405158,-106.595399971,0.0293154,92.362246775,3.036,19.69,100,-106.595399971,-106.595399971,0.00555941,1.09335,1.03563,0.575751,-106.145,100
40.952,0.00132693,1,0.8,0.01,46.3209333135,32.2156,29.8302871756,-107.919,29.8302871756,-106.087565621,0.368505,7.07383096858,57.4186,20.93,100,-106.087565621,-106.087565621,0.000818926,2.15885,1.55815,0.127601,-99.275,100
7.59837,3.34034e-05,1,0.8,0.01,79.5600952907,0.2982,26.2041714674,-110.675,26.2041714674,-105.25074377,0.0301546,75.1487792516,2.84913,25.96,100,-105.25074377,-105.25074377,0.00159728,1.25691,0.94484,0.150918,-104.081,100
21.4324,0.000106144,1,0.8,0.01,46.0628658734,1.15318,65.9553102025,-110.088,65.9553102025,-104.850263766,0.0520655,48.7608979336,5.42689,27.73,100,-104.850263766,-104.850263766,2.66042e-05,2.17095,1.04232,0.002773,-100.657,100
10.3645,2.26272e-05,1,0.8,0.01,78.7453696563,0.245998,96.6305090143,-110.477,96.6305090143,-103.501600698,0.0207507,81.6987548433,2.16363,36.54,100,-103.501600698,-103.501600698,0.00132508,1.26992,1.04268,0.138163,-101.628,100
9.5824,4.38761e-05,1,0.8,0.01,70.408097318,0.546185,46.8562109623,-108.458,46.8562109623,-103.526977654,0.0409624,69.716841585,4.57026,35.4,100,-103.526977654,-103.526977654,0.000183267,1.42029,1.11572,0.0204475,-101.37,100
10.1226,2.67956e-05,1,0.8,0.01,76.0757895012,0.266885,82.6191618031,-107.944,82.6191618031,-101.937572787,0.0241338,79.0341501139,2.40855,39.35,100,-101.937572787,-101.937572787,0.00128573,1.31448,0.997999,0.128316,-100.18,100
12.1483,9.14474e-05,1,0.8,0.01,57.614014493,0.729501,54.724901403,-104.963,54.724901403,-100.688325407,0.0549294,52.4843744176,4.90605,39.55,100,-100.688325407,-100.688325407,3.53026e-05,1.73569,0.893156,0.00315307,-97.0664,100
10.3015,1.3497e-05,1,0.8,0.01,90.1509295308,0.134712,431.150849514,-113.293,431.150849514,-101.529769803,0.0176574,88.2129640709,1.76405,47.76,100,-101.529769803,-101.529769803,0.000812869,1.10925,0.999045,0.0812093,-98.6481,100
9.33333,4.25611e-05,1,0.8,0.01,74.9739424551,0.303668,73.6864844147,-104.225,73.6864844147,-99.104927933,0.0246461,70.3554107699,2.08181,42.66,100,-99.104927933,-99.104927933,0.000101574,1.3338,0.844681,0.00857979,-97.3588,100
