MaxNormIw,VarVanillaIw,Bound,eRenyi2,J,VarRet,AvgDiscRet,ESSClassic,VarNormIw,VarDiscRet,AvgVanillaIw,AvgRet,AvgNormIw,AvgEpLen,BatchSize,MinVanillaIw,ESSRenyi,VarJ,MaxVanillaIw,MinNormIw
0.923429,11364.387,25.821182,4.064195,42.78814,219.37488549154526,-5.528870631253457,1.172517180691404,0.008513797,219.37488549154526,11.553441,-5.528870631253457,0.01,500.0,100,0.01706118,24.605117657790732,37.4287,1066.8783,1.4767184e-05
0.9999511,4715929000.0,25.772535,1.0000025,34.18876,338.9779967318676,-5.703457183748132,1.0000977487079454,0.009999015,338.9779967318676,6867.602,-5.703457183748132,0.01,500.0,100,0.0019469239,99.99974966111864,0.020020746,686726.6,2.83494e-09
0.9122064,6964.368,16.744905,4.2889967,34.17479,426.93683566834704,-10.44216971770925,1.2014547295232938,0.008306307,426.93683566834704,9.156656,-10.44216971770925,0.010000003,500.0,100,0.011519055,23.31547610709355,35.335728,835.276,1.257998e-05
0.9048752,4268.72,27.492455,4.9967933,46.30564,411.6509720457043,0.8871237050165836,1.2208804806988376,0.008172535,411.6509720457043,7.227207,0.8871237050165836,0.01,500.0,100,0.0048056133,20.012835151328343,39.62639,653.97205,6.6493367e-06
0.9079042,5246.008,34.819473,4.260121,52.190586,380.6072238346468,7.492093770774517,1.2127741640273124,0.0082278345,380.6072238346468,7.984941,7.492093770774517,0.010000002,500.0,100,0.011923761,23.473512391426084,36.322666,724.9561,1.4932811e-05
0.9996452,84970430.0,47.288208,1.0000039,55.704437,588.4928609263845,11.665282950092912,1.0007100162335847,0.009992834,588.4928609263845,922.12463,11.665282950092912,0.010000002,500.0,100,2.312036e-05,99.99960661089204,0.14565808,92179.74,2.5072924e-10
0.9997125,664714300.0,47.367317,1.0000098,55.78357,642.9632167094243,16.440437110201344,1.0005752146199927,0.009994195,642.9632167094243,2578.954,16.440437110201344,0.01,500.0,100,0.009090831,99.99902249338096,0.114896566,257821.28,3.5250064e-08
0.9996714,22350292.0,66.026436,1.0000043,74.442665,560.5340747661077,17.610016083947404,1.0006574809228566,0.009993363,560.5340747661077,472.91788,17.610016083947404,0.009999998,500.0,100,5.268813e-06,99.99957084839933,0.1859052,47276.25,1.11410735e-10
0.9999003,1009736260.0,50.033875,1.0000006,58.45009,849.9835405196369,23.821587812725483,1.0001994505466851,0.009997987,849.9835405196369,3177.9546,23.821587812725483,0.010000002,500.0,100,0.00048175405,99.99994039539075,0.022126298,317763.78,1.5159248e-09
0.91299856,6530.3574,45.768204,3.4653883,61.435448,1122.4781477674965,19.1152803312702,1.199394561171779,0.008320748,1122.4781477674965,8.859052,19.1152803312702,0.01,500.0,100,0.014930154,28.85679508316952,26.990242,808.8302,1.6852993e-05
